"project","github_repo","debian_sources","homebrew_formulas","in_debian","in_homebrew","is_cpp","is_oss_fuzz","debian_dl_avg","homebrew_dl_avg","debian_dl_p","homebrew_dl_p","debian_share","homebrew_share","categories","licenses","2021","2022","2023","2024","2025"
"debian:r-cran-lattice","","r-cran-lattice","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-pyqt5.qtsql","","python3-pyqt5.qtsql","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-rda-1.0","","gir1.2-rda-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:x11proto-video-dev","","x11proto-video-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gnomeautoargtk-0.1","","gir1.2-gnomeautoargtk-0.1","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libqt6opengl6-dev","","libqt6opengl6-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:sip-tools","","sip-tools","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-pango-1.0-dev","","gir1.2-pango-1.0-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6akonadixml6-24.12","","libkpim6akonadixml6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"xdg-dbus-proxy","","xdg-dbus-proxy","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"poppler-data","","poppler-data","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:openmpi-common","","openmpi-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"gnome-taquin","","gnome-taquin","","True","False","False","False","0","0","","","","","games","","0","0","0","0","0"
"debian:libphonon-l10n","","libphonon-l10n","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:phonon4qt5-backend-null","","phonon4qt5-backend-null","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"sensible-utils","","sensible-utils","","True","False","False","False","0","0","","","","","utils","","0","0","0","0","0"
"debian:qtbase5-dev-tools","","qtbase5-dev-tools","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6calendarsupport6-24.12","","libkpim6calendarsupport6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"ggml","ggml-org/ggml","","ggml","False","True","True","False","0","0","","","","","","","0","0","0","0","0"
"debian:libcairo-dev","","libcairo-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libgirepository-1.0-1-with-libffi8","","libgirepository-1.0-1-with-libffi8","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-matedesktop-2.0","","gir1.2-matedesktop-2.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:sigscheme-runtime","","sigscheme-runtime","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"xfce4-settings","","xfce4-settings","","True","False","False","False","0","0","","","","","xfce","","0","0","0","0","0"
"debian:gir1.2-dbus-1.0-dev","","gir1.2-dbus-1.0-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gst-plugins-bad-1.0","","gir1.2-gst-plugins-bad-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:compiz-core-abiversion-20180927","","compiz-core-abiversion-20180927","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-gi-cairo","","python3-gi-cairo","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libexttextcat-data","","libexttextcat-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-matepanelapplet-4.0","","gir1.2-matepanelapplet-4.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libselinux-dev","","libselinux-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6gapipeople6-24.12","","libkpim6gapipeople6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"tecla-keyboard-layout-viewer","","tecla","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:wamerican","","wamerican","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:qtdeclarative5-dev-tools","","qtdeclarative5-dev-tools","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6mimetreeparsercore6-24.12","","libkpim6mimetreeparsercore6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:sse4.2-support","","sse4.2-support","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gom-1.0","","gir1.2-gom-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gnustep-base-common","","gnustep-base-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-tepl-6","","gir1.2-tepl-6","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libreoffice-uiconfig-calc","","libreoffice-uiconfig-calc","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:default-logind","","default-logind","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-xlib-2.0-dev","","gir1.2-xlib-2.0-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:kdegames-mahjongg-data-kf6","","kdegames-mahjongg-data-kf6","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libsoup2.4-common","","libsoup2.4-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"lightsoff","","lightsoff","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:gir1.2-gcr-4","","gir1.2-gcr-4","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-dmap-4.0","","gir1.2-dmap-4.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"aisleriot","","aisleriot","","True","False","False","False","0","0","","","","","games","","0","0","0","0","0"
"debian:qemu-system-arm","","qemu-system-arm","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"init-system-helpers","","init-system-helpers","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:libkpim6grantleetheme6-24.12","","libkpim6grantleetheme6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:wxperl-gtk-3-2-8-uni-gcc-3-4","","wxperl-gtk-3-2-8-uni-gcc-3-4","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:redis-tools","","redis-tools","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:evolution-data-server-common","","evolution-data-server-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libnng1","","libnng1","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gstreamer-1.0","","gir1.2-gstreamer-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-appstreamglib-1.0","","gir1.2-appstreamglib-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gtk-4.0","","gir1.2-gtk-4.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-xlib-2.0","","gir1.2-xlib-2.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:xtrans-dev","","xtrans-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libjaxb-java","","libjaxb-java","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"xorg-sgml-doctools","","xorg-sgml-doctools","","True","False","False","False","0","0","","","","","x11","","0","0","0","0","0"
"debian:gir1.2-rsvg-2.0","","gir1.2-rsvg-2.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gtksource-300-dev","","gir1.2-gtksource-300-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libqscintilla2-qt6-l10n","","libqscintilla2-qt6-l10n","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"fop","","fop","","True","False","False","False","0","0","","","","","text","","0","0","0","0","0"
"debian:gir1.2-cvc-1.0","","gir1.2-cvc-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:qemu-system-s390x","","qemu-system-s390x","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:pyqt5-dev-tools","","pyqt5-dev-tools","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libx11-data","","libx11-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:pipewire-alsa","","pipewire-alsa","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6akonadicontactcore6-24.12","","libkpim6akonadicontactcore6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gfortran","","gfortran","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libreoffice-common","","libreoffice-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-libxfce4ui-2.0","","gir1.2-libxfce4ui-2.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"java:jrosetta","","libjrosetta-java","","True","False","False","False","0","0","","","","","java","","0","0","0","0","0"
"debian:liblouis-data","","liblouis-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:wmaker-common","","wmaker-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libreoffice-uiconfig-impress","","libreoffice-uiconfig-impress","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:coinor-libcgl1","","coinor-libcgl1","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:r-cran-survival","","r-cran-survival","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libgtk-3-common","","libgtk-3-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-granite-1.0","","gir1.2-granite-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6mailcommon6-24.12","","libkpim6mailcommon6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6tnef6-24.12","","libkpim6tnef6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libjs-bootstrap","","libjs-bootstrap","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"polkit-kde-agent-1","","polkit-kde-agent-1","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:python3-packaging","","python3-packaging","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:cpp-x86-64-linux-gnu","","cpp-x86-64-linux-gnu","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:lsb-base","","lsb-base","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-dev","","python3-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:genisoimage","","genisoimage","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"perl:cairo","","libcairo-perl","","True","False","False","False","0","0","","","","","perl","","0","0","0","0","0"
"debian:akonadi-contacts-data","","akonadi-contacts-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"java:jlatexmath","","libjlatexmath-java","","True","False","False","False","0","0","","","","","java","","0","0","0","0","0"
"debian:libjs-leaflet","","libjs-leaflet","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:qt6-waylandclient-private-abi","","qt6-waylandclient-private-abi","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-pangocairo-1.0-dev","","gir1.2-pangocairo-1.0-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:brasero-common","","brasero-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gio-2.0-dev","","gir1.2-gio-2.0-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"iagno","","iagno","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:gir1.2-javascriptcoregtk-4.1","","gir1.2-javascriptcoregtk-4.1","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gepub-0.7","","gir1.2-gepub-0.7","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libxfce4ui-common","","libxfce4ui-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:clangd","","clangd","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:pyqt5-dev","","pyqt5-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libjs-bootstrap5","","libjs-bootstrap5","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:postgresql-client-17","","postgresql-client-17","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:node-acorn","","node-acorn","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-ggit-1.0","","gir1.2-ggit-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6imap6-24.12","","libkpim6imap6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:ibverbs-providers","","ibverbs-providers","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libktorrent-l10n","","libktorrent-l10n","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:x11proto-core-dev","","x11proto-core-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-xdg","","python3-xdg","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-pyqt5.qtmultimedia","","python3-pyqt5.qtmultimedia","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-adw-1-dev","","gir1.2-adw-1-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-atk-1.0-dev","","gir1.2-atk-1.0-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-dbusmock","","python3-dbusmock","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-cmenu-3.0","","gir1.2-cmenu-3.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-colorhug-1.0","","gir1.2-colorhug-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gdk-3.0","","gir1.2-gdk-3.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:coinor-libcbc3.1","","coinor-libcbc3.1","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-ebook-1.2","","gir1.2-ebook-1.2","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-mypaint-1.5","","gir1.2-mypaint-1.5","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"gnustep-make","","gnustep-make","","True","False","False","False","0","0","","","","","gnustep","","0","0","0","0","0"
"debian:gir1.2-gexiv2-0.10","","gir1.2-gexiv2-0.10","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"kicad-templates","","kicad-templates","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:qml6-module-org-kde-breeze","","qml6-module-org-kde-breeze","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-xapp-1.0","","gir1.2-xapp-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"aglfn","","aglfn","","True","False","False","False","0","0","","","","","fonts","","0","0","0","0","0"
"debian:python3-pyqt5.qtserialport","","python3-pyqt5.qtserialport","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"harvid","","harvid","","True","False","False","False","0","0","","","","","video","","0","0","0","0","0"
"debian:grass841","","grass841","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-camel-1.2","","gir1.2-camel-1.2","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkf6filemetadata-data","","libkf6filemetadata-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-amtk-5","","gir1.2-amtk-5","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:debconf-kde-data","","debconf-kde-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-soup-2.4","","gir1.2-soup-2.4","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:muffin-common","","muffin-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libjpeg-turbo-progs","","libjpeg-turbo-progs","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libc-l10n","","libc-l10n","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"perl:mailtools","","libmailtools-perl","","True","False","False","False","0","0","","","","","perl","","0","0","0","0","0"
"bubblewrap","","bubblewrap","","True","False","False","False","0","0","","","","","admin","","0","0","0","0","0"
"debian:fcitx5-modules","","fcitx5-modules","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-atrilview-1.5.0","","gir1.2-atrilview-1.5.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:kio-ldap","","kio-ldap","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"zathura-pdf-poppler","","zathura-pdf-poppler","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:gir1.2-appstream-1.0","","gir1.2-appstream-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gcab-1.0","","gir1.2-gcab-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:build-essential","","build-essential","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"xml-core","","xml-core","","True","False","False","False","0","0","","","","","text","","0","0","0","0","0"
"debian:libime-data","","libime-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gtop-2.0","","gir1.2-gtop-2.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gupnpigd-1.6","","gir1.2-gupnpigd-1.6","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6ksieveui6-24.12","","libkpim6ksieveui6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gdesktopenums-3.0","","gir1.2-gdesktopenums-3.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-xmlb-2.0","","gir1.2-xmlb-2.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:link-grammar-dictionaries-en","","link-grammar-dictionaries-en","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"java:flexdock","","libflexdock-java","","True","False","False","False","0","0","","","","","java","","0","0","0","0","0"
"debian:gir1.2-dbusmenu-glib-0.4","","gir1.2-dbusmenu-glib-0.4","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-graphene-1.0","","gir1.2-graphene-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:protobuf-api-32-0","","protobuf-api-32-0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6mimetreeparser6-24.12","","libkpim6mimetreeparser6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gupnp-1.6","","gir1.2-gupnp-1.6","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libeac3","","libeac3","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"perl:class-load","","libclass-load-perl","","True","False","False","False","0","0","","","","","perl","","0","0","0","0","0"
"debian:libjs-jquery-ui","","libjs-jquery-ui","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-owslib","","python3-owslib","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gnustep-layout-multiarch","","gnustep-layout-multiarch","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:sse3-support","","sse3-support","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libavalon-framework-java","","libavalon-framework-java","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libpaper-utils","","libpaper-utils","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libpython3.13-stdlib","","libpython3.13-stdlib","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libomp5-18","","libomp5-18","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gnomebg-4.0","","gir1.2-gnomebg-4.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"java:jgoodies-looks","","libjgoodies-looks-java","","True","False","False","False","0","0","","","","","java","","0","0","0","0","0"
"debian:r-cran-cluster","","r-cran-cluster","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:ruby","","ruby","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-ayatanacommon-0.1","","gir1.2-ayatanacommon-0.1","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-flatpak-1.0","","gir1.2-flatpak-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6mailtransport6-24.12","","libkpim6mailtransport6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gtksource-5","","gir1.2-gtksource-5","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-accountsservice-1.0-dev","","gir1.2-accountsservice-1.0-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:espeak-ng-data","","espeak-ng-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"node:cjs-module-lexer","","node-cjs-module-lexer","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:gir1.2-ebackend-1.2","","gir1.2-ebackend-1.2","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-spelling-1","","gir1.2-spelling-1","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-libevdev","","python3-libevdev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:pkg-config","","pkg-config","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:x11-common","","x11-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libjlatexmath-fop-java","","libjlatexmath-fop-java","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6akonadimime6-24.12","","libkpim6akonadimime6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-yaml","","python3-yaml","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gobjc++","","gobjc++","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-cryptography","","python3-cryptography","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:compizconfig-settings-manager","","compizconfig-settings-manager","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"gnome-tetravex","","gnome-tetravex","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:locales-all","","locales-all","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkpim6ksievecore6-24.12","","libkpim6ksievecore6-24.12","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-xfixes-4.0","","gir1.2-xfixes-4.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libkf5codecs-data","","libkf5codecs-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libgranite-7-common","","libgranite-7-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-manette-0.2","","gir1.2-manette-0.2","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-modemmanager-1.0","","gir1.2-modemmanager-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libpython3-dev","","libpython3-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"update-inetd","","update-inetd","","True","False","False","False","0","0","","","","","admin","","0","0","0","0","0"
"debian:luanti-data","","luanti-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:xvfb","","xvfb","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-osmgpsmap-1.0","","gir1.2-osmgpsmap-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:qtwayland-client-abi-5-15-15","","qtwayland-client-abi-5-15-15","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gtk-4.0-dev","","gir1.2-gtk-4.0-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"perl:perl4-corelibs","","libperl4-corelibs-perl","","True","False","False","False","0","0","","","","","perl","","0","0","0","0","0"
"debian:par2","","par2","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-nma-1.0","","gir1.2-nma-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-zeitgeist-2.0","","gir1.2-zeitgeist-2.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-cairo-1.0","","gir1.2-cairo-1.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:libgegl-common","","libgegl-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"squid-langpack","","squid-langpack","","True","False","False","False","0","0","","","","","localization","","0","0","0","0","0"
"debian:zstd","","zstd","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"ruby:rake","","rake","","True","False","False","False","0","0","","","","","ruby","","0","0","0","0","0"
"quadrapassel","","quadrapassel","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:qemu-system-mips","","qemu-system-mips","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:host","","host","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gdal-data","","gdal-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:heif-thumbnailer","","heif-thumbnailer","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:python3-pyqt5.qtpositioning","","python3-pyqt5.qtpositioning","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:cinnamon-desktop-data","","cinnamon-desktop-data","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:zeroc-ice-compilers","","zeroc-ice-compilers","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:liblibreoffice-java","","liblibreoffice-java","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-gtk-3.0-dev","","gir1.2-gtk-3.0-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:gir1.2-girepository-2.0","","gir1.2-girepository-2.0","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"breeze","","breeze","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"xdg-desktop-portal-gnome","","xdg-desktop-portal-gnome","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:gir1.2-gee-0.8","","gir1.2-gee-0.8","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:firebird4.0-common","","firebird4.0-common","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"debian:nginx-abi-1.26.3-1","","nginx-abi-1.26.3-1","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"sddm","","sddm","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:python3-cwiid","","python3-cwiid","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
"pdftk","","pdftk-java","","True","False","False","False","0","0","","","","","misc","","0","0","0","0","0"
"debian:blt-dev","","blt-dev","","True","False","False","False","0","0","","","","","","","0","0","0","0","0"
