"project","github_repo","debian_sources","homebrew_formulas","in_debian","in_homebrew","is_cpp","is_oss_fuzz","debian_dl_avg","homebrew_dl_avg","debian_dl_p","homebrew_dl_p","debian_share","homebrew_share","categories","licenses","2021","2022","2023","2024","2025"
"rav1e","xiph/rav1e","rust-rav1e","rav1e","True","True","True","False","19428","453835","91.70","","0.0171","0.2247","misc","","0","932593","248646","304370","407445"
"leptonica","DanBloomberg/leptonica","leptonlib","leptonica","True","True","True","True","3515","565886","98.48","64.27","0.0031","0.2801","graphics","","1008","853148","280242","594371","552353"
"fizz","facebookincubator/fizz","","fizz","False","True","True","False","0","455848","","70.34","","0.2257","","","0","897633","224615","413239","287906"
"fbthrift","facebook/fbthrift","","fbthrift","False","True","True","False","0","453755","","70.56","","0.2246","","","0","899984","235122","392440","287476"
"fb303","facebook/fb303","","fb303","False","True","True","False","0","452539","","71.01","","0.2240","","","0","893797","233536","401924","280902"
"glibc","","glibc","glibc","True","True","True","False","230082","354990","4.67","76.70","0.2030","0.1757","misc|non-free/doc","","207317","204684","419934","831766","551684"
"netpbm","","netpbm-free","netpbm","True","True","True","False","76472","457559","70.36","70.11","0.0675","0.2265","graphics","","77901","945124","312793","436819","439963"
"wangle","facebook/wangle","","wangle","False","True","True","False","0","440946","","71.45","","0.2183","","","0","896583","220266","389071","257867"
"python:numpy","","","numpy","False","True","True","False","0","440092","","71.67","","0.2179","misc","","0","589182","144545","623393","403250"
"nss","","nss","nss","True","True","True","False","152599","357458","33.66","76.53","0.1346","0.1770","libs","","139739","763619","280713","486342","522419"
"dav1d","","dav1d","dav1d","True","True","True","False","18213","516721","92.41","67.70","0.0161","0.2558","misc","","1335","857977","214800","549822","534018"
"srt","Haivision/srt","srt","srt","True","True","True","False","54705","464860","78.04","69.88","0.0483","0.2301","misc","","66","1022369","243384","402893","464257"
"svt-av1","","svt-av1","svt-av1","True","True","True","False","20428","402269","91.26","73.54","0.0180","0.1991","misc","","0","240009","240898","566984","642897"
"libedit","","libedit","libedit","True","True","True","False","230020","235861","5.28","84.19","0.2030","0.1168","libs","","207200","209475","347861","614955","714058"
"tar","","tar","gnu-tar","True","True","True","False","230127","234511","1.42","84.43","0.2031","0.1161","utils","","207368","362819","373867","572692","571938"
"x265","","x265","x265","True","True","True","False","16881","495571","92.82","68.45","0.0149","0.2453","misc","","1839","650054","125071","660403","629324"
"apr","","apr","apr","True","True","True","False","112592","374074","51.15","75.27","0.0993","0.1852","libs","","117867","1011411","320749","324873","284362"
"flac","","flac","flac","True","True","True","False","17414","490471","92.71","69.18","0.0154","0.2428","libs","","5222","1156947","188872","261379","436536"
"z3","Z3Prover/z3","z3","z3","True","True","True","False","107520","371464","55.02","75.45","0.0949","0.1839","misc","","49619","357861","217439","646897","751646"
"rust","","","rust","False","True","True","False","0","402215","","73.73","","0.1991","rust","","0","442445","230268","470018","466131"
"perl","","perl","perl","True","True","True","False","230126","214762","1.83","85.41","0.2031","0.1063","perl","","207363","544261","347785","452961","457314"
"neovim","neovim/neovim","","neovim","False","True","True","False","0","399934","","73.93","","0.1980","misc","","0","472320","165103","412890","549426"
"frei0r","dyne/frei0r","","frei0r","False","True","True","False","0","398792","","74.13","","0.1974","video","","0","650875","174881","391344","378069"
"cocoapods","CocoaPods/CocoaPods","","cocoapods","False","True","True","False","0","396699","","74.33","","0.1964","","","0","563789","193327","437433","392248"
"opus","","opus","opus","True","True","True","False","135467","325404","39.50","78.22","0.1195","0.1611","sound","","122266","580964","286653","553552","435519"
"binutils","","binutils|binutils-avr","arm-none-eabi-binutils|binutils","True","True","True","False","147480","306369","35.52","79.95","0.1301","0.1517","devel","","136742","200482","393525","635974","596158"
"unzip","","unzip","unzip","True","True","True","False","178330","260077","26.74","83.23","0.1574","0.1288","utils","","164378","209998","330434","564433","662719"
"poppler","","poppler","poppler|poppler-qt5","True","True","True","False","110087","342841","52.72","77.39","0.0971","0.1697","devel","","99771","544508","256276","442993","578257"
"speex","","speex","speex","True","True","True","False","131857","315182","41.27","79.33","0.1163","0.1560","sound","","120462","899865","213823","321080","364786"
"libssh","","libssh","libssh","True","True","True","False","58995","405225","76.28","73.14","0.0521","0.2006","libs","","37854","567750","179358","605557","525362"
"cryptography","","","cryptography","False","True","False","False","0","376711","","","","0.1865","","","0","0","42","526478","603614"
"abseil-cpp","abseil/abseil-cpp","abseil","abseil","True","True","True","True","14320","448307","93.62","71.23","0.0126","0.2219","misc","","17","95807","190506","668037","910464"
"apr-util","","apr-util","apr-util","True","True","True","False","118195","316817","47.49","79.17","0.1043","0.1568","libs","","116443","971231","288242","259962","222369"
