"package","source","homepage","vcs_browser","section"
"libqalculate23","libqalculate","https://qalculate.github.io/","","libs"
"libqapt-dev","libqapt","https://invent.kde.org/system/libqapt","","libdevel"
"libqapt3","libqapt","https://invent.kde.org/system/libqapt","","libs"
"libqat-dev","qatlib","https://github.com/intel/qatlib","","libdevel"
"libqat4","qatlib","https://github.com/intel/qatlib","","libs"
"libqatzip-dev","qatzip","https://github.com/intel/qatzip","","libdevel"
"libqatzip3","qatzip","https://github.com/intel/qatzip","","libs"
"libqb-dev","libqb","https://github.com/clusterlabs/libqb/wiki","","libdevel"
"libqb100","libqb","https://github.com/clusterlabs/libqb/wiki","","libs"
"libqbscore2.6","qbs","https://wiki.qt.io/Qbs","","libs"
"libqca-qt5-2","qca2","https://userbase.kde.org/QCA","","libs"
"libqca-qt5-2-dev","qca2","https://userbase.kde.org/QCA","","libdevel"
"libqca-qt5-2-plugins","qca2","https://userbase.kde.org/QCA","","libs"
"libqca-qt6-2","qca2","https://userbase.kde.org/QCA","","libs"
"libqca-qt6-dev","qca2","https://userbase.kde.org/QCA","","libdevel"
"libqca-qt6-plugins","qca2","https://userbase.kde.org/QCA","","libs"
"libqcodeeditor-dev","qcodeeditor","https://github.com/Megaxela/QCodeEditor","","libdevel"
"libqcodeeditor0","qcodeeditor","https://github.com/Megaxela/QCodeEditor","","libs"
"libqcoro5core0t64","qcoro","https://qcoro.dev","","libs"
"libqcoro5dbus0t64","qcoro","https://qcoro.dev","","libs"
"libqcoro5network0t64","qcoro","https://qcoro.dev","","libs"
"libqcoro5qml0t64","qcoro","https://qcoro.dev","","libs"
"libqcoro5quick0t64","qcoro","https://qcoro.dev","","libs"
"libqcoro5websockets0t64","qcoro","https://qcoro.dev","","libs"
"libqcoro6core0t64","qcoro","https://qcoro.dev","","libs"
"libqcoro6dbus0t64","qcoro","https://qcoro.dev","","libs"
"libqcoro6network0t64","qcoro","https://qcoro.dev","","libs"
"libqcoro6qml0t64","qcoro","https://qcoro.dev","","libs"
