"package","github_repo"
"fluidsynth","Fluidsynth/fluidsynth"
"flvmeta","noirotm/flvmeta"
"fntsample","eugmes/fntsample"
"foonathan-memory","foonathan/memory"
"fortune-mod","shlomif/fortune-mod"
"fpgatools","Wolfgang-Spraul/fpgatools"
"fplll","fplll/fplll"
"fpzip","LLNL/fpzip"
"fqterm","mytbk/fqterm"
"freealut","vancegroup/freealut"
"freesweep","rwestlund/freesweep"
"friso","lionsoul2014/friso"
"frobby","Macaulay2/frobby"
"frozen","serge-sans-paille/frozen"
"frugally-deep","Dobiasd/frugally-deep"
"fstrm","farsightsec/fstrm"
"fsvs","phmarek/fsvs"
"ftgl","frankheckenbach/ftgl"
"ftxui","ArthurSonzogni/FTXUI"
"funtools","ericmandel/funtools"
"fuse","libfuse/libfuse"
"fuse-umfuse-fat","virtualsquare/fusefatfs"
"fuse3","libfuse/libfuse"
"fwupd","fwupd/fwupd"
"fyba","kartverket/fyba"
"g2","danielrmeyer/g2"
"g2clib","NOAA-EMC/NCEPLIBS-g2c"
"g810-led","MatMoul/g810-led"
"game-music-emu","libgme/game-music-emu"
"gamemode","FeralInteractive/gamemode"
"garmin-forerunner-tools","phako/garmintools"
"gatb-core","GATB/gatb-core"
"gau2grid","dgasmith/gau2grid"
"gbsplay","mmitch/gbsplay"
"gconjugue","jalvesaq/gconjugue"
"gelemental","ginggs/gelemental"
"genext2fs","bestouff/genext2fs"
"gensio","cminyard/gensio"
"genwqe-user","ibm-genwqe/genwqe-user"
"gio-qt","linuxdeepin/gio-qt"
"gkl","Intel-HLS/GKL"
"gl-image-display","dkogan/GL_image_display"
"gl4es","ptitSeb/gl4es"
"glbinding","cginternals/glbinding"
"gle","linas/glextrusion"
"glgrib","pmarguinaud/glgrib"
"glib-d","gtkd-developers/GlibD"
"globus-authz","gridcf/gct"
"globus-authz-callout-error","gridcf/gct"
"globus-callout","gridcf/gct"
"globus-common","gridcf/gct"
"globus-ftp-client","gridcf/gct"
"globus-ftp-control","gridcf/gct"
"globus-gass-cache","gridcf/gct"
"globus-gass-copy","gridcf/gct"
"globus-gass-server-ez","gridcf/gct"
"globus-gass-transfer","gridcf/gct"
"globus-gfork","gridcf/gct"
"globus-gram-client","gridcf/gct"
"globus-gram-job-manager","gridcf/gct"
"globus-gram-job-manager-callout-error","gridcf/gct"
"globus-gram-protocol","gridcf/gct"
"globus-gridftp-server","gridcf/gct"
"globus-gridftp-server-control","gridcf/gct"
"globus-gridmap-callout-error","gridcf/gct"
"globus-gridmap-eppn-callout","gridcf/gct"
"globus-gridmap-verify-myproxy-callout","gridcf/gct"
"globus-gsi-callback","gridcf/gct"
"globus-gsi-cert-utils","gridcf/gct"
"globus-gsi-credential","gridcf/gct"
"globus-gsi-openssl-error","gridcf/gct"
"globus-gsi-proxy-core","gridcf/gct"
"globus-gsi-proxy-ssl","gridcf/gct"
"globus-gsi-sysconfig","gridcf/gct"
"globus-gss-assist","gridcf/gct"
"globus-gssapi-error","gridcf/gct"
"globus-gssapi-gsi","gridcf/gct"
"globus-io","gridcf/gct"
"globus-net-manager","gridcf/gct"
"globus-openssl-module","gridcf/gct"
"globus-rsl","gridcf/gct"
"globus-scheduler-event-generator","gridcf/gct"
"globus-xio","gridcf/gct"
"globus-xio-gridftp-driver","gridcf/gct"
"globus-xio-gridftp-multicast","gridcf/gct"
"globus-xio-gsi-driver","gridcf/gct"
"globus-xio-pipe-driver","gridcf/gct"
"globus-xio-popen-driver","gridcf/gct"
"globus-xio-rate-driver","gridcf/gct"
"globus-xio-udt-driver","gridcf/gct"
"glome","google/glome"
"gloo","facebookincubator/gloo"
"glslang","KhronosGroup/glslang"
"glyr","sahib/glyr"
"gmime","jstedfast/gmime"
"gnudatalanguage","gnudatalanguage/gdl"
"golang-github-jonboulle-clockwork","jonboulle/clockwork"
"google-glog","google/glog"
"google-perftools","gperftools/gperftools"
"googletest","google/googletest"
"govarnam","varnamproject/govarnam"
"gpaste","Keruspe/GPaste"
"gpicview","lxde/gpicview"
"gprbuild","AdaCore/gprbuild"
"gpt","thiago-silva/gpt"
"gr-air-modes","bistromath/gr-air-modes"
