"package","avg_downloads","2021","2022","2023","2024","2025"
"libxxf86dga","131425","122602","114081","127721","136634","156090"
"bc","131418","114404","117985","130870","137756","156076"
"libwebp","131256","104806","109063","127010","146088","169313"
"x11-utils","131056","122133","113712","127371","136296","155772"
"libxss","130917","119551","111358","125603","138291","159783"
"make-dfsg","130800","122801","119049","123791","134936","153423"
"parted","130199","116138","111467","126165","138307","158920"
"libsamplerate","129809","117737","111244","125680","136970","157418"
"lame","129488","115592","109745","124513","137921","159669"
"wavpack","129112","119940","113532","127163","133403","151524"
"xapian-core","128962","125010","120338","133171","139790","126503"
"libglvnd","128923","103176","107125","124798","142939","166578"
"libtheora","128806","117422","111266","125679","137145","152519"
"mysql-defaults","128510","138686","124474","126944","124780","127669"
"gtk+2.0","128198","130593","119026","130787","135671","124913"
"rsync","128137","117297","117366","124364","133963","147696"
"libfile-fcntllock-perl","128117","116184","120138","122685","128976","152606"
"libproxy","127947","114051","111392","126246","134463","153584"
"libcaca","127564","115275","108359","122794","135409","155984"
"libdeflate","127225","53384","96962","124916","165032","195832"
"xvidcore","127195","114515","108526","123013","134573","155348"
"libutempter","127085","118983","112197","121028","131416","151801"
"twolame","126599","113336","107810","122404","134236","155210"
"libvdpau","126526","112795","107476","122280","134459","155624"
"jackd2","126499","114894","108683","122806","133357","152759"
"git","125366","103237","106604","116741","139446","160805"
"libxkbfile","124590","108484","105286","120581","133438","155161"
"libdaemon","124417","115904","107460","121197","129834","147690"
"libraw1394","124201","111741","105666","120026","131485","152090"
"game-music-emu","124181","110745","105388","119998","131990","152787"
"shine","124015","109225","104865","119925","132479","153585"
"dosfstools","123635","108258","102937","117667","133251","156065"
"libavc1394","123478","110944","104917","119303","130813","151413"
"libsigc++-2.0","123259","113852","109011","120151","128192","145093"
"libsoxr","123067","107336","103763","118982","132006","153251"
"libiec61883","123024","110287","104350","118760","130483","151243"
"libaacs","122893","109358","104032","118584","130650","151843"
"flite","121868","107623","102957","117606","129999","151158"
"djvulibre","121821","111238","103587","117453","128966","147863"
"libexif","121367","114082","104688","117703","125857","144508"
"x11-xserver-utils","121302","109726","103151","117316","128008","148309"
"packagekit","121167","106254","102964","117482","130364","148772"
"net-tools","121147","124557","119985","119945","119939","121310"
"chromaprint","121115","105265","101847","117005","130165","151293"
"libsecret","120608","111704","103589","117200","126016","144534"
"zeromq3","120407","100943","100838","116693","130942","152620"
"gst-plugins-base1.0","120212","107549","102024","116439","127493","147556"
"cdparanoia","120123","108890","102318","116400","126635","146372"
"libvisual","119911","108640","102085","116183","126451","146197"
"libbs2b","118950","102989","99529","114772","128133","149328"
"apr-util","118195","116443","111018","119055","119310","125150"
"yajl","117782","106068","99073","113754","125339","144680"
"libvdpau-va-gl","117756","100598","98290","113769","127414","148709"
"vulkan-loader","117647","88683","97351","115413","131029","155759"
"libarchive","117632","119230","114109","129046","131302","94476"
