"package","dependency","type"
"libssh2","zlib","declared"
"gcc-avr","binutils-avr","declared"
"gcc-avr","glibc","declared"
"gcc-avr","gmp","declared"
"gcc-avr","mpclib3","declared"
"gcc-avr","mpfr4","declared"
"gcc-avr","zlib","declared"
"libfile-extattr-perl","attr","declared"
"libfile-extattr-perl","glibc","declared"
"libfile-extattr-perl","perl","declared"
"libfile-extattr-perl","perlapi-5.40.0","declared"
"proxychains","glibc","declared"
"libgdchart-gd2","glibc","declared"
"libgdchart-gd2","libgd2","declared"
"akonadi-mime","akonadi","declared"
"akonadi-mime","akonadi-mime-data","declared"
"akonadi-mime","gcc-14","declared"
"akonadi-mime","glibc","declared"
"akonadi-mime","kf6-kconfig","declared"
"akonadi-mime","kf6-kcoreaddons","declared"
"akonadi-mime","kf6-ki18n","declared"
"akonadi-mime","kf6-kio","declared"
"akonadi-mime","kf6-kwidgetsaddons","declared"
"akonadi-mime","kf6-kxmlgui","declared"
"akonadi-mime","kmime","declared"
"akonadi-mime","libkpim6akonadicore6-24.12","declared"
"akonadi-mime","libkpim6akonadiprivate6-24.12","declared"
"akonadi-mime","libkpim6akonadiwidgets6-24.12","declared"
"akonadi-mime","libkpim6mime6-24.12","declared"
"akonadi-mime","qt6-base","declared"
"cegui-mk2","devil","declared"
"cegui-mk2","expat","declared"
"cegui-mk2","freeimage","declared"
"cegui-mk2","freetype","declared"
"cegui-mk2","fribidi","declared"
"cegui-mk2","gcc-14","declared"
"cegui-mk2","glew","declared"
"cegui-mk2","glibc","declared"
"cegui-mk2","lcms2","declared"
"cegui-mk2","libcegui-mk2-data","declared"
"cegui-mk2","libglvnd","declared"
"cegui-mk2","libjpeg-turbo","declared"
"cegui-mk2","libmng","declared"
"cegui-mk2","libpng1.6","declared"
"cegui-mk2","libxml2","declared"
"cegui-mk2","lua-expat","declared"
"cegui-mk2","lua5.1","declared"
"cegui-mk2","ogre-1.12","declared"
"cegui-mk2","pcre2","declared"
"cegui-mk2","silly","declared"
"cegui-mk2","tiff","declared"
"cegui-mk2","tinyxml","declared"
"cegui-mk2","xerces-c","declared"
"cegui-mk2","zlib","declared"
"geoclue-2.0","gir1.2-geoclue-2.0","declared"
"geoclue-2.0","glib2.0","declared"
"geoclue-2.0","glibc","declared"
"aqemu","gcc-14","declared"
"aqemu","glibc","declared"
"aqemu","libvncserver","declared"
"aqemu","qemu-kvm","declared"
"aqemu","qtbase-opensource-src","declared"
"qstardict","gcc-14","declared"
"qstardict","glib2.0","declared"
"qstardict","glibc","declared"
"qstardict","qt6-base","declared"
"qstardict","zlib","declared"
"libcrypt-gcrypt-perl","glibc","declared"
"libcrypt-gcrypt-perl","libgcrypt20","declared"
"libcrypt-gcrypt-perl","perl","declared"
"libcrypt-gcrypt-perl","perlapi-5.40.0","declared"
"davfs2","adduser","declared"
"davfs2","debconf","declared"
"davfs2","glibc","declared"
"davfs2","neon27","declared"
"libmpack-lua","glibc","declared"
"libmpack-lua","libmpack","declared"
"kwave","alsa-lib","declared"
"kwave","audiofile","declared"
"kwave","fftw3","declared"
"kwave","flac","declared"
"kwave","gcc-14","declared"
"kwave","glibc","declared"
"kwave","id3lib3.8.3","declared"
"kwave","kf6-karchive","declared"
"kwave","kf6-kcompletion","declared"
"kwave","kf6-kconfig","declared"
"kwave","kf6-kconfigwidgets","declared"
"kwave","kf6-kcoreaddons","declared"
"kwave","kf6-kcrash","declared"
"kwave","kf6-kdbusaddons","declared"
"kwave","kf6-ki18n","declared"
"kwave","kf6-kiconthemes","declared"
"kwave","kf6-kio","declared"
"kwave","kf6-ktextwidgets","declared"
"kwave","kf6-kwidgetsaddons","declared"
"kwave","kf6-kxmlgui","declared"
"kwave","libmad","declared"
"kwave","libogg","declared"
"kwave","libsamplerate","declared"
"kwave","libvorbis","declared"
"kwave","opus","declared"
"kwave","pulseaudio","declared"
"kwave","qt6-base","declared"
"kwave","qt6-multimedia","declared"
"gtk-session-lock","gir1.2-gtksessionlock-0.1","declared"
"gtk-session-lock","glib2.0","declared"
"gtk-session-lock","glibc","declared"
"gtk-session-lock","gtk+3.0","declared"
"gtk-session-lock","wayland","declared"
"tetrinet","glibc","declared"
"tetrinet","ncurses","declared"
"libevent","glibc","declared"
"libevent","openssl","declared"
"f2fs-tools","util-linux","declared"
"yafc","glibc","declared"
"yafc","krb5","declared"
"yafc","libbsd","declared"
"yafc","libedit","declared"
"yafc","libssh","declared"
"yafc","openssl","declared"
"libb-hooks-op-check-perl","glibc","declared"
"libb-hooks-op-check-perl","perl","declared"
"libb-hooks-op-check-perl","perlapi-5.40.0","declared"
"qtvirtualkeyboard-opensource-src","gcc-14","declared"
"qtvirtualkeyboard-opensource-src","glibc","declared"
"qtvirtualkeyboard-opensource-src","hunspell","declared"
"qtvirtualkeyboard-opensource-src","qtbase-abi-5-15-15","declared"
"qtvirtualkeyboard-opensource-src","qtbase-opensource-src","declared"
"qtvirtualkeyboard-opensource-src","qtdeclarative-opensource-src","declared"
"qtvirtualkeyboard-opensource-src","qtquickcontrols2-opensource-src","declared"
"qtvirtualkeyboard-opensource-src","qtsvg-opensource-src","declared"
"nginx","debconf","declared"
"nginx","debhelper-compat","declared"
"nginx","geoip","declared"
"nginx","glibc","declared"
"nginx","iproute2","declared"
"nginx","libexpat-dev","declared"
"nginx","libgd2","declared"
"nginx","libnginx-mod-http-auth-pam","declared"
"nginx","libnginx-mod-http-cache-purge","declared"
"nginx","libnginx-mod-http-dav-ext","declared"
"nginx","libnginx-mod-http-echo","declared"
"nginx","libnginx-mod-http-fancyindex","declared"
"nginx","libnginx-mod-http-geoip2","declared"
"nginx","libnginx-mod-http-headers-more-filter","declared"
"nginx","libnginx-mod-http-lua","declared"
"nginx","libnginx-mod-http-subs-filter","declared"
"nginx","libnginx-mod-http-uploadprogress","declared"
"nginx","libnginx-mod-http-upstream-fair","declared"
"nginx","libnginx-mod-nchan","declared"
"nginx","libxcrypt","declared"
"nginx","libxml2","declared"
"nginx","libxslt","declared"
"nginx","nginx-abi-1.26.3-1","declared"
"nginx","openssl","declared"
"nginx","pcre2","declared"
"nginx","perl","declared"
"nginx","perlapi-5.40.1","declared"
"nginx","po-debconf","declared"
"nginx","zlib","declared"
"kcompletion","gcc-14","declared"
"kcompletion","glibc","declared"
"kcompletion","kconfig","declared"
"kcompletion","kwidgetsaddons","declared"
"kcompletion","qtbase-opensource-src","declared"
"sndobj","alsa-lib","declared"
"sndobj","fftw","declared"
"sndobj","gcc-14","declared"
"sndobj","glibc","declared"
"sndobj","jackd2","declared"
"probcons","gcc-14","declared"
"probcons","glibc","declared"
"glbsp","glibc","declared"
"glbsp","zlib","declared"
"pgbouncer","c-ares","declared"
"pgbouncer","glibc","declared"
"pgbouncer","init-system-helpers","declared"
"pgbouncer","libevent","declared"
"pgbouncer","openssl","declared"
"pgbouncer","pam","declared"
"pgbouncer","postgresql-common","declared"
"pgbouncer","systemd","declared"
"libucimf","fontconfig","declared"
"libucimf","freetype","declared"
"libucimf","gcc-14","declared"
"libucimf","glibc","declared"
"libucimf","libtool","declared"
"libidl","gcc-defaults","declared"
"libidl","glib2.0","declared"
"libidl","glibc","declared"
"libidl","pkgconf","declared"
"kmailtransport","gcc-14","declared"
"kmailtransport","glibc","declared"
"kmailtransport","kf6-kcompletion","declared"
"kmailtransport","kf6-kconfig","declared"
"kmailtransport","kf6-kconfigwidgets","declared"
"kmailtransport","kf6-kcoreaddons","declared"
"kmailtransport","kf6-ki18n","declared"
"kmailtransport","kf6-kio","declared"
"kmailtransport","kf6-kwidgetsaddons","declared"
"kmailtransport","ksmtp","declared"
"kmailtransport","libkgapi","declared"
"kmailtransport","libkpim6gapicore6-24.12","declared"
"kmailtransport","libkpim6mailtransport6-24.12","declared"
"kmailtransport","libkpim6smtp6-24.12","declared"
"kmailtransport","qt6-base","declared"
"kmailtransport","qtkeychain","declared"
"aspic","glibc","declared"
"buteo-sync-plugins-social","buteo-syncfw","declared"
"buteo-sync-plugins-social","gcc-14","declared"
"buteo-sync-plugins-social","glibc","declared"
"buteo-sync-plugins-social","kcalcore","declared"
"buteo-sync-plugins-social","libaccounts-qt","declared"
"buteo-sync-plugins-social","libsocialcache","declared"
"buteo-sync-plugins-social","mkcal","declared"
"buteo-sync-plugins-social","qtbase-opensource-src","declared"
"buteo-sync-plugins-social","qtpim-opensource-src","declared"
"buteo-sync-plugins-social","signond","declared"
"aaphoto","gcc-14","declared"
"aaphoto","glibc","declared"
"aaphoto","libjpeg-turbo","declared"
"aaphoto","libpng1.6","declared"
"jansson","glibc","declared"
"wayland","expat","declared"
"wayland","glibc","declared"
"wayland","libffi","declared"
"wayland","libxml2","declared"
"libnginx-mod-http-dav-ext","glibc","declared"
"libnginx-mod-http-dav-ext","libxml2","declared"
"libnginx-mod-http-dav-ext","nginx-abi-1.26.3-1","declared"
"tomlplusplus","gcc-14","declared"
"tomlplusplus","glibc","declared"
"scscp-imcce","gcc-14","declared"
"scscp-imcce","glibc","declared"
"scscp-imcce","libxml2","declared"
"libsocket-linux-perl","perl","declared"
"libsocket-linux-perl","perlapi-5.40.0","declared"
"libgnatcoll-bindings","gcc-14","declared"
"libgnatcoll-bindings","glibc","declared"
"libgnatcoll-bindings","gmp","declared"
"libgnatcoll-bindings","gnat","declared"
"libgnatcoll-bindings","gnat-14","declared"
"libgnatcoll-bindings","gnat-14-ade93c16","declared"
"libgnatcoll-bindings","libgnatcoll","declared"
"libgnatcoll-bindings","libgnatcoll-dev-814b33e1","declared"
"libgnatcoll-bindings","libgnatprj-dev-f0b19c45","declared"
"libgnatcoll-bindings","libxmlada-dom-dev-3ce4a125","declared"
