"package","avg_downloads","2020","2021","2022","2023","2024"
"sentry-sdk",212531450,43410052,104737301,199226753,250248163,465034979
"asgiref",211547243,25736490,66080961,129085436,185706943,651126386
"websockets",210426569,78133477,132474797,176358867,232313193,432852512
"jupyter-client",210240920,97393701,168397398,159658964,251620234,374134301
"simplejson",209171895,214628614,163078035,182570702,223189170,262392952
"appdirs",205798000,158001648,224447405,147828090,189939244,308773614
"pbr",204400003,136825139,157982287,211748487,234394282,281049819
"jupyter-core",204314140,100554221,160638199,140757378,235293795,384327108
"pyodbc",203821435,45110901,129198096,238483155,291672928,314642096
"discord-py",203615689,36920265,254139529,535794175,175254469,15970008
"typing-inspect",201119216,20058114,136720218,192546323,246567308,409704115
"poetry-plugin-export",200214870,0,0,31397803,257722230,711954319
"nbconvert",200177397,98219534,171161471,159415659,229112040,342978283
"bleach",200173986,136135470,204043996,172214015,186244213,302232234
"ipykernel",198016295,96032956,182508464,143684008,195792648,372063399
"cachecontrol",197801424,24000596,66274674,118436101,263085032,517210715
"pycryptodome",196283007,55244055,86642078,158409134,271283082,409836687
"build",195767723,385743,5762632,40840168,238985668,692864402
"lazy-object-proxy",194564127,94149131,140349302,166196498,208309658,363816045
"oscrypto",194141675,43196276,101715227,222028862,285927921,317840090
"fastapi",193969490,6422484,30778108,94313826,227244345,611088686
"fastjsonschema",192858521,1454714,7431095,94705138,216571968,644129692
"pg8000",192330451,9925916,49332203,187209761,320516868,394667506
"tensorboard",190455032,111875730,121374992,182070817,236220372,300733247
"distro",190063448,66087110,103421313,112886881,139005656,528916280
"entrypoints",188423947,149092991,199932849,194234548,181289212,217570136
"futures",188318641,286547851,270630857,171904944,124267736,88241817
"zope-interface",187757540,68187925,122303360,167608495,225877312,354810610
"trove-classifiers",187668146,43957,273208,4258946,229143696,704620924
"matplotlib-inline",187631042,0,100737874,154731575,218797676,463888087
"nbformat",186291575,104577714,174648996,134838912,189022220,328370035
"xlrd",184980116,71681083,121063258,205549894,238033499,288572847
"pickleshare",184139813,123856287,196163230,186808861,221695144,192175542
"redshift-connector",183409992,399434,33863241,174775974,292183687,415827625
"toolz",183203455,37635778,87804851,179524184,234529946,376522515
"requests-aws4auth",181161010,18498452,55322793,154917890,248234255,428831660
"mistune",179866346,99000845,171811145,141278193,185535310,301706236
"tensorflow",179623365,131044821,131905769,187563593,200463503,247139140
"opentelemetry-sdk",179324938,383700,7359970,36316535,108291720,744272766
"mock",179050018,119517985,150885170,130118776,170446697,324281463
"elasticsearch",177680085,55404112,120569436,186575886,180484375,345366618
"astroid",177361251,68750823,122561436,144855949,200032421,350605624
"rapidfuzz",176807014,1581921,4407647,25503148,230663022,621879332
"smart-open",176640295,78454660,162219682,137811984,176072742,328642405
"jsonpointer",176096586,26581075,54190968,117632667,225422892,456655329
"backcall",175256068,90473004,191046847,186495862,220730920,187533709
"notebook",173967409,94628335,162266275,131206363,175240468,306495603
"oauth2client",171930911,84563428,149239389,214778836,186057306,225015598
"grpc-google-iam-v1",170637320,36577681,53745708,141064698,190063900,431734611
"starlette",170627136,7588860,37563390,106979683,207265359,493738389
"pylint",170475043,67097986,118092955,138409962,195509411,333264899
"mypy",170326416,48151206,80957754,145991546,194369012,382162562
"discord",169487997,23290387,195325654,469375170,152722506,6726267
"pytest-runner",168590896,106285158,114243921,101237600,168113912,353073891
"sagemaker",167972851,3527930,13615388,102376202,378898552,341446182
"kubernetes",167881289,36834933,61267886,126138062,185794729,429370837
"jsonpath-ng",166867917,4037361,18049411,156217751,254114817,401920243
"pendulum",163407385,27584777,57009931,100131925,155427801,476882491
"google-cloud-pubsub",163203920,30951778,59222531,180787114,224104306,320953869
"poetry",162673461,12403905,34575083,91688990,205705814,468993512
"uvicorn",161047463,7956059,33531753,101832643,207852068,454064793
"psycopg2",158027028,86762022,136908175,192668369,176807032,196989540
"pyproject-hooks",157663413,0,366,59052,152778827,635478820
"imageio",156762609,27108227,106120983,156671698,197978861,295933276
"aioitertools",156350896,12087585,56531098,151062275,205267260,356806260
"databricks-cli",155856141,42141564,137543417,189711446,218905182,190979098
"opentelemetry-api",155149822,393198,7573209,35802072,124821968,607158664
"debugpy",155124602,1732172,86530663,122725036,176065501,388569638
"h5py",154402713,84583489,119575969,149479354,170714658,247660093
"python-json-logger",152317707,20677071,40867756,81228277,211798407,407017026
"send2trash",151181155,92260826,158366238,120625781,135689933,248962998
"bs4",150120150,45225960,77590971,109437436,166965217,351381168
"msrestazure",150042485,61230966,135891517,170453560,174964762,207671619
"cleo",149120671,11851972,33603699,87795979,175806059,436545646
