"rank","package","pagerank","pagerank_dl","avg_downloads","in_top_list"
"7760","pipfile","6.297687158404585e-05","3.0498828375786846e-06","1713488","True"
"7761","mypy-boto3-payment-cryptography-data","6.297687158404585e-05","3.04882912104268e-06","1712896","True"
"7762","mypy-boto3-arc-zonal-shift","6.297687158404585e-05","3.0477860840661607e-06","1712310","True"
"7763","xenon","6.297687158404585e-05","3.0465970931099924e-06","1711642","True"
"7764","mypy-boto3-lexv2-models","6.297687158404585e-05","3.0465401354593976e-06","1711610","True"
"7765","mypy-boto3-controltower","6.297687158404585e-05","3.0449026030047947e-06","1710690","True"
"7766","mypy-boto3-iotfleetwise","6.297687158404585e-05","3.0445412779088337e-06","1710487","True"
"7767","graphene-file-upload","6.297687158404585e-05","3.0439859408155337e-06","1710175","True"
"7768","mypy-boto3-ssm-incidents","6.297687158404585e-05","3.042565559403824e-06","1709377","True"
"7769","jpholiday","6.297687158404585e-05","3.042371547406485e-06","1709268","True"
"7770","pyunpack","6.297687158404585e-05","3.0418891873030094e-06","1708997","True"
"7771","od","6.297687158404585e-05","3.0414406458045747e-06","1708745","True"
"7772","posix-ipc","6.297687158404585e-05","3.0409600656276807e-06","1708475","True"
"7773","llama-index-llms-azure-openai","6.297687158404585e-05","3.0409031079770855e-06","1708443","True"
"7774","mypy-boto3-sagemaker-metrics","6.297687158404585e-05","3.03999534542073e-06","1707933","True"
"7775","cloup","6.297687158404585e-05","3.0385464851837225e-06","1707119","True"
"7776","mypy-boto3-opensearchserverless","6.297687158404585e-05","3.0378060357259885e-06","1706703","True"
"7777","mypy-boto3-fis","6.297687158404585e-05","3.0376956802779616e-06","1706641","True"
"7778","opentelemetry-instrumentation-mcp","6.297687158404585e-05","3.03766008174634e-06","1706621","True"
"7779","sparkorm","6.297687158404585e-05","3.0373005365769594e-06","1706419","True"
"7780","mypy-boto3-finspace-data","6.297687158404585e-05","3.0368199564000658e-06","1706149","True"
"7781","mypy-boto3-chime-sdk-meetings","6.297687158404585e-05","3.0361987620232644e-06","1705800","True"
"7782","async-exit-stack","6.297687158404585e-05","3.0358961745044796e-06","1705630","True"
