"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"secretstorage","mitya57/secretstorage","476581580","126428409","215211045","268427880","633804109","1139036456","True","0.00077717","C"
"ipython","ipython/ipython","450997971","241174546","220562418","311078828","571356698","910817363","True","0.00076094","C"
"alembic","sqlalchemy/alembic","496765671","181895395","244535643","329203499","646196166","1081997652","True","0.00076093","C"
"docker","docker/docker-py","508872160","311741977","348526160","391804782","577001456","915286425","True","0.00075994","C"
"ruamel-yaml","","502369704","144008809","204560886","354416094","703628208","1105234522","True","0.00075845","C"
"redis","redis/redis-py","479573433","191942168","299881793","354585589","550104641","1001352974","True","0.00075352","C"
"fonttools","fonttools/fonttools","447022854","22813967","171554216","319917937","612970893","1107857259","True","0.00075176","C"
"jaraco-classes","","444758626","3461873","78764173","315653074","665386187","1160527823","True","0.00074531","C"
"prometheus-client","prometheus/client_python","419785633","272997286","232810665","259832612","464922301","868365301","True","0.00073574","C"
"termcolor","termcolor/termcolor","410922629","132105412","267081105","333850382","572650749","748925498","True","0.00073483","C"
"fastjsonschema","horejsek/python-fastjsonschema","420266374","7400985","93682299","214443130","638280427","1147525029","True","0.00073295","C"
"apache-airflow","","166298325","29439748","98982077","165495885","324746461","212827456","True","0.0007292","C"
"orjson","ijl/orjson","289574091","16652834","56139835","145611561","381592642","847873585","True","0.00072729","C"
"fastapi","fastapi/fastapi","494225593","30663899","93995351","225695499","601866147","1518907070","True","0.00072718","C"
"pyproject-hooks","pypa/pyproject-hooks","388819353","89","57098","152668962","631859726","1159510892","True","0.00072254","C"
"jupyter-server","jupyter-server/jupyter_server","206961464","17743769","48847657","189436807","327613722","451165365","True","0.00072109","C"
"uvicorn","kludex/uvicorn","460062139","33467719","101583024","206360308","445773260","1513126385","True","0.00072035","C"
"typer","fastapi/typer","309004382","28288908","85055627","143591160","390188040","897898174","True","0.00071669","C"
"build","pypa/build","422144600","5720561","40796594","237807728","687971213","1138426904","True","0.00070803","C"
