"package","github_repo"
"pcre","PCRE2Project/pcre2"
"pcre2","PCRE2Project/pcre2"
"perl:berkeleydb","pmqs/BerkeleyDB"
"perl:unicode-linebreak","hatukanezumi/Unicode-LineBreak"
"pipenv","pypa/pipenv"
"pkcs11-helper","OpenSC/pkcs11-helper"
"pkgconf","pkgconf/pkgconf"
"pmix","pmix/pmix"
"polkit","polkit-org/polkit"
"popt","rpm-software-management/popt"
"portmidi","PortMidi/portmidi"
"powertop","fenrus75/powertop"
"procmail","BuGlessRB/procmail"
"proj","OSGeo/PROJ"
"protobuf","google/protobuf"
"protobuf-c","protobuf-c/protobuf-c"
"pstoedit","woglu/pstoedit"
"psutils-postscript-rrthomas","rrthomas/psutils"
"pthreadpool","Maratyszcza/pthreadpool"
"pugixml","zeux/pugixml"
"pwgen","tytso/pwgen"
"pycparser","eliben/pycparser"
"pydantic","pydantic/pydantic"
"pyenv","pyenv/pyenv"
"pyenv-virtualenv","pyenv/pyenv-virtualenv"
"python:magic-misnamed","ahupp/python-magic"
"python:pybind11","pybind/pybind11"
"python:pycairo","pygobject/pycairo"
"python:pycups","OpenPrinting/pycups"
"qpdf","qpdf/qpdf"
"qr-code-generator","nayuki/QR-Code-generator"
"qrencode","fukuchi/libqrencode"
"qtkeychain","frankosterfeld/qtkeychain"
"rabbitmq-c","alanxz/rabbitmq-c"
"rav1e","xiph/rav1e"
"rbenv","rbenv/rbenv"
"rdma-core","linux-rdma/rdma-core"
"re2","google/re2"
"recode","rrthomas/recode"
"rocm-compilersupport","ROCm/ROCm-CompilerSupport"
"rocm-hipamd","ROCm/clr"
"rocr-runtime","ROCm/ROCR-Runtime"
"roct-thunk-interface","ROCm/ROCT-Thunk-Interface"
"rpcsvc-proto","thkukuk/rpcsvc-proto"
"rpm","rpm-software-management/rpm"
"rtkit","heftig/rtkit"
"ruby-build","rbenv/ruby-build"
"scim","scim-im/scim"
"scrcpy","Genymobile/scrcpy"
"screenresolution","jhford/screenresolution"
"sdl12-compat","libsdl-org/sdl12-compat"
"sdl2","libsdl-org/SDL"
"sdl2-ttf","libsdl-org/SDL_ttf"
"sdl3","libsdl-org/SDL"
"sdl3-ttf","libsdl-org/SDL_ttf"
"shaderc","google/shaderc"
"shadow","shadow-maint/shadow"
"shine","savonet/shine"
"simdjson","simdjson/simdjson"
"simdutf","simdutf/simdutf"
"snapd-glib","snapcore/snapd-glib"
"snappy-compression","google/snappy"
"socket++","malaterre/socketxx-1"
"sombok","hatukanezumi/sombok"
"sonic-speech-rate-library","waywardgeek/sonic"
"sourcekitten","jpsim/SourceKitten"
"spirv-headers","KhronosGroup/SPIRV-Headers"
"spirv-llvm-translator","KhronosGroup/SPIRV-LLVM-Translator"
"spirv-tools","KhronosGroup/SPIRV-Tools"
"squashfs-tools","plougher/squashfs-tools"
