"package","github_repo","git","eco_guess","llm_guess","debian_avg_downloads","homebrew_avg_downloads","downloads_score","pagerank","value_class","license"
"libimagequant","ImageOptim/libimagequant","https://github.com/imageoptim/libimagequant.git","","","71649","90806","190398","0.00018850","D","gpl-3.0-or-later and hpnd"
"gsettings-desktop-schemas","","https://salsa.debian.org/gnome-team/gsettings-desktop-schemas.git","git","","0","158379","158379","0.00018646","D","lgpl-2.1-or-later"
"libxss","","https://salsa.debian.org/xorg-team/lib/libxss.git","git","","130917","0","181974","0.00018515","D",""
"libcanberra","","https://salsa.debian.org/gnome-team/libcanberra.git","git","","110512","0","153611","0.00018135","D",""
"nftables","","https://salsa.debian.org/pkg-netfilter-team/pkg-nftables.git","git","","137467","0","191079","0.00018098","D",""
"telnet-apple","apple-oss-distributions/remote_cmds","https://github.com/apple-oss-distributions/remote_cmds.git","","","0","239214","239214","0.00018026","D",""
"libvdpau","","https://salsa.debian.org/nvidia-team/libvdpau.git","git","","126526","0","175871","0.00017993","D",""
"xcb-util","","https://salsa.debian.org/xorg-team/lib/xcb-util.git","git","","87499","6058","127681","0.00017826","D","mit"
"pcsc-lite","","https://salsa.debian.org/debian/pcsc-lite.git","git","","141750","0","197032","0.00017726","D",""
"libxshmfence","","https://gitlab.freedesktop.org/xorg/lib/libxshmfence.git","","","144428","0","200754","0.00017702","D",""
"rsyslog","","https://salsa.debian.org/debian/rsyslog.git","git","","168750","0","234562","0.00017675","D",""
"7zip","","https://salsa.debian.org/debian/7zip.git","git","","0","36490","36490","0.00017577","D",""
"nginx","nginx/nginx","https://github.com/nginx/nginx.git","","","22295","199519","230509","0.00017555","D","bsd-2-clause"
"onetbb","uxlfoundation/oneTBB","https://github.com/uxlfoundation/onetbb.git","","","15996","185349","207583","0.00017524","D",""
"libaio","","https://pagure.io/libaio","","","101275","0","140772","0.00017387","D",""
"libverto","latchset/libverto","https://github.com/latchset/libverto.git","","","751","0","1043","0.00017373","D",""
"libsecret","","https://salsa.debian.org/gnome-team/libsecret.git","git","","120608","23123","190768","0.00017347","D","lgpl-2.1-or-later and gpl-2.0-or-later and apache-2.0"
"subversion","","https://salsa.debian.org/jamessan/subversion.git","git","","22235","113830","144736","0.00017347","D","apache-2.0"
"debian:libsepol1","","","","","164031","0","228003","0.00017181","D",""
"gts-triangulated-surface","","","","","46020","143973","207940","0.00016962","D",""
"p7zip","p7zip-project/p7zip","https://github.com/p7zip-project/p7zip.git","","","99089","85932","223665","0.00016854","D","lgpl-2.1-or-later and gpl-2.0-or-later"
"sord","","https://salsa.debian.org/multimedia-team/sord.git","git","","116280","0","161629","0.00016788","D",""
"ijs","","https://salsa.debian.org/printing-team/ijs.git","git","","137845","0","191604","0.00016784","D",""
"htop","htop-dev/htop","https://github.com/htop-dev/htop.git","","","0","220868","220868","0.00016643","D","gpl-2.0-or-later"
"libva","intel/libva","https://github.com/intel/libva.git","","","116444","0","161857","0.00016562","D",""
"liblognorm","","https://salsa.debian.org/debian/liblognorm.git","git","","153054","0","212745","0.00016532","D",""
"libevdev","","https://salsa.debian.org/debian/libevdev.git","git","","114790","0","159558","0.00016508","D",""
"yajl","lloyd/yajl","https://github.com/lloyd/yajl.git","","","117782","22420","186136","0.00016487","D","isc"
"libslirp","","https://gitlab.freedesktop.org/slirp/libslirp.git","","","37654","153871","206210","0.00016467","D","bsd-3-clause"
"ocl-icd","OCL-dev/ocl-icd","https://github.com/ocl-dev/ocl-icd.git","","","104256","0","144915","0.00016453","D",""
"libcdio","","https://salsa.debian.org/debian/libcdio.git","git","","75723","0","105254","0.00016430","D",""
"libfontenc","","https://salsa.debian.org/xorg-team/lib/libfontenc.git","git","","139671","5838","199980","0.00016409","D","mit"
"colord","","https://salsa.debian.org/debian/colord.git","git","","132668","0","184408","0.00016291","D",""
"libaec","","https://gitlab.dkrz.de/k202009/libaec.git","","","30606","126655","169197","0.00016220","D","bsd-2-clause"
"xcb-util-keysyms","","https://salsa.debian.org/xorg-team/lib/xcb-util-keysyms.git","git","","105286","5337","151684","0.00016219","D","x11"
"pipx","","","","","0","211504","211504","0.00015938","D","mit"
"debian:libldap-2.4-2","","","","","151473","0","210547","0.00015865","D",""
"libnotify","","https://salsa.debian.org/gnome-team/libnotify.git","git","","115579","0","160654","0.00015800","D",""
"raptor-rdf","","","","","105862","0","147148","0.00015794","D",""
"docker-completion","docker/cli","https://github.com/docker/cli.git","","","0","206721","206721","0.00015577","D","apache-2.0"
"dnsmasq","","https://thekelleys.org.uk/dnsmasq.git","","","112099","50801","206618","0.00015569","D","gpl-2.0-only or gpl-3.0-only"
"debian:libssl1.1","","","","","148298","0","206134","0.00015533","D",""
"kwidgetsaddons","","https://invent.kde.org/frameworks/kwidgetsaddons","","","42490","0","59061","0.00015517","D",""
"libshout","","https://salsa.debian.org/multimedia-team/libshout.git","git","","117465","31502","194778","0.00015481","D","lgpl-2.0-or-later"
"docutils","","","","","0","204737","204737","0.00015428","D","licenseref-homebrew-public-domain and bsd-2-clause and gpl-3.0-or-later and python-2.0"
"zsh","","https://salsa.debian.org/debian/zsh.git","git","","16762","180487","203786","0.00015356","D","mit-modern-variant and gpl-2.0-only and gpl-2.0-or-later and isc"
"flite","","https://salsa.debian.org/a11y-team/flite.git","git","","121868","0","169396","0.00015315","D",""
"speexdsp","","https://salsa.debian.org/multimedia-team/speexdsp.git","git","","107619","20193","169783","0.00015302","D","bsd-3-clause"
"gsm","","","","","131671","0","183022","0.00015187","D",""
"gnu-bc","","","","","131418","0","182671","0.00015131","D",""
"djvulibre","","https://salsa.debian.org/debian/djvulibre.git","git","","121821","0","169331","0.00015069","D",""
"norm","","https://salsa.debian.org/debian/norm.git","git","","99833","0","138767","0.00014986","D",""
"openal-soft","kcat/openal-soft","https://github.com/kcat/openal-soft.git","","","117067","0","162723","0.00014929","D",""
"faad2","knik0/faad2","https://github.com/knik0/faad2.git","","","110797","34580","188587","0.00014910","D","gpl-2.0-or-later"
"twolame","","https://salsa.debian.org/multimedia-team/twolame.git","git","","126599","0","175972","0.00014902","D",""
"liblinear","","https://salsa.debian.org/science-team/liblinear.git","git","","28599","144025","183777","0.00014888","D","bsd-3-clause"
"libmng","","","","","69020","89572","185509","0.00014883","D","zlib"
"libcaca","","https://salsa.debian.org/multimedia-team/libcaca.git","git","","127564","0","177313","0.00014850","D",""
"vte","","https://salsa.debian.org/gnome-team/vte.git","git","","105568","33290","180029","0.00014817","D",""
"pmix","pmix/pmix","https://github.com/pmix/pmix.git","","","11823","156405","172838","0.00014797","D","bsd-3-clause"
"libplist","libimobiledevice/libplist","https://github.com/libimobiledevice/libplist.git","","","14427","39268","59321","0.00014777","D","lgpl-2.1-or-later"
"libasyncns","","https://git.ortolo.eu/pkg-libasyncns.git","git","","134152","0","186471","0.00014760","D",""
"wavpack","dbry/wavpack","https://github.com/dbry/wavpack.git","","","129112","9771","189236","0.00014747","D","bsd-3-clause"
"luv","luvit/luv","https://github.com/luvit/luv.git","","","0","153045","153045","0.00014738","D","apache-2.0"
"game-music-emu","libgme/game-music-emu","https://github.com/libgme/game-music-emu.git","","","124181","5862","178473","0.00014691","D","lgpl-2.1-or-later and gpl-2.0-or-later"
"debian:libidn11","","","","","139989","0","194584","0.00014663","D",""
"libdaemon","","https://salsa.debian.org/utopia-team/libdaemon.git","git","","124417","0","172939","0.00014661","D",""
"xapian-core","","https://salsa.debian.org/olly/xapian-core.git","git","","128962","0","179257","0.00014626","D",""
"simdjson","lemire/simdjson","https://github.com/lemire/simdjson.git","","","27","93378","93415","0.00014603","D","apache-2.0"
"gawk","","","","","84634","75556","193197","0.00014558","D","gpl-3.0-or-later"
"libwpd","","","","","101586","0","141204","0.00014536","D",""
"jsoncpp","open-source-parsers/jsoncpp","https://github.com/open-source-parsers/jsoncpp.git","","","5612","87412","95212","0.00014523","D","mit"
"libiec61883","","https://salsa.debian.org/debian/libiec61883.git","git","","123024","0","171003","0.00014504","D",""
"ccache","ccache/ccache","https://github.com/ccache/ccache.git","","","4200","185909","191747","0.00014449","D","gpl-3.0-or-later"
"libavc1394","","https://salsa.debian.org/multimedia-team/libavc1394.git","git","","123478","0","171634","0.00014404","D",""
"duktape","svaarala/duktape","https://github.com/svaarala/duktape.git","","","74478","2971","106495","0.00014378","D","mit"
"libxxf86dga","","https://salsa.debian.org/xorg-team/lib/libxxf86dga.git","git","","131425","0","182680","0.00014372","D",""
"tidy","htacg/tidy-html5","https://github.com/htacg/tidy-html5.git","","","780","155182","156266","0.00014359","D",""
"gcr","","https://salsa.debian.org/gnome-team/gcr.git","git","","104803","0","145676","0.00014336","D",""
"docbook","docbook/docbook","https://github.com/docbook/docbook.git","","","0","81968","81968","0.00014314","D","licenseref-homebrew-cannot-represent"
"simdutf","simdutf/simdutf","https://github.com/simdutf/simdutf.git","","","0","8524","8524","0.00014287","D","apache-2.0 or mit"
"ntfs-3g","tuxera/ntfs-3g","https://github.com/tuxera/ntfs-3g.git","","","117515","0","163345","0.00014265","D",""
"libdvdread","","https://salsa.debian.org/multimedia-team/libdvdread.git","git","","72197","1723","102076","0.00014237","D","gpl-2.0-or-later"
"shine","savonet/shine","https://github.com/savonet/shine.git","","","124015","0","172380","0.00014170","D",""
"debian:libapt-pkg6.0","","","","","134866","0","187463","0.00014126","D",""
"zip","kuba--/zip","https://github.com/kuba--/zip.git","","","90071","61097","186295","0.00014110","D","info-zip"
"libopenmpt","","https://salsa.debian.org/multimedia-team/libopenmpt.git","git","","106230","0","147659","0.00014027","D",""
"lksctp-tools","sctp/lksctp-tools","https://github.com/sctp/lksctp-tools.git","","","20826","0","28948","0.00014004","D",""
"musepack","","","","","109731","24244","176770","0.00013990","D","bsd-3-clause and lgpl-2.1-or-later and gpl-2.0-or-later and zlib"
"chromaprint","","https://salsa.debian.org/multimedia-team/chromaprint.git","git","","121115","0","168349","0.00013989","D",""
"libutempter","","https://git.altlinux.org/people/ldv/packages/?p=libutempter.git","","","127085","0","176648","0.00013923","D",""
"bluez","bluez/bluez","https://github.com/bluez/bluez.git","","","113668","0","157998","0.00013873","D",""
"sratom","","https://salsa.debian.org/multimedia-team/sratom.git","git","","116278","0","161626","0.00013843","D",""
"xcb-util-renderutil","","https://salsa.debian.org/xorg-team/lib/xcb-util-renderutil.git","git","","105308","5458","151836","0.00013839","D","x11 and hpnd-sell-variant"
"debian:x11-utils","","","","","131056","0","182167","0.00013829","D",""
"xcb-util-image","","https://salsa.debian.org/xorg-team/lib/xcb-util-image.git","git","","104635","5620","151062","0.00013781","D","x11"
"libbs2b","","https://salsa.debian.org/debian/libbs2b.git","git","","118950","0","165340","0.00013764","D",""
"assimp","assimp/assimp","https://github.com/assimp/assimp.git","","","2928","166746","170815","0.00013758","D","bsd-3-clause and cc-pddc and mit and bsl-1.0 and unlicense and zlib"
"sndio","","","","","102183","0","142034","0.00013726","D",""
"parted","","https://salsa.debian.org/parted-team/parted.git","git","","130199","0","180976","0.00013693","D",""
"lilv","","https://salsa.debian.org/multimedia-team/lilv.git","git","","116278","0","161626","0.00013682","D",""
"libsigsegv","","https://salsa.debian.org/common-lisp-team/libsigsegv.git","git","","105208","6669","152908","0.00013633","D","gpl-2.0-or-later"
"perl:file-fcntllock","","","","","128117","0","178082","0.00013622","D",""
"wxwidgets","wxWidgets/wxWidgets","https://github.com/wxwidgets/wxwidgets.git","","","11402","117507","133355","0.00013562","D","lgpl-2.0-or-later with wxwindows-exception-3.1"
"liblangtag","","https://bitbucket.org/tagoh/liblangtag.git","git","","101519","0","141111","0.00013529","D",""
"libxfce4util","","https://salsa.debian.org/xfce-team/desktop/libxfce4util.git","git","","35951","0","49971","0.00013515","D",""
"md4c","mity/md4c","https://github.com/mity/md4c.git","","","62393","80766","167492","0.00013508","D","mit"
"x11-xserver-utils","","https://salsa.debian.org/xorg-team/app/x11-xserver-utils.git","git","","121302","0","168609","0.00013505","D",""
"mysql-defaults","","https://salsa.debian.org/mariadb-team/mysql.git","git","","128510","0","178628","0.00013460","D",""
"libnice","","https://salsa.debian.org/telepathy-team/libnice.git","git","","102137","25706","167676","0.00013393","D","lgpl-2.1-only or mpl-1.1"
"emacs","","https://salsa.debian.org/rlb/deb-emacs.git","git","","0","153100","153100","0.00013353","D","gpl-3.0-or-later"
"xmlsec","lsh123/xmlsec","https://github.com/lsh123/xmlsec.git","","","96838","38223","172827","0.00013349","D",""
"libdvdnav","","https://salsa.debian.org/multimedia-team/libdvdnav.git","git","","113569","1189","159049","0.00013306","D","gpl-2.0-or-later"
"gstreamer:good","","","","","114161","0","158683","0.00013296","D",""
"snowballstemmer","","","","","117041","0","162686","0.00013277","D",""
"mhash","","https://salsa.debian.org/debian/mhash.git","git","","105718","0","146948","0.00013266","D",""
"libdnet","ofalk/libdnet","https://github.com/ofalk/libdnet.git","","","9927","0","13798","0.00013249","D",""
"cdparanoia","","https://salsa.debian.org/optical-media-team/cdparanoia.git","git","","120123","0","166970","0.00013248","D",""
"sane-backends","","https://git.jff.email/cgit/sane-backends.git","git","","113178","18368","175685","0.00013239","D","gpl-2.0-or-later"
"libvisual","","https://salsa.debian.org/debian/libvisual.git","git","","119911","0","166676","0.00013192","D",""
"startup-notification","","https://salsa.debian.org/gnome-team/startup-notification.git","git","","108281","0","150510","0.00013167","D",""
"libwacom","","https://salsa.debian.org/debian/libwacom.git","git","","113724","0","158076","0.00013154","D",""
"libgusb","hughsie/libgusb","https://github.com/hughsie/libgusb.git","","","110744","0","153934","0.00013141","D",""
"libgphoto2","gphoto/libgphoto2","https://github.com/gphoto/libgphoto2.git","","","100386","14679","154215","0.00013050","D","lgpl-2.1-or-later"
"x11-xkb-utils","","https://salsa.debian.org/xorg-team/app/x11-xkb-utils.git","git","","114657","0","159373","0.00013036","D",""
"dbus-glib","","https://salsa.debian.org/debian/dbus-glib.git","git","","104460","0","145199","0.00013018","D",""
"mint-swift-package-manager","yonaskolb/Mint","https://github.com/yonaskolb/mint.git","","","0","172762","172762","0.00013018","D",""
"xcb-util-wm","","https://salsa.debian.org/xorg-team/lib/xcb-util-wm.git","git","","104362","5789","150852","0.00012975","D","x11"
"openpgm","steve-o/openpgm","https://github.com/steve-o/openpgm.git","","","80489","0","111879","0.00012960","D",""
"zvbi","zapping-vbi/zvbi","https://github.com/zapping-vbi/zvbi.git","","","111274","0","154670","0.00012958","D",""
"dosfstools","dosfstools/dosfstools","https://github.com/dosfstools/dosfstools.git","","","123635","0","171852","0.00012950","D",""
"libinput","","https://salsa.debian.org/xorg-team/lib/libinput.git","git","","111504","0","154990","0.00012940","D",""
"libmbim","","https://salsa.debian.org/debianonmobile-team/libmbim.git","git","","108481","0","150788","0.00012936","D",""
"libaacs","","https://salsa.debian.org/multimedia-team/libaacs.git","git","","122893","0","170821","0.00012872","D",""
"pugixml","zeux/pugixml","https://github.com/zeux/pugixml.git","","","18821","93632","119793","0.00012822","D","mit"
"libreoffice","","https://git.libreoffice.org/core","","","102175","0","142023","0.00012795","D",""
"aalib","","https://salsa.debian.org/debian/aalib.git","git","","117391","0","163173","0.00012776","D",""
"modemmanager","","https://salsa.debian.org/debianonmobile-team/modemmanager.git","git","","110565","0","153685","0.00012756","D",""
"python:virtualenv","","","","","0","169081","169081","0.00012741","D",""
"proj","OSGeo/PROJ","https://github.com/osgeo/proj.git","","","26976","102834","140330","0.00012733","D","mit"
"packagekit","","https://salsa.debian.org/pkgutopia-team/packagekit.git","git","","121167","0","168422","0.00012691","D",""
"networkmanager","","https://gitlab.freedesktop.org/networkmanager/networkmanager.git","","","105537","0","146696","0.00012662","D",""
"libdv","","https://salsa.debian.org/debian/libdv.git","git","","102142","0","141977","0.00012608","D",""
"libxfont2","","https://gitlab.freedesktop.org/xorg/lib/libxfont.git","git","","109220","5693","157508","0.00012590","D","mit"
"upower","","https://salsa.debian.org/utopia-team/upower.git","git","","106429","0","147936","0.00012574","D",""
"sbc","","https://salsa.debian.org/bluetooth-team/sbc.git","git","","107970","0","150078","0.00012559","D",""
"libgsf","","https://gitlab.gnome.org/gnome/libgsf.git","","","68111","25183","119857","0.00012541","D","lgpl-2.1-only"
"udisks","","","","","111793","0","155392","0.00012480","D",""
"mtdev","","https://salsa.debian.org/debian/mtdev.git","git","","100944","0","140312","0.00012475","D",""
"portaudio","","","","","36672","62688","113662","0.00012474","D","mit"
"vo-amrwbenc","","http://opencore-amr.git.sourceforge.net/","","","106826","0","148488","0.00012431","D",""
"capstone","capstone-engine/capstone","https://github.com/capstone-engine/capstone.git","","","2940","148490","152576","0.00012426","D","bsd-3-clause"
"libmysofa","hoene/libmysofa","https://github.com/hoene/libmysofa.git","","","92918","0","129156","0.00012395","D",""
"cracklib","cracklib/cracklib","https://github.com/cracklib/cracklib.git","","","82104","0","114124","0.00012353","D",""
"video4linux","","","","","105406","0","146514","0.00012343","D",""
"libvdpau-va-gl","i-rinat/libvdpau-va-gl","https://github.com/i-rinat/libvdpau-va-gl.git","","","117756","0","163680","0.00012334","D",""
"vo-aacenc","","http://opencore-amr.git.sourceforge.net/","","","105631","0","146827","0.00012306","D",""
"grpc","grpc/grpc","https://github.com/grpc/grpc.git","","","2043","154288","157127","0.00012295","D","apache-2.0"
"hicolor-icon-theme","","https://salsa.debian.org/gnome-team/hicolor-icon-theme.git","git","","0","84232","84232","0.00012272","D","gpl-2.0-only"
"wpa-supplicant","","","","","117033","0","162675","0.00012258","D",""
"gstreamer:bad","","","","","105664","0","146872","0.00012254","D",""
"a52dec","","https://salsa.debian.org/multimedia-team/a52dec.git","git","","109519","0","152231","0.00012244","D",""
"libmpeg2","ittiam-systems/libmpeg2","https://github.com/ittiam-systems/libmpeg2.git","","","109086","0","151629","0.00012198","D",""
"libxfce4ui","","https://salsa.debian.org/xfce-team/desktop/libxfce4ui.git","git","","33834","0","47029","0.00012145","D",""
"debian:libgcc1","","","","","101971","0","141739","0.00012056","D",""
"libatasmart","","https://salsa.debian.org/utopia-team/libatasmart.git","git","","114482","0","159129","0.00012047","D",""
"fakeroot","","https://salsa.debian.org/clint/fakeroot.git","git","","114720","0","159460","0.00012016","D",""
"cups-filters","openprinting/cups-filters","https://github.com/openprinting/cups-filters.git","","","101231","0","140711","0.00011969","D",""
"libspectre","","https://gitlab.freedesktop.org/libspectre/libspectre.git","","","107808","0","149853","0.00011958","D",""
"libbdplus","","https://salsa.debian.org/multimedia-team/libbdplus.git","git","","114143","0","158658","0.00011955","D",""
"debian:libsoup2.4-1","","","","","113996","0","158454","0.00011940","D",""
"meson","mesonbuild/meson","https://github.com/mesonbuild/meson.git","","","0","157988","157988","0.00011905","D","apache-2.0"
"usb-modeswitch","","https://salsa.debian.org/debian/usb-modeswitch.git","git","","113546","0","157828","0.00011893","D",""
"libxres","","https://salsa.debian.org/xorg-team/lib/libxres.git","git","","105077","0","146057","0.00011881","D",""
"enchant","rrthomas/enchant","https://github.com/rrthomas/enchant.git","","","78344","27758","136656","0.00011855","D","lgpl-2.1-or-later"
"hyphen","hunspell/hyphen","https://github.com/hunspell/hyphen.git","","","110311","0","153332","0.00011757","D",""
"libxvmc","","https://salsa.debian.org/xorg-team/lib/libxvmc.git","git","","107634","0","149611","0.00011744","D",""
"speech-dispatcher","","https://salsa.debian.org/tts-team/speech-dispatcher.git","git","","100476","0","139661","0.00011738","D",""
"openvino","openvinotoolkit/openvino","https://github.com/openvinotoolkit/openvino.git","","","0","152146","152146","0.00011660","D","apache-2.0"
"ibus","ibus/ibus","https://github.com/ibus/ibus.git","","","80652","0","112106","0.00011660","D",""
"debian:libsmbclient","","","","","111237","0","154619","0.00011651","D",""
"libdca","","https://salsa.debian.org/multimedia-team/libdca.git","git","","109850","0","152691","0.00011646","D",""
"sonic-speech-rate-library","waywardgeek/sonic","https://github.com/waywardgeek/sonic.git","","","97366","0","135338","0.00011627","D",""
"libyuv","","https://salsa.debian.org/debian/libyuv.git","git","","64975","0","90315","0.00011550","D",""
"libdbusmenu","","https://salsa.debian.org/debian-ayatana-team/libdbusmenu.git","git","","93738","0","130295","0.00011547","D",""
"ppp","","https://salsa.debian.org/debian/ppp.git","git","","110228","0","153216","0.00011545","D",""
"gstreamer:libav","","","","","109191","0","151775","0.00011544","D",""
"libgav1","","https://salsa.debian.org/multimedia-team/libgav1.git","git","","64879","0","90181","0.00011540","D",""
"rabbitmq-c","alanxz/rabbitmq-c","https://github.com/alanxz/rabbitmq-c.git","","","97039","0","134884","0.00011514","D",""
"texlive","","","","","95765","15439","148552","0.00011512","D","licenseref-homebrew-cannot-represent"
"libteam","","https://salsa.debian.org/debian/libteam.git","git","","104369","0","145072","0.00011499","D",""
"gptfdisk","","","","","109783","0","152598","0.00011499","D",""
"libndp","","https://salsa.debian.org/debian/libndp.git","git","","104346","0","145040","0.00011496","D",""
"anacron","","https://salsa.debian.org/debian/anacron.git","git","","109570","0","152302","0.00011477","D",""
"libmodplug","","https://salsa.debian.org/mod-player-team/libmodplug.git","git","","107861","0","149926","0.00011465","D",""
"iw","","https://salsa.debian.org/kernel-team/iw.git","git","","109226","0","151824","0.00011440","D",""
"libwnck","","https://gitlab.gnome.org/gnome/libwnck.git","","","101117","0","140552","0.00011437","D",""
"perl:algorithm-diff-xs","","","","","108476","0","150781","0.00011362","D",""
"xdrv:fbdev","","","","","108320","0","150564","0.00011346","D",""
"gdal","OSGeo/gdal","https://github.com/osgeo/gdal.git","","","7047","136224","146019","0.00011313","D","mit"
"xdrv:vesa","","","","","107979","0","150090","0.00011310","D",""
"xdrv:ati","","","","","107786","0","149822","0.00011290","D",""
"re2","google/re2","https://github.com/google/re2.git","","","13865","107577","126849","0.00011288","D","bsd-3-clause"
"gspell","","https://gitlab.gnome.org/gnome/gspell.git","","","80084","25298","136614","0.00011237","D","lgpl-2.1-or-later"
"xdrv:wacom","","","","","106981","0","148703","0.00011205","D",""
"alsa-utils","","https://salsa.debian.org/alsa-team/alsa-utils.git","git","","106942","0","148649","0.00011201","D",""
"pcaudiolib","espeak-ng/pcaudiolib","https://github.com/espeak-ng/pcaudiolib.git","","","93229","0","129588","0.00011194","D",""
"xdrv:vmware","","","","","106843","0","148511","0.00011191","D",""
"libmtp","","https://salsa.debian.org/debian/libmtp.git","git","","101151","0","140599","0.00011186","D",""
"msgpack","msgpack/msgpack-c","https://github.com/msgpack/msgpack-c.git","","","0","142961","142961","0.00011185","D","bsl-1.0"
"nas","","https://salsa.debian.org/debian/nas.git","git","","106565","0","148125","0.00011180","D",""
"libexttextcat","","","","","105645","0","146846","0.00011176","D",""
"libao","","http://git.debian.org/?p=users/ron/libao.git","git","","104010","0","144573","0.00011168","D",""
"libwmf","","https://salsa.debian.org/yangfl-guest/libwmf.git","git","","87952","0","122253","0.00011142","D",""
"libsidplay1","","","","","99069","0","137705","0.00011131","D",""
"debian:x11-apps","","","","","106204","0","147623","0.00011124","D",""
"zbar","mchehab/zbar","https://github.com/mchehab/zbar.git","","","92213","17439","145615","0.00011095","D","lgpl-2.1-only"
"libqmi","","https://salsa.debian.org/debianonmobile-team/libqmi.git","git","","105926","0","147237","0.00011095","D",""
"mythes","","","","","102304","0","142202","0.00011062","D",""
"rtkit","heftig/rtkit","https://github.com/heftig/rtkit.git","","","105597","0","146779","0.00011060","D",""
"xdrv:intel","","","","","105565","0","146735","0.00011057","D",""
"woff2","google/woff2","https://github.com/google/woff2.git","","","99629","6911","145395","0.00011051","D","mit"
"libieee1284","","","","","100055","0","139076","0.00011043","D",""
"x11-session-utils","","https://salsa.debian.org/xorg-team/app/x11-session-utils.git","git","","105189","0","146212","0.00011018","D",""
"cmocka","","https://salsa.debian.org/debian/cmocka.git","git","","372","145621","146138","0.00011012","D","apache-2.0"
"debian:python2.7-minimal","","","","","105106","0","146097","0.00011009","D",""
"qrencode","fukuchi/libqrencode","https://github.com/fukuchi/libqrencode.git","","","80049","21154","132422","0.00011002","D","lgpl-2.1-or-later"
"debian:python2.7","","","","","104938","0","145863","0.00010991","D",""
"soundtouch","","https://salsa.debian.org/multimedia-team/soundtouch.git","git","","103069","0","143265","0.00010918","D",""
"cairomm","","https://salsa.debian.org/gnome-team/cairomm.git","git","","90398","0","125653","0.00010917","D",""
"usbmuxd","libimobiledevice/usbmuxd","https://github.com/libimobiledevice/usbmuxd.git","","","104216","0","144860","0.00010916","D",""
"wildmidi","","https://salsa.debian.org/games-team/wildmidi.git","git","","102759","0","142835","0.00010886","D",""
"unibilium","neovim/unibilium","https://github.com/neovim/unibilium.git","","","6039","93304","101698","0.00010868","D","lgpl-3.0-or-later"
"libkate","","https://salsa.debian.org/multimedia-team/libkate.git","git","","103108","0","143320","0.00010861","D",""
"libxklavier","","https://salsa.debian.org/gnome-team/libxklavier.git","git","","88343","0","122796","0.00010856","D",""
"libwpg","","","","","101567","0","141178","0.00010818","D",""
"libdc1394","","https://salsa.debian.org/multimedia-team/libdc1394.git","git","","88950","0","123640","0.00010815","D",""
"pipewire","","https://salsa.debian.org/utopia-team/pipewire.git","git","","82813","0","115110","0.00010723","D",""
"libeot","","https://salsa.debian.org/fonts-team/libeot.git","git","","101170","0","140626","0.00010708","D",""
"libvisio","","","","","100341","0","139473","0.00010689","D",""
"libcdr","","","","","100331","0","139460","0.00010688","D",""
"vde","virtualsquare/vde-2","https://github.com/virtualsquare/vde-2.git","","","1953","126761","129475","0.00010685","D","gpl-2.0-or-later and lgpl-2.1-or-later"
"spandsp","","https://salsa.debian.org/pkg-voip-team/spandsp.git","git","","99328","0","138065","0.00010684","D",""
"pipenv","pypa/pipenv","https://github.com/pypa/pipenv.git","","","0","141668","141668","0.00010675","D","mit"
"gexiv2","","https://salsa.debian.org/gnome-team/gexiv2.git","git","","97392","0","135374","0.00010670","D",""
"alsa-ucm-conf","","https://salsa.debian.org/alsa-team/alsa-ucm-conf.git","git","","101824","0","141535","0.00010665","D",""
"alsa-topology-conf","","https://salsa.debian.org/alsa-team/alsa-topology-conf.git","git","","101816","0","141524","0.00010664","D",""
"gnome-online-accounts","","https://salsa.debian.org/gnome-team/gnome-online-accounts.git","git","","84000","0","116759","0.00010657","D",""
"libbpf","libbpf/libbpf","https://github.com/libbpf/libbpf.git","","","81645","0","113486","0.00010655","D",""
"geoip","","","","","96910","0","134704","0.00010648","D",""
"erlang","erlang/otp","https://github.com/erlang/otp.git","","","0","141272","141272","0.00010645","D","apache-2.0"
"gstreamer:ugly","","","","","101614","0","141243","0.00010643","D",""
"libodfgen","","","","","100447","0","139621","0.00010632","D",""
"libsrtp","cisco/libsrtp","https://github.com/cisco/libsrtp.git","","","100238","0","139330","0.00010622","D",""
"volume-key","","https://pagure.io/volume_key","","","100651","0","139904","0.00010598","D",""
"debian:libpython2.7-minimal","","","","","101125","0","140563","0.00010592","D",""
"python:pre-commit","","","","","0","140510","140510","0.00010588","D",""
"ayatana-ido","AyatanaIndicators/ayatana-ido","https://github.com/ayatanaindicators/ayatana-ido.git","","","85873","0","119363","0.00010587","D",""
"debian:libpython2.7-stdlib","","","","","101033","0","140435","0.00010582","D",""
"libetonyek","","","","","99924","0","138894","0.00010577","D",""
"libabw","","","","","99863","0","138809","0.00010571","D",""
"libe-book","","","","","99850","0","138791","0.00010569","D",""
"fastlane","fastlane/fastlane","https://github.com/fastlane/fastlane.git","","","0","140104","140104","0.00010557","D","mit"
"gnome-keyring","","https://salsa.debian.org/gnome-team/gnome-keyring.git","git","","100575","0","139799","0.00010534","D",""
"libmwaw","","","","","99460","0","138249","0.00010529","D",""
"pocketsphinx","","https://salsa.debian.org/a11y-team/pocketsphinx.git","git","","89508","0","124416","0.00010495","D",""
"socat","","","","","65828","47484","138984","0.00010473","D","gpl-2.0-only"
"libfreehand","","","","","98801","0","137333","0.00010460","D",""
"libmspub","","","","","98799","0","137330","0.00010459","D",""
