repo,platform,gh_stars,gl_stars,ecosystems,packages,ecosystem,top_eco_pkg,downloads_npm,downloads_pypi,downloads_crates,downloads_debian,downloads_homebrew,pagerank_npm,pagerank_pypi,pagerank_crates,pagerank_cpp,top_eco_pct,pr_score,openssf_crit,eco_crit,value_score,active_contributors_git_5y,dormant,bf_commits_git_5y,hhi_commits_git_5y,loc_eoy,cyclomatic_max,openssf_score,cve_count_5y,issues_opened_5y,issues_closed_5y,net_new_issues_5y,concentration,complexity,security,workload,risk_score,license,license_source,eol,archived,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,has_funding_yml,has_funding_json,has_funding_links,has_npm_funding,has_pypi_funding,bf_maintainer_fundable,paypal,oc_slug,host,host_type,owner,owner_type,oss,intent,nonprofit,active,eligible,score,priority,repo_id
andrewrk/node-pend,github,15,,npm,1,npm,pend,721568545,,,,,0.000393,,,,28.69,57.87,13.83,100,36.95,0,1,1,10000,192,6,3,0,0,0,0,100.00,19.88,92.71,46.90,54.22,mit,registry,False,False,True,27,0,27,False,False,False,False,False,True,,,,,,,True,True,True,True,True,44.76,571,gh/11836813
multimedia-team/aom,gitlab,,0,cpp,1,cpp,aom,,,,69761,1485175,,,,0.001304,26.37,55.44,,,40.91,124,0,7,591,825695,988,5.3,15,0,0,0,9.19,97.67,94.98,67.44,48.97,bsd-2-clause,gitlab,False,False,,,0,0,False,False,False,False,False,False,,,debian.org,nonprofit,,,True,True,True,True,True,44.76,572,gl/debian-29534
django/asgiref,github,1619,,pypi,1,pypi,asgiref,,365761469,,,,,0.001041,,,25.40,66.75,52.54,100,60.74,68,0,6,744,4621,15,4.4,0,143,116,27,11.14,50.23,51.90,40.38,32.91,bsd-3-clause,registry,False,False,True,145,0,145,False,False,False,False,False,True,,,,,,,True,True,True,True,True,44.71,573,gh/48501860
ryanzim/universalify,github,112,,npm,1,npm,universalify,3171654366,,,,,0.001740,,,,57.60,67.67,32.41,100,51.97,3,0,1,4400,213,2,3.3,0,2,2,0,66.33,10.92,84.46,35.59,38.41,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,44.68,,gh/87651180
inspect-js/is-date-object,github,16,,npm,1,npm,is-date-object,1517173147,,,,,0.000455,,,,31.18,58.83,30.83,100,47.50,1,0,1,10000,70,4,4,0,2,1,1,100.00,10.20,65.01,46.29,41.86,mit,registry,False,False,False,0,0,0,True,False,True,True,False,True,,,,,,,True,True,True,True,True,44.59,574,gh/29991041
scikit-build/ninja-python-distributions,github,87,,pypi,1,pypi,ninja,,86842882,,,,,0.001111,,,26.70,67.19,39.78,,41.57,6,0,1,5744,559,10,5.5,0,28,27,1,75.79,32.78,50.00,42.01,47.80,apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,44.58,,gh/75102202
jslicense/spdx-exceptions.json,github,16,,npm,1,npm,spdx-exceptions,1194653185,,,,,0.000545,,,,34.57,60.03,27.35,100,45.87,1,0,1,10000,94,2,3.2,0,5,4,1,100.00,7.89,86.47,51.48,43.29,cc-by-3.0,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,False,False,True,True,False,44.56,,gh/40062896
sindresorhus/unicorn-magic,github,50,,npm,1,npm,unicorn-magic,332554983,,,,,0.001268,,,,52.17,65.59,26.91,100,47.92,2,0,1,8472,126,3,3.8,0,,,,92.04,11.16,75.48,37.98,41.42,mit,registry,False,False,True,186,12,198,False,False,True,True,False,True,,sindresorhus,,,,,True,True,True,True,True,44.55,575,gh/716660564
visionmedia/bytes.js,github,475,,npm,1,npm,bytes,2480322424,,,,,0.000719,,,,39.98,61.85,41.87,100,55.31,1,0,1,10000,436,1,3.2,0,3,5,-2,100.00,9.21,86.47,20.68,35.82,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,44.51,,gh/4626886
inspect-js/has-property-descriptors,github,3,,npm,1,npm,has-property-descriptors,1638003667,,,,,0.001041,,,,48.16,64.28,27.92,100,48.00,1,0,1,10000,79,3,4,0,2,1,1,100.00,9.09,65.01,48.84,41.22,mit,registry,False,False,False,0,0,0,True,False,True,True,False,True,,,,,,,True,True,True,True,True,44.48,576,gh/481834578
