repo,platform,ecosystem,top_eco_pkg,top_eco_pct,pr_score,openssf_crit,eco_crit,value_score,concentration,complexity,security,workload,risk_score,score,oss,intent,nonprofit,active,eligible,priority,eco_priority,repo_id
md/tcp-wrappers,gitlab,cpp,tcp-wrappers,47.25,67.66,,,57.45,95.56,59.45,80.99,63.00,73.38,64.93,True,True,True,True,True,76,9,gl/debian-28852
lodash/lodash,github,npm,lodash,82.54,76.47,61.59,100,72.85,63.16,93.54,82.06,23.01,57.79,64.88,True,True,True,True,True,77,31,gh/3955647
mathiasbynens/regenerate,github,npm,regenerate,34.68,60.08,37.34,100,51.88,100.00,54.74,92.71,84.97,81.04,64.84,True,True,True,True,True,78,32,gh/10182772
docutils/docutils,github,pypi,docutils,38.15,72.09,41.06,100,55.66,67.40,92.08,72.12,72.68,75.52,64.83,True,True,True,True,True,79,17,gh/44840244
libffi/libffi,github,cpp,libffi,26.82,55.93,55.02,100,61.29,71.21,85.16,50.00,71.77,68.30,64.70,True,True,True,True,True,80,10,gh/321154
gnome/pango,github,cpp,pango,28.28,56.49,57.39,,53.64,78.16,92.28,75.40,67.87,77.94,64.66,True,True,True,True,True,81,11,gh/4537144
primus/eventemitter3,github,npm,eventemitter3,31.87,58.98,47.51,100,57.59,93.55,47.88,82.26,75.29,72.57,64.65,True,True,True,True,True,82,33,gh/13100677
nodejs/undici,github,npm,undici-types,76.53,74.07,65.66,100,74.46,16.44,94.01,94.98,67.36,56.08,64.62,True,True,True,True,True,83,34,gh/133092972
isaacs/sax-js,github,npm,sax,35.59,60.53,46.41,100,57.46,59.33,71.44,82.26,79.74,72.61,64.59,True,True,True,True,True,84,35,gh/508894
indutny/bn.js,github,npm,bn.js,40.27,61.92,50.58,100,60.57,62.19,56.69,80.99,78.70,68.85,64.58,True,True,True,True,True,85,36,gh/19176350
garycourt/uri-js,github,npm,uri-js,30.59,58.69,41.32,100,53.72,79.06,53.18,97.36,88.66,77.62,64.57,True,False,True,True,False,,,gh/989080
uqfoundation/dill,github,pypi,dill,27.39,67.70,48.15,100,58.40,79.54,70.80,59.24,77.81,71.38,64.56,True,True,True,True,True,86,18,gh/11031844
autotools-mirror/gettext,github,cpp,gettext,56.92,75.08,47.17,,51.88,99.17,96.99,59.24,72.78,80.25,64.52,True,True,True,True,True,87,12,gh/47662595
minimistjs/minimist,github,npm,minimist,46.94,64.00,54.54,100,63.82,69.10,53.79,72.49,66.98,65.18,64.50,True,True,True,True,True,88,37,gh/549230701
pvorb/clone,github,npm,clone,26.84,57.35,43.11,100,54.29,100.00,50.97,80.99,83.27,76.57,64.47,True,True,True,True,True,89,38,gh/2317381
nv/cssom,github,npm,cssom,26.41,57.12,41.82,100,53.45,66.33,71.67,92.71,82.88,77.74,64.46,True,False,True,True,False,,,gh/1025209
isaacs/minimatch,github,npm,minimatch,69.64,71.80,55.99,100,67.74,88.49,82.82,72.49,26.57,61.29,64.43,True,True,True,True,True,90,39,gh/2056549
fb55/css-what,github,npm,css-what,29.66,58.19,48.20,100,57.70,87.06,60.49,82.06,61.88,71.91,64.41,True,True,True,True,True,91,40,gh/4460687
ronaldoussoren/pyobjc,github,pypi,pyobjc-core,28.64,68.29,47.76,,47.94,99.34,95.54,64.94,90.36,86.39,64.35,True,True,True,True,True,92,19,gh/243933900
xorg/lib/libxdmcp,gitlab,cpp,libxdmcp,32.33,59.07,,100,72.85,95.56,34.69,51.85,59.90,56.65,64.24,True,True,True,True,True,93,13,gl/freedesktop-712
jquery/esprima,github,npm,esprima,38.72,61.46,46.09,100,57.67,37.68,87.31,88.17,90.12,71.50,64.21,True,True,True,True,True,94,41,gh/2833537
browserify/events,github,npm,events,43.99,63.38,41.03,100,55.36,100.00,48.57,72.12,86.95,74.29,64.13,True,True,True,True,True,95,42,gh/1649251
wbond/asn1crypto,github,pypi,asn1crypto,34.72,71.05,45.58,100,57.93,76.52,75.03,50.00,86.60,70.61,63.96,True,True,True,True,True,96,20,gh/36823669
agronholm/anyio,github,pypi,anyio,41.08,73.14,53.38,100,63.45,78.80,64.40,50.00,68.02,64.45,63.95,True,True,True,True,True,97,21,gh/145337588
import-js/eslint-plugin-import,github,npm,eslint-plugin-import,39.70,61.79,61.35,100,66.96,53.49,77.76,50.00,66.82,61.06,63.94,True,True,True,True,True,98,43,gh/32238354
chaijs/type-detect,github,npm,type-detect,43.82,63.23,38.21,100,53.63,100.00,49.29,86.48,79.09,76.20,63.93,True,True,True,True,True,99,44,gh/12107007
python-attrs/attrs,github,pypi,attrs,51.81,77.70,53.51,100,65.06,79.92,73.38,50.00,52.87,62.75,63.89,True,True,True,True,True,100,22,gh/29918975
tapjs/signal-exit,github,npm,signal-exit,59.41,68.32,43.27,100,58.73,91.56,41.09,92.71,65.56,69.15,63.73,True,True,True,True,True,101,45,gh/35711072
nodeca/pako,github,npm,pako,31.27,58.86,45.31,100,56.20,69.22,87.45,50.00,89.30,72.10,63.66,True,True,True,True,True,102,46,gh/16231859
zertosh/loose-envify,github,npm,loose-envify,41.63,62.53,26.81,100,46.50,100.00,72.87,92.71,83.99,86.79,63.53,True,False,True,True,False,,,gh/41947687
python-greenlet/greenlet,github,pypi,greenlet,38.85,72.15,53.43,100,63.16,85.11,60.78,50.00,63.79,63.73,63.44,True,False,True,True,False,,,gh/3003137
azuread/microsoft-authentication-library-for-python,github,pypi,msal,31.56,70.29,47.87,100,58.91,89.25,67.10,50.00,72.03,68.15,63.36,True,True,False,True,False,,,gh/67243113
isaacs/path-scurry,github,npm,path-scurry,45.58,63.71,36.79,100,53.00,95.93,72.10,64.94,72.92,75.65,63.32,True,True,True,True,True,103,47,gh/591569499
cpburnz/python-pathspec,github,pypi,pathspec,31.73,70.30,50.32,100,60.40,87.54,70.01,50.00,62.96,66.28,63.27,True,False,True,True,False,,,gh/14648551
protobufjs/protobuf.js,github,npm,protobufjs,58.67,67.96,59.09,100,68.12,20.40,81.57,82.06,87.18,58.74,63.26,True,True,True,True,True,104,48,gh/8507859
tokio-rs/tracing,github,crates,tracing,49.93,75.67,60.63,100,68.94,23.67,79.17,82.06,73.52,57.99,63.23,True,True,True,True,True,105,22,gh/165289175
vitest-dev/vitest,github,npm,@vitest/pretty-format,44.82,63.59,67.51,100,71.35,29.33,83.44,72.49,55.31,55.97,63.19,True,True,True,True,True,106,49,gh/434708679
facebook/watchman,github,npm,bser,40.86,62.08,64.31,100,68.88,40.99,88.11,50.00,62.26,57.91,63.16,True,True,False,True,False,,,gh/6930489
inikulin/parse5,github,npm,parse5,42.03,62.72,48.54,100,59.60,72.18,80.15,50.00,68.91,66.82,63.11,True,True,True,True,True,107,50,gh/8862593
dateutil/dateutil,github,pypi,python-dateutil,77.65,84.55,50.81,100,66.71,37.18,79.51,50.00,85.37,59.60,63.05,True,False,True,True,False,,,gh/26876372
antonk52/lilconfig,github,npm,lilconfig,28.00,57.70,44.61,100,55.34,91.27,56.43,80.99,63.78,71.82,63.04,True,True,True,True,True,108,51,gh/238967485
estools/esutils,github,npm,esutils,50.26,64.95,32.53,100,51.04,100.00,52.79,88.17,78.91,77.85,63.04,True,False,True,True,False,,,gh/14677293
burntsushi/aho-corasick,github,crates,aho-corasick,27.63,67.39,48.38,100,58.53,89.04,70.89,50.00,67.22,67.87,63.03,True,True,True,True,True,109,23,gh/37290678
