repo,repo_id,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_links,has_funding_yml,funding_link_platforms,has_funding_json,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,bf_maintainer_fundable,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
kevva/dir-glob,gh/49264969,False,0,0,0,100.0,44,10,True,False,tidelift,False,False,,False,,False,1,,0,100.0,,,,,1,79,True,True
kevva/shebang-command,gh/47402913,False,0,0,0,100.0,24,9,True,False,tidelift,False,False,,False,,False,1,,0,100.0,,,,,1,79,True,True
kilian/electron-to-chromium,gh/78972540,True,3,0,3,39.19,155,28,True,True,"github,ko_fi,tidelift",False,False,,False,,True,3,,0,100.0,,,,,1,73,True,True
kjd/idna,gh/10323585,False,0,0,0,100.0,277,116,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
knurling-rs/defmt,gh/282262730,True,20,1,21,22.82,1166,125,True,True,github,False,False,,False,,False,1,,0,100.0,,,,,1,61,True,True
kpdecker/jsdiff,gh/1542219,False,0,0,0,100.0,9131,536,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
krb5/krb5,gh/4307702,False,0,0,0,100.0,593,429,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,100,True,True
kriskowal/asap,gh/11295071,False,0,0,0,100.0,612,42,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
kriszyp/json-schema,gh/947175,False,0,0,0,100.0,528,171,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
langchain-ai/langchain,gh/552661142,False,0,0,0,100.0,135127,22347,False,False,,False,False,,False,,True,0,,0,100.0,,,langchain.com,company,0,1,True,False
laurent-laporte-pro/deprecated,gh/111412148,False,0,0,0,100.0,333,42,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
lddubeau/xmlchars,gh/139881982,,,,0,100.0,3,2,,,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
legrandin/pycryptodome,gh/19378935,False,0,0,0,100.0,3226,553,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
libexpat/libexpat,gh/80314213,False,0,0,0,100.0,1322,504,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,100,True,True
libffi/libffi,gh/321154,False,0,0,0,100.0,4233,807,False,False,,False,False,,False,,False,0,,0,100.0,sfc,nonprofit,,,0.5,79,True,True
libjpeg-turbo/libjpeg-turbo,gh/39760454,True,9,0,9,29.69,4295,1142,True,True,github,True,False,,False,,False,2,,0,100.0,,,,,1,67,True,True
libjxl/libjxl,gh/340219494,False,0,0,0,100.0,3460,357,False,False,,False,False,,False,,False,0,,0,100.0,,,google.com,company,0,1,True,False
libpixman/pixman,gh/81675971,False,0,0,0,100.0,38,3,False,False,,False,False,,False,,False,0,,0,100.0,xorg,nonprofit,,,0.5,79,True,True
libuv/libuv,gh/14812739,False,0,0,0,100.0,26792,3866,False,False,,False,False,,False,,False,0,,0,100.0,lf/openjs,nonprofit,,,0.5,79,True,True
linusu/buffer-from,gh/66025821,True,3,0,3,39.19,25,9,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,73,True,True
linux-audit/audit-userspace,gh/52464964,False,0,0,0,100.0,707,239,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
linux-pam/linux-pam,gh/76264690,False,0,0,0,100.0,768,345,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
litejs/natural-compare-lite,gh/9146732,True,1,0,1,42.79,114,9,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,75,True,True
