repo,repo_id,eol,archived,mirror,active
isaacs/wrappy,24208073,False,False,False,True
isaacs/yallist,48222381,False,False,False,True
istanbuljs/istanbuljs,81482340,False,False,False,True
istanbuljs/schema,211950686,False,False,False,True
istanbuljs/test-exclude,60489570,False,False,False,True
jamesmunns/postcard,179385478,False,False,False,True
jaraco/jaraco.develop,48289082,False,False,False,True
jaraco/pytest-perf,372026120,False,False,False,True
jaraco/zipp,157774633,False,False,False,True
jaredhanson/utils-merge,11349896,False,False,False,True
jaredwray/cacheable,9267870,False,False,False,True
jaredwray/keyv,96540810,False,False,False,True
jawah/charset_normalizer,200259335,False,False,False,True
jbgutierrez/path-parse,34113780,False,False,False,True
jd/tenacity,65468547,False,False,False,True
jensyt/imurmurhash-js,11802843,False,False,False,True
jestjs/jest,15062869,False,False,False,True
jimmywarting/node-domexception,371470141,False,True,False,False
jimp-dev/jimp,24008065,False,False,False,True
jmespath/jmespath.py,8300763,False,False,False,True
joblib/joblib,654608,False,False,False,True
jonathanong/ee-first,20707897,False,False,False,True
jonschlinkert/assign-symbols,45661176,False,False,False,True
jonschlinkert/define-property,40633359,False,False,False,True
jonschlinkert/extend-shallow,25867410,False,False,False,True
jonschlinkert/fill-range,27113310,False,False,False,True
jonschlinkert/get-value,24911025,False,False,False,True
jonschlinkert/global-prefix,31455984,False,False,False,True
jonschlinkert/has-value,24310408,False,False,False,True
jonschlinkert/has-values,33009186,False,False,False,True
jonschlinkert/is-extendable,38225016,False,False,False,True
jonschlinkert/is-number,24313173,False,False,False,True
jonschlinkert/is-plain-object,24306940,False,False,False,True
jonschlinkert/isobject,21342886,False,False,False,True
jonschlinkert/kind-of,24491562,False,False,False,True
jonschlinkert/map-cache,32450614,False,False,False,True
jonschlinkert/normalize-path,21224182,False,False,False,True
jonschlinkert/object-visit,38545952,False,False,False,True
jonschlinkert/word-wrap,18260583,False,False,False,True
jorgebucaran/colorette,34648097,False,False,False,True
joshuakgoldberg/ts-api-utils,597893818,False,False,False,True
jpadilla/pyjwt,1408162,False,False,False,True
jprichardson/node-fs-extra,2791348,False,False,False,True
jprichardson/node-jsonfile,5754307,False,False,False,True
jquast/wcwidth,18464187,False,False,False,True
jquery/esprima,2833537,False,False,False,True
jridgewell/resolve-uri,196878944,False,False,False,True
jridgewell/sourcemaps,897142826,False,False,False,True
jsdom/tr46,36964214,False,False,False,True
jsdom/webidl-conversions,23000311,False,False,False,True
jsdom/whatwg-mimetype,71014420,False,False,False,True
jsdom/whatwg-url,34761352,False,False,False,True
jsdom/xml-name-validator,28553202,False,False,False,True
jshttp/accepts,15482433,False,False,False,True
jshttp/content-disposition,24216676,False,False,False,True
