repo,repo_id,license,license_source,oss
executablebooks/markdown-it-py,gh/249956697,mit,registry,True
executablebooks/mdurl,gh/387293763,mit,registry,True
exodusoss/bytes,gh/885154008,mit,registry,True
expressjs/body-parser,gh/15669006,mit,registry,True
expressjs/serve-static,gh/17464338,mit,registry,True
facebook/prop-types,gh/87597642,mit,registry,True
facebook/regenerator,gh/13346571,mit,registry,True
facebook/watchman,gh/6930489,apache-2.0,registry,True
facebook/zstd,gh/29759715,(bsd-3-clause or gpl-2.0-only) and bsd-2-clause and mit,registry,True
facelessuser/soupsieve,gh/160789418,mit,registry,True
fastify/fast-uri,gh/419317518,bsd-3-clause,registry,True
faye/websocket-driver-node,gh/9733816,apache-2.0,registry,True
fb55/boolbase,gh/16864585,isc,registry,True
fb55/css-select,gh/3411063,bsd-2-clause,registry,True
fb55/css-what,gh/4460687,bsd-2-clause,registry,True
fb55/domelementtype,gh/6627835,bsd-2-clause,registry,True
fb55/domhandler,gh/5414232,bsd-2-clause,registry,True
fb55/domutils,gh/6627949,bsd-2-clause,registry,True
fb55/entities,gh/3172629,bsd-2-clause,registry,True
fb55/htmlparser2,gh/2279062,mit,registry,True
fb55/nth-check,gh/16864923,bsd-2-clause,registry,True
felixge/node-combined-stream,gh/1787452,mit,registry,True
felixge/node-delayed-stream,gh/1783893,mit,registry,True
feross/buffer,gh/14494363,mit,registry,True
feross/ieee754,gh/15489525,bsd-3-clause,registry,True
feross/is-buffer,gh/25997846,mit,registry,True
feross/queue-microtask,gh/207021895,mit,registry,True
feross/run-parallel,gh/18700638,mit,registry,True
feross/safe-buffer,gh/49538897,mit,registry,True
ffmpeg/ffmpeg,gh/1614410,gpl-3.0-or-later,registry,True
firebase/firebase-js-sdk,gh/89290483,apache-2.0,registry,True
fitzgen/glob-to-regexp,gh/11461122,bsd-2-clause,registry,True
floatdrop/require-from-string,gh/39301848,mit,registry,True
floating-ui/floating-ui,gh/54994103,mit,registry,True
follow-redirects/follow-redirects,gh/6697086,mit,registry,True
fontconfig/fontconfig,gl/freedesktop-890,mit-modern-variant,gitlab,True
form-data/form-data,gh/1755793,mit,registry,True
formatjs/formatjs,gh/19117456,mit,registry,True
freedesktop-unofficial-mirror/cairo,gh/34372735,lgpl-2.1-only or mpl-1.1,override,True
freetype/freetype,gh/187000659,ftl,registry,True
frenic/csstype,gh/104001328,mit,registry,True
frommi/miniz_oxide,gh/96124162,mit or zlib or apache-2.0,registry,True
fsevents/fsevents,gh/1402936,mit,registry,True
fsspec/filesystem_spec,gh/130727736,bsd-3-clause,registry,True
fsspec/s3fs,gh/53987953,bsd-3-clause,registry,True
garycourt/uri-js,gh/989080,bsd-2-clause,registry,True
gcc-mirror/gcc,gh/22711503,gpl-3.0-or-later with gcc-exception-3.1,registry,True
getsentry/sentry-javascript,gh/3328572,mit,registry,True
giampaolo/psutil,gh/20101515,bsd-3-clause,registry,True
git/git,gh/36502,gpl-2.0-only and gpl-2.0-or-later and lgpl-2.1-or-later and bsd-3-clause and mit,registry,True
gitlab-freedesktop-mirrors/libxcb,gh/444023705,mit,registry,True
gitoxidelabs/gitoxide,gh/136510559,mit or apache-2.0,registry,True
gitpython-developers/gitdb,gh/1126093,bsd-3-clause,registry,True
gitpython-developers/smmap,gh/1865144,bsd-3-clause,registry,True
gkz/levn,gh/13287279,mit,registry,True
gkz/optionator,gh/13435927,mit,registry,True
gkz/prelude-ls,gh/4457759,mit,registry,True
gkz/type-check,gh/13182168,mit,registry,True
gmp-mirror/gmp,gh/681340775,lgpl-3.0-or-later or gpl-2.0-or-later,registry,True
gnome/gdk-pixbuf,gl/gnome-1548,lgpl-2.1,github,True
gnome/glib,gl/gnome-658,lgpl-2.1,gitlab,True
gnome/libxml2,gl/gnome-1665,mit,gitlab,True
gnome/pango,gh/4537144,lgpl-2.0-or-later,registry,True
gnutls/gnutls,gl/179611,gpl-3.0,github,True
gnutls/libtasn1,gl/919981,gpl-3.0+,gitlab,True
gnutools/binutils-gdb,gh/1178912368,gpl-2.0-or-later and gpl-3.0-or-later and lgpl-2.0-or-later and lgpl-3.0-only,registry,True
gnutools/glibc,gh/1178881118,gpl-2.0-or-later and lgpl-2.1-or-later,registry,True
google/brotli,gh/24993138,mit,registry,True
google/zerocopy,gh/534354967,bsd-2-clause or apache-2.0 or mit,registry,True
googleapis/google-cloud-python,gh/16316451,apache-2.0,registry,True
googleapis/python-crc32c,gh/159736041,apache-2.0,github,True
googlechrome/workbox,gh/55424670,mit,registry,True
gpg/libgpg-error,gh/42075984,lgpl-2.1-or-later,registry,True
