repo,repo_id,oss,intent,nonprofit,active,eligible
inspect-js/is-data-descriptor,gh/41659073,True,True,True,True,True
inspect-js/is-data-view,gh/751048078,True,True,True,True,True
inspect-js/is-date-object,gh/29991041,True,True,True,True,True
inspect-js/is-descriptor,gh/41658845,True,True,True,True,True
inspect-js/is-number-object,gh/29991666,True,True,True,True,True
inspect-js/is-regex,gh/15930063,True,True,True,True,True
inspect-js/is-string,gh/30010185,True,True,True,True,True
inspect-js/is-symbol,gh/29791606,True,True,True,True,True
inspect-js/is-typed-array,gh/43528820,True,True,True,True,True
inspect-js/node-supports-preserve-symlinks-flag,gh/443970899,True,True,True,True,True
inspect-js/object-inspect,gh/11683441,True,True,True,True,True
inspect-js/typed-array-buffer,gh/649850465,True,True,True,True,True
inspect-js/which-boxed-primitive,gh/201685155,True,True,True,True,True
inspect-js/which-typed-array,gh/43708371,True,True,True,True,True
ipython/traitlets,gh/14993021,True,True,True,True,True
isaacs/chownr,gh/3858354,True,True,True,True,True
isaacs/cliui,gh/634056857,True,True,True,True,True
isaacs/core-util-is,gh/12391440,True,True,True,True,True
isaacs/fs-minipass,gh/102982143,True,True,True,True,True
isaacs/fs.realpath,gh/61231712,True,True,True,True,True
isaacs/inflight-deprecated-do-not-use,gh/19442260,True,True,True,False,False
isaacs/inherits,gh/1580001,True,True,True,True,True
isaacs/isexe,gh/49804297,True,True,True,True,True
isaacs/minimatch,gh/2056549,True,True,True,True,True
isaacs/minipass,gh/84886212,True,True,True,True,True
isaacs/minizlib,gh/86429676,True,True,True,True,True
isaacs/node-glob,gh/357681,True,True,True,True,True
isaacs/node-graceful-fs,gh/2077020,True,True,True,True,True
isaacs/node-lru-cache,gh/679662,True,True,True,True,True
isaacs/node-mkdirp,gh/2718248,True,True,True,True,True
isaacs/node-tar,gh/1534331,True,True,True,True,True
isaacs/once,gh/5409660,True,True,True,True,True
isaacs/package-json-from-dist,gh/800543709,True,True,True,True,True
isaacs/path-scurry,gh/591569499,True,True,True,True,True
isaacs/rimraf,gh/1341324,True,True,True,True,True
isaacs/sax-js,gh/508894,True,True,True,True,True
isaacs/wrappy,gh/24208073,True,True,True,True,True
isaacs/yallist,gh/48222381,True,True,True,True,True
istanbuljs/istanbuljs,gh/81482340,True,True,True,True,True
istanbuljs/schema,gh/211950686,True,True,True,True,True
istanbuljs/test-exclude,gh/60489570,True,True,True,True,True
jamesmunns/postcard,gh/179385478,True,False,True,True,False
jaraco/jaraco.develop,gh/48289082,True,True,True,True,True
jaraco/pytest-perf,gh/372026120,True,True,True,True,True
jaraco/zipp,gh/157774633,True,True,True,True,True
jaredhanson/utils-merge,gh/11349896,True,True,True,True,True
jaredwray/cacheable,gh/9267870,True,False,True,True,False
jaredwray/keyv,gh/96540810,True,False,True,True,False
jawah/charset_normalizer,gh/200259335,True,True,True,True,True
jbgutierrez/path-parse,gh/34113780,True,False,True,True,False
jd/tenacity,gh/65468547,True,True,True,True,True
jensyt/imurmurhash-js,gh/11802843,True,False,True,True,False
jestjs/jest,gh/15062869,True,True,True,True,True
jimmywarting/node-domexception,gh/371470141,True,False,True,False,False
jimp-dev/jimp,gh/24008065,True,True,True,True,True
jmespath/jmespath.py,gh/8300763,True,False,True,True,False
joblib/joblib,gh/654608,True,False,True,True,False
jonathanong/ee-first,gh/20707897,True,False,True,True,False
jonschlinkert/assign-symbols,gh/45661176,True,True,True,True,True
jonschlinkert/define-property,gh/40633359,True,True,True,True,True
jonschlinkert/extend-shallow,gh/25867410,True,True,True,True,True
jonschlinkert/fill-range,gh/27113310,True,True,True,True,True
jonschlinkert/get-value,gh/24911025,True,True,True,True,True
jonschlinkert/global-prefix,gh/31455984,True,True,True,True,True
jonschlinkert/has-value,gh/24310408,True,True,True,True,True
jonschlinkert/has-values,gh/33009186,True,True,True,True,True
jonschlinkert/is-extendable,gh/38225016,True,True,True,True,True
jonschlinkert/is-number,gh/24313173,True,True,True,True,True
jonschlinkert/is-plain-object,gh/24306940,True,True,True,True,True
jonschlinkert/isobject,gh/21342886,True,True,True,True,True
jonschlinkert/kind-of,gh/24491562,True,True,True,True,True
jonschlinkert/map-cache,gh/32450614,True,True,True,True,True
jonschlinkert/normalize-path,gh/21224182,True,True,True,True,True
jonschlinkert/object-visit,gh/38545952,True,True,True,True,True
jonschlinkert/word-wrap,gh/18260583,True,True,True,True,True
jorgebucaran/colorette,gh/34648097,True,True,True,True,True
joshuakgoldberg/ts-api-utils,gh/597893818,True,True,True,True,True
jpadilla/pyjwt,gh/1408162,True,True,True,True,True
jprichardson/node-fs-extra,gh/2791348,True,False,True,True,False
jprichardson/node-jsonfile,gh/5754307,True,False,True,True,False
jquast/wcwidth,gh/18464187,True,True,True,True,True
jquery/esprima,gh/2833537,True,True,True,True,True
jridgewell/resolve-uri,gh/196878944,True,False,True,True,False
jridgewell/sourcemaps,gh/897142826,True,False,True,True,False
jsdom/tr46,gh/36964214,True,True,True,True,True
jsdom/webidl-conversions,gh/23000311,True,True,True,True,True
jsdom/whatwg-mimetype,gh/71014420,True,True,True,True,True
jsdom/whatwg-url,gh/34761352,True,True,True,True,True
jsdom/xml-name-validator,gh/28553202,True,True,True,True,True
jshttp/accepts,gh/15482433,True,True,True,True,True
jshttp/content-disposition,gh/24216676,True,True,True,True,True
jshttp/content-type,gh/30172150,True,True,True,True,True
jshttp/cookie,gh/4475810,True,True,True,True,True
jshttp/etag,gh/22894570,True,True,True,True,True
jshttp/forwarded,gh/24300217,True,True,True,True,True
jshttp/fresh,gh/4617552,True,True,True,True,True
jshttp/http-errors,gh/23806086,True,True,True,True,True
jshttp/media-typer,gh/20814275,True,True,True,True,True
jshttp/methods,gh/8274071,True,True,True,True,True
jshttp/mime-db,gh/22970419,True,True,True,True,True
jshttp/mime-types,gh/19380178,True,True,True,True,True
jshttp/negotiator,gh/3275614,True,True,True,True,True
jshttp/on-finished,gh/15349765,True,True,True,True,True
jshttp/range-parser,gh/4627131,True,True,True,True,True
jshttp/statuses,gh/17690272,True,True,True,True,True
jshttp/type-is,gh/15484233,True,True,True,True,True
jshttp/vary,gh/20498698,True,True,True,True,True
jslicense/spdx-correct.js,gh/34817196,True,False,True,True,False
jslicense/spdx-exceptions.json,gh/40062896,False,False,True,True,False
jslicense/spdx-expression-parse.js,gh/40067336,True,False,True,True,False
jslicense/spdx-license-ids,gh/26001547,False,False,True,True,False
json5/json5,gh/4463453,True,False,True,True,False
juliangruber/balanced-match,gh/13538817,True,True,True,True,True
juliangruber/brace-expansion,gh/13539234,True,True,True,True,True
juliangruber/isarray,gh/10227611,True,True,True,True,True
justmoon/node-extend,gh/3967764,True,True,True,True,True
jviereck/regjsparser,gh/14087781,True,True,True,True,True
ka-weihe/fastest-levenshtein,gh/158960628,True,False,True,True,False
kaelzhang/node-ignore,gh/12519245,True,True,True,True,True
kemitchell/validate-npm-package-license.js,gh/35000460,True,False,True,True,False
kevinbeaty/any-promise,gh/26247715,True,False,True,True,False
kevva/dir-glob,gh/49264969,True,True,True,True,True
kevva/shebang-command,gh/47402913,True,True,True,True,True
kilian/electron-to-chromium,gh/78972540,True,True,True,True,True
kjd/idna,gh/10323585,True,False,True,True,False
knurling-rs/defmt,gh/282262730,True,True,True,True,True
kpdecker/jsdiff,gh/1542219,True,False,True,True,False
krb5/krb5,gh/4307702,True,True,True,True,True
kriskowal/asap,gh/11295071,True,False,True,True,False
kriszyp/json-schema,gh/947175,True,False,True,True,False
langchain-ai/langchain,gh/552661142,True,True,False,True,False
laurent-laporte-pro/deprecated,gh/111412148,True,False,True,True,False
lddubeau/xmlchars,gh/139881982,True,False,True,False,False
legrandin/pycryptodome,gh/19378935,True,False,True,True,False
libexpat/libexpat,gh/80314213,True,True,True,True,True
libffi/libffi,gh/321154,True,True,True,True,True
libjpeg-turbo/libjpeg-turbo,gh/39760454,True,True,True,True,True
libjxl/libjxl,gh/340219494,True,True,False,True,False
libpixman/pixman,gh/81675971,True,True,True,True,True
libuv/libuv,gh/14812739,True,True,True,True,True
linusu/buffer-from,gh/66025821,True,True,True,True,True
linux-audit/audit-userspace,gh/52464964,True,False,True,True,False
linux-pam/linux-pam,gh/76264690,True,False,True,True,False
