"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"async-timeout","aio-libs-abandoned/async-timeout","937824072","337954332","593622456","921594690","1294960997","1540987885","True","0.00241331","A","https://github.com/aio-libs-abandoned/async-timeout.git","eco","gh/67703198","","apache-2.0"
"greenlet","python-greenlet/greenlet","1032820259","268119142","515663578","806165917","1366714368","2207438292","True","0.0023286","A","https://github.com/python-greenlet/greenlet.git","eco","gh/3003137","","mit and psf-2.0"
"scipy","scipy/scipy","1018108220","353951981","507576189","703737203","1335961801","2189313927","True","0.002315","A","https://github.com/scipy/scipy.git","eco","gh/1460385","","bsd-3-clause"
"docutils","docutils/docutils","1202976876","686133389","819773620","987074989","1546114004","1975788376","True","0.00230806","A","https://github.com/docutils/docutils.git","override","gh/44840244","","bsd-3-clause"
"zstandard","indygreg/python-zstandard","236351641","7309044","20756949","49982862","159000868","944708481","True","0.00229872","A","https://github.com/indygreg/python-zstandard.git","eco","gh/67307930","","bsd-3-clause"
"et-xmlfile","","857020935","171345434","403177230","674309157","1084918763","1951354089","True","0.00229158","A","","","","","mit"
"werkzeug","pallets/werkzeug","1175233602","493169280","1019802133","1124661808","1414616512","1823918279","True","0.00228473","A","https://github.com/pallets/werkzeug.git","eco","gh/997338","","bsd-3-clause"
"more-itertools","more-itertools/more-itertools","799838394","159415790","248429427","527445696","1186246742","1877654313","True","0.00227833","A","https://github.com/more-itertools/more-itertools.git","eco","gh/4144530","","mit"
"jsonschema","python-jsonschema/jsonschema","1289216374","359320743","518743252","1015067554","1840323610","2712626712","True","0.0022581","A","https://github.com/python-jsonschema/jsonschema.git","eco","gh/3072629","","mit"
"rpds-py","crate-py/rpds","687232773","0","0","281175265","1023426899","2131561701","True","0.00223342","A","https://github.com/crate-py/rpds.git","eco","gh/608018848","","mit"
"pydantic-core","pydantic/pydantic","1098685620","0","28810","226504338","1570741646","3696153304","True","0.0022074","A","https://github.com/pydantic/pydantic.git","eco","gh/90194616","","mit"
