"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess","llm_guess"
"azure-applicationinsights","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-batch","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-cli","https://github.com/azure/azure-cli.git","","","","","","",""
"azure-cli-core","https://github.com/azure/azure-cli.git","","","","","","",""
"azure-cli-nspkg","https://github.com/azure/azure-cli.git","","","","","","",""
"azure-cli-telemetry","https://github.com/azure/azure-cli.git","","","","","","",""
"azure-common","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-core","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-core-tracing-opentelemetry","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-cosmos","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-cosmosdb-nspkg","https://github.com/azure/azure-cosmosdb-python.git","","","","","","",""
"azure-cosmosdb-table","https://github.com/azure/azure-cosmosdb-python.git","","","","","","",""
"azure-data-tables","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-datalake-store","https://github.com/azure/azure-data-lake-store-python.git","","","","","","",""
"azure-devops","https://github.com/microsoft/azure-devops-python-api.git","","","","","","",""
"azure-eventgrid","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-eventhub","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-functions","https://github.com/azure/azure-functions-python-worker.git","","","","","","git,github",""
"azure-graphrbac","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-identity","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-keyvault","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-keyvault-administration","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-keyvault-certificates","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-keyvault-keys","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-keyvault-secrets","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-keyvault-securitydomain","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-kusto-data","https://github.com/azure/azure-kusto-python.git","","","","","","",""
"azure-kusto-ingest","https://github.com/azure/azure-kusto-python.git","","","","","","",""
"azure-loganalytics","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-advisor","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-apimanagement","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-appconfiguration","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-appcontainers","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-applicationinsights","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-authorization","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-batch","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-batchai","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-billing","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-botservice","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
