"repo","platform","repo_id","git_url","mirror_url","git_valid","ecosystems","packages","top_eco","top_eco_pkg","top_eco_pct","pr_score","class","class_npm","class_pypi","class_crates","class_cpp","openssf_crit","eco_crit","value_score"
"rust-random/rand","github","gh/30227790","https://github.com/rust-random/rand.git","","True","crates","5","crates","rand","73.4436","83.36","A","","","A","","55.33","1","68.88"
"facebook/watchman","github","gh/6930489","https://github.com/facebook/watchman.git","","True","npm","2","npm","bser","40.8614","62.08","A","A","","","","64.31","1","68.88"
"zloirock/core-js","github","gh/11481338","https://github.com/zloirock/core-js.git","","True","npm","3","npm","core-js","54.1698","66.28","A","A","","","","61.35","1","68.85"
"python-pillow/pillow","github","gh/5171600","https://github.com/python-pillow/pillow.git","","True","pypi,cpp","2","pypi","pillow","35.2583","78.90","A","","A","","C","62.10","1","68.68"
"floating-ui/floating-ui","github","gh/54994103","https://github.com/floating-ui/floating-ui.git","","True","npm","7","npm","@floating-ui/utils","46.0577","63.82","A","A","","","","62.80","1","68.67"
"azure/azure-sdk-for-js","github","gh/108311273","https://github.com/azure/azure-sdk-for-js.git","","True","npm","18","npm","@azure/abort-controller","37.8585","61.23","A","A","","","","64.38","1","68.54"
"microsoft/typescript","github","gh/20929025","https://github.com/microsoft/typescript.git","","True","npm","1","npm","typescript","34.7318","60.08","A","A","","","","65.00","1","68.48"
"sboudrias/inquirer.js","github","gh/10114077","https://github.com/sboudrias/inquirer.js.git","","True","npm","17","npm","inquirer","54.0303","66.22","A","A","","","","60.71","1","68.45"
"wasm-bindgen/wasm-bindgen","github","gh/114685405","https://github.com/wasm-bindgen/wasm-bindgen.git","","True","crates","18","crates","wasm-bindgen","62.0943","79.88","A","","","A","","57.07","1","68.44"
"eliben/pycparser","github","gh/10589864","https://github.com/eliben/pycparser.git","","True","pypi","1","pypi","pycparser","84.4037","85.80","A","","A","","","52.21","1","68.35"
"util-linux/util-linux","github","gh/2339555","https://github.com/util-linux/util-linux.git","","True","cpp","1","cpp","util-linux","31.6093","58.79","A","","","","A","65.49","1","68.33"
