repo,repo_id,status,ac_2021_2025,bf_2021_2025,hhi_2021_2025,contributors_lifetime,bf_lifetime,hhi_lifetime,commits_2021_2025,commits_lifetime,bots_lifetime,clone_seconds,error,fetched_at
dcodeio/long.js,8678904,ok,7,1,6834,19,1,7430,34,137,0,0.7,,2026-05-18T23:27:54+00:00
debug-js/debug,2871998,ok,10,1,4408,122,3,1335,26,470,0,0.5,,2026-05-18T23:27:54+00:00
definitelytyped/definitelytyped,6093316,ok,6544,280,73,19581,1028,17,17030,72389,2,8.7,,2026-05-18T23:27:54+00:00
defunctzombie/node-process,7580644,ok,0,0,0,16,2,2744,0,60,0,0.7,,2026-05-18T23:40:02+00:00
django/asgiref,48501860,ok,68,6,744,110,2,2550,175,483,0,0.9,,2026-05-18T23:27:54+00:00
djc/rustc-version-rs,41272773,ok,4,1,8540,17,2,2809,39,102,0,0.5,,2026-05-18T23:25:52+00:00
dmitrysoshnikov/regexp-tree,85459304,ok,9,2,1973,26,1,5045,21,461,1,1.1,,2026-05-18T23:27:54+00:00
doowb/ansi-colors,47135420,ok,2,1,6800,13,1,3822,5,111,0,0.6,,2026-05-18T23:27:54+00:00
douglasdwyer/wasm_sync,668034655,ok,1,1,10000,1,1,10000,4,4,0,0.6,,2026-05-18T23:27:54+00:00
dougwilson/nodejs-depd,20848667,ok,1,1,10000,2,1,9913,6,228,0,0.6,,2026-05-18T23:27:55+00:00
dtolnay/anyhow,212936374,ok,14,1,9207,27,1,9123,444,757,0,1.2,,2026-05-18T23:27:55+00:00
dtolnay/automod,173074854,ok,4,1,9241,6,1,9181,77,119,0,0.6,,2026-05-18T23:27:55+00:00
dtolnay/dissimilar,229514821,ok,2,1,9232,3,1,9277,100,134,0,0.6,,2026-05-18T23:27:55+00:00
dtolnay/indoc,54252316,ok,3,1,9691,9,1,9379,128,348,0,0.5,,2026-05-18T23:27:56+00:00
dtolnay/itoa,61962375,ok,6,1,9298,15,1,8328,195,296,0,0.5,,2026-05-18T23:27:56+00:00
dtolnay/no-panic,143469762,ok,3,1,9277,3,1,9546,134,216,0,0.5,,2026-05-18T23:27:56+00:00
dtolnay/proc-macro2,91860126,ok,11,1,9470,32,1,7751,520,1021,0,1.0,,2026-05-18T23:27:56+00:00
dtolnay/quote,67273122,ok,8,1,8720,28,1,7970,270,631,0,0.8,,2026-05-18T23:27:56+00:00
dtolnay/ref-cast,106295902,ok,2,1,9863,4,1,9767,145,256,0,0.7,,2026-05-18T23:27:56+00:00
dtolnay/rustversion,183990447,ok,2,1,9815,3,1,9780,107,180,0,1.0,,2026-05-18T23:27:56+00:00
dtolnay/ryu,142720484,ok,4,1,9603,8,1,9364,149,370,0,1.0,,2026-05-18T23:27:56+00:00
dtolnay/semver,22432442,ok,10,1,9209,68,2,2444,247,570,0,1.0,,2026-05-18T23:27:57+00:00
dtolnay/syn,67305738,ok,37,1,9306,110,1,8398,1753,4415,0,1.1,,2026-05-18T23:27:57+00:00
dtolnay/target-triple,734167706,ok,1,1,10000,1,1,10000,41,41,0,0.6,,2026-05-18T23:27:57+00:00
dtolnay/thiserror,213836768,ok,16,1,9053,21,1,9110,432,658,0,1.6,,2026-05-18T23:27:58+00:00
dtolnay/trybuild,184941159,ok,18,1,8501,27,1,8450,345,568,0,0.7,,2026-05-18T23:27:58+00:00
dtolnay/unicode-ident,492639579,ok,5,1,9361,6,1,9308,184,198,0,0.6,,2026-05-18T23:27:58+00:00
eemeli/yaml,119439276,ok,22,1,9226,33,1,9300,582,1569,1,1.0,,2026-05-18T23:27:58+00:00
ehmicky/human-signals,214467546,ok,2,1,9919,3,1,9913,490,690,2,0.8,,2026-05-18T23:27:58+00:00
eliben/pycparser,10589864,ok,26,1,3071,93,1,4022,81,604,0,0.6,,2026-05-18T23:27:58+00:00
emotion-js/emotion,92570536,ok,97,4,1166,326,2,1770,224,1680,2,0.8,,2026-05-18T23:27:58+00:00
encode/httpcore,237210639,ok,42,1,3067,55,1,2904,218,386,1,0.5,,2026-05-18T23:27:58+00:00
encode/httpx,179492861,ok,146,4,1672,242,1,2678,437,1335,1,0.7,,2026-05-18T23:27:59+00:00
epoberezkin/fast-deep-equal,94483360,ok,0,0,0,12,1,4599,0,87,1,0.5,,2026-05-18T23:27:59+00:00
epoberezkin/fast-json-stable-stringify,108103016,ok,0,0,0,12,2,2880,0,63,0,0.4,,2026-05-18T23:27:59+00:00
epoberezkin/json-schema-traverse,93333933,ok,1,1,10000,6,1,6228,2,41,0,0.4,,2026-05-18T23:27:59+00:00
es-shims/array-includes,28753032,ok,1,1,10000,2,1,9915,49,234,0,0.5,,2026-05-18T23:27:59+00:00
es-shims/dunder-proto,898274312,ok,1,1,10000,1,1,10000,10,10,0,0.5,,2026-05-18T23:27:59+00:00
es-shims/es-object-atoms,773229339,ok,1,1,10000,1,1,10000,16,16,0,0.4,,2026-05-18T23:28:00+00:00
es-shims/es-set-tostringtag,580683868,ok,1,1,10000,1,1,10000,34,34,0,0.5,,2026-05-18T23:28:00+00:00
es-shims/math-intrinsics,902014040,ok,1,1,10000,1,1,10000,10,10,0,0.5,,2026-05-18T23:28:00+00:00
es-shims/object.values,41723335,ok,1,1,10000,1,1,10000,40,126,0,0.5,,2026-05-18T23:28:00+00:00
es-shims/regexp.prototype.flags,26932422,ok,1,1,10000,2,1,9766,73,169,0,0.5,,2026-05-18T23:28:00+00:00
es-shims/string.prototype.trimend,114682758,ok,1,1,10000,2,1,8724,43,73,0,0.5,,2026-05-18T23:28:00+00:00
es-shims/string.prototype.trimstart,114682105,ok,1,1,10000,2,1,8619,37,67,0,0.5,,2026-05-18T23:28:00+00:00
eslint-community/eslint-utils,568240379,ok,9,1,3088,9,2,3194,86,150,1,0.5,,2026-05-18T23:28:00+00:00
eslint/eslint,11061773,ok,326,5,761,1172,11,394,2434,7720,5,1.6,,2026-05-18T23:28:00+00:00
eslint/js,27620277,ok,27,2,1781,62,3,1866,211,462,4,0.7,,2026-05-18T23:28:01+00:00
eslint/rewrite,791446923,ok,19,2,1995,20,2,1708,279,358,2,1.8,,2026-05-18T23:28:01+00:00
estools/escodegen,3611422,ok,1,1,10000,55,1,3925,1,476,0,0.6,,2026-05-18T23:28:01+00:00
estools/esquery,11412938,ok,7,2,3021,22,2,2251,33,140,0,0.5,,2026-05-18T23:28:01+00:00
estools/esrecurse,27429822,ok,2,1,6250,10,1,3306,4,52,0,0.6,,2026-05-18T23:28:01+00:00
estools/estraverse,6145439,ok,2,1,5000,27,1,3618,2,150,0,0.7,,2026-05-18T23:28:01+00:00
estools/esutils,14677293,ok,0,0,0,6,1,3600,0,45,0,0.6,,2026-05-18T23:28:01+00:00
ethers-io/ethers.js,63465664,ok,1,1,10000,1,1,10000,781,783,0,1.1,,2026-05-18T23:28:02+00:00
evanw/esbuild,61137153,ok,99,1,8986,128,1,9135,2802,4428,0,1.3,,2026-05-18T23:28:02+00:00
evanw/node-source-map-support,7682781,ok,4,2,2893,71,2,1649,11,250,1,0.6,,2026-05-18T23:28:02+00:00
eventualbuddha/lines-and-columns,47284288,ok,2,1,8200,2,1,9445,10,35,0,1.0,,2026-05-18T23:28:02+00:00
executablebooks/markdown-it-py,249956697,ok,20,1,4558,30,1,5119,163,333,3,0.6,,2026-05-18T23:28:02+00:00
executablebooks/mdurl,387293763,ok,3,1,8809,3,1,8809,32,32,1,0.6,,2026-05-18T23:28:02+00:00
exodusoss/bytes,885154008,ok,3,1,9944,5,1,9897,714,970,1,0.7,,2026-05-18T23:28:02+00:00
expressjs/body-parser,15669006,ok,20,1,3822,42,1,6946,195,752,1,0.6,,2026-05-18T23:28:03+00:00
expressjs/serve-static,17464338,ok,10,1,3378,22,1,7655,80,388,1,0.5,,2026-05-18T23:28:03+00:00
facebook/create-react-app,63537249,ok,74,11,450,932,9,731,132,2767,1,2.3,,2026-05-18T23:28:03+00:00
facebook/metro,76504246,ok,155,3,1335,463,8,439,1665,5050,1,1.7,,2026-05-18T23:28:03+00:00
facebook/react,10270250,ok,368,5,761,1911,8,420,7391,18780,1,4.5,,2026-05-18T23:28:03+00:00
facebook/watchman,6930489,ok,267,2,3361,463,2,2561,8783,13883,1,3.4,,2026-05-18T23:28:03+00:00
facebook/zstd,29759715,ok,220,2,1879,410,2,2084,1958,8766,1,2.4,,2026-05-18T23:28:03+00:00
facelessuser/soupsieve,160789418,ok,6,1,7864,15,1,8727,86,348,0,0.7,,2026-05-18T23:28:03+00:00
fastify/fast-uri,419317518,ok,11,2,2888,12,2,2651,109,121,1,0.7,,2026-05-18T23:28:04+00:00
faye/websocket-driver-node,9733816,ok,1,1,10000,9,1,9199,3,341,0,0.6,,2026-05-18T23:28:04+00:00
fb55/boolbase,16864585,ok,2,1,5556,4,1,4400,3,15,0,0.6,,2026-05-18T23:28:05+00:00
fb55/css-select,3411063,ok,7,1,8661,25,1,8473,86,451,3,1.6,,2026-05-18T23:28:05+00:00
fb55/css-what,4460687,ok,6,1,7579,25,1,6837,53,195,2,1.0,,2026-05-18T23:28:05+00:00
fb55/domelementtype,6627835,ok,2,1,8025,6,1,7968,9,46,1,0.5,,2026-05-18T23:28:05+00:00
fb55/domhandler,5414232,ok,1,1,10000,20,1,6852,48,172,2,0.7,,2026-05-18T23:28:05+00:00
fb55/domutils,6627949,ok,5,1,8658,19,1,7239,57,186,3,0.9,,2026-05-18T23:28:06+00:00
fb55/entities,3172629,ok,8,1,8653,21,1,8008,114,237,3,4.6,,2026-05-18T23:28:06+00:00
fb55/htmlparser2,2279062,ok,10,1,7478,65,1,6338,95,804,3,1.1,,2026-05-18T23:28:06+00:00
fb55/nth-check,16864923,ok,1,1,10000,6,1,7968,15,46,1,0.8,,2026-05-18T23:28:06+00:00
felixge/node-combined-stream,1787452,ok,0,0,0,13,2,2922,0,73,0,0.7,,2026-05-18T23:28:07+00:00
felixge/node-delayed-stream,1783893,ok,0,0,0,4,1,6948,0,45,0,0.7,,2026-05-18T23:28:07+00:00
feross/buffer,14494363,ok,12,3,1493,73,1,5332,24,868,1,0.5,,2026-05-18T23:28:07+00:00
feross/ieee754,15489525,ok,0,0,0,4,1,8747,0,76,1,0.5,,2026-05-18T23:28:07+00:00
feross/is-buffer,25997846,ok,0,0,0,7,1,7977,0,74,1,0.5,,2026-05-18T23:28:07+00:00
feross/queue-microtask,207021895,ok,1,1,10000,5,1,7609,6,46,0,0.5,,2026-05-18T23:28:07+00:00
feross/run-parallel,18700638,ok,1,1,10000,4,1,8489,3,75,1,0.5,,2026-05-18T23:28:08+00:00
feross/safe-buffer,49538897,ok,0,0,0,7,1,7396,0,70,1,0.5,,2026-05-18T23:28:08+00:00
ffmpeg/ffmpeg,1614410,ok,574,4,987,2269,8,588,21282,115310,1,15.7,,2026-05-18T23:28:08+00:00
firebase/firebase-js-sdk,89290483,ok,115,5,868,226,6,701,1787,4026,3,3.0,,2026-05-18T23:28:08+00:00
floating-ui/floating-ui,54994103,ok,98,1,6349,124,1,4600,1361,2163,2,1.0,,2026-05-18T23:28:08+00:00
follow-redirects/follow-redirects,6697086,ok,14,1,6874,35,1,5254,87,358,1,0.5,,2026-05-18T23:28:08+00:00
fontconfig/fontconfig,926884194,ok,53,1,4126,154,2,2010,451,2813,0,0.8,,2026-05-18T23:28:08+00:00
