"package","year","downloads","fetched_at"
"@ai-sdk/mistral","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/mistral","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/mistral","2024","502366","2026-03-29 00:00:00.000000"
"@ai-sdk/mistral","2025","6464986","2026-03-29 00:00:00.000000"
"@ai-sdk/openai","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/openai","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/openai","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/openai","2024","6871986","2026-03-29 00:00:00.000000"
"@ai-sdk/openai","2025","63921392","2026-03-29 00:00:00.000000"
"@ai-sdk/openai-compatible","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/openai-compatible","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/openai-compatible","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/openai-compatible","2024","40603","2026-03-29 00:00:00.000000"
"@ai-sdk/openai-compatible","2025","15302726","2026-03-29 00:00:00.000000"
"@ai-sdk/perplexity","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/perplexity","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/perplexity","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/perplexity","2024","0","2026-03-29 00:00:00.000000"
"@ai-sdk/perplexity","2025","4677598","2026-03-29 00:00:00.000000"
"@ai-sdk/provider","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider","2024","17533626","2026-03-29 00:00:00.000000"
"@ai-sdk/provider","2025","146494473","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils","2024","16849274","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils","2025","159457697","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils-v5","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils-v5","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils-v5","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils-v5","2024","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils-v5","2025","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils-v6","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils-v6","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils-v6","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils-v6","2024","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-utils-v6","2025","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-v5","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-v5","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-v5","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-v5","2024","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-v5","2025","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-v6","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-v6","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-v6","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-v6","2024","0","2026-03-29 00:00:00.000000"
"@ai-sdk/provider-v6","2025","0","2026-03-29 00:00:00.000000"
"@ai-sdk/ui-utils-v5","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/ui-utils-v5","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/ui-utils-v5","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/ui-utils-v5","2024","0","2026-03-29 00:00:00.000000"
"@ai-sdk/ui-utils-v5","2025","0","2026-03-29 00:00:00.000000"
"@ai-sdk/xai","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/xai","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/xai","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/xai","2024","17507","2026-03-29 00:00:00.000000"
"@ai-sdk/xai","2025","7523135","2026-03-29 00:00:00.000000"
"@airplane/lib","2021","0","2026-03-29 00:00:00.000000"
"@airplane/lib","2022","0","2026-03-29 00:00:00.000000"
"@airplane/lib","2023","1687437","2026-03-29 00:00:00.000000"
"@airplane/lib","2024","291322","2026-03-29 00:00:00.000000"
"@airplane/lib","2025","7215","2026-03-29 00:00:00.000000"
"@aklinker1/rollup-plugin-visualizer","2021","0","2026-03-29 00:00:00.000000"
"@aklinker1/rollup-plugin-visualizer","2022","0","2026-03-29 00:00:00.000000"
"@aklinker1/rollup-plugin-visualizer","2023","0","2026-03-29 00:00:00.000000"
"@aklinker1/rollup-plugin-visualizer","2024","260428","2026-03-29 00:00:00.000000"
"@aklinker1/rollup-plugin-visualizer","2025","1909056","2026-03-29 00:00:00.000000"
"@akryum/tinypool","2021","0","2026-03-29 00:00:00.000000"
"@akryum/tinypool","2022","0","2026-03-29 00:00:00.000000"
"@akryum/tinypool","2023","982548","2026-03-29 00:00:00.000000"
"@akryum/tinypool","2024","1997530","2026-03-29 00:00:00.000000"
"@akryum/tinypool","2025","2746649","2026-03-29 00:00:00.000000"
"@alcalzone/ansi-tokenize","2021","0","2026-03-29 00:00:00.000000"
"@alcalzone/ansi-tokenize","2022","0","2026-03-29 00:00:00.000000"
"@alcalzone/ansi-tokenize","2023","1492417","2026-03-29 00:00:00.000000"
"@alcalzone/ansi-tokenize","2024","16075726","2026-03-29 00:00:00.000000"
"@alcalzone/ansi-tokenize","2025","52252995","2026-03-29 00:00:00.000000"
"@algolia/abtesting","2021","0","2026-03-29 00:00:00.000000"
"@algolia/abtesting","2022","0","2026-03-29 00:00:00.000000"
"@algolia/abtesting","2023","0","2026-03-29 00:00:00.000000"
"@algolia/abtesting","2024","0","2026-03-29 00:00:00.000000"
"@algolia/abtesting","2025","27273321","2026-03-29 00:00:00.000000"
"@algolia/client-abtesting","2021","0","2026-03-29 00:00:00.000000"
"@algolia/client-abtesting","2022","5621","2026-03-29 00:00:00.000000"
"@algolia/client-abtesting","2023","61221","2026-03-29 00:00:00.000000"
"@algolia/client-abtesting","2024","3867463","2026-03-29 00:00:00.000000"
"@algolia/client-abtesting","2025","63221917","2026-03-29 00:00:00.000000"
"@algolia/client-analytics","2021","17526420","2026-03-29 00:00:00.000000"
"@algolia/client-analytics","2022","34729630","2026-03-29 00:00:00.000000"
"@algolia/client-analytics","2023","49248640","2026-03-29 00:00:00.000000"
"@algolia/client-analytics","2024","76865118","2026-03-29 00:00:00.000000"
"@algolia/client-analytics","2025","126702643","2026-03-29 00:00:00.000000"
"@algolia/client-common","2021","17697944","2026-03-29 00:00:00.000000"
"@algolia/client-common","2022","35797582","2026-03-29 00:00:00.000000"
"@algolia/client-common","2023","52624217","2026-03-29 00:00:00.000000"
"@algolia/client-common","2024","90083917","2026-03-29 00:00:00.000000"
"@algolia/client-common","2025","146932003","2026-03-29 00:00:00.000000"
"@algolia/client-insights","2021","0","2026-03-29 00:00:00.000000"
"@algolia/client-insights","2022","2566","2026-03-29 00:00:00.000000"
"@algolia/client-insights","2023","21426","2026-03-29 00:00:00.000000"
"@algolia/client-insights","2024","1884339","2026-03-29 00:00:00.000000"
"@algolia/client-insights","2025","61603682","2026-03-29 00:00:00.000000"
"@algolia/client-personalization","2021","5807070","2026-03-29 00:00:00.000000"
"@algolia/client-personalization","2022","28714528","2026-03-29 00:00:00.000000"
"@algolia/client-personalization","2023","45366878","2026-03-29 00:00:00.000000"
"@algolia/client-personalization","2024","69495845","2026-03-29 00:00:00.000000"
"@algolia/client-personalization","2025","116357259","2026-03-29 00:00:00.000000"
"@algolia/client-query-suggestions","2021","0","2026-03-29 00:00:00.000000"
"@algolia/client-query-suggestions","2022","2572","2026-03-29 00:00:00.000000"
"@algolia/client-query-suggestions","2023","30068","2026-03-29 00:00:00.000000"
"@algolia/client-query-suggestions","2024","1916287","2026-03-29 00:00:00.000000"
"@algolia/client-query-suggestions","2025","61583429","2026-03-29 00:00:00.000000"
"@algolia/client-search","2021","17664615","2026-03-29 00:00:00.000000"
"@algolia/client-search","2022","35697142","2026-03-29 00:00:00.000000"
