repo,repo_id,cve_count_5y,cve_ids_5y,packages_queried,fetched_at
bitflags/bitflags,29287955,0,,crates.io:bitflags,2026-05-03T15:43:11+00:00
blakeembrey/array-flatten,17789771,0,,npm:array-flatten,2026-05-03T15:43:11+00:00
blakeembrey/change-case,9440238,0,,"npm:no-case,npm:lower-case,npm:camel-case,npm:param-case,npm:dot-case,npm:pascal-case,npm:upper-case,npm:snake-case,npm:change-case,npm:upper-case-first,npm:constant-case,npm:title-case,npm:sentence-case,npm:path-case,npm:header-case,npm:swap-case,npm:capital-case,npm:is-lower-case,npm:is-upper-case,npm:lower-case-first,npm:sponge-case",2026-05-03T15:43:31+00:00
bluss/bencher,65987276,0,,crates.io:bencher,2026-05-03T15:43:11+00:00
boto/boto3,24774658,0,,PyPI:boto3,2026-05-03T15:43:12+00:00
boto/botocore,6670942,0,,PyPI:botocore,2026-05-03T15:43:12+00:00
boto/s3transfer,49535299,0,,PyPI:s3transfer,2026-05-03T15:43:12+00:00
braveg1rl/performance-now,336187529,0,,npm:performance-now,2026-05-03T15:43:12+00:00
brianc/node-postgres,991475,0,,"npm:pg-protocol,npm:pg-connection-string,npm:pg-pool,npm:pg,npm:pg-cloudflare",2026-05-03T15:43:16+00:00
brianloveswords/node-jwa,8116861,0,,npm:jwa,2026-05-03T15:43:12+00:00
broofa/mime,534940,0,,npm:mime,2026-05-03T15:43:12+00:00
broofa/node-int64,1208666,0,,npm:node-int64,2026-05-03T15:43:13+00:00
browserify/node-util,14568009,0,,npm:util,2026-05-03T15:43:13+00:00
browserify/resolve,1915099,0,,npm:resolve,2026-05-03T15:43:13+00:00
browserslist/browserslist,27971466,1,CVE-2021-23364,npm:browserslist,2026-05-03T15:43:13+00:00
browserslist/update-db,505548145,0,,npm:update-browserslist-db,2026-05-03T15:43:13+00:00
burntsushi/aho-corasick,37290678,0,,crates.io:aho-corasick,2026-05-03T15:43:13+00:00
burntsushi/jiff,759017108,0,,"crates.io:jiff,crates.io:jiff-tzdb,crates.io:jiff-static,crates.io:jiff-tzdb-platform,crates.io:jiff-icu",2026-05-03T15:43:18+00:00
