"formula","dep_name","dep_type","fetched_at"
"anchor","rust","build","2026-04-16 22:49:08.142515"
"anchor","openssl@3","runtime","2026-04-16 22:49:08.142515"
"ancient","autoconf","build","2026-04-16 22:49:08.142515"
"ancient","autoconf-archive","build","2026-04-16 22:49:08.142515"
"ancient","automake","build","2026-04-16 22:49:08.142515"
"ancient","libtool","build","2026-04-16 22:49:08.142515"
"ancient","pkgconf","build","2026-04-16 22:49:08.142515"
"angband","__none__","","2026-04-16 22:49:08.142515"
"angle-grinder","rust","build","2026-04-16 22:49:08.142515"
"angular-cli","node","runtime","2026-04-16 22:49:08.142515"
"animdl","certifi","runtime","2026-04-16 22:49:08.142515"
"animdl","libyaml","runtime","2026-04-16 22:49:08.142515"
"animdl","python@3.14","runtime","2026-04-16 22:49:08.142515"
"ansible","pkgconf","build","2026-04-16 22:49:08.142515"
"ansible","rust","build","2026-04-16 22:49:08.142515"
"ansible","certifi","runtime","2026-04-16 22:49:08.142515"
"ansible","cryptography","runtime","2026-04-16 22:49:08.142515"
"ansible","libsodium","runtime","2026-04-16 22:49:08.142515"
"ansible","libssh","runtime","2026-04-16 22:49:08.142515"
"ansible","libyaml","runtime","2026-04-16 22:49:08.142515"
"ansible","python@3.14","runtime","2026-04-16 22:49:08.142515"
"ansible","tree","runtime","2026-04-16 22:49:08.142515"
"ansible-builder","libyaml","runtime","2026-04-16 22:49:08.142515"
"ansible-builder","python@3.14","runtime","2026-04-16 22:49:08.142515"
"ansible-builder","rpds-py","runtime","2026-04-16 22:49:08.142515"
"ansible-cmdb","libyaml","runtime","2026-04-16 22:49:08.142515"
"ansible-cmdb","python@3.14","runtime","2026-04-16 22:49:08.142515"
"ansible-creator","libyaml","runtime","2026-04-16 22:49:08.142515"
"ansible-creator","python@3.14","runtime","2026-04-16 22:49:08.142515"
"ansible-language-server","node","runtime","2026-04-16 22:49:08.142515"
"ansible-lint","pkgconf","build","2026-04-16 22:49:08.142515"
"ansible-lint","cryptography","runtime","2026-04-16 22:49:08.142515"
"ansible-lint","libyaml","runtime","2026-04-16 22:49:08.142515"
"ansible-lint","python@3.14","runtime","2026-04-16 22:49:08.142515"
"ansible-lint","rpds-py","runtime","2026-04-16 22:49:08.142515"
"ansible@10","pkgconf","build","2026-04-16 22:49:08.142515"
"ansible@10","rust","build","2026-04-16 22:49:08.142515"
"ansible@10","certifi","runtime","2026-04-16 22:49:08.142515"
"ansible@10","libsodium","runtime","2026-04-16 22:49:08.142515"
"ansible@10","libssh","runtime","2026-04-16 22:49:08.142515"
"ansible@10","libyaml","runtime","2026-04-16 22:49:08.142515"
"ansible@10","openssl@3","runtime","2026-04-16 22:49:08.142515"
"ansible@10","python@3.12","runtime","2026-04-16 22:49:08.142515"
"ansible@12","pkgconf","build","2026-04-16 22:49:08.142515"
