repo,repo_id,status,distinct_authors,commits_total,clone_seconds,error,fetched_at
dtolnay/syn,67305738,ok,115,4415,2.2,,2026-05-19T11:23:27+00:00
dtolnay/target-triple,734167706,ok,1,41,0.5,,2026-05-19T11:23:27+00:00
dtolnay/thiserror,213836768,ok,21,658,9.4,,2026-05-19T11:23:27+00:00
dtolnay/trybuild,184941159,ok,29,568,4.8,,2026-05-19T11:23:28+00:00
dtolnay/unicode-ident,492639579,ok,6,198,1.1,,2026-05-19T11:23:28+00:00
eemeli/yaml,119439276,ok,34,1570,0.6,,2026-05-19T11:23:29+00:00
ehmicky/human-signals,214467546,ok,5,704,0.6,,2026-05-19T11:23:30+00:00
eliben/pycparser,10589864,ok,101,604,0.7,,2026-05-19T11:23:30+00:00
emotion-js/emotion,92570536,ok,345,1779,9.5,,2026-05-19T11:23:30+00:00
enarx/ciborium,313759241,ok,45,193,0.6,,2026-06-28T14:47:38+00:00
encode/httpcore,237210639,ok,66,567,0.7,,2026-05-19T11:23:30+00:00
encode/httpx,179492861,ok,265,1482,0.8,,2026-05-19T11:23:30+00:00
epoberezkin/fast-deep-equal,94483360,ok,17,93,0.9,,2026-05-19T11:23:31+00:00
epoberezkin/fast-json-stable-stringify,108103016,ok,13,63,0.7,,2026-05-19T11:23:31+00:00
epoberezkin/json-schema-traverse,93333933,ok,9,41,0.6,,2026-05-19T11:23:32+00:00
es-shims/array-includes,28753032,ok,3,234,0.9,,2026-05-19T11:23:32+00:00
es-shims/dunder-proto,898274312,ok,1,10,1.8,,2026-05-19T11:23:32+00:00
es-shims/es-object-atoms,773229339,ok,1,16,0.5,,2026-05-19T11:23:32+00:00
es-shims/es-set-tostringtag,580683868,ok,1,34,0.8,,2026-05-19T11:23:32+00:00
es-shims/math-intrinsics,902014040,ok,1,10,0.6,,2026-05-19T11:23:33+00:00
es-shims/object.values,41723335,ok,1,126,0.5,,2026-05-19T11:23:33+00:00
es-shims/regexp.prototype.flags,26932422,ok,2,169,0.7,,2026-05-19T11:23:33+00:00
es-shims/string.prototype.trimend,114682758,ok,2,73,0.6,,2026-05-19T11:23:34+00:00
es-shims/string.prototype.trimstart,114682105,ok,2,67,0.7,,2026-05-19T11:23:34+00:00
eslint-community/eslint-utils,568240379,ok,12,180,1.0,,2026-05-19T11:23:34+00:00
eslint/eslint,11061773,ok,1260,8666,17.8,,2026-05-19T11:23:34+00:00
eslint/js,27620277,ok,77,681,0.6,,2026-05-19T11:23:34+00:00
eslint/rewrite,791446923,ok,22,444,2.1,,2026-05-19T11:23:35+00:00
estools/escodegen,3611422,ok,64,476,0.8,,2026-05-19T11:23:35+00:00
estools/esquery,11412938,ok,27,140,0.7,,2026-05-19T11:23:36+00:00
estools/esrecurse,27429822,ok,12,52,0.6,,2026-05-19T11:23:37+00:00
estools/estraverse,6145439,ok,32,150,0.6,,2026-05-19T11:23:37+00:00
estools/esutils,14677293,ok,8,45,0.5,,2026-05-19T11:23:37+00:00
ethers-io/ethers.js,63465664,ok,2,783,1.5,,2026-05-19T11:23:38+00:00
evanw/esbuild,61137153,ok,133,4428,30.1,,2026-05-19T11:23:38+00:00
evanw/node-source-map-support,7682781,ok,73,253,0.6,,2026-05-19T11:23:39+00:00
eventualbuddha/lines-and-columns,47284288,ok,3,35,0.7,,2026-05-19T11:23:39+00:00
executablebooks/markdown-it-py,249956697,ok,35,348,0.7,,2026-05-19T11:23:40+00:00
executablebooks/mdurl,387293763,ok,5,37,0.5,,2026-05-19T11:23:40+00:00
exodusoss/bytes,885154008,ok,6,983,1.3,,2026-05-19T11:23:40+00:00
expressjs/body-parser,15669006,ok,44,789,0.8,,2026-05-19T11:23:40+00:00
expressjs/serve-static,17464338,ok,23,404,1.0,,2026-05-19T11:23:41+00:00
facebook/create-react-app,63537249,ok,963,2772,1.2,,2026-05-19T11:23:41+00:00
facebook/metro,76504246,ok,537,5112,2.8,,2026-05-19T11:23:42+00:00
facebook/react,10270250,ok,2037,18876,15.9,,2026-05-19T11:23:42+00:00
facebook/watchman,6930489,ok,536,13900,5.6,,2026-05-19T11:23:42+00:00
facebook/zstd,29759715,ok,451,8856,1.5,,2026-05-19T11:23:42+00:00
facelessuser/soupsieve,160789418,ok,16,348,1.2,,2026-05-19T11:23:42+00:00
fastify/fast-uri,419317518,ok,19,155,0.7,,2026-05-19T11:23:44+00:00
faye/websocket-driver-node,9733816,ok,9,341,0.9,,2026-05-19T11:23:44+00:00
fb55/boolbase,16864585,ok,6,15,0.6,,2026-05-19T11:23:45+00:00
