repo,repo_id,git_url,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
tokio-rs/tracing,gh/165289175,https://github.com/tokio-rs/tracing.git,2025,739,54847,25617,80464,262,tracing-subscriber/src/filter/layer_filters.rs,3226,3.1,2026-05-03T17:22:01Z
eemeli/yaml,gh/119439276,https://github.com/eemeli/yaml.git,2025,583,38973,40947,79920,304,tests/cst/YAML-1.2.spec.js,3608,5.3,2026-05-03T17:22:01Z
python-cffi/cffi,gh/696427398,https://github.com/python-cffi/cffi.git,2025,182,37621,35945,73566,170,src/c/_cffi_backend.c,9232,45.0,2026-05-03T17:22:01Z
krb5/krb5,gh/4307702,https://github.com/krb5/krb5.git,2025,406,31070,41269,72339,747,src/plugins/preauth/pkinit/pkinit_crypto_openssl.c,4985,39.3,2026-05-03T17:22:01Z
mitsuhiko/insta,gh/165561258,https://github.com/mitsuhiko/insta.git,2025,624,44900,27189,72089,112,cargo-insta/tests/main.rs,5644,4.4,2026-05-03T17:22:01Z
sinclairzx81/sinclair-typebox,gh/1122129819,https://github.com/sinclairzx81/sinclair-typebox.git,2025,8,71977,17,71994,989,src/syntax/parser.ts,1686,1.0,2026-05-03T17:22:01Z
gnome/pango,gh/4537144,https://github.com/gnome/pango.git,2025,1297,46519,25090,71609,182,pango/pango-layout.c,8051,22.3,2026-05-03T17:22:01Z
rust-random/rand,gh/30227790,https://github.com/rust-random/rand.git,2025,574,33353,38207,71560,165,src/distributions/uniform.rs,3272,2.4,2026-05-03T17:22:01Z
jaredwray/cacheable,gh/9267870,https://github.com/jaredwray/cacheable.git,2025,1425,44220,27098,71318,199,packages/cacheable/test/index.test.ts,3445,4.6,2026-05-03T17:22:01Z
nodejs/readable-stream,gh/5187096,https://github.com/nodejs/readable-stream.git,2025,38,40990,29438,70428,405,lib/internal/streams/readable.js,1956,2.0,2026-05-03T17:22:01Z
pallets/werkzeug,gh/997338,https://github.com/pallets/werkzeug.git,2025,781,34512,34049,68561,143,src/werkzeug/datastructures.py,4268,7.8,2026-05-03T17:22:01Z
sval-rs/sval,gh/157205610,https://github.com/sval-rs/sval.git,2025,171,43377,24004,67381,153,buffer/src/value.rs,6002,1.7,2026-05-03T17:22:01Z
babel/babel-polyfills,gh/190579283,https://github.com/babel/babel-polyfills.git,2025,229,54381,12400,66781,724,.yarn/releases/yarn-3.6.1.cjs,3496,5.3,2026-05-03T17:22:01Z
jamesmunns/postcard,gh/179385478,https://github.com/jamesmunns/postcard.git,2025,234,41634,24974,66608,122,src/ser/mod.rs,3157,1.2,2026-05-03T17:22:01Z
googleapis/google-auth-library-python,gh/69199387,https://github.com/googleapis/google-auth-library-python.git,2025,617,50389,15592,65981,175,tests/test_aws.py,5964,2.9,2026-05-03T17:22:01Z
knurling-rs/defmt,gh/282262730,https://github.com/knurling-rs/defmt.git,2025,1310,37157,28778,65935,244,decoder/src/lib.rs,6977,1.9,2026-05-03T17:22:01Z
