url,valid,method,checked_at
https://codeberg.org/wvwwvwwv/scalable-delayed-dealloc.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/wvwwvwwv/synchronous-and-asynchronous.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/xfix/array-macro.git,False,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/xfix/enum-map.git,True,ls-remote,2026-05-17T23:15:11Z
https://dev.gnupg.org/source/libgcrypt.git,False,ls-remote,2026-07-06T10:53:22Z
https://git.libssh.org/projects/libssh.git,True,ls-remote,2026-04-27T20:41:04Z
https://git.openldap.org/openldap/openldap.git,True,ls-remote,2026-04-27T20:41:04Z
https://git.postgresql.org/git/postgresql.git,True,ls-remote,2026-04-27T20:41:04Z
https://git.qemu.org/git/qemu.git,True,ls-remote,2026-04-27T20:41:04Z
https://git.savannah.gnu.org/git/gettext.git,True,ls-remote,2026-07-06T10:53:22Z
https://git.savannah.gnu.org/git/libunistring.git,True,ls-remote,2026-07-06T10:53:22Z
https://git.savannah.gnu.org/git/readline.git,True,ls-remote,2026-07-06T10:53:22Z
https://git.savannah.nongnu.org/git/acl.git,True,ls-remote,2026-07-06T10:53:22Z
https://gitlab.cern.ch/dmc/gfal2-bindings.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.cern.ch/fts/fts-rest-flask.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/accounts-sso/accounts-qml-module.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/accounts-sso/libaccounts-glib.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/accounts-sso/libaccounts-qt.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/accounts-sso/signond.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/agerasev/lock-free-static.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/alelec/pip-system-certs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/antonok/enum_dispatch.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/aomediacodec/svt-av1.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.com/apparmor/apparmor.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.com/bern-rtos/tools/rtos-trace.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/boiethios/fluid-rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/boiethios/radix_fmt_rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/bronsonbdevost/next_afterf.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/bzim/lockfree.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/bzim/owned-alloc.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/cardoe/enum-primitive-derive.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/catamphetamine/libphonenumber-js.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/chris-morgan/symlink.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/cjwatson/libpipeline.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.com/cjwatson/man-db.git,True,ls-remote,2026-07-06T10:53:22Z
https://gitlab.com/creepyskeleton/proc-macro-error.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.com/cryptsetup/cryptsetup.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/dajoha/color-print.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/davidbittner/ansi-parser.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/dns2utf8/sudo.rs.git,True,ls-remote,2026-07-06T10:53:22Z
https://gitlab.com/doctormo/python-crontab.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/drj11/pypng.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/drobilla/zix.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/enricoch/rust-fuzzy-search.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/ericvsmith/toposort.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/fast_chemail/fast_chemail-rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/ferreum/trampoline.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/gilrs-project/gilrs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/gnutls/gnutls.git,True,ls-remote,2026-06-28T13:20:44Z
https://gitlab.com/gnutls/libtasn1.git,True,ls-remote,2026-06-28T13:20:44Z
https://gitlab.com/gnuwget/wget2.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.com/graphviz/graphviz.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.com/gsasl/libgssglue.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/ijackson/rust-shellexpand.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/imp/chrono-humanize-rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/inkscape/lib2geom.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/ixion/ixion.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/jd91mzm2/no-std-compat.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/kornelski/aom-decode.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/kornelski/dunce.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/kornelski/http-serde.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/kornelski/loop9.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/kornelski/oklab.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/kornelski/openmp-rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/kornelski/ordered-channel.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/kornelski/parse_cfg.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/kornelski/wild.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/leonhard-llc/ops.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/lib.rs/cargo_toml.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/libeigen/eigen.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/libidn/libidn2.git,True,ls-remote,2026-06-28T13:20:44Z
https://gitlab.com/libtiff/libtiff.git,True,ls-remote,2026-05-31T23:17:28Z
https://gitlab.com/man-db/man-db.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.com/mexus/futures-retry.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/noughmad/ptree.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/noughmad/serde-xml-any.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/noughmad/serde_any.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/okannen/static_init.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/okannen/undo_2.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/orcus/orcus.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/persy/persy.git,True,ls-remote,2026-05-17T23:15:11Z
