project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,language,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
salsa.debian.org/debian/libopenraw,True,70401,gl/debian-70401,salsa.debian.org,Organization,group,debian,libopenraw,debian/libopenraw,,https://salsa.debian.org/debian/libopenraw,master,gpl-3.0,C++,,0,0,,,public,2022-05-27T19:12:15.874Z,2023-08-14T14:05:40.545Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libpst,True,19109,gl/debian-19109,salsa.debian.org,Organization,group,debian,libpst,debian/libpst,,https://salsa.debian.org/debian/libpst,master,agpl-1.0,HTML,,0,3,,,public,2018-03-23T06:12:50.335Z,2025-10-31T01:03:14.201Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libqalculate,True,31594,gl/debian-31594,salsa.debian.org,Organization,group,debian,libqalculate,debian/libqalculate,"**[libqalculate](https://tracker.debian.org/pkg/libqalculate)** Debian packaging

  _Related packages: [qalculate-gtk](https://salsa.debian.org/debian/qalculate-gtk)_",https://salsa.debian.org/debian/libqalculate,debian/master,gpl-2.0+,C++,calculator | math | physical constants | unit conversion,4,4,,,public,2018-10-30T05:41:48.051Z,2026-05-03T19:59:47.005Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libquvi-scripts,True,63134,gl/debian-63134,salsa.debian.org,Organization,group,debian,libquvi-scripts,debian/libquvi-scripts,Debian packaging for libquvi-scripts,https://salsa.debian.org/debian/libquvi-scripts,master,agpl-3.0,Shell,,0,1,,,public,2021-09-03T21:57:26.641Z,2022-11-02T21:20:10.948Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/librelp,True,6049,gl/debian-6049,salsa.debian.org,Organization,group,debian,librelp,debian/librelp,librelp packaging,https://salsa.debian.org/debian/librelp,debian/latest,gpl-3.0,Shell,,1,1,,,public,2018-01-14T16:20:41.390Z,2025-09-09T16:37:32.662Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/librist,True,68641,gl/debian-68641,salsa.debian.org,Organization,group,debian,librist,debian/librist,,https://salsa.debian.org/debian/librist,master,bsd-2-clause,C,,0,0,,,public,2022-03-14T19:21:46.389Z,2026-06-29T19:21:17.480Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libssh,True,20695,gl/debian-20695,salsa.debian.org,Organization,group,debian,libssh,debian/libssh,LibSSH packaging,https://salsa.debian.org/debian/libssh,debian,lgpl-2.1,C,,1,4,,,public,2018-04-03T15:07:55.155Z,2026-03-19T10:19:39.569Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libteam,True,24301,gl/debian-24301,salsa.debian.org,Organization,group,debian,libteam,debian/libteam,,https://salsa.debian.org/debian/libteam,master,,,,1,1,,,public,2018-04-29T22:26:32.584Z,2022-12-07T13:24:57.339Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libtextwrap,True,63598,gl/debian-63598,salsa.debian.org,Organization,group,debian,libtextwrap,debian/libtextwrap,libtextwrap packaging,https://salsa.debian.org/debian/libtextwrap,master,,Shell,,0,1,,,public,2021-09-14T21:16:54.405Z,2026-01-18T01:56:40.545Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libtirpc,True,37926,gl/debian-37926,salsa.debian.org,Organization,group,debian,libtirpc,debian/libtirpc,,https://salsa.debian.org/debian/libtirpc,master,bsd-3-clause,C,,0,2,,,public,2019-09-01T17:31:50.825Z,2026-03-31T17:06:12.354Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libtomcrypt,True,28704,gl/debian-28704,salsa.debian.org,Organization,group,debian,libtomcrypt,debian/libtomcrypt,Packaging for libtomcrypt,https://salsa.debian.org/debian/libtomcrypt,master,wtfpl,C,,0,1,,,public,2018-07-11T15:52:54.354Z,2024-02-28T14:24:26.603Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libvisual,True,29822,gl/debian-29822,salsa.debian.org,Organization,group,debian,libvisual,debian/libvisual,,https://salsa.debian.org/debian/libvisual,debian/master,lgpl-2.1,C,,0,3,,,public,2018-08-24T13:54:00.838Z,2025-12-14T15:50:41.277Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libvoikko,True,33621,gl/debian-33621,salsa.debian.org,Organization,group,debian,libvoikko,debian/libvoikko,Library of free natural language processing tools,https://salsa.debian.org/debian/libvoikko,master,gpl-2.0+,C++,,0,1,,,public,2019-01-26T12:01:29.831Z,2026-01-17T17:56:00.864Z,2026-07-06T00:20:30Z
