project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
salsa.debian.org/multimedia-team/libdvdnav,True,8057,gl/salsa.debian.org-8057,salsa.debian.org,Organization,group,multimedia-team,libdvdnav,multimedia-team/libdvdnav,libdvdnav packaging,https://salsa.debian.org/multimedia-team/libdvdnav,master,gpl-2.0+,,0,1,,,public,2018-01-28T17:29:35.763Z,2025-12-09T00:02:55.785Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libdvdread,True,8058,gl/salsa.debian.org-8058,salsa.debian.org,Organization,group,multimedia-team,libdvdread,multimedia-team/libdvdread,libdvdread packaging,https://salsa.debian.org/multimedia-team/libdvdread,master,gpl-2.0+,,0,1,,,public,2018-01-28T17:29:39.588Z,2025-12-08T14:01:03.951Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libgav1,True,55476,gl/salsa.debian.org-55476,salsa.debian.org,Organization,group,multimedia-team,libgav1,multimedia-team/libgav1,libgav1 packaging,https://salsa.debian.org/multimedia-team/libgav1,master,apache-2.0,,1,2,,,public,2020-10-28T16:37:33.977Z,2026-06-30T10:12:08.365Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libkate,True,28691,gl/salsa.debian.org-28691,salsa.debian.org,Organization,group,multimedia-team,libkate,multimedia-team/libkate,libkate packaging,https://salsa.debian.org/multimedia-team/libkate,master,bsd-3-clause,,1,1,,,public,2018-07-11T13:04:19.150Z,2026-04-25T08:40:03.945Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libopenmpt,True,8077,gl/salsa.debian.org-8077,salsa.debian.org,Organization,group,multimedia-team,libopenmpt,multimedia-team/libopenmpt,libopenmpt packaging,https://salsa.debian.org/multimedia-team/libopenmpt,debian/master,bsd-3-clause,,0,0,,,public,2018-01-28T17:30:45.007Z,2026-05-31T16:40:39.612Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libshout,True,8086,gl/salsa.debian.org-8086,salsa.debian.org,Organization,group,multimedia-team,libshout,multimedia-team/libshout,libshout packaging,https://salsa.debian.org/multimedia-team/libshout,master,lgpl-2.0,,1,2,,,public,2018-01-28T17:31:17.706Z,2022-11-02T06:06:38.366Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libtheora,True,28694,gl/salsa.debian.org-28694,salsa.debian.org,Organization,group,multimedia-team,libtheora,multimedia-team/libtheora,libtheora packaging,https://salsa.debian.org/multimedia-team/libtheora,master,bsd-3-clause,,1,1,,,public,2018-07-11T13:04:29.218Z,2025-09-06T13:53:51.682Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libvorbis,True,28695,gl/salsa.debian.org-28695,salsa.debian.org,Organization,group,multimedia-team,libvorbis,multimedia-team/libvorbis,libvorbis packaging,https://salsa.debian.org/multimedia-team/libvorbis,master,bsd-3-clause,,1,2,,,public,2018-07-11T13:04:32.826Z,2025-04-14T08:01:58.088Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/lilv,True,8097,gl/salsa.debian.org-8097,salsa.debian.org,Organization,group,multimedia-team,lilv,multimedia-team/lilv,lilv packaging,https://salsa.debian.org/multimedia-team/lilv,master,0bsd,,0,1,,,public,2018-01-28T17:31:53.396Z,2026-07-03T10:47:40.978Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/opencore-amr,True,8143,gl/salsa.debian.org-8143,salsa.debian.org,Organization,group,multimedia-team,opencore-amr,multimedia-team/opencore-amr,opencore-amr packaging,https://salsa.debian.org/multimedia-team/opencore-amr,master,apache-2.0,,0,0,,,public,2018-01-28T17:34:42.314Z,2022-10-09T15:09:31.529Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/rtmpdump,True,8185,gl/salsa.debian.org-8185,salsa.debian.org,Organization,group,multimedia-team,rtmpdump,multimedia-team/rtmpdump,rtmpdump packaging,https://salsa.debian.org/multimedia-team/rtmpdump,master,gpl-2.0+,,1,2,,,public,2018-01-28T17:37:02.626Z,2026-04-10T08:41:51.656Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/serd,True,8191,gl/salsa.debian.org-8191,salsa.debian.org,Organization,group,multimedia-team,serd,multimedia-team/serd,serd packaging,https://salsa.debian.org/multimedia-team/serd,master,0bsd,,0,0,,,public,2018-01-28T17:37:19.404Z,2026-07-03T12:39:11.920Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/sord,True,8211,gl/salsa.debian.org-8211,salsa.debian.org,Organization,group,multimedia-team,sord,multimedia-team/sord,sord packaging,https://salsa.debian.org/multimedia-team/sord,master,0bsd,,0,1,,,public,2018-01-28T17:38:21.997Z,2026-03-02T17:59:15.473Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/soundtouch,True,8216,gl/salsa.debian.org-8216,salsa.debian.org,Organization,group,multimedia-team,soundtouch,multimedia-team/soundtouch,soundtouch packaging,https://salsa.debian.org/multimedia-team/soundtouch,master,lgpl-2.1,,0,2,,,public,2018-01-28T17:38:40.628Z,2026-05-08T11:54:51.333Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/speexdsp,True,69063,gl/salsa.debian.org-69063,salsa.debian.org,Organization,group,multimedia-team,speexdsp,multimedia-team/speexdsp,speexdsp packaging,https://salsa.debian.org/multimedia-team/speexdsp,master,bsd-3-clause,,0,1,,,public,2022-04-01T22:35:31.079Z,2026-05-28T18:53:11.075Z,2026-07-05T16:56:43Z
salsa.debian.org/multimedia-team/sratom,True,8218,gl/salsa.debian.org-8218,salsa.debian.org,Organization,group,multimedia-team,sratom,multimedia-team/sratom,sratom packaging,https://salsa.debian.org/multimedia-team/sratom,master,0bsd,,0,1,,,public,2018-01-28T17:38:45.354Z,2026-03-03T18:11:58.486Z,2026-07-05T16:56:43Z
salsa.debian.org/multimedia-team/twolame,True,8241,gl/salsa.debian.org-8241,salsa.debian.org,Organization,group,multimedia-team,twolame,multimedia-team/twolame,twolame packaging,https://salsa.debian.org/multimedia-team/twolame,master,lgpl-2.1,,0,1,,,public,2018-01-28T17:39:47.730Z,2021-09-23T20:51:59.614Z,2026-07-05T16:56:43Z
salsa.debian.org/multimedia-team/x264,True,8260,gl/salsa.debian.org-8260,salsa.debian.org,Organization,group,multimedia-team,x264,multimedia-team/x264,x264 packaging,https://salsa.debian.org/multimedia-team/x264,master,gpl-2.0+,,0,2,,,public,2018-01-28T17:40:33.404Z,2025-09-21T21:38:24.484Z,2026-07-05T16:56:43Z
salsa.debian.org/multimedia-team/xvidcore,True,8268,gl/salsa.debian.org-8268,salsa.debian.org,Organization,group,multimedia-team,xvidcore,multimedia-team/xvidcore,xvidcore packaging,https://salsa.debian.org/multimedia-team/xvidcore,master,gpl-2.0+,,0,1,,,public,2018-01-28T17:40:54.202Z,2025-08-14T07:54:22.986Z,2026-07-05T16:56:43Z
salsa.debian.org/nvidia-team/libvdpau,True,20928,gl/salsa.debian.org-20928,salsa.debian.org,Organization,group,nvidia-team,libvdpau,nvidia-team/libvdpau,libvdpau packaging,https://salsa.debian.org/nvidia-team/libvdpau,main,mit,,1,2,,,public,2018-04-05T20:50:31.602Z,2025-12-30T01:49:23.346Z,2026-07-05T16:56:43Z
salsa.debian.org/olly/xapian-core,True,27151,gl/salsa.debian.org-27151,salsa.debian.org,User,user,olly,xapian-core,olly/xapian-core,debian directory for xapian-core package,https://salsa.debian.org/olly/xapian-core,master,bsd-3-clause,,0,0,,,public,2018-05-31T01:07:16.186Z,2026-03-17T01:47:37.695Z,2026-07-05T16:56:43Z
salsa.debian.org/openldap-team/openldap,True,19223,gl/salsa.debian.org-19223,salsa.debian.org,Organization,group,openldap-team,openldap,openldap-team/openldap,,https://salsa.debian.org/openldap-team/openldap,master,oldap-2.8,,0,14,,,public,2018-03-26T01:28:31.077Z,2026-06-22T23:39:40.107Z,2026-07-05T16:56:43Z
salsa.debian.org/optical-media-team/cdparanoia,True,1533,gl/salsa.debian.org-1533,salsa.debian.org,Organization,group,optical-media-team,cdparanoia,optical-media-team/cdparanoia,,https://salsa.debian.org/optical-media-team/cdparanoia,master,lgpl-2.1,,0,0,,,public,2018-01-03T03:05:31.818Z,2021-10-13T06:40:09.631Z,2026-07-05T16:56:43Z
salsa.debian.org/parted-team/parted,True,9449,gl/salsa.debian.org-9449,salsa.debian.org,Organization,group,parted-team,parted,parted-team/parted,parted packaging,https://salsa.debian.org/parted-team/parted,master,gpl-3.0,,0,6,,,public,2018-02-04T15:33:10.789Z,2026-04-14T12:04:40.808Z,2026-07-05T16:56:43Z
salsa.debian.org/perl-team/interpreter/perl,True,21499,gl/salsa.debian.org-21499,salsa.debian.org,Organization,group,perl-team/interpreter,perl,perl-team/interpreter/perl,Packaging of the perl interpreter,https://salsa.debian.org/perl-team/interpreter/perl,debian-5.40,gpl-1.0+,,1,8,,,public,2018-04-17T21:39:30.225Z,2026-06-27T18:55:37.794Z,2026-07-05T16:56:43Z
