project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
salsa.debian.org/xorg-team/lib/libxkbfile,True,4320,gl/salsa.debian.org-4320,salsa.debian.org,Organization,group,xorg-team/lib,libxkbfile,xorg-team/lib/libxkbfile,libxkbfile packaging,https://salsa.debian.org/xorg-team/lib/libxkbfile,debian-unstable,other,,0,1,,,public,2018-01-07T18:51:09.330Z,2022-11-22T13:14:55.742Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxmu,True,4321,gl/salsa.debian.org-4321,salsa.debian.org,Organization,group,xorg-team/lib,libxmu,xorg-team/lib/libxmu,libxmu packaging,https://salsa.debian.org/xorg-team/lib/libxmu,debian-unstable,mit-open-group,,0,1,,,public,2018-01-07T18:51:12.453Z,2025-12-25T00:52:42.854Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxrandr,True,4327,gl/salsa.debian.org-4327,salsa.debian.org,Organization,group,xorg-team/lib,libxrandr,xorg-team/lib/libxrandr,libxrandr packaging,https://salsa.debian.org/xorg-team/lib/libxrandr,debian-unstable,hpnd,,0,0,,,public,2018-01-07T18:51:32.658Z,2024-03-20T12:39:34.388Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxrender,True,4328,gl/salsa.debian.org-4328,salsa.debian.org,Organization,group,xorg-team/lib,libxrender,xorg-team/lib/libxrender,libxrender packaging,https://salsa.debian.org/xorg-team/lib/libxrender,debian-unstable,other,,0,1,,,public,2018-01-07T18:51:35.993Z,2025-03-25T12:49:22.601Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxres,True,4329,gl/salsa.debian.org-4329,salsa.debian.org,Organization,group,xorg-team/lib,libxres,xorg-team/lib/libxres,libxres packaging,https://salsa.debian.org/xorg-team/lib/libxres,debian-unstable,other,,0,2,,,public,2018-01-07T18:51:39.421Z,2026-03-26T17:45:28.668Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxss,True,4331,gl/salsa.debian.org-4331,salsa.debian.org,Organization,group,xorg-team/lib,libxss,xorg-team/lib/libxss,libxss packaging,https://salsa.debian.org/xorg-team/lib/libxss,debian-unstable,other,,0,1,,,public,2018-01-07T18:51:46.452Z,2025-07-25T13:28:15.136Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxt,True,4332,gl/salsa.debian.org-4332,salsa.debian.org,Organization,group,xorg-team/lib,libxt,xorg-team/lib/libxt,libxt packaging,https://salsa.debian.org/xorg-team/lib/libxt,debian-unstable,mit,,1,0,,,public,2018-01-07T18:51:49.845Z,2024-03-15T11:07:33.093Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxtst,True,4333,gl/salsa.debian.org-4333,salsa.debian.org,Organization,group,xorg-team/lib,libxtst,xorg-team/lib/libxtst,libxtst packaging,https://salsa.debian.org/xorg-team/lib/libxtst,debian-unstable,x11-distribute-modifications-variant,,0,1,,,public,2018-01-07T18:51:53.664Z,2025-01-22T07:20:39.572Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxvmc,True,4335,gl/salsa.debian.org-4335,salsa.debian.org,Organization,group,xorg-team/lib,libxvmc,xorg-team/lib/libxvmc,libxvmc packaging,https://salsa.debian.org/xorg-team/lib/libxvmc,debian-unstable,mit,,0,0,,,public,2018-01-07T18:52:00.900Z,2020-02-29T11:19:12.076Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxxf86dga,True,4336,gl/salsa.debian.org-4336,salsa.debian.org,Organization,group,xorg-team/lib,libxxf86dga,xorg-team/lib/libxxf86dga,libxxf86dga packaging,https://salsa.debian.org/xorg-team/lib/libxxf86dga,debian-unstable,other,,0,1,,,public,2018-01-07T18:52:04.780Z,2022-11-22T13:37:40.463Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/mesa,True,4338,gl/salsa.debian.org-4338,salsa.debian.org,Organization,group,xorg-team/lib,mesa,xorg-team/lib/mesa,mesa packaging,https://salsa.debian.org/xorg-team/lib/mesa,debian-unstable,,,7,40,,,public,2018-01-07T18:52:12.237Z,2026-07-02T07:10:50.146Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/xcb-util,True,4341,gl/salsa.debian.org-4341,salsa.debian.org,Organization,group,xorg-team/lib,xcb-util,xorg-team/lib/xcb-util,xcb-util packaging,https://salsa.debian.org/xorg-team/lib/xcb-util,debian-unstable,x11-distribute-modifications-variant,,0,1,,,public,2018-01-07T18:52:23.555Z,2025-01-22T11:53:25.394Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/xcb-util-image,True,4342,gl/salsa.debian.org-4342,salsa.debian.org,Organization,group,xorg-team/lib,xcb-util-image,xorg-team/lib/xcb-util-image,xcb-util-image packaging,https://salsa.debian.org/xorg-team/lib/xcb-util-image,debian-unstable,x11-distribute-modifications-variant,,0,1,,,public,2018-01-07T18:52:27.142Z,2022-02-14T16:16:53.355Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/xcb-util-keysyms,True,4343,gl/salsa.debian.org-4343,salsa.debian.org,Organization,group,xorg-team/lib,xcb-util-keysyms,xorg-team/lib/xcb-util-keysyms,xcb-util-keysyms packaging,https://salsa.debian.org/xorg-team/lib/xcb-util-keysyms,debian-unstable,x11-distribute-modifications-variant,,0,1,,,public,2018-01-07T18:52:31.045Z,2025-01-28T12:47:14.904Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/xcb-util-renderutil,True,4344,gl/salsa.debian.org-4344,salsa.debian.org,Organization,group,xorg-team/lib,xcb-util-renderutil,xorg-team/lib/xcb-util-renderutil,xcb-util-renderutil packaging,https://salsa.debian.org/xorg-team/lib/xcb-util-renderutil,debian-unstable,x11-distribute-modifications-variant,,0,1,,,public,2018-01-07T18:52:34.912Z,2025-01-28T12:47:52.756Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/xcb-util-wm,True,4345,gl/salsa.debian.org-4345,salsa.debian.org,Organization,group,xorg-team/lib,xcb-util-wm,xorg-team/lib/xcb-util-wm,xcb-util-wm packaging,https://salsa.debian.org/xorg-team/lib/xcb-util-wm,debian-unstable,x11-distribute-modifications-variant,,0,3,,,public,2018-01-07T18:52:38.563Z,2024-10-18T10:21:14.429Z,2026-07-05T16:56:44Z
salsa.debian.org/yangfl-guest/libwmf,True,44856,gl/salsa.debian.org-44856,salsa.debian.org,User,user,yangfl-guest,libwmf,yangfl-guest/libwmf,,https://salsa.debian.org/yangfl-guest/libwmf,master,gpl-2.0+,,0,4,,,public,2020-03-27T09:56:40.881Z,2026-03-01T21:08:39.131Z,2026-07-05T16:56:44Z
