"package","dependency","type"
"firebase-cli","node","runtime"
"fish","pcre2","runtime"
"fizz","fmt","runtime"
"fizz","folly","runtime"
"fizz","glog","runtime"
"fizz","libsodium","runtime"
"fizz","openssl@3","runtime"
"fizz","zstd","runtime"
"flac","libogg","runtime"
"flann","hdf5","runtime"
"flann","lz4","runtime"
"flex","gettext","runtime"
"fltk","jpeg-turbo","runtime"
"fltk","libpng","runtime"
"fluid-synth","gettext","runtime"
"fluid-synth","glib","runtime"
"fluid-synth","libsndfile","runtime"
"fluid-synth","portaudio","runtime"
"fluid-synth","readline","runtime"
"flyway","openjdk","runtime"
"folly","boost","runtime"
"folly","double-conversion","runtime"
"folly","fmt","runtime"
"folly","gflags","runtime"
"folly","glog","runtime"
"folly","libevent","runtime"
"folly","libsodium","runtime"
"folly","lz4","runtime"
"folly","openssl@3","runtime"
"folly","snappy","runtime"
"folly","xz","runtime"
"folly","zstd","runtime"
"fontconfig","freetype","runtime"
"fontconfig","gettext","runtime"
"fontforge","brotli","runtime"
"fontforge","cairo","runtime"
"fontforge","fontconfig","runtime"
"fontforge","freetype","runtime"
"fontforge","gettext","runtime"
"fontforge","giflib","runtime"
"fontforge","glib","runtime"
"fontforge","jpeg-turbo","runtime"
"fontforge","libpng","runtime"
"fontforge","libspiro","runtime"
"fontforge","libtiff","runtime"
"fontforge","libtool","runtime"
"fontforge","libuninameslist","runtime"
"fontforge","pango","runtime"
"fontforge","python@3.14","runtime"
"fontforge","readline","runtime"
"fontforge","woff2","runtime"
"freeglut","libx11","runtime"
"freeglut","libxi","runtime"
"freeglut","libxrandr","runtime"
"freeglut","libxxf86vm","runtime"
"freeglut","mesa","runtime"
"freerdp","cjson","runtime"
"freerdp","ffmpeg","runtime"
"freerdp","jansson","runtime"
"freerdp","jpeg-turbo","runtime"
"freerdp","libcbor","runtime"
"freerdp","libfido2","runtime"
"freerdp","libusb","runtime"
"freerdp","libx11","runtime"
"freerdp","libxcursor","runtime"
"freerdp","libxext","runtime"
"freerdp","libxfixes","runtime"
"freerdp","libxi","runtime"
"freerdp","libxinerama","runtime"
"freerdp","libxrandr","runtime"
"freerdp","libxrender","runtime"
"freerdp","libxv","runtime"
"freerdp","openssl@3","runtime"
