"package","github_repo","git","eco_guess","language","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class","license"
"nettle","","","","c/c++","1036662","0","2115504","436424","762564","832156","True","True","False","0.00288059","A","gpl-2.0-or-later or lgpl-3.0-or-later"
"ruby","","","","rust","802348","0","1362620","350990","769299","726483","True","False","False","0.00279327","A","ruby"
"graphite2","silnrsi/graphite","https://github.com/silnrsi/graphite.git","","c/c++","710634","0","1313322","277270","611513","640434","True","True","False","0.00278093","A","mit or mpl-2.0 or lgpl-2.1-or-later or gpl-2.0-or-later"
"p11-kit","p11-glue/p11-kit","https://github.com/p11-glue/p11-kit.git","","c/c++","965128","0","1869734","366660","884433","739688","True","True","True","0.00271278","A","bsd-3-clause"
"gh","cli/cli","https://github.com/cli/cli.git","","go","1169690","0","1189319","394493","1302431","1792519","True","False","False","0.00268675","A","mit"
"ruby-build","rbenv/ruby-build","https://github.com/rbenv/ruby-build.git","","c/c++","846438","0","1827694","233082","759227","565752","True","True","False","0.00264563","A","mit"
"go","","","","c/c++","1047691","0","1392512","513029","1056974","1228249","True","True","False","0.00262091","A","bsd-3-clause"
"libxrender","","","","c/c++","944970","0","1919330","337371","646979","876200","True","True","False","0.00261633","A","mit"
"libssh2","","","","c/c++","621327","0","982403","376427","585136","541342","True","True","False","0.00260010","A","bsd-3-clause"
"curl","","","","c/c++","1060193","0","1728841","561696","1022060","928175","True","True","False","0.00253831","A","curl"
"highway","google/highway","https://github.com/google/highway.git","","c/c++","912315","0","1811891","502613","779193","555564","True","True","False","0.00250053","A","apache-2.0 or bsd-3-clause"
"fmt","fmtlib/fmt","https://github.com/fmtlib/fmt.git","","c/c++","290346","0","495382","124044","253340","288618","True","True","True","0.00248721","A","mit"
"certifi","certifi/python-certifi","https://github.com/certifi/python-certifi.git","","python","666535","0","0","0","595710","737361","True","False","False","0.00246068","A","mpl-2.0"
"fribidi","fribidi/fribidi","https://github.com/fribidi/fribidi.git","","c/c++","737907","0","1253493","297730","835076","565329","True","True","True","0.00243718","A","gpl-2.0-or-later and lgpl-2.1-or-later"
"mpg123","","","","c/c++","492407","0","550470","198574","647967","572619","True","True","False","0.00231285","A","lgpl-2.1-only"
"gflags","gflags/gflags","https://github.com/gflags/gflags.git","","c/c++","142983","0","325432","70371","100521","75611","True","True","False","0.00226111","A","bsd-3-clause"
"tesseract","tesseract-ocr/tesseract","https://github.com/tesseract-ocr/tesseract.git","","c/c++","913768","0","1155915","423580","1101000","974577","True","True","True","0.00224026","A","apache-2.0"
"openjpeg","uclouvain/openjpeg","https://github.com/uclouvain/openjpeg.git","","c/c++","783774","0","1345543","331967","733360","724229","True","True","True","0.00223400","A","bsd-2-clause"
"imagemagick","ImageMagick/ImageMagick","https://github.com/imagemagick/imagemagick.git","","c/c++","945142","0","1573486","452619","912693","841772","True","True","True","0.00218598","A","imagemagick"
"php","","","","c/c++","694800","0","1215858","339546","674686","549111","True","True","False","0.00216031","A","php-3.01 and zend-2.0 and bsl-1.0 and mit and apache-1.0 and apache-2.0 and bcrypt-solar-designer and bsd-2-clause-darwin and bsd-2-clause and bsd-3-clause and bsd-4-clause-uc and isc and lgpl-2.1-only and lgpl-2.1-or-later and oldap-2.8 and tcl and zlib"
"wget","","","","c/c++","939560","0","1349795","556948","1137063","714436","True","True","False","0.00215815","A","gpl-3.0-or-later"
"folly","facebook/folly","https://github.com/facebook/folly.git","","c/c++","474026","0","927316","243649","432781","292358","True","True","False","0.00212521","A","apache-2.0"
"lzo","","","","c/c++","700894","0","1474981","266928","519068","542601","True","True","False","0.00210427","A","gpl-2.0-or-later"
"libpq","","","","c/c++","836096","0","1620325","375222","739242","609598","True","True","False","0.00205496","A","postgresql"
"zlib","","","","c/c++","890331","0","1142506","479277","999206","940336","True","True","False","0.00204507","A","zlib"
"boost","boostorg/boost","https://github.com/boostorg/boost.git","","c/c++","676969","0","1186242","266155","699669","555812","True","True","True","0.00203243","A","bsl-1.0"
"isl","","","","c/c++","583165","0","861913","386519","644438","439792","True","True","False","0.00199756","A","mit"
"libngtcp2","ngtcp2/ngtcp2","https://github.com/ngtcp2/ngtcp2.git","","c/c++","567026","0","0","0","0","567026","True","True","False","0.00197531","A","mit"
"libffi","libffi/libffi","https://github.com/libffi/libffi.git","","c/c++","677552","0","1511038","182403","431956","584813","True","True","False","0.00196597","A","mit"
"libarchive","","","","c/c++","696702","0","994020","269225","758878","764688","True","True","False","0.00192697","A","bsd-2-clause"
"gnupg","","","","c/c++","759991","0","915044","277128","972906","874887","True","True","False","0.00192462","A","gpl-3.0-or-later"
"openblas","OpenMathLib/OpenBLAS","https://github.com/openmathlib/openblas.git","","c/c++","361316","0","443342","155431","561969","284522","True","True","False","0.00187498","A","bsd-3-clause and bsd-2-clause-views and bsd-3-clause-open-mpi and bsd-2-clause"
"libavif","AOMediaCodec/libavif","https://github.com/aomediacodec/libavif.git","","c/c++","720852","0","1643271","189758","564943","485439","True","True","True","0.00187094","A","bsd-2-clause"
"jasper","jasper-software/jasper","https://github.com/jasper-software/jasper.git","","c/c++","691511","0","1617689","135907","563820","448629","True","True","False","0.00186396","A","jasper-2.0"
