"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"fswatch","https://github.com/emcrisostomo/fswatch.git","","","","","",""
"fx","https://github.com/antonmedv/fx.git","","","","","",""
"fzf","https://github.com/junegunn/fzf.git","","","","","",""
"gallery-dl","","","","","https://codeberg.org/mikf/gallery-dl.git","",""
"game-music-emu","https://github.com/libgme/game-music-emu.git","","","","","",""
"gauche","https://github.com/shirok/gauche.git","","","","","",""
"gawk","","","","","","",""
"gcc","","","","","","",""
"gd","https://github.com/libgd/libgd.git","","","","","",""
"gdal","https://github.com/osgeo/gdal.git","","","","","",""
"gdb","","","","","","",""
"gdbm","","","","","","",""
"gdk-pixbuf","","","","","","",""
"geckodriver","https://github.com/mozilla/geckodriver.git","","","","","",""
"gedit","","https://gitlab.gnome.org/world/gedit/gedit.git","","","","",""
"gemini-cli","","","","","","",""
"geos","","","","","","",""
"gettext","","","","","","",""
"gflags","https://github.com/gflags/gflags.git","","","","","",""
"ggml","https://github.com/ggml-org/ggml.git","","","","","",""
"gh","https://github.com/cli/cli.git","","","","","",""
"ghc","","","","","","",""
"ghostscript","https://github.com/artifexsoftware/ghostpdl-downloads.git","","","","","",""
"giflib","","","","","","",""
"gimme-aws-creds","https://github.com/nike-inc/gimme-aws-creds.git","","","","","",""
"git","","","","","","https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.55.0.tar.xz",""
"git-crypt","","","","","","",""
"git-delta","https://github.com/dandavison/delta.git","","","","","",""
"git-filter-repo","https://github.com/newren/git-filter-repo.git","","","","","",""
"git-flow","https://github.com/nvie/gitflow.git","","","","","",""
"git-gui","","","","","","https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.55.0.tar.xz",""
"git-lfs","https://github.com/git-lfs/git-lfs.git","","","","","",""
"gitlab-runner","","https://gitlab.com/gitlab-org/gitlab-runner.git","","","","",""
"gitleaks","https://github.com/gitleaks/gitleaks.git","","","","","",""
"gitui","https://github.com/gitui-org/gitui.git","","","","","",""
"gl2ps","","","","","","",""
"glab","","https://gitlab.com/gitlab-org/cli.git","","","","",""
"glances","","","","","","",""
"glew","","","","","","",""
"glfw","https://github.com/glfw/glfw.git","","","","","",""
"glib","","","","","","",""
"glib-networking","","https://gitlab.gnome.org/gnome/glib-networking.git","","","","",""
"glibc","","","","","","",""
"glog","https://github.com/google/glog.git","","","","","",""
"glow","https://github.com/charmbracelet/glow.git","","","","","",""
"glpk","","","","","","",""
"glslang","https://github.com/khronosgroup/glslang.git","","","","","",""
"gmp","","","","","","",""
"gnu-getopt","https://github.com/util-linux/util-linux.git","","","","","",""
"gnu-sed","","","","","","",""
"gnu-tar","","","","","","",""
"gnupg","","","","","","",""
"gnuplot","","","","","","",""
"gnuradio","https://github.com/gnuradio/gnuradio.git","","","","","",""
"gnutls","","","","","","",""
"go","","","","","","",""
"go-md2man","https://github.com/cpuguy83/go-md2man.git","","","","","",""
"go-task","https://github.com/go-task/task.git","","","","","",""
"go@1.21","","","","","","",""
"go@1.22","","","","","","",""
"go@1.24","","","","","","",""
"gobject-introspection","","","","","","",""
"golang-migrate","https://github.com/golang-migrate/migrate.git","","","","","",""
"golangci-lint","https://github.com/golangci/golangci-lint.git","","","","","",""
"gomplate","https://github.com/hairyhenderson/gomplate.git","","","","","",""
"googletest","https://github.com/google/googletest.git","","","","","",""
"gopls","https://github.com/golang/tools.git","","","","","",""
"goreleaser","https://github.com/goreleaser/goreleaser.git","","","","","",""
"gpatch","","","","","","",""
"gperf","","","","","","",""
"gpgme","","","","","","",""
"gpgmepp","","","","","","",""
"gping","https://github.com/orf/gping.git","","","","","",""
"gradle","","","","","","",""
"gradle-completion","https://github.com/gradle/gradle-completion.git","","","","","",""
"grafana","https://github.com/grafana/grafana.git","","","","","",""
"graphene","https://github.com/ebassi/graphene.git","","","","","",""
"graphicsmagick","","","","","","",""
"graphite2","https://github.com/silnrsi/graphite.git","","","","","",""
"graphviz","","https://gitlab.com/api/v4/projects/4207231/packages/generic/graphviz-releases/15.1.0/graphviz-15.1.0.tar.xz.git","","","","",""
"grep","","","","","","",""
"groff","","","","","","",""
"groonga","https://github.com/groonga/groonga.git","","","","","",""
"groovy","","","","","","",""
"grpc","https://github.com/grpc/grpc.git","","","","","",""
"grpcurl","https://github.com/fullstorydev/grpcurl.git","","","","","",""
"grype","https://github.com/anchore/grype.git","","","","","",""
"gsettings-desktop-schemas","","","","","","",""
"gsl","","","","","","",""
"gspell","","https://gitlab.gnome.org/gnome/gspell.git","","","","",""
"gstreamer","","https://gitlab.freedesktop.org/gstreamer/gstreamer.git","","","","",""
"gtk+","","","","","","",""
"gtk+3","","","","","","",""
"gtk-mac-integration","","","","","","",""
"gtk-vnc","","https://gitlab.gnome.org/gnome/gtk-vnc.git","","","","",""
"gtk4","","","","","","",""
"gtksourceview4","","","","","","",""
"gts","","","","","","",""
"guile","","","","","","",""
"gum","https://github.com/charmbracelet/gum.git","","","","","",""
"gumbo-parser","","","","","https://codeberg.org/gumbo-parser/gumbo-parser.git","",""
"gzip","","","","","","",""
"hadolint","https://github.com/hadolint/hadolint.git","","","","","",""
"hadoop","","","","","","",""
"handbrake","https://github.com/handbrake/handbrake.git","","","","","",""
"harfbuzz","https://github.com/harfbuzz/harfbuzz.git","","","","","",""
"hashcat","","","","","","",""
"haskell-stack","https://github.com/commercialhaskell/stack.git","","","","","",""
"hdf5","https://github.com/hdfgroup/hdf5.git","","","","","",""
"hdrhistogram_c","https://github.com/hdrhistogram/hdrhistogram_c.git","","","","","",""
"helix","https://github.com/helix-editor/helix.git","","","","","",""
"hello","","","","","","",""
"helm","https://github.com/helm/helm.git","","","","","",""
"helmfile","https://github.com/helmfile/helmfile.git","","","","","",""
"hicolor-icon-theme","","","","","","",""
"hidapi","https://github.com/libusb/hidapi.git","","","","","",""
"highlight","","https://gitlab.com/saalen/highlight.git","","","","",""
"highway","https://github.com/google/highway.git","","","","","",""
"hiredis","https://github.com/redis/hiredis.git","","","","","",""
"htop","https://github.com/htop-dev/htop.git","","","","","",""
"httpd","","","","","","",""
"httpie","https://github.com/httpie/cli.git","","","","","",""
"httrack","https://github.com/xroche/httrack.git","","","","","",""
"hub","https://github.com/mislav/hub.git","","","","","",""
"hugo","https://github.com/gohugoio/hugo.git","","","","","",""
"hunspell","https://github.com/hunspell/hunspell.git","","","","","",""
"hwloc","","","","","","",""
"icu4c@75","https://github.com/unicode-org/icu.git","","","","","",""
"icu4c@76","https://github.com/unicode-org/icu.git","","","","","",""
"icu4c@77","https://github.com/unicode-org/icu.git","","","","","",""
"icu4c@78","https://github.com/unicode-org/icu.git","","","","","",""
"ideviceinstaller","https://github.com/libimobiledevice/ideviceinstaller.git","","","","","",""
"imagemagick","https://github.com/imagemagick/imagemagick.git","","","","","",""
"imagemagick@6","https://github.com/imagemagick/imagemagick6.git","","","","","",""
"imath","https://github.com/academysoftwarefoundation/imath.git","","","","","",""
"img2pdf","","https://gitlab.mister-muffin.de/josch/img2pdf.git","","","","",""
"imlib2","","","","","","",""
"inetutils","","","","","","",""
"infracost","https://github.com/infracost/cli.git","","","","","",""
"ios-deploy","https://github.com/ios-control/ios-deploy.git","","","","","",""
"iperf","","","","","","",""
"iperf3","https://github.com/esnet/iperf.git","","","","","",""
"ipopt","https://github.com/coin-or/ipopt.git","","","","","",""
"iproute2mac","https://github.com/brona/iproute2mac.git","","","","","",""
"ipython","","","","","","",""
"isl","","","","","","",""
"iso-codes","","https://salsa.debian.org/iso-codes-team/iso-codes.git","","","","",""
"istioctl","https://github.com/istio/istio.git","","","","","",""
"jack","https://github.com/jackaudio/jack2.git","","","","","",""
"jadx","https://github.com/skylot/jadx.git","","","","","",""
"jansson","https://github.com/akheron/jansson.git","","","","","",""
"jasper","https://github.com/jasper-software/jasper.git","","","","","",""
"jbig2dec","https://github.com/artifexsoftware/jbig2dec.git","","","","","",""
"jbig2enc","https://github.com/agl/jbig2enc.git","","","","","",""
"jemalloc","https://github.com/jemalloc/jemalloc.git","","","","","",""
"jenkins","","","","","","",""
"jenkins-lts","","","","","","",""
"jenv","https://github.com/jenv/jenv.git","","","","","",""
"jfrog-cli","https://github.com/jfrog/jfrog-cli.git","","","","","",""
"jmeter","","","","","","",""
"jo","https://github.com/jpmens/jo.git","","","","","",""
"jpeg","","","","","","",""
"jpeg-turbo","https://github.com/libjpeg-turbo/libjpeg-turbo.git","","","","","",""
"jpeg-xl","https://github.com/libjxl/libjxl.git","","","","","",""
"jq","https://github.com/jqlang/jq.git","","","","","",""
"json-c","https://github.com/json-c/json-c.git","","","","","",""
"json-glib","","","","","","",""
"jsoncpp","https://github.com/open-source-parsers/jsoncpp.git","","","","","",""
"jsonnet","https://github.com/google/jsonnet.git","","","","","",""
"julia","https://github.com/julialang/julia.git","","","","","",""
"jupyterlab","","","","","","",""
"just","https://github.com/casey/just.git","","","","","",""
"k3d","https://github.com/k3d-io/k3d.git","","","","","",""
"k6","https://github.com/grafana/k6.git","","","","","",""
"k9s","https://github.com/derailed/k9s.git","","","","","",""
"kafka","","","","","","",""
"kcat","https://github.com/edenhill/kcat.git","","","","","",""
"kcov","https://github.com/simonkagstrom/kcov.git","","","","","",""
"keyring","https://github.com/jaraco/keyring.git","","","","","",""
"keyutils","","","","","","https://git.kernel.org/pub/scm/linux/kernel/git/dhowells/keyutils.git",""
"kind","https://github.com/kubernetes-sigs/kind.git","","","","","",""
"kompose","https://github.com/kubernetes/kompose.git","","","","","",""
"kotlin","https://github.com/jetbrains/kotlin.git","","","","","",""
"krb5","","","","","","",""
"krew","https://github.com/kubernetes-sigs/krew.git","","","","","",""
"ktlint","https://github.com/ktlint/ktlint.git","","","","","",""
"kube-ps1","https://github.com/jonmosco/kube-ps1.git","","","","","",""
"kubeconform","https://github.com/yannh/kubeconform.git","","","","","",""
"kubectx","https://github.com/ahmetb/kubectx.git","","","","","",""
"kubernetes-cli","https://github.com/kubernetes/kubernetes.git","","","","","",""
"kubeseal","https://github.com/bitnami/sealed-secrets.git","","","","","",""
"kustomize","https://github.com/kubernetes-sigs/kustomize.git","","","","","",""
"ladspa-sdk","","","","","","",""
"lame","","","","","","",""
"lazydocker","https://github.com/jesseduffield/lazydocker.git","","","","","",""
