"package","github_repo"
"ta-lib","ta-lib/ta-lib"
"tailscale","tailscale/tailscale"
"talhelper","budimanjojo/talhelper"
"talisman","thoughtworks/talisman"
"tbb","uxlfoundation/oneTBB"
"teleport","gravitational/teleport"
"television","alexpasmantier/television"
"telnet","apple-oss-distributions/remote_cmds"
"terminal-notifier","julienXX/terminal-notifier"
"terraform-docs","terraform-docs/terraform-docs"
"terragrunt","gruntwork-io/terragrunt"
"tesseract","tesseract-ocr/tesseract"
"tesseract-lang","tesseract-ocr/tessdata_fast"
"tfenv","tfutils/tfenv"
"tflint","terraform-linters/tflint"
"tfsec","aquasecurity/tfsec"
"the_silver_searcher","ggreer/the_silver_searcher"
"thefuck","nvbn/thefuck"
"tidy-html5","htacg/tidy-html5"
"tig","jonas/tig"
"tilt","tilt-dev/tilt"
"tinyxml2","leethomason/tinyxml2"
"tldr","tldr-pages/tldr-c-client"
"tmux","tmux/tmux"
"topgrade","topgrade-rs/topgrade"
"tree","Old-Man-Programmer/tree"
"tree-sitter","tree-sitter/tree-sitter"
"tree-sitter@0.25","tree-sitter/tree-sitter"
"trivy","aquasecurity/trivy"
"trufflehog","trufflesecurity/trufflehog"
"ugrep","Genivia/ugrep"
"unar","MacPaw/XADMaster"
"unibilium","neovim/unibilium"
"universal-ctags","universal-ctags/ctags"
"upx","upx/upx"
"uriparser","uriparser/uriparser"
"usage","jdx/usage"
"utf8cpp","nemtrif/utfcpp"
"utf8proc","JuliaStrings/utf8proc"
"uthash","troydhanson/uthash"
"util-linux","util-linux/util-linux"
"uutils-coreutils","uutils/coreutils"
"uutils-findutils","uutils/findutils"
"uv","astral-sh/uv"
"uvwasi","nodejs/uvwasi"
"vale","errata-ai/vale"
"vapoursynth","vapoursynth/vapoursynth"
"vde","virtualsquare/vde-2"
"velero","vmware-tanzu/velero"
"vim","vim/vim"
"vips","libvips/libvips"
"vulkan-headers","KhronosGroup/Vulkan-Headers"
"vulkan-loader","KhronosGroup/Vulkan-Loader"
"wangle","facebook/wangle"
"watchman","facebook/watchman"
"winetricks","Winetricks/winetricks"
"woff2","google/woff2"
"wxwidgets","wxWidgets/wxWidgets"
"wxwidgets@3.2","wxWidgets/wxWidgets"
"xcbeautify","cpisciotta/xcbeautify"
"xclogparser","MobileNativeFoundation/XCLogParser"
"xcodegen","yonaskolb/XcodeGen"
"xcodes","XcodesOrg/xcodes"
"xcresultparser","a7ex/xcresultparser"
"xctesthtmlreport","XCTestHTMLReport/XCTestHTMLReport"
"xsimd","xtensor-stack/xsimd"
"xxhash","Cyan4973/xxHash"
"xz","tukaani-project/xz"
"yajl","lloyd/yajl"
"yamllint","adrienverge/yamllint"
"yara","VirusTotal/yara"
"yazi","sxyazi/yazi"
"yq","mikefarah/yq"
"yt-dlp","yt-dlp/yt-dlp"
"yuicompressor","yui/yuicompressor"
"yyjson","ibireme/yyjson"
"z3","Z3Prover/z3"
"zbar","mchehab/zbar"
"zellij","zellij-org/zellij"
"zeromq","zeromq/libzmq"
"zimg","sekrit-twc/zimg"
"zizmor","zizmorcore/zizmor"
"zlib-ng-compat","zlib-ng/zlib-ng"
"zoxide","ajeetdsouza/zoxide"
"zsh-autosuggestions","zsh-users/zsh-autosuggestions"
"zsh-completions","zsh-users/zsh-completions"
"zsh-syntax-highlighting","zsh-users/zsh-syntax-highlighting"
"zstd","facebook/zstd"
