"package","avg_downloads","2021","2022","2023","2024","2025"
"linux-headers@5.15","215600","0","63","250757","390938","220642"
"npth","215565","0","256757","41488","299234","264782"
"perl","214762","0","339524","125467","209534","184525"
"cffi","213268","0","172","177710","400680","274510"
"icu4c@78","212193","0","0","0","0","212193"
"pipx","211504","0","67276","25611","370952","382180"
"docker-completion","206721","0","23935","60928","344791","397232"
"docutils","204737","0","422855","201644","142077","52374"
"libgit2","203009","0","70927","71862","364891","304356"
"openjph","202308","0","0","0","439","404178"
"nginx","199519","0","374150","112102","165451","146374"
"terragrunt","192970","0","96196","105491","272620","297576"
"libxcrypt","191454","0","775","131701","279750","353590"
"eza","189928","0","0","4402","257208","308174"
"aribb24","188899","0","241848","111713","185929","216109"
"ccache","185909","0","135149","72440","221339","314709"
"tbb","185349","0","218387","50231","353130","119648"
"glog","184386","0","497458","74569","98435","67082"
"util-linux","184213","0","10463","99297","264598","362495"
"mysql-client","183050","0","303616","98657","172910","157020"
"libtirpc","180808","0","0","103878","322917","115630"
"zsh","180487","0","354051","70587","149507","147804"
"nspr","180335","0","403409","37807","116739","163386"
"jbig2dec","179523","0","366274","81497","169994","100330"
"lima","178456","0","261156","84360","199989","168319"
"libmicrohttpd","177963","0","5765","4298","387869","313923"
"icu4c@75","175176","0","0","0","320609","29743"
"hugo","175023","0","236002","79134","212445","172512"
"podman","174060","0","220730","82480","186894","206137"
"mint","172762","0","49044","71610","307724","262671"
"aspell","169848","0","397345","55102","171191","55754"
"virtualenv","169081","0","261843","142882","169937","101662"
"gtk+3","168928","0","231053","82879","210611","151171"
"gpgme","166890","0","58435","28179","274881","306067"
"assimp","166746","0","318859","33763","197412","116952"
"protobuf@29","163550","0","0","0","0","163550"
"open-mpi","162350","0","233041","49257","208203","158901"
"liblqr","159556","0","242240","43951","195410","156623"
"gsettings-desktop-schemas","158379","0","191718","78881","203061","159857"
"meson","157988","0","191904","84483","167883","187683"
"pmix","156405","0","0","0","166154","146656"
"openjdk@21","156001","0","0","0","90249","221753"
