"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"isexe","isaacs/isexe","2370153440","1061983753","1565269225","1977919103","2786864604","4458730519","True","0.00176626","A","https://github.com/isaacs/isexe.git","eco","gh/49804297","","blueoak-1.0.0"
"postcss-selector-parser","postcss/postcss-selector-parser","2090163008","1758813530","1894153564","1747087184","1861472163","3189288601","True","0.00176102","A","https://github.com/postcss/postcss-selector-parser.git","eco","gh/36500102","","mit"
"universalify","ryanzim/universalify","3171654366","1643135792","2431807354","3265077296","3862666567","4655584821","True","0.00174015","A","https://github.com/ryanzim/universalify.git","eco","gh/87651180","","mit"
"fill-range","jonschlinkert/fill-range","3276925440","2156101940","2997242417","3278214868","3443294706","4509773273","True","0.00173606","A","https://github.com/jonschlinkert/fill-range.git","eco","gh/27113310","","mit"
"isobject","jonschlinkert/isobject","2409528004","2018066666","2711004016","2496058909","2291142391","2531368038","True","0.00172587","A","https://github.com/jonschlinkert/isobject.git","eco","gh/21342886","","mit"
"once","isaacs/once","2300092406","1385018352","1875337006","2250800432","2545998910","3443307331","True","0.00171172","A","https://github.com/isaacs/once.git","eco","gh/5409660","","isc"
"define-properties","ljharb/define-properties","1752099980","1024144778","1478735885","1794133937","1970298261","2493187043","True","0.00166343","A","https://github.com/ljharb/define-properties.git","eco","gh/28768789","","mit"
"find-up","sindresorhus/find-up","5849048188","3406425810","4891047331","5901780256","6535144193","8510843354","True","0.00164931","A","https://github.com/sindresorhus/find-up.git","eco","gh/41723004","","mit"
"domelementtype","fb55/domelementtype","1738720072","1358933903","1635627224","1709367840","1775454074","2214217319","True","0.00162564","A","https://github.com/fb55/domelementtype.git","eco","gh/6627835","","bsd-2-clause"
"fast-deep-equal","epoberezkin/fast-deep-equal","2377779603","1639882604","1999217882","2206560480","2473545218","3569691831","True","0.00162331","A","https://github.com/epoberezkin/fast-deep-equal.git","eco","gh/94483360","","mit"
"string_decoder","nodejs/string_decoder","4822027985","2836267689","4204672545","4947781945","5413763000","6707654748","True","0.00159785","A","https://github.com/nodejs/string_decoder.git","eco","gh/95052330","","mit"
"has-tostringtag","inspect-js/has-tostringtag","1507185806","206145309","999087597","1449424936","1849145070","3032126118","True","0.00158572","A","https://github.com/inspect-js/has-tostringtag.git","eco","gh/392913710","","mit"
