repo,repo_id,package,has_npm_funding,npm_funding_url,fetched_at,status
inspect-js/is-callable,30012910,is-callable,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/is-core-module,24578130,is-core-module,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/is-data-descriptor,41659073,is-data-descriptor,False,,2026-06-29T23:54:29+00:00,ok
inspect-js/is-data-view,751048078,is-data-view,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/is-date-object,29991041,is-date-object,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/is-descriptor,41658845,is-descriptor,False,,2026-06-29T23:54:29+00:00,ok
inspect-js/is-number-object,29991666,is-number-object,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/is-regex,15930063,is-regex,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/is-string,30010185,is-string,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/is-symbol,29791606,is-symbol,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/is-typed-array,43528820,is-typed-array,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/node-supports-preserve-symlinks-flag,443970899,supports-preserve-symlinks-flag,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/object-inspect,11683441,object-inspect,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/typed-array-buffer,649850465,typed-array-buffer,False,,2026-06-29T23:54:29+00:00,ok
inspect-js/which-boxed-primitive,201685155,which-boxed-primitive,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/which-typed-array,43708371,which-typed-array,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
isaacs/chownr,3858354,chownr,False,,2026-06-29T23:54:29+00:00,ok
isaacs/cliui,634056857,@isaacs/cliui,False,,2026-06-29T23:54:29+00:00,ok
isaacs/core-util-is,12391440,core-util-is,False,,2026-06-29T23:54:29+00:00,ok
isaacs/fs-minipass,102982143,fs-minipass,False,,2026-06-29T23:54:29+00:00,ok
isaacs/fs.realpath,61231712,fs.realpath,False,,2026-06-29T23:54:29+00:00,ok
isaacs/inherits,1580001,inherits,False,,2026-06-29T23:54:29+00:00,ok
isaacs/isexe,49804297,isexe,False,,2026-06-29T23:54:29+00:00,ok
isaacs/minimatch,2056549,minimatch,True,https://github.com/sponsors/isaacs,2026-06-29T23:54:29+00:00,ok
isaacs/minipass,84886212,minipass,False,,2026-06-29T23:54:29+00:00,ok
isaacs/minizlib,86429676,minizlib,False,,2026-06-29T23:54:29+00:00,ok
isaacs/node-glob,357681,glob,True,https://github.com/sponsors/isaacs,2026-06-29T23:54:29+00:00,ok
isaacs/node-graceful-fs,2077020,graceful-fs,False,,2026-06-29T23:54:29+00:00,ok
isaacs/node-lru-cache,679662,lru-cache,False,,2026-06-29T23:54:29+00:00,ok
isaacs/node-mkdirp,2718248,mkdirp,True,https://github.com/sponsors/isaacs,2026-06-29T23:54:29+00:00,ok
isaacs/node-tar,1534331,tar,False,,2026-06-29T23:54:29+00:00,ok
isaacs/once,5409660,once,False,,2026-06-29T23:54:29+00:00,ok
isaacs/package-json-from-dist,800543709,package-json-from-dist,False,,2026-06-29T23:54:29+00:00,ok
isaacs/path-scurry,591569499,path-scurry,True,https://github.com/sponsors/isaacs,2026-06-29T23:54:29+00:00,ok
isaacs/rimraf,1341324,rimraf,True,https://github.com/sponsors/isaacs,2026-06-29T23:54:29+00:00,ok
isaacs/sax-js,508894,sax,False,,2026-06-29T23:54:29+00:00,ok
isaacs/wrappy,24208073,wrappy,False,,2026-06-29T23:54:29+00:00,ok
isaacs/yallist,48222381,yallist,False,,2026-06-29T23:54:29+00:00,ok
istanbuljs/istanbuljs,81482340,istanbul-lib-coverage,False,,2026-06-29T23:54:29+00:00,ok
istanbuljs/schema,211950686,@istanbuljs/schema,False,,2026-06-29T23:54:29+00:00,ok
istanbuljs/test-exclude,60489570,test-exclude,False,,2026-06-29T23:54:29+00:00,error
jaredhanson/utils-merge,11349896,utils-merge,False,,2026-06-29T23:54:29+00:00,error
jaredwray/cacheable,9267870,flat-cache,False,,2026-06-29T23:54:29+00:00,ok
jaredwray/keyv,96540810,keyv,False,,2026-06-29T23:54:29+00:00,ok
jbgutierrez/path-parse,34113780,path-parse,False,,2026-06-29T23:54:29+00:00,ok
jensyt/imurmurhash-js,11802843,imurmurhash,False,,2026-06-29T23:54:29+00:00,ok
jestjs/jest,15062869,@jest/types,False,,2026-06-29T23:54:29+00:00,ok
jimp-dev/jimp,24008065,@jimp/types,False,,2026-06-29T23:54:29+00:00,ok
jonathanong/ee-first,20707897,ee-first,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/assign-symbols,45661176,assign-symbols,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/define-property,40633359,define-property,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/extend-shallow,25867410,extend-shallow,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/fill-range,27113310,fill-range,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/get-value,24911025,get-value,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/global-prefix,31455984,global-prefix,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/has-value,24310408,has-value,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/has-values,33009186,has-values,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/is-extendable,38225016,is-extendable,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/is-number,24313173,is-number,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/is-plain-object,24306940,is-plain-object,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/isobject,21342886,isobject,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/kind-of,24491562,kind-of,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/map-cache,32450614,map-cache,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/normalize-path,21224182,normalize-path,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/object-visit,38545952,object-visit,False,,2026-06-29T23:54:29+00:00,ok
jonschlinkert/word-wrap,18260583,word-wrap,False,,2026-06-29T23:54:29+00:00,ok
jorgebucaran/colorette,34648097,colorette,False,,2026-06-29T23:54:29+00:00,error
joshuakgoldberg/ts-api-utils,597893818,ts-api-utils,False,,2026-06-29T23:54:29+00:00,ok
jprichardson/node-fs-extra,2791348,fs-extra,False,,2026-06-29T23:54:29+00:00,ok
jprichardson/node-jsonfile,5754307,jsonfile,False,,2026-06-29T23:54:29+00:00,ok
jquery/esprima,2833537,esprima,False,,2026-06-29T23:54:29+00:00,ok
jridgewell/resolve-uri,196878944,@jridgewell/resolve-uri,False,,2026-06-29T23:54:29+00:00,ok
