repo_id,repo,ecosystem,value_score,risk_score
24306940,jonschlinkert/is-plain-object,npm,55.6377,51
10114077,sboudrias/inquirer.js,npm,54.0332,51
434708679,vitest-dev/vitest,npm,44.8223,51
74106774,rustcrypto/hashes,crates,36.6043,51
24008065,jimp-dev/jimp,npm,35.0811,51
480458584,ljharb/es-shim-unscopables,npm,27.817,51
29094022,sindresorhus/normalize-url,npm,27.3658,51
49264969,kevva/dir-glob,npm,27.3286,51
114682105,es-shims/string.prototype.trimstart,npm,26.7444,51
253327079,nicolo-ribaudo/babel-preset-current-node-syntax,npm,26.1459,51
37093133,tokio-rs/slab,crates,25.7071,51
11855195,chalk/chalk,npm,76.1124,50
679662,isaacs/node-lru-cache,npm,67.4793,50
512723255,pyasn1/pyasn1,pypi,64.6103,50
173074854,dtolnay/automod,crates,51.6728,50
165289175,tokio-rs/tracing,crates,49.9589,50
44264225,sindresorhus/get-stream,npm,49.6875,50
24578130,inspect-js/is-core-module,npm,45.8638,50
71475907,watson/ci-info,npm,45.1036,50
14468669,sindresorhus/strip-json-comments,npm,40.6539,50
106295902,dtolnay/ref-cast,crates,39.5111,50
15930063,inspect-js/is-regex,npm,35.253,50
281084700,ajv-validator/ajv-formats,npm,32.6853,50
6006855,raynos/for-each,npm,32.1618,50
22894570,jshttp/etag,npm,27.108,50
48289082,jaraco/jaraco.develop,pypi,26.8084,50
11349896,jaredhanson/utils-merge,npm,25.2059,50
196445196,bytecodealliance/wasi-rs,crates,0.0016,50
41723004,sindresorhus/find-up,npm,56.7571,49
22022707,sindresorhus/resolve-from,npm,52.9439,49
17098256,tox-dev/filelock,pypi,46.5323,49
143001748,sinonjs/commons,npm,38.6709,49
22020904,sindresorhus/import-fresh,npm,38.5355,49
14993021,ipython/traitlets,pypi,35.0597,49
186960326,node-fetch/fetch-blob,npm,34.5274,49
901451610,ljharb/side-channel-list,npm,31.5561,49
237210639,encode/httpcore,pypi,30.4186,49
41723335,es-shims/object.values,npm,25.8719,49
133092972,nodejs/undici,npm,76.5339,48
157774633,jaraco/zipp,pypi,53.0605,48
41585934,sindresorhus/pify,npm,47.0416,48
43708371,inspect-js/which-typed-array,npm,46.5451,48
16457190,sindresorhus/object-assign,npm,40.4333,48
220809393,textualize/rich,pypi,38.7531,48
64756820,aio-libs/yarl,pypi,36.4925,48
37368217,mcollina/fastq,npm,36.0742,48
901191461,ljharb/side-channel-map,npm,34.4734,48
24310408,jonschlinkert/has-value,npm,29.6306,48
20547377,pillarjs/finalhandler,npm,28.9821,48
86679721,sindresorhus/quick-lru,npm,28.5879,48
15340089,mafintosh/tar-stream,npm,26.3544,48
22794601,sindresorhus/leven,npm,26.2846,48
1614410,ffmpeg/ffmpeg,cpp,26.2691,48
24560307,babel/babel,npm,92.2381,47
10727014,raynos/function-bind,npm,77.463,47
898190951,ljharb/call-bind-apply-helpers,npm,68.6889,47
357681,isaacs/node-glob,npm,63.0588,47
28179425,micromatch/is-glob,npm,58.1328,47
5409660,isaacs/once,npm,57.0885,47
14494363,feross/buffer,npm,52.0445,47
99401299,ai/nanoid,npm,40.0699,47
29791606,inspect-js/is-symbol,npm,34.2591,47
306147182,python/importlib_resources,pypi,31.5251,47
83051505,rustcrypto/stream-ciphers,crates,31.4869,47
866565706,aio-libs/propcache,pypi,30.8697,47
34700259,inspect-js/is-boolean-object,npm,26.6372,47
143057914,webpack/minimizer-webpack-plugin,npm,25.6028,47
15725461,inspect-js/is-arguments,npm,25.4036,47
13538817,juliangruber/balanced-match,npm,73.2622,46
308533760,ljharb/call-bind,npm,61.1611,46
306448340,python/importlib_metadata,pypi,60.0183,46
146040682,burntsushi/winapi-util,crates,49.4258,46
45750507,cosmiconfig/cosmiconfig,npm,40.1421,46
93189529,sindresorhus/mimic-response,npm,38.7386,46
5831189,hapijs/hoek,npm,33.9411,46
30172150,jshttp/content-type,npm,32.4939,46
9345558,thlorenz/deep-is,npm,31.0087,46
91837954,samverschueren/decode-uri-component,npm,28.2385,46
5400204,webpack/enhanced-resolve,npm,28.0077,46
4617552,jshttp/fresh,npm,27.6651,46
15484233,jshttp/type-is,npm,27.6273,46
24119524,webpack/watchpack,npm,27.2179,46
73665728,sindresorhus/crypto-random-string,npm,25.5695,46
494077289,python/typing_extensions,pypi,95.044,45
71542716,sindresorhus/p-limit,npm,71.7321,45
31788841,micromatch/is-extglob,npm,61.5685,45
734244,pallets/markupsafe,pypi,60.8843,45
1203139,uuidjs/uuid,npm,53.756,45
25116836,sindresorhus/camelcase,npm,52.425,45
