repo,repo_id,total_commits_github,total_contributors_github,active_contributors_github,bf_commits_github,hhi_commits_github,total_commits_git,contributors_git,bf_commits_git,hhi_commits_git,commits_git_2021_2025,active_contributors_git_2021_2025,bf_commits_git_2021_2025,hhi_commits_git_2021_2025,concentration_class,github_fetched_at,git_fetched_at
mirror/ncurses,22324756,,,,,,,,,,,,,,,,
mitsuhiko/insta,165561258,996,70,69,1,4716,966,72,1,4747,624,51,1,4172,C,2026-05-19T11:23:48+00:00,2026-05-19T11:25:16+00:00
mlocati/gettext-iconv-windows,12751919,275,3,3,1,9855,271,3,1,9853,118,2,1,9832,A,2026-05-19T11:23:51+00:00,2026-05-19T11:25:16+00:00
mm2/little-cms,507969,1272,71,69,1,7188,1142,73,1,5984,498,43,1,6495,B,2026-05-19T11:23:51+00:00,2026-05-19T11:25:17+00:00
moment/moment,1424470,3596,393,393,2,1992,3050,667,4,1006,63,13,1,4044,D,2026-05-19T11:23:54+00:00,2026-05-19T11:25:17+00:00
more-itertools/more-itertools,4144530,2290,133,133,1,3856,1701,140,2,2343,846,78,2,1723,D,2026-05-19T11:23:54+00:00,2026-05-19T11:25:17+00:00
motdotla/dotenv,11205780,953,93,91,1,6545,793,106,1,4951,496,57,1,7086,C,2026-05-19T11:23:55+00:00,2026-05-19T11:25:18+00:00
moxystudio/node-cross-spawn,21335844,226,20,19,1,7980,216,19,1,7810,13,3,1,7278,B,2026-05-19T11:23:55+00:00,2026-05-19T11:25:18+00:00
mozilla/source-map,2014930,694,81,81,1,3789,537,93,1,2864,37,12,3,1702,C,2026-05-19T11:23:57+00:00,2026-05-19T11:25:18+00:00
mrabarnett/mrab-regex,309446978,65,9,9,2,3425,488,12,2,2862,104,6,1,8195,C,2026-05-19T11:23:58+00:00,2026-05-19T11:25:18+00:00
mrmlnc/fast-glob,77467076,852,28,28,1,9196,653,30,1,8900,155,13,1,7826,A,2026-05-19T11:23:59+00:00,2026-05-19T11:25:19+00:00
msgpack/msgpack-python,2242705,841,73,72,1,6158,804,82,1,5829,102,22,1,5321,B,2026-05-19T11:24:01+00:00,2026-05-19T11:25:19+00:00
mysticatea/abort-controller,105228556,49,5,5,1,8092,49,5,1,8092,0,0,0,0,A,2026-05-19T11:24:02+00:00,2026-05-19T11:25:19+00:00
mysticatea/event-target-shim,31137469,123,6,6,1,8605,124,7,1,8039,15,1,1,10000,A,2026-05-19T11:24:04+00:00,2026-05-19T11:25:20+00:00
netflix/vmaf,51317975,2102,101,100,1,3660,2076,113,1,3304,526,54,3,1408,C,2026-05-19T11:24:06+00:00,2026-05-19T11:25:20+00:00
nghttp2/nghttp2,11452676,8845,141,139,1,9151,7570,165,1,8731,1325,45,1,8934,A,2026-05-19T11:24:06+00:00,2026-05-19T11:25:20+00:00
nicolo-ribaudo/babel-preset-current-node-syntax,253327079,53,2,2,1,8604,50,3,1,8168,15,1,1,10000,A,2026-05-19T11:24:07+00:00,2026-05-19T11:25:21+00:00
nlnetlabs/unbound,94195301,8149,117,117,1,6970,7845,140,1,7004,1781,91,1,4126,B,2026-05-19T11:24:08+00:00,2026-05-19T11:25:21+00:00
node-fetch/fetch-blob,186960326,82,12,10,1,3611,96,10,2,2817,50,4,1,6163,C,2026-05-19T11:24:10+00:00,2026-05-19T11:25:21+00:00
node-fetch/node-fetch,29849956,470,107,105,4,1127,596,113,2,1460,97,51,7,978,D,2026-05-19T11:24:11+00:00,2026-05-19T11:25:22+00:00
nodeca/argparse,4325614,95,18,18,1,3746,221,25,2,2385,1,1,1,10000,D,2026-05-19T11:24:11+00:00,2026-05-19T11:25:22+00:00
nodeca/js-yaml,2504175,622,74,74,1,4819,1216,78,2,2741,14,6,1,3673,C,2026-05-19T11:24:14+00:00,2026-05-19T11:25:22+00:00
nodeca/pako,16231859,81,23,23,2,2190,364,23,1,6281,35,5,1,4792,B,2026-05-19T11:24:14+00:00,2026-05-19T11:25:23+00:00
nodejs/node,27193779,40638,427,425,13,268,,,,,,,,,,2026-05-19T11:24:20+00:00,
nodejs/readable-stream,5187096,466,53,53,2,1879,461,56,3,1875,38,15,2,2521,D,2026-05-19T11:24:17+00:00,2026-05-19T11:25:23+00:00
nodejs/string_decoder,95052330,55,9,9,1,4083,45,10,2,3037,0,0,0,0,C,2026-05-19T11:24:18+00:00,2026-05-19T11:25:23+00:00
nodejs/undici,133092972,3949,352,350,2,2052,3958,365,2,1982,2648,322,4,1081,D,2026-05-19T11:24:22+00:00,2026-05-19T11:25:23+00:00
nodelib/nodelib,129310478,405,6,6,1,9755,319,7,1,6582,122,5,1,4776,B,2026-05-19T11:24:21+00:00,2026-05-19T11:25:24+00:00
npm/abbrev-js,554893,103,12,10,2,3131,103,10,2,3131,60,6,1,3745,C,2026-05-19T11:24:22+00:00,2026-05-19T11:25:24+00:00
npm/cacache,193812470,763,33,30,1,4970,777,34,1,4767,197,14,2,2089,C,2026-05-19T11:24:24+00:00,2026-05-19T11:25:25+00:00
npm/hosted-git-info,25002984,295,36,34,2,1747,304,36,3,1624,136,14,2,2607,D,2026-05-19T11:24:26+00:00,2026-05-19T11:25:25+00:00
npm/ini,2167680,180,28,26,2,2386,182,27,2,2316,99,14,2,2632,D,2026-05-19T11:24:27+00:00,2026-05-19T11:25:25+00:00
npm/json-parse-even-better-errors,211384370,106,9,7,2,2644,106,7,2,2644,70,3,1,6033,C,2026-05-19T11:24:28+00:00,2026-05-19T11:25:25+00:00
npm/mute-stream,5159166,98,12,10,2,2552,99,11,2,2467,65,6,1,3750,D,2026-05-19T11:24:29+00:00,2026-05-19T11:25:26+00:00
npm/node-semver,1357199,526,90,88,1,3364,541,101,1,3066,160,29,2,2062,C,2026-05-19T11:24:30+00:00,2026-05-19T11:25:26+00:00
npm/node-which,2169708,184,21,19,1,5079,184,19,1,5079,62,8,1,3246,B,2026-05-19T11:24:32+00:00,2026-05-19T11:25:26+00:00
npm/nopt,1544436,190,23,21,2,2067,195,25,2,1935,91,5,1,3872,D,2026-05-19T11:24:33+00:00,2026-05-19T11:25:26+00:00
npm/normalize-package-data,9301720,362,39,37,2,2039,354,39,3,1720,118,12,2,2397,D,2026-05-19T11:22:36+00:00,2026-05-19T11:25:26+00:00
npm/ssri,193817839,238,17,15,1,3128,238,16,1,3126,111,11,2,2435,C,2026-05-19T11:22:37+00:00,2026-05-19T11:25:27+00:00
npm/unique-slug,35246620,99,14,12,2,2170,97,12,2,2034,72,7,1,4498,D,2026-05-19T11:22:37+00:00,2026-05-19T11:25:27+00:00
npm/write-file-atomic,23896209,216,28,26,3,1669,216,27,3,1651,99,6,1,3726,D,2026-05-19T11:22:38+00:00,2026-05-19T11:25:27+00:00
numpy/numpy,908607,37384,437,435,7,637,,,,,,,,,,2026-05-19T11:22:40+00:00,
nv/cssom,1025209,201,19,19,1,5858,185,22,1,5093,5,3,1,4400,B,2026-05-19T11:22:39+00:00,2026-05-19T11:25:27+00:00
nvzqz/static-assertions,100129252,288,5,5,1,9257,281,6,1,9238,0,0,0,0,A,2026-05-19T11:22:40+00:00,2026-05-19T11:25:27+00:00
oauthlib/oauthlib,2811323,1707,176,176,2,1416,1355,199,5,906,195,40,2,2582,D,2026-05-19T11:22:42+00:00,2026-05-19T11:25:27+00:00
octokit/openapi-types.ts,304109193,508,14,11,1,3959,,,,,,,,,,2026-05-19T11:22:42+00:00,
octokit/types.ts,216109757,670,28,23,2,3227,670,23,2,3227,417,16,1,3339,C,2026-05-19T11:22:43+00:00,2026-05-19T11:25:28+00:00
oozcitak/xmlbuilder-js,1042809,652,21,20,1,8943,628,30,1,8542,14,1,1,10000,A,2026-05-19T11:22:44+00:00,2026-05-19T11:17:29+00:00
open-telemetry/opentelemetry-js,185901023,3234,373,369,6,608,3239,381,6,570,2032,279,5,721,D,2026-05-19T11:22:47+00:00,2026-05-19T11:25:28+00:00
open-telemetry/opentelemetry-js-contrib,255986659,2621,316,311,7,596,2578,326,8,470,1691,271,7,465,D,2026-05-19T11:22:47+00:00,2026-05-19T11:25:28+00:00
open-telemetry/opentelemetry-python,185478926,1883,345,342,9,461,2141,352,8,477,1263,252,5,662,D,2026-05-19T11:22:48+00:00,2026-05-19T11:25:29+00:00
open-telemetry/opentelemetry-python-contrib,220524743,2580,434,431,9,513,2868,456,8,489,1644,360,12,312,D,2026-05-19T11:22:50+00:00,2026-05-19T11:25:29+00:00
openssl/openssl,7634677,31897,364,363,4,978,,,,,,,,,,2026-05-19T11:22:50+00:00,
opensuse/ca-certificates,10785433,103,14,14,1,4520,133,15,1,4802,32,8,1,3965,C,2026-05-19T11:22:50+00:00,2026-05-19T11:25:30+00:00
p11-glue/p11-kit,12060420,1332,87,87,2,2937,1517,101,2,2842,355,43,2,3058,C,2026-05-19T11:22:51+00:00,2026-05-19T11:25:30+00:00
pallets/click,19103692,3008,392,388,2,1544,2051,434,4,960,763,157,3,1332,D,2026-05-19T11:22:54+00:00,2026-05-19T11:25:31+00:00
pallets/flask,596892,4927,401,398,2,2195,3811,835,3,1233,814,153,1,4067,D,2026-05-19T11:22:55+00:00,2026-05-19T11:25:32+00:00
pallets/itsdangerous,1945034,671,42,39,1,5155,436,41,1,3426,202,9,1,8354,C,2026-05-19T11:22:54+00:00,2026-05-19T11:25:33+00:00
pallets/jinja,994551,2892,289,286,2,3142,2175,331,1,3211,374,68,1,4897,C,2026-05-19T11:22:56+00:00,2026-05-19T11:25:34+00:00
pallets/markupsafe,734244,840,46,43,1,6546,529,46,1,4790,336,19,1,7711,C,2026-05-19T11:22:56+00:00,2026-05-19T11:25:34+00:00
pallets/werkzeug,997338,5728,413,410,2,2204,4381,504,2,1883,783,112,1,4503,D,2026-05-19T11:23:00+00:00,2026-05-19T11:25:34+00:00
pandas-dev/pandas,858127,31033,414,411,5,744,,,,,,,,,,2026-05-19T11:23:02+00:00,
paramiko/paramiko,119609,3412,138,138,1,6665,2932,178,1,3685,440,33,1,6676,C,2026-05-19T11:23:00+00:00,2026-05-19T11:25:36+00:00
paulmillr/chokidar,4090287,1739,112,111,2,3440,1552,119,2,3286,178,24,2,3324,C,2026-05-19T11:23:01+00:00,2026-05-19T11:25:36+00:00
paulmillr/readdirp,4494405,466,34,33,1,3837,420,36,2,3404,61,9,1,7533,C,2026-05-19T11:23:02+00:00,2026-05-19T11:25:37+00:00
pcre2project/pcre2,398251321,2242,64,62,1,4568,2236,63,1,4572,937,58,2,2374,C,2026-05-19T11:23:04+00:00,2026-05-19T11:25:37+00:00
pest-parser/pest,56964647,1312,134,133,1,2694,1149,141,2,2427,225,74,4,1355,D,2026-05-19T11:23:05+00:00,2026-05-19T11:25:38+00:00
peternator7/strum,80964373,293,115,115,4,1089,309,116,3,1946,196,88,5,1266,D,2026-05-19T11:23:06+00:00,2026-05-19T11:25:38+00:00
petkaantonov/bluebird,12670444,2066,210,209,1,6288,1894,234,1,6023,9,4,2,3061,B,2026-05-19T11:23:09+00:00,2026-05-19T11:25:39+00:00
pexpect/ptyprocess,24727748,154,21,21,1,3572,116,20,1,3145,15,9,3,1378,C,2026-05-19T11:23:09+00:00,2026-05-19T11:25:39+00:00
pillarjs/encodeurl,60721766,48,9,8,1,5624,48,8,1,5624,13,6,2,2727,B,2026-05-19T11:23:10+00:00,2026-05-19T11:25:40+00:00
pillarjs/finalhandler,20547377,409,11,10,1,7602,410,11,1,7562,126,7,1,4164,B,2026-05-19T11:23:12+00:00,2026-05-19T11:25:40+00:00
pillarjs/iconv-lite,2743221,303,36,35,1,5774,285,41,1,5170,27,6,1,4739,B,2026-05-19T11:23:13+00:00,2026-05-19T11:25:41+00:00
pillarjs/parseurl,17533192,186,9,8,1,8355,186,8,1,8355,57,5,1,8258,A,2026-05-19T11:23:14+00:00,2026-05-19T11:25:41+00:00
pillarjs/path-to-regexp,5265803,373,35,34,1,7550,353,39,1,7321,103,12,1,7799,B,2026-05-19T11:23:16+00:00,2026-05-19T11:25:42+00:00
pillarjs/send,4879977,606,32,31,1,6473,602,36,1,6537,117,9,1,3824,B,2026-05-19T11:23:17+00:00,2026-05-19T11:25:42+00:00
pkgconf/pkgconf,4180110,2140,87,87,1,6612,2112,96,1,6383,672,47,1,5303,B,2026-05-19T11:23:18+00:00,2026-05-19T11:25:43+00:00
pnggroup/libpng,3768025,1145,96,96,2,3493,4609,114,1,5763,497,50,1,4985,B,2026-05-19T11:23:20+00:00,2026-05-19T11:25:43+00:00
postcss/postcss,13078968,4093,384,383,1,5888,,,,,,,,,,2026-05-19T11:23:23+00:00,
postcss/postcss-selector-parser,36500102,379,43,42,2,2654,,,,,,,,,,2026-05-19T11:23:23+00:00,
prettier/prettier,75104123,10684,430,426,3,1749,,,,,,,,,,2026-05-19T11:23:27+00:00,
primus/eventemitter3,13100677,384,28,27,1,4315,,,,,,,,,,2026-05-19T11:23:26+00:00,
proptest-rs/proptest,94702898,1133,91,90,2,2141,,,,,,,,,,2026-05-19T11:23:27+00:00,
protobufjs/protobuf.js,8507859,1027,116,111,1,5219,,,,,,,,,,2026-05-19T11:23:29+00:00,
protocolbuffers/protobuf,23357588,19644,368,367,5,736,,,,,,,,,,2026-05-19T11:23:31+00:00,
psf/requests,1362490,3777,402,401,3,1204,,,,,,,,,,2026-05-19T11:23:33+00:00,
psycopg/psycopg2,7730829,3135,117,116,1,5048,,,,,,,,,,2026-05-19T11:23:33+00:00,
pvorb/clone,2317381,209,28,28,1,5196,,,,,,,,,,2026-05-19T11:23:34+00:00,
py4j/py4j,1045976,758,36,36,1,7067,,,,,,,,,,2026-05-19T11:22:36+00:00,
pyasn1/pyasn1,512723255,601,26,26,1,7153,,,,,,,,,,2026-05-19T11:22:37+00:00,
pyasn1/pyasn1-modules,512723354,263,12,12,1,4196,,,,,,,,,,2026-05-19T11:22:37+00:00,
pyca/bcrypt,9993757,994,38,37,2,2993,,,,,,,,,,2026-05-19T11:22:38+00:00,
pyca/cryptography,11939484,15118,344,341,2,3114,,,,,,,,,,2026-05-19T11:22:40+00:00,
pyca/pynacl,8350032,818,73,72,3,1602,,,,,,,,,,2026-05-19T11:22:40+00:00,
pyca/pyopenssl,15778059,1781,102,101,3,1439,,,,,,,,,,2026-05-19T11:22:41+00:00,
pydantic/pydantic,90194616,5202,459,455,4,1060,,,,,,,,,,2026-05-19T11:22:43+00:00,
pydantic/typing-inspection,930576948,48,3,3,1,7769,48,3,1,7769,47,3,1,7727,B,2026-05-19T11:22:42+00:00,2026-05-19T11:17:29+00:00
pygments/pygments,205564111,6079,390,390,3,1423,,,,,,,,,,2026-05-19T11:22:45+00:00,
pypa/distlib,436970140,1282,36,36,1,9087,,,,,,,,,,2026-05-19T11:22:44+00:00,
pypa/packaging,19837758,986,139,138,4,961,,,,,,,,,,2026-05-19T11:22:46+00:00,
pypa/pip,1446467,15328,395,393,6,713,,,,,,,,,,2026-05-19T11:22:48+00:00,
pypa/setuptools,54980593,14765,388,385,2,2587,,,,,,,,,,2026-05-19T11:22:48+00:00,
pypa/virtualenv,1446474,1157,150,146,1,4912,,,,,,,,,,2026-05-19T11:22:48+00:00,
pypa/wheel,98346885,993,82,81,2,2725,,,,,,,,,,2026-05-19T11:22:49+00:00,
pyparsing/pyparsing,91262163,1665,73,73,1,7260,,,,,,,,,,2026-05-19T11:22:50+00:00,
pytest-dev/iniconfig,66012563,193,16,15,1,4837,,,,,,,,,,2026-05-19T11:22:51+00:00,
pytest-dev/pluggy,34739117,837,51,49,3,1557,,,,,,,,,,2026-05-19T11:22:52+00:00,
pytest-dev/pytest,37489525,15195,380,377,3,1244,,,,,,,,,,2026-05-19T11:22:55+00:00,
python-attrs/attrs,29918975,1767,179,177,1,6320,1766,184,1,6190,923,102,1,6388,B,2026-05-19T11:22:54+00:00,2026-05-19T11:17:29+00:00
python-cffi/cffi,696427398,3547,87,87,1,7653,,,,,,,,,,2026-05-19T11:22:55+00:00,
python-greenlet/greenlet,3003137,1130,74,73,1,3706,,,,,,,,,,2026-05-19T11:22:57+00:00,
python-hyper/brotlicffi,43543393,433,20,20,1,3831,,,,,,,,,,2026-05-19T11:22:58+00:00,
python-hyper/h11,57372073,481,33,33,1,5017,,,,,,,,,,2026-05-19T11:22:59+00:00,
python-jsonschema/jsonschema,3072629,2985,106,104,1,6936,,,,,,,,,,2026-05-19T11:23:00+00:00,
python-pillow/pillow,5171600,20414,385,382,2,2257,,,,,,,,,,2026-05-19T11:23:03+00:00,
python-poetry/poetry,123303402,3571,441,439,3,1587,,,,,,,,,,2026-05-19T11:23:05+00:00,
python-poetry/tomlkit,140365570,460,44,42,2,3612,,,,,,,,,,2026-05-19T11:23:04+00:00,
python-trio/sniffio,142657210,89,17,17,3,1521,,,,,,,,,,2026-05-19T11:23:05+00:00,
python/cpython,81598961,,,,,,,,,,,,,,,,
python/importlib_metadata,306448340,1801,67,65,1,7071,,,,,,,,,,2026-05-19T11:23:06+00:00,
python/importlib_resources,306147182,1100,49,48,1,5483,,,,,,,,,,2026-05-19T11:23:07+00:00,
python/mypy,7053637,12638,413,410,2,1968,,,,,,,,,,2026-05-19T11:23:12+00:00,
python/mypy_extensions,165752308,68,24,23,3,1419,,,,,,,,,,2026-05-19T11:23:10+00:00,
python/typeshed,31696383,10005,433,430,7,461,,,,,,,,,,2026-05-19T11:23:15+00:00,
python/typing,24604008,815,142,140,5,702,,,,,,,,,,2026-05-19T11:23:13+00:00,
python/typing_extensions,494077289,517,79,77,2,1600,,,,,,,,,,2026-05-19T11:23:14+00:00,
python/tzdata,242158882,160,8,6,1,6519,,,,,,,,,,2026-05-19T11:23:16+00:00,
qix-/color-convert,1874305,147,28,28,1,3025,,,,,,,,,,2026-05-19T11:23:17+00:00,
qix-/node-error-ex,41388258,50,5,5,1,8480,,,,,,,,,,2026-05-19T11:23:18+00:00,
qix-/node-is-arrayish,41376759,25,3,3,1,8496,,,,,,,,,,2026-05-19T11:23:19+00:00,
qt/qt5,9880318,3466,147,147,6,611,,,,,,,,,,2026-05-19T11:23:22+00:00,
radix-ui/primitives,273499522,1245,79,77,2,2811,1632,85,3,1800,1164,82,3,1499,D,2026-05-19T11:23:23+00:00,2026-05-19T11:17:29+00:00
raszi/node-tmp,2313213,451,35,34,1,4441,,,,,,,,,,2026-05-19T11:23:24+00:00,
raynos/for-each,6006855,72,3,3,1,6925,,,,,,,,,,2026-05-19T11:23:25+00:00,
raynos/function-bind,10727014,100,6,6,1,8662,,,,,,,,,,2026-05-19T11:23:27+00:00,
rayon-rs/either,42479602,272,39,39,2,2406,,,,,,,,,,2026-05-19T11:23:28+00:00,
rayon-rs/rayon,24725038,2252,142,141,2,3010,,,,,,,,,,2026-05-19T11:23:30+00:00,
reactivex/rxjs,32247847,5179,423,422,2,1843,,,,,,,,,,2026-05-19T11:23:33+00:00,
realpython/pytest-mypy,69576530,351,14,14,1,8434,,,,,,,,,,2026-05-19T11:23:33+00:00,
remix-run/react-router,19872456,9991,429,426,3,1127,,,,,,,,,,2026-05-19T11:23:37+00:00,
remusao/tldts,97631656,2771,18,15,1,8496,,,,,,,,,,2026-05-19T11:22:36+00:00,
requests/requests-oauthlib,6825724,607,103,103,3,1125,,,,,,,,,,2026-05-19T11:22:37+00:00,
requests/toolbelt,15515181,585,62,62,1,4277,,,,,,,,,,2026-05-19T11:22:37+00:00,
retep998/winapi-rs,23853482,1008,140,140,1,3317,,,,,,,,,,2026-05-19T11:22:38+00:00,
rich-harris/estree-walker,33668779,113,12,12,1,5163,,,,,,,,,,2026-05-19T11:22:39+00:00,
rich-harris/magic-string,26143240,584,56,54,1,4057,,,,,,,,,,2026-05-19T11:22:40+00:00,
rob--w/proxy-from-env,52038793,46,4,4,1,8365,,,,,,,,,,2026-05-19T11:22:40+00:00,
rogdham/backports.zstd,977687927,72,3,3,1,9456,,,,,,,,,,2026-05-19T11:22:42+00:00,
rollup/plugins,203607977,973,245,244,2,1723,,,,,,,,,,2026-05-19T11:22:43+00:00,
ronaldoussoren/pyobjc,243933900,5849,29,28,1,7392,,,,,,,,,,2026-05-19T11:22:44+00:00,
rust-cli/anstyle,493821282,1320,39,37,1,7484,,,,,,,,,,2026-05-19T11:22:44+00:00,
rust-cli/env_logger,96382888,722,70,68,1,3156,,,,,,,,,,2026-05-19T11:22:45+00:00,
rust-embedded/critical-section,365854323,119,15,14,1,4949,,,,,,,,,,2026-05-19T11:22:46+00:00,
rust-fuzz/arbitrary,90591032,406,62,62,2,2556,,,,,,,,,,2026-05-19T11:22:47+00:00,
rust-itertools/itertools,22360263,1710,169,167,2,1494,,,,,,,,,,2026-05-19T11:22:49+00:00,
rust-lang-nursery/lazy-static.rs,21157492,265,54,54,2,2109,,,,,,,,,,2026-05-19T11:22:49+00:00,
rust-lang/cc-rs,26039547,1577,310,307,2,1744,,,,,,,,,,2026-05-19T11:22:51+00:00,
rust-lang/cfg-if,38723660,124,19,16,2,2668,,,,,,,,,,2026-05-19T11:22:51+00:00,
rust-lang/compiler-builtins,65153793,3019,212,208,3,1348,,,,,,,,,,2026-05-19T11:22:53+00:00,
rust-lang/flate2-rs,21954009,832,109,107,2,2105,,,,,,,,,,2026-05-19T11:22:54+00:00,
rust-lang/futures-rs,55077261,3306,316,315,3,1547,,,,,,,,,,2026-05-19T11:22:56+00:00,
rust-lang/glob,23241722,252,50,48,4,1343,,,,,,,,,,2026-05-19T11:22:55+00:00,
rust-lang/hashbrown,155119796,1224,122,120,3,1378,,,,,,,,,,2026-05-19T11:22:57+00:00,
rust-lang/libc,29197565,8367,421,420,4,925,,,,,,,,,,2026-05-19T11:23:00+00:00,
rust-lang/libz-sys,26042019,480,55,53,3,1536,,,,,,,,,,2026-05-19T11:22:59+00:00,
rust-lang/log,27974762,944,121,121,3,1516,,,,,,,,,,2026-05-19T11:23:01+00:00,
rust-lang/pkg-config-rs,26042035,296,54,54,2,2024,,,,,,,,,,2026-05-19T11:23:01+00:00,
rust-lang/regex,27890669,1559,192,192,1,5143,,,,,,,,,,2026-05-19T11:23:03+00:00,
rust-lang/rust,724712,280198,445,443,17,395,,,,,,,,,,2026-05-19T11:23:06+00:00,
rust-num/num-traits,114705611,1128,116,115,3,1538,,,,,,,,,,2026-05-19T11:23:06+00:00,
rust-phf/rust-phf,15992970,891,66,65,1,3873,,,,,,,,,,2026-05-19T11:23:06+00:00,
rust-random/getrandom,166545969,669,64,63,2,2732,,,,,,,,,,2026-05-19T11:23:08+00:00,
rust-random/rand,30227790,3485,287,286,2,1690,,,,,,,,,,2026-05-19T11:23:10+00:00,
rust-random/rand_core,1086593277,370,37,36,1,3077,,,,,,,,,,2026-05-19T11:23:10+00:00,
rust-random/rngs,209510094,198,22,21,1,4198,,,,,,,,,,2026-05-19T11:23:12+00:00,
rustcrypto/formats,406051759,1791,98,97,1,3942,,,,,,,,,,2026-05-19T11:23:13+00:00,
rustcrypto/hashes,74106774,728,87,86,2,3274,,,,,,,,,,2026-05-19T11:23:14+00:00,
rustcrypto/stream-ciphers,83051505,602,30,29,1,4607,,,,,,,,,,2026-05-19T11:23:16+00:00,
rustcrypto/traits,85605821,1994,72,70,1,5979,,,,,,,,,,2026-05-19T11:23:17+00:00,
rustcrypto/utils,77307442,1320,77,76,1,4952,,,,,,,,,,2026-05-19T11:23:18+00:00,
rvagg/bl,10706095,277,36,34,2,2684,,,,,,,,,,2026-05-19T11:23:20+00:00,
rvagg/through2,11808187,128,21,20,1,4788,,,,,,,,,,2026-05-19T11:23:21+00:00,
ryanzim/universalify,87651180,28,5,5,1,6837,,,,,,,,,,2026-05-19T11:23:23+00:00,
salesforce/tough-cookie,2606873,709,38,36,2,1728,,,,,,,,,,2026-05-19T11:23:24+00:00,
samn/json-stable-stringify,76598131,10,7,7,2,1800,,,,,,,,,,2026-05-19T11:23:26+00:00,
samverschueren/decode-uri-component,91837954,19,3,3,1,8061,,,,,,,,,,2026-05-19T11:23:27+00:00,
sboudrias/inquirer.js,10114077,2074,220,217,1,6426,,,,,,,,,,2026-05-19T11:23:30+00:00,
scikit-build/ninja-python-distributions,75102202,370,12,10,2,3816,,,,,,,,,,2026-05-19T11:23:30+00:00,
scikit-learn/scikit-learn,843222,24396,409,408,11,347,,,,,,,,,,2026-05-19T11:23:33+00:00,
scipy/scipy,1460385,33437,412,412,9,418,,,,,,,,,,2026-05-19T11:23:36+00:00,
seanmonstar/reqwest,62350380,1247,377,376,4,2204,,,,,,,,,,2026-05-19T11:23:36+00:00,
sec-ant/readable-stream,569980966,130,4,1,1,10000,,,,,,,,,,2026-05-19T11:23:39+00:00,
selinuxproject/selinux,20648799,3774,133,133,4,900,,,,,,,,,,2026-05-19T11:23:43+00:00,
serde-rs/bytes,87358441,215,9,9,1,8660,,,,,,,,,,2026-05-19T11:23:48+00:00,
serde-rs/json,35894511,1811,129,129,1,6505,,,,,,,,,,2026-05-19T11:23:53+00:00,
serde-rs/serde,14367737,4242,180,180,1,4361,,,,,,,,,,2026-05-19T11:24:00+00:00,
servo/rust-fnv,33499190,50,17,17,3,1192,,,,,,,,,,2026-05-19T11:24:06+00:00,
servo/rust-smallvec,33456236,366,88,88,4,1111,,,,,,,,,,2026-05-19T11:24:11+00:00,
servo/rust-url,14934771,1201,181,180,2,2092,,,,,,,,,,2026-05-19T11:24:18+00:00,
sinclairzx81/typebox,87454905,768,55,55,1,8357,,,,,,,,,,2026-05-19T11:24:25+00:00,
sindresorhus/ansi-escapes,40721875,81,17,17,1,6086,,,,,,,,,,2026-05-19T11:24:32+00:00,
sindresorhus/array-union,21005682,25,9,9,1,4752,,,,,,,,,,2026-05-19T11:22:38+00:00,
sindresorhus/binary-extensions,29771015,73,23,23,1,3147,,,,,,,,,,2026-05-19T11:22:43+00:00,
sindresorhus/callsites,18938743,38,7,7,1,5277,,,,,,,,,,2026-05-19T11:22:47+00:00,
sindresorhus/camelcase,25116836,103,28,28,1,4062,,,,,,,,,,2026-05-19T11:22:52+00:00,
sindresorhus/clean-stack,62838930,59,15,15,1,5139,,,,,,,,,,2026-05-19T11:22:58+00:00,
sindresorhus/cli-cursor,23512396,29,5,5,1,7479,,,,,,,,,,2026-05-19T11:23:04+00:00,
sindresorhus/crypto-random-string,73665728,32,7,7,1,4082,,,,,,,,,,2026-05-19T11:23:10+00:00,
sindresorhus/decamelize,29773710,57,14,14,1,4564,,,,,,,,,,2026-05-19T11:23:17+00:00,
sindresorhus/detect-newline,21304485,39,9,9,1,5989,,,,,,,,,,2026-05-19T11:23:25+00:00,
sindresorhus/environment,793180075,5,1,1,1,10000,,,,,,,,,,2026-05-19T11:23:31+00:00,
sindresorhus/escape-string-regexp,21169121,26,7,7,1,4970,,,,,,,,,,2026-05-19T11:23:37+00:00,
sindresorhus/execa,47475908,822,62,62,1,5479,,,,,,,,,,2026-05-19T11:23:41+00:00,
sindresorhus/figures,21672939,128,11,11,2,3970,,,,,,,,,,2026-05-19T11:23:46+00:00,
sindresorhus/file-type,19105307,631,111,111,2,2782,,,,,,,,,,2026-05-19T11:23:52+00:00,
sindresorhus/find-cache-directory,48783244,54,14,14,2,2743,,,,,,,,,,2026-05-19T11:23:56+00:00,
sindresorhus/find-up,41723004,78,17,17,1,4875,,,,,,,,,,2026-05-19T11:24:04+00:00,
sindresorhus/find-up-simple,714044439,7,2,2,1,5918,,,,,,,,,,2026-05-19T11:24:10+00:00,
sindresorhus/get-east-asian-width,711160838,26,4,3,1,4656,,,,,,,,,,2026-05-19T11:24:15+00:00,
sindresorhus/get-stream,44264225,123,16,16,1,3734,,,,,,,,,,2026-05-19T11:24:24+00:00,
sindresorhus/globals,15186239,420,95,94,2,2736,,,,,,,,,,2026-05-19T11:24:29+00:00,
sindresorhus/globby,21069494,259,47,47,1,3566,,,,,,,,,,2026-05-19T11:22:37+00:00,
