repo,repo_id,active_contributors,hhi_commits,bus_factor_commits,loc,concentration_class,complexity_class
arm-software/armnn,124536178,53,828,5,0,D,
arm-software/astc-encoder,34799882,22,9307,1,0,A,
arm-software/computelibrary,84570214,66,526,7,0,D,
armink/cmbacktrace,77414939,10,1562,3,0,D,
armink/easyflash,29770287,7,2200,2,0,D,
armink/easylogger,35313328,14,1008,4,0,D,
armink/flashdb,266515876,46,4063,1,0,C,
armink/freemodbus_slave-master-rtt-stm32,11835581,1,10000,1,0,A,
armink/sfud,63885010,15,1232,4,0,D,
armmbed/daplink,24571059,22,2923,2,0,C,
armmbed/mbed-os,8270972,24,2093,2,0,D,
armon/bloomd,3419558,2,5000,1,0,B,
armory3d/armortools,81142732,14,8880,1,0,A,
armory3d/armory,45202654,26,1452,3,0,D,
arnaud-lb/php-rdkafka,33140616,15,6165,1,0,B,
arq5x/bedtools2,15059334,16,2822,1,0,C,
arrayfire/arrayfire,25889802,20,3391,1,0,C,
artelnics/opennn,46130068,35,1372,3,0,D,
artem-ogre/cdt,179470761,8,8604,1,0,A,
arthepsy/cve-2021-4034,452094681,1,10000,1,0,A,
arthursonzogni/diagon,118505656,13,6784,1,0,B,
arthursonzogni/ftxui,167828165,89,5547,1,0,B,
artifexsoftware/mupdf,37978718,14,3382,2,0,C,
artikash/textractor,134180348,9,6143,1,0,B,
artivis/manif,129808016,10,5417,1,0,B,
arut/nginx-rtmp-module,3714900,1,10000,1,0,A,
arvidn/libtorrent,36781769,38,6292,1,0,B,
arx/arxlibertatis,1261922,25,8146,1,0,A,
arximboldi/immer,65983699,32,2905,2,0,C,
asb2m10/dexed,14973783,8,4373,1,0,C,
asc-community/mxengine,228222817,5,5543,1,0,B,
ascotbe/kernelhub,286175467,2,9678,1,0,A,
asdcorp/ohook,676621809,1,10000,1,0,A,
aseprite/aseprite,23129458,56,5149,1,0,B,
asg017/sqlite-vec,789538509,16,8843,1,0,A,
asg017/sqlite-vss,584946477,14,8692,1,0,A,
ashima/webgl-noise,1400125,2,5156,1,0,B,
ashtf8/pocketmage_pda,898125057,9,3626,1,0,C,
ashvardanian/less_slow.cpp,465608128,9,8643,1,0,A,
ashvardanian/simsimd,613772664,55,7968,1,0,B,
ashvardanian/stringzilla,287616631,57,8399,1,0,A,
asmjit/asmjit,16327099,23,7854,1,0,B,
asmvik/skhd,99607082,1,10000,1,0,A,
asmvik/yabai,184909163,3,9766,1,0,A,
aspjt/dungeontemplatelibrary,161816687,2,7812,1,0,B,
assimp/assimp,648332,53,5247,1,0,B,
asterisk/asterisk,33784533,48,1476,3,0,D,
astrand/xclip,50902935,7,1944,2,0,D,
astrathreshold/oled-ui-astra,745935118,3,9614,1,0,A,
astronautlevel2/anemone3ds,96824328,11,3440,1,0,C,
async-profiler/async-profiler,56894212,44,4240,1,0,C,
atar-axis/xpadneo,119148271,24,8174,1,0,A,
ataradov/usb-sniffer,649540986,3,7796,1,0,B,
atc1441/atc_mithermometer,290808391,10,5158,1,0,B,
atcoder/ac-library,293816245,16,5814,1,0,B,
atmosphere-nx/atmosphere,117948953,25,9179,1,0,A,
attractivechaos/klib,1251393,2,7450,1,0,B,
auburn/fastnoise2,240107617,17,9282,1,0,A,
audacious-media-player/audacious,2925338,17,5022,1,0,B,
audacity/audacity,32921736,71,1969,2,0,D,
audio4linux/jdsp4linux,205041305,19,8460,1,0,A,
audreyt/node-webworker-threads,6511544,1,10000,1,0,A,
autoas/as-deprecated,31243944,1,10000,1,0,A,
autodiff/autodiff,141541151,19,4730,1,0,C,
autohotkey/autohotkey,385065,13,9345,1,0,A,
autohotkey/autohotkey-v1.0,3378219,1,10000,1,0,A,
autowarefoundation/autoware_universe,429651616,96,267,14,0,D,
avahi/avahi,27156301,47,3210,1,0,C,
avast/retdec,113967646,18,2071,2,0,D,
avrdudes/avrdude,435622658,44,4240,1,0,C,
awawa-dev/hyperhdr,284335610,23,8285,1,0,A,
awesome-harmonyos/harmonyos,201454051,1,10000,1,0,A,
aws/aws-iot-device-sdk-embedded-c,43013346,43,474,8,0,D,
aws/aws-sdk-cpp,35440404,66,2709,2,0,C,
aws/pgactive,623729642,9,4170,1,0,C,
aws/s2n-tls,21287076,61,1073,4,0,D,
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,204783139,39,602,7,0,D,
axboe/fio,6331631,54,1381,3,0,D,
axboe/liburing,200663555,72,3389,1,0,C,
axiomatic-systems/bento4,29268611,28,2641,2,0,C,
axmolengine/axmol,223598953,55,5543,1,0,B,
axxaxx/axxsolder,686303688,12,9095,1,0,A,
ayoubfaouzi/al-khaser,46072655,22,796,5,0,D,
ayoubfaouzi/cpu-internals,102395287,1,10000,1,0,A,
ayushsharma82/esp-dash,110254023,2,7745,1,0,B,
azagaya/laigter,195250271,10,8891,1,0,A,
azahar-emu/azahar,767183985,51,1134,4,0,D,
azerothcore/azerothcore-wotlk,61980658,91,479,8,0,D,
b4rtaz/distributed-llama,727470807,10,9203,1,0,A,
babelouest/ulfius,45362021,7,9220,1,0,A,
babitmf/bmf,666783113,29,1061,4,0,D,
baidu/baikaldb,143436277,9,2735,2,0,C,
baidu/bigflow,110657073,1,10000,1,0,A,
baidu/braft,120606279,22,1475,3,0,D,
baidu/dperf,440436833,11,8508,1,0,A,
baidu/familia,94299010,1,10000,1,0,A,
baidu/lac,139385800,1,10000,1,0,A,
baidu/openrasp,99914450,13,1498,3,0,D,
baidu/sofa-pbrpc,18129895,1,10000,1,0,A,
bakkeby/dwm-flexipatch,206426925,17,8320,1,0,A,
balazsjako/imguicolortextedit,105468199,1,10000,1,0,A,
baldurk/renderdoc,17253131,49,5086,1,0,B,
balloonwj/flamingo,92387020,1,10000,1,0,A,
bambulab/bambustudio,511797274,98,637,6,0,D,
banach-space/llvm-tutor,177661574,32,4237,1,0,C,
bandarhl/bhtwitter,287821668,15,2906,2,0,C,
banjorecomp/banjorecomp,934549500,6,3814,1,0,C,
bareflank/hypervisor,43819033,3,8639,1,0,A,
bareos/bareos,12057328,38,1527,3,0,D,
baresip/baresip,16664594,54,2299,2,0,D,
barry-ran/qtscrcpy,193305104,22,5169,1,0,B,
bartobri/no-more-secrets,55443397,4,6886,1,0,B,
basedhardware/openglass,799645136,9,2330,2,0,D,
basil00/windivert,2233708,2,7222,1,0,B,
baskerville/bspwm,5213091,12,2588,2,0,C,
baskerville/sxhkd,7386389,7,1852,3,0,D,
batchdrake/sigdigger,202195438,9,7350,1,0,B,
bats3c/darkloadlibrary,377760320,3,6955,1,0,B,
bbc/audiowaveform,13561076,6,9169,1,0,A,
bblanchon/arduinojson,15802263,13,9679,1,0,A,
bbuchfink/diamond,31987083,16,8694,1,0,A,
bcrypt-ruby/bcrypt-ruby,15293,17,1358,3,0,D,
bdring/fluidnc,398863403,47,4812,1,0,C,
bdwgc/bdwgc,2109456,46,8924,1,0,A,
beanstalkd/beanstalkd,6040,12,1777,2,0,D,
beefytech/beef,203406425,38,7072,1,0,B,
begeekmyfriend/bplustree,24494870,1,10000,1,0,A,
begeekmyfriend/leetcode,37474686,4,8022,1,0,A,
begeekmyfriend/yasea,55608993,2,5556,1,0,B,
begla/intrinsic,71087084,1,10000,1,0,A,
behaviortree/behaviortree.cpp,153316914,64,6347,1,0,B,
bellard/mquickjs,1121153522,4,2800,2,0,C,
bellard/quickjs,293316071,17,2844,1,0,C,
benbuck/rbtray,47469724,4,6550,1,0,B,
benjamin-dobell/heimdall,1134253,2,5556,1,0,B,
benkuper/chataigne,72221136,21,8990,1,0,A,
bepaald/signalbackup-tools,197769821,1,10000,1,0,A,
berdav/cve-2021-4034,452081015,7,3926,1,0,C,
berkeley-abc/abc,124750053,54,5001,1,0,B,
bernardogiordano/checkpoint,102637400,7,6104,1,0,B,
berry-lang/berry,157044434,18,7118,1,0,B,
berthubert/googerteller,527309421,5,7751,1,0,B,
bespokesynth/bespokesynth,65670631,64,5326,1,0,B,
betaflight/betaflight,37060852,36,1457,3,0,D,
bigtreetech/bigtreetech-skr-mini-e3,193027765,6,2347,2,0,D,
bigtreetech/bigtreetech-touchscreenfirmware,197141607,49,1105,4,0,D,
bilibili/ijkplayer,10446890,1,10000,1,0,A,
bill-haku/kawaii-gcc,720308689,11,3111,1,0,C,
binbyu/reader,149233191,5,5801,1,0,B,
bingoogolapple/bgaqrcode-android,28405578,1,10000,1,0,A,
binji/pokegb,371753644,2,9287,1,0,A,
binomialllc/basis_universal,184166340,24,7181,1,0,B,
biometrics/openbr,7251195,11,5348,1,0,B,
bionus/imgbrd-grabber,32276615,24,9337,1,0,A,
bitcoin-abc/bitcoin-abc,89913655,63,1481,3,0,D,
bitcoin-core/secp256k1,16648618,42,1707,3,0,D,
bitcoin/bitcoin,1181927,78,895,5,0,D,
bitcookies/winrar-keygen,286200146,6,9291,1,0,A,
bitcraze/crazyflie-firmware,17058380,52,1106,4,0,D,
bitdefender/bddisasm,278359094,10,3997,2,0,C,
bitfieldaudio/otto,82694455,2,5065,1,0,B,
bitmaker-hub/nerdminer_v2,616222670,38,1543,3,0,D,
bitshares/bitshares-core,44123252,10,9675,1,0,A,
bjornbytes/lovr,62519414,29,8449,1,0,A,
bk138/gromit-mpx,12067072,17,7659,1,0,B,
bkaradzic/bgfx,3925242,55,5743,1,0,B,
blackarrowsec/redteam-research,295432590,3,5442,1,0,B,
blackhole89/notekit,204495016,6,4441,1,0,C,
blackymas/nspanel_ha_blueprint,542298398,36,6021,1,0,B,
blazingdb/blazingsql,150149024,15,1781,2,0,D,
blechschmidt/massdns,61796725,10,5996,1,0,B,
blend2d/blend2d,16447163,6,9419,1,0,A,
blender/blender,213916896,65,858,5,0,D,
blinker-iot/blinker-esp-idf,204112839,2,7752,1,0,B,
blinker-iot/blinker-library,126308611,3,5898,1,0,B,
blinker-iot/blinker-nrf52,241844430,1,10000,1,0,A,
bloomberg/bde,6619178,49,1279,3,0,D,
bloomberg/blazingmq,665300681,38,1378,3,0,D,
bloomberg/comdb2,91593042,34,1154,4,0,D,
bloomberg/pystack,593714137,25,4392,1,0,C,
blosc/c-blosc,1990838,15,2465,2,0,D,
blueforcer/awtrix3,615502855,38,7550,1,0,B,
bluekitchen/btstack,32987989,36,6170,1,0,B,
bluematthew/wechatexporter,305539431,1,10000,1,0,A,
bluez/bluez,219718895,46,2249,2,0,D,
blurrypiano/littlevulkanengine,304333790,1,10000,1,0,A,
blynkkk/blynk-library,32791821,10,8976,1,0,A,
bmax121/kernelpatch,662576781,11,3376,1,0,C,
bmorcelli/launcher,755727720,9,8443,1,0,A,
bo3b/3dmigoto,16473475,3,6116,1,0,B,
boazsegev/facil.io,49816276,5,2500,2,0,C,
