repo,repo_id,openssf_score,cve_count_5y,ossfuzz_enrolled,fetched_at
iarna/aproba,31432421,1.8,0,False,2026-04-27
import-js/eslint-plugin-import,32238354,5.2,0,False,2026-04-27
indexmap-rs/indexmap,68294628,,0,False,
indutny/bn.js,19176350,3.5,0,False,2026-04-27
indygreg/python-zstandard,67307930,4.3,0,False,2026-04-27
inikulin/parse5,8862593,6.4,0,False,2026-04-27
inspect-js/array-buffer-byte-length,607836784,,0,False,
inspect-js/available-typed-arrays,235965505,4.1,0,False,2026-04-27
inspect-js/functions-have-names,198357138,,0,False,
inspect-js/has-property-descriptors,481834578,4.0,0,False,2026-04-27
inspect-js/has-proto,577580747,3.9,0,False,2026-04-27
inspect-js/has-symbols,68573418,4.0,0,False,2026-04-27
inspect-js/has-tostringtag,392913710,4.6,0,False,2026-04-27
inspect-js/hasown,703350811,4.3,0,False,2026-04-27
inspect-js/is-accessor-descriptor,41658954,4.1,0,False,2026-04-27
inspect-js/is-arguments,15725461,4.4,0,False,2026-04-27
inspect-js/is-array-buffer,45977026,4.7,0,False,2026-04-27
inspect-js/is-bigint,149682261,,0,False,
inspect-js/is-boolean-object,34700259,4.0,0,False,2026-04-27
inspect-js/is-callable,30012910,,0,False,
inspect-js/is-core-module,24578130,4.1,0,False,2026-04-27
inspect-js/is-data-descriptor,41659073,4.0,0,False,2026-04-27
inspect-js/is-data-view,751048078,3.9,0,False,2026-04-27
inspect-js/is-date-object,29991041,4.0,0,False,2026-04-27
inspect-js/is-descriptor,41658845,3.9,0,False,2026-04-27
inspect-js/is-number-object,29991666,4.0,0,False,2026-04-27
inspect-js/is-regex,15930063,,0,False,
inspect-js/is-string,30010185,4.1,0,False,2026-04-27
inspect-js/is-symbol,29791606,,0,False,
inspect-js/is-typed-array,43528820,4.0,0,False,2026-04-27
inspect-js/node-supports-preserve-symlinks-flag,443970899,4.0,0,False,2026-04-27
inspect-js/object-inspect,11683441,4.4,0,False,2026-04-27
inspect-js/typed-array-buffer,649850465,,0,False,
inspect-js/which-boxed-primitive,201685155,,0,False,
inspect-js/which-typed-array,43708371,,0,False,
ipython/traitlets,14993021,5.3,0,False,2026-04-27
isaacs/chownr,3858354,2.9,1,False,2026-04-27
isaacs/cliui,634056857,4.0,0,False,2026-04-27
isaacs/core-util-is,12391440,2.4,0,False,2026-04-27
isaacs/fs.realpath,61231712,2.9,0,False,2026-04-27
isaacs/inherits,1580001,2.9,0,False,2026-04-27
isaacs/isexe,49804297,4.5,0,False,2026-04-27
isaacs/minimatch,2056549,6.0,1,False,2026-04-27
isaacs/minipass,84886212,3.0,0,False,2026-04-27
isaacs/minizlib,86429676,3.1,0,False,2026-04-27
isaacs/node-glob,357681,5.0,1,False,2026-04-27
isaacs/node-graceful-fs,2077020,3.0,0,False,2026-04-27
isaacs/node-lru-cache,679662,5.8,0,False,2026-04-27
isaacs/node-mkdirp,2718248,,0,False,
isaacs/node-tar,1534331,6.2,7,False,2026-04-27
isaacs/once,5409660,2.9,0,False,2026-04-27
isaacs/package-json-from-dist,800543709,2.9,0,False,2026-04-27
isaacs/path-scurry,591569499,4.0,0,False,2026-04-27
isaacs/rimraf,1341324,5.1,0,False,2026-04-27
isaacs/sax-js,508894,3.4,0,False,2026-04-27
isaacs/yallist,48222381,2.9,0,False,2026-04-27
istanbuljs/istanbuljs,81482340,4.0,0,False,2026-04-27
istanbuljs/schema,211950686,4.6,0,False,2026-04-27
istanbuljs/test-exclude,60489570,3.9,0,False,2026-04-27
jamesmunns/postcard,179385478,5.4,0,False,2026-04-27
jaraco/jaraco.develop,48289082,4.9,0,False,2026-04-27
jaraco/pytest-perf,372026120,4.4,0,False,2026-04-27
jaraco/zipp,157774633,5.9,1,True,2026-04-27
jaredhanson/utils-merge,11349896,3.0,0,False,2026-04-27
jaredwray/cacheable,9267870,6.1,0,False,2026-04-27
jaredwray/keyv,96540810,4.6,0,False,2026-04-27
jawah/charset_normalizer,200259335,8.6,0,True,2026-04-27
jbgutierrez/path-parse,34113780,2.7,1,False,2026-04-27
jd/tenacity,65468547,,0,False,
jensyt/imurmurhash-js,11802843,2.7,0,False,2026-04-27
jestjs/jest,15062869,6.1,0,False,2026-04-27
jimmywarting/node-domexception,371470141,2.8,0,False,2026-04-27
jimp-dev/jimp,24008065,4.3,0,True,2026-04-27
jmespath/jmespath.py,8300763,6.2,0,False,2026-04-27
joblib/joblib,654608,,1,True,
jonathanong/ee-first,20707897,3.0,0,False,2026-04-27
jonschlinkert/assign-symbols,45661176,3.0,0,False,2026-04-27
