repo,repo_id,total_commits_lifetime,total_contributors_lifetime,active_contributors,hhi_commits_lifetime,bf_commits_lifetime,concentration_fetched_at,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,sast_findings_total,sast_findings_error,sast_findings_security,bestpractices_badge_id,security_fetched_at,github_sponsors,funding_class,has_funding_yml,funding_yml_platforms,has_funding_json,foundation_host,funding_fetched_at,stars,forks,watchers,visibility_fetched_at,repo_age_years_2025_eoy,active_contributors,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,loc_per_ac,cve_per_ac,nni_per_ac,loc_per_ac_pctl,cve_per_ac_pctl,nni_per_ac_pctl,workload_burden_percentile,workload_class,workload_fetched_at
ardatan/graphql-tools,54432168,7313,417,376,140,376,2026-04-27T23:51:00+00:00,61108,53446,3660,6.85,3628,1.03,213,2025,405274,1483302840,19.9838,90.83,5.5,openssf_local,0,False,35,0,35,,2026-04-27T15:07:35+01:00,3,B,True,github,False,,2026-04-28T00:16:22+00:00,5425,828,73,2026-04-27T13:18:13Z,9.8,376,10,True,5,2026-04-24T21:33:02Z,484,385,0.795,99,-39.6,-35.6,0.0413,162.5213,0.0,0.2633,57.39,39.03,60.97,51.5,B,2026-04-27T13:18:13Z
ardatan/whatwg-node,429511342,3170,33,28,268,28,2026-04-27T23:50:59+00:00,13599,12233,1495,12.22,1286,0.94,47,2025,88802,132758990,15.7109,83.03,5.7,openssf_local,0,False,1,0,1,,2026-04-27T21:29:14+01:00,3,B,True,github,False,,2026-04-28T00:16:22+00:00,194,37,3,2026-04-27T13:18:13Z,4.1,28,10,True,5,2026-04-27T10:43:31Z,75,66,0.88,9,3.1,3.4,0.02,485.6786,0.0,0.3214,79.23,39.03,64.73,58.49,B,2026-04-27T13:18:13Z
assert-rs/snapbox,424722460,1365,20,18,8294,1,2026-04-27T23:51:03+00:00,12374,9986,847,8.48,0,0,0,2025,59273,50204231,13.9768,78.21,6.5,openssf_local,0,False,0,0,0,,2026-05-03T23:21:24+01:00,0,A,False,,False,,2026-04-28T00:16:23+00:00,174,26,4,2026-04-27T13:18:13Z,4.2,18,10,True,5,2026-04-16T19:58:06Z,113,73,0.646,40,-4.5,-1.9,0.115,687.4444,0.0,2.2222,83.15,39.03,97.14,68.06,A,2026-04-27T13:18:13Z
astral-sh/ruff,523043277,15077,859,452,832,6,2026-04-27T23:51:09+00:00,842386,613615,55374,9.02,52680,1.17,1599,2025,4449233,246371828142,31.5349,99.54,6.3,openssf_local,0,False,15,3,15,,2026-04-27T21:29:49+01:00,0,A,False,,False,,2026-04-28T00:16:20+00:00,47269,2030,102,2026-04-27T13:18:13Z,3.4,452,10,True,4,2026-04-27T12:51:43Z,7609,5973,0.785,1636,526.2,386.4,-0.0919,1863.6858,0.0,3.6195,93.23,39.03,98.94,71.13,A,2026-04-27T13:18:13Z
auth0/node-jwa,8116861,97,16,13,2720,2,2026-05-17T23:35:34+00:00,930,766,38,4.96,,,,2025,18,684,2.0346,25.69,5.1,openssf_local,0,False,0,0,0,,2026-05-18T00:38:03+01:00,0,A,False,,False,,2026-05-17T23:35:55+00:00,102,45,8,2026-04-27T13:02:57Z,12.9,13,,True,2,2026-03-30T19:03:42Z,4,0,0.0,4,0.4,0.0,,71.5385,0.0,0.3077,35.67,39.03,63.94,44.65,C,2026-04-27T13:02:57Z
autotools-mirror/autoconf,47662429,7086,153,88,1311,3,2026-04-27T23:51:07+00:00,4159,2598,398,15.32,209,2.75,15,2025,512,203776,7.0489,53.33,4.1,openssf_local,0,False,3,0,3,,2026-04-27T21:29:59+01:00,0,A,False,,False,,2026-04-28T00:16:23+00:00,66,25,4,2026-04-27T18:55:22Z,10.1,88,10,False,5,2026-03-20T19:50:08Z,0,0,,0,,,,47.2614,0.0,0.0,26.15,39.03,27.49,30.39,C,2026-04-27T18:55:22Z
autotools-mirror/libtool,47662711,4532,354,149,845,27,2026-04-27T23:51:10+00:00,6882,4314,807,18.71,973,6.4,106,2025,470,379290,7.7716,56.65,3.4,openssf_local,0,False,44,0,44,,2026-04-27T21:30:04+01:00,0,A,False,,False,,2026-04-28T00:16:24+00:00,51,28,4,2026-04-27T18:55:22Z,10.1,149,7,False,4,2026-04-22T17:35:35Z,0,0,,0,,,,46.1879,0.0,0.0,25.48,39.03,27.49,30.12,C,2026-04-27T18:55:22Z
autotools-mirror/m4,66880383,709,14,13,7392,1,2026-04-27T23:51:11+00:00,8683,6048,1244,20.57,1234,7.35,77,2025,2870,3570280,10.7032,66.86,3.5,openssf_local,0,False,39,0,39,,2026-04-27T21:30:16+01:00,0,A,False,,False,,2026-04-28T00:16:24+00:00,28,4,4,2026-04-27T18:55:22Z,9.3,13,5,False,5,2026-02-06T20:20:30Z,0,0,,0,,,,667.9231,0.0,0.0,82.36,39.03,27.49,44.54,C,2026-04-27T18:55:22Z
aws/aws-cli,6780767,13829,495,331,1887,2,2026-04-27T23:51:16+00:00,109804,83115,4193,5.04,4572,0.68,69,2025,42842,179636506,16.7796,85.09,6,openssf_local,0,False,29,23,29,,2026-04-27T21:30:21+01:00,0,A,False,,False,,2026-04-28T00:16:25+00:00,16905,4526,560,2026-04-27T13:18:13Z,13.1,331,10,True,5,2026-04-25T00:04:53Z,1566,1623,1.036,-57,-59.9,-89.1,-0.0932,331.7341,0.0,-0.1722,73.52,39.03,9.13,29.69,D,2026-04-27T13:18:13Z
aws/aws-sdk-js-crypto-helpers,149673986,267,28,25,567,11,2026-04-27T23:50:54+00:00,2793,2322,94,4.05,116,0.48,21,2025,3400,319600,6.9845,52.87,5.5,openssf_local,0,False,3,1,3,,2026-05-03T17:22:49+01:00,0,A,False,,False,,2026-04-28T00:16:25+00:00,68,34,15,2026-04-27T13:18:13Z,7.3,25,1,True,5,2026-04-17T21:42:49Z,26,27,1.038,-1,-2.5,-2.1,0.0769,111.72,0.0,-0.04,46.75,39.03,17.36,31.64,C,2026-04-27T13:18:13Z
