repo,repo_id,total_commits_lifetime,total_contributors_lifetime,active_contributors,hhi_commits_lifetime,bf_commits_lifetime,concentration_fetched_at,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,sast_findings_total,sast_findings_error,sast_findings_security,bestpractices_badge_id,security_fetched_at,github_sponsors,funding_class,has_funding_yml,funding_yml_platforms,has_funding_json,foundation_host,funding_fetched_at,stars,forks,watchers,visibility_fetched_at,repo_age_years_2025_eoy,active_contributors,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,loc_per_ac,cve_per_ac,nni_per_ac,loc_per_ac_pctl,cve_per_ac_pctl,nni_per_ac_pctl,workload_burden_percentile,workload_class,workload_fetched_at
aws/aws-sdk-js-v3,87228090,12274,168,158,201,158,2026-04-27T23:51:17+00:00,7263086,3263406,41782,1.28,7766,1.24,1338,2025,,,,,5.6,openssf_local,0,False,,,,,2026-04-27T14:53:35+01:00,0,A,False,,False,,2026-04-28T00:16:26+00:00,3610,677,41,2026-04-27T13:18:13Z,8.7,158,10,True,5,2026-04-24T19:03:32Z,2449,2464,1.006,-15,-45.3,12.8,0.1186,45968.8987,0.0,-0.0949,99.38,39.03,13.38,37.3,C,2026-04-27T13:18:13Z
axios/axios,23088740,1989,602,439,578,8,2026-04-27T23:47:55+00:00,18873,14353,1030,7.18,1485,0.72,101,2025,99780,102773400,15.0634,81.54,7.7,openssf_local,6,False,28,6,28,,2026-05-03T20:00:58+01:00,22,C,True,"open_collective,github",False,,2026-04-28T00:16:26+00:00,109033,11654,1155,2026-04-27T13:18:13Z,11.4,439,10,True,5,2026-04-27T12:33:40Z,2188,2207,1.009,-19,-125.7,-52.3,0.1677,42.9909,0.0137,-0.0433,22.9,84.6,16.97,32.03,C,2026-04-27T13:18:13Z
azure/azure-sdk-for-js,108311273,20585,595,395,464,10,2026-04-27T23:47:56+00:00,6986797,4999903,149057,2.98,50159,0.89,201,2025,,,,,6.1,openssf_local,1,False,,,,,2026-04-27T16:09:34+01:00,0,A,False,,False,,2026-04-28T00:16:27+00:00,2290,1362,398,2026-04-27T13:18:13Z,8.2,395,10,True,5,2026-04-27T09:55:51Z,6459,6563,1.016,-104,-269.2,-131.1,0.1069,17688.0937,0.0025,-0.2633,98.6,78.89,6.1,36.21,C,2026-04-27T13:18:13Z
azure/azure-sdk-for-python,4127088,22246,915,401,434,12,2026-04-27T23:47:59+00:00,12442793,9780108,601121,6.15,178315,2.66,399,2025,,,,,6.5,openssf_local,2,True,,,,,2026-04-27T21:30:49+01:00,0,A,False,,False,,2026-04-28T00:16:27+00:00,5531,3289,509,2026-04-27T18:55:22Z,13.7,401,10,True,5,2026-04-27T18:09:42Z,7684,7590,0.988,94,-160.8,-113.5,0.0308,31029.409,0.005,0.2344,99.05,80.24,58.17,77.32,A,2026-04-27T18:55:22Z
azuread/microsoft-authentication-library-for-python,67243113,1270,47,41,7951,1,2026-04-27T23:47:57+00:00,13559,10437,1141,10.93,1117,1.81,50,2025,14236,16243276,12.6998,73.62,7.6,openssf_local,0,True,2,0,2,,2026-05-03T23:21:51+01:00,0,A,False,,False,,2026-04-28T00:16:28+00:00,958,214,56,2026-04-27T13:18:13Z,9.3,41,10,True,5,2026-04-17T19:55:55Z,256,222,0.867,34,0.8,-0.9,-0.0332,330.7073,0.0,0.8293,73.18,39.03,85.72,62.56,A,2026-04-27T13:18:13Z
babel/babel,24560307,18471,1250,409,1250,4,2026-04-27T23:48:02+00:00,331758,282678,29209,10.33,24615,0.79,1338,2025,938755,27420094795,26.6706,97.71,6.6,openssf_local,2,False,0,0,0,in_progress,2026-04-27T14:52:37+01:00,43,C,False,,False,,2026-04-28T00:16:28+00:00,43896,5812,776,2026-04-27T13:18:13Z,11.3,409,10,True,5,2026-04-27T09:50:20Z,1572,1649,1.049,-77,-93.2,-98.4,-0.0165,811.1443,0.0049,-0.1883,85.72,80.12,8.57,38.89,C,2026-04-27T13:18:13Z
babel/babel-polyfills,190579283,446,26,23,6392,1,2026-04-27T23:48:01+00:00,56060,51550,1151,2.23,3521,1.23,547,2025,66781,76864931,14.7705,80.85,4.6,openssf_local,0,False,6,0,6,,2026-04-27T15:06:31+01:00,43,C,False,,False,,2026-04-28T00:15:38+00:00,356,61,13,2026-04-27T13:18:13Z,6.6,23,10,True,5,2026-04-17T12:59:32Z,57,43,0.754,14,-4.2,-2.9,0.114,2437.3913,0.0,0.6087,94.34,39.03,80.57,66.69,A,2026-04-27T13:18:13Z
bdwgc/bdwgc,2109456,6498,206,165,6599,1,2026-04-27T23:48:02+00:00,64814,44395,10415,23.46,,,,2025,216627,2256170205,21.4373,92.89,4.8,openssf_local,0,False,0,0,0,in_progress,2026-04-27T16:03:02+01:00,0,A,False,,False,,2026-05-17T23:35:55+00:00,3453,434,89,2026-04-27T13:18:13Z,14.4,165,10,True,5,2026-04-24T09:49:04Z,337,205,0.608,132,-1.9,1.1,0.0445,392.8121,0.0,0.8,76.2,39.03,85.27,63.3,A,2026-04-27T13:18:13Z
beatgammit/base64-js,2853282,155,16,11,5430,1,2026-04-27T23:48:03+00:00,344,286,30,10.49,66,1.78,11,2024,0,0,0.0000,7.28,3,openssf_local,0,False,0,0,0,,2026-04-27T21:31:00+01:00,0,A,False,,False,,2026-04-28T00:15:38+00:00,882,390,23,2026-04-27T13:18:13Z,14.1,11,0,True,1,2024-07-25T09:39:14Z,7,5,0.714,2,-0.2,0.6,0.5714,31.2727,0.0,0.1818,15.73,39.03,53.42,32.01,C,2026-04-27T13:18:13Z
benjaminp/six,77868600,551,68,59,5185,1,2026-04-27T23:48:04+00:00,2332,1763,134,7.6,190,1.02,31,2025,58,7772,3.7725,36.93,4.2,openssf_local,0,True,0,0,0,,2026-04-27T14:52:37+01:00,0,A,False,,False,,2026-04-28T00:15:39+00:00,1019,273,27,2026-04-27T13:18:13Z,9.0,59,2,True,5,2026-02-23T02:19:45Z,24,20,0.833,4,-0.9,-0.9,0.0,39.5254,0.0,0.0678,20.32,39.03,41.49,32.05,C,2026-04-27T13:18:13Z
besser82/libxcrypt,35503965,857,26,26,5284,1,2026-04-27T23:48:05+00:00,30028,22649,2093,9.24,2073,5.01,100,2025,11135,23305555,13.4391,75.92,4.3,openssf_local,0,False,0,0,0,,2026-04-27T14:55:58+01:00,0,A,False,,False,,2026-04-28T00:15:39+00:00,235,62,17,2026-04-27T13:18:13Z,10.6,26,0,True,5,2025-12-10T22:08:51Z,54,45,0.833,9,-1.7,-1.3,0.037,1154.9231,0.0,0.3462,89.08,39.03,67.3,61.62,A,2026-04-27T13:18:13Z
bitflags/bitflags,29287955,769,91,86,3286,1,2026-04-27T23:48:07+00:00,7246,4923,172,3.49,156,0.48,18,2025,26694,4591368,9.9066,63.42,6.8,openssf_local,0,False,0,0,0,,2026-04-27T16:09:16+01:00,0,A,False,,False,,2026-04-28T00:15:40+00:00,1124,163,15,2026-04-27T13:18:13Z,11.0,86,10,True,5,2026-04-14T09:43:00Z,94,110,1.17,-16,1.2,-0.8,-0.1064,84.2558,0.0,-0.186,40.59,39.03,8.79,24.06,D,2026-04-27T13:18:13Z
blakeembrey/array-flatten,17789771,71,8,6,4033,1,2026-04-27T23:48:08+00:00,443,363,34,9.37,40,1.29,5,2023,0,0,0.0000,7.28,3.6,openssf_local,0,False,0,0,0,,2026-04-27T21:31:11+01:00,11,C,False,,False,,2026-04-28T00:15:40+00:00,86,20,4,2026-04-27T13:18:13Z,11.8,6,0,True,2,2025-06-24T05:32:34Z,1,2,2.0,-1,-0.2,-0.4,,73.8333,0.0,-0.1667,36.9,39.03,9.46,23.88,D,2026-04-27T13:18:13Z
blakeembrey/change-case,9440238,323,25,23,2488,2,2026-04-27T23:48:10+00:00,1224,1069,72,6.74,114,2.15,51,2025,3465,249480,6.5958,51.03,4,openssf_local,0,False,0,0,0,,2026-04-27T14:55:25+01:00,11,C,False,,False,,2026-04-28T00:15:40+00:00,2402,102,14,2026-04-27T13:18:13Z,12.7,23,0,True,4,2025-06-17T20:12:46Z,78,76,0.974,2,-0.4,-1.3,-0.0577,53.2174,0.0,0.087,28.72,39.03,43.28,36.47,C,2026-04-27T13:18:13Z
bluss/bencher,65987276,47,4,4,8397,1,2026-04-27T23:48:11+00:00,1697,1327,99,7.46,76,1.03,12,HEAD,0,0,0.0000,7.28,3.1,openssf_local,0,False,0,0,0,,2026-04-27T21:31:17+01:00,0,A,False,,False,,2026-04-28T00:15:41+00:00,92,16,2,2026-04-27T13:18:13Z,9.4,4,0,True,0,2022-06-23T09:55:16Z,2,0,0.0,2,-0.1,0.0,,424.25,0.0,0.5,77.88,39.03,76.15,61.4,A,2026-04-27T13:18:13Z
boto/boto3,24774658,7569,171,147,5116,1,2026-04-27T23:48:15+00:00,21266,16213,539,3.32,713,0.62,34,2025,20923,11277497,11.8057,70.53,7.4,openssf_local,0,False,10,6,10,,2026-04-27T14:53:40+01:00,0,A,False,,False,,2026-04-28T00:15:42+00:00,9775,1968,226,2026-04-27T13:18:13Z,11.2,147,10,True,5,2026-04-24T19:40:20Z,1386,1499,1.082,-113,-27.5,-36.9,-0.0339,144.6667,0.0,-0.7687,54.14,39.03,1.85,15.75,D,2026-04-27T13:18:13Z
boto/botocore,6670942,13077,222,176,2774,1,2026-04-27T23:48:17+00:00,105655,83190,4865,5.85,5373,0.81,31,2025,92076,447949740,18.3037,87.61,7.9,openssf_local,0,True,32,7,32,,2026-04-27T21:31:24+01:00,0,A,False,,False,,2026-04-28T00:15:42+00:00,1613,1153,62,2026-04-27T18:55:23Z,13.1,176,10,True,5,2026-04-27T15:35:35Z,462,471,1.019,-9,-12.2,-10.3,0.0206,600.3125,0.0,-0.0511,81.35,39.03,16.29,37.26,C,2026-04-27T18:55:23Z
boto/s3transfer,49535299,739,47,40,2241,2,2026-04-27T23:48:17+00:00,21999,16075,951,5.92,814,0.5,17,2025,13651,12982101,12.3172,72.59,8.4,openssf_local,0,False,8,8,8,,2026-04-27T14:55:24+01:00,0,A,False,,False,,2026-04-28T00:15:42+00:00,232,152,18,2026-04-27T13:18:13Z,10.0,40,10,True,5,2026-04-24T03:31:21Z,37,22,0.595,15,-0.8,-1.4,-0.0811,549.975,0.0,0.375,80.24,39.03,68.87,59.97,A,2026-04-27T13:18:13Z
braveg1rl/performance-now,336187529,1,1,1,10000,1,2026-04-27T23:48:18+00:00,,,,,,,,,0,,,,2.2,openssf_local,0,False,0,0,0,,2026-04-27T21:31:31+01:00,0,A,False,,False,,2026-04-28T00:15:43+00:00,0,2,2,2026-04-27T13:18:13Z,4.9,1,0,True,1,2021-02-05T06:42:49Z,2,0,0.0,2,-0.4,0.0,,,,,,,,,,2026-04-27T13:18:13Z
brianc/node-postgres,991475,2884,372,317,4115,1,2026-04-27T23:48:22+00:00,19763,16568,1022,6.17,1040,0.42,41,2025,13470,13766340,12.4290,72.71,5.5,openssf_local,0,False,4,0,4,,2026-04-27T21:31:34+01:00,18,C,True,github,False,,2026-04-28T00:15:43+00:00,13114,1309,177,2026-04-27T13:18:13Z,15.2,317,10,True,5,2026-04-22T21:11:39Z,642,447,0.696,195,-23.5,-9.5,0.109,62.3438,0.0,0.6151,32.64,39.03,80.68,46.84,B,2026-04-27T13:18:13Z
broofa/mime,534940,415,57,47,5804,1,2026-04-27T23:48:23+00:00,1879,1699,59,3.47,90,2.37,37,2025,7649,451291,6.9057,52.06,3.9,openssf_local,0,False,0,0,0,,2026-04-27T16:08:31+01:00,7,B,True,github,False,,2026-04-28T00:15:44+00:00,2355,322,18,2026-04-27T13:18:13Z,15.8,47,0,True,5,2026-04-24T18:26:43Z,46,48,1.043,-2,1.3,1.9,0.0652,39.9787,0.0,-0.0426,20.55,39.03,17.08,23.92,D,2026-04-27T13:18:13Z
browserify/events,1649251,140,17,15,2825,2,2026-05-17T23:35:36+00:00,2287,1554,161,10.36,151,0.95,23,2021,327,52647,5.5589,44.95,4,openssf_local,0,False,0,0,0,,2026-05-18T00:38:03+01:00,0,A,True,tidelift,False,,2026-05-17T23:35:56+00:00,1409,174,14,2026-04-27T13:03:03Z,14.7,15,,True,1,2024-12-21T09:59:54Z,9,6,0.667,3,-0.2,-0.4,-0.1111,152.4667,0.0,0.2,56.16,39.03,55.43,49.53,B,2026-04-27T13:03:03Z
browserify/node-util,14568009,161,11,10,3111,2,2026-04-27T23:48:25+00:00,3200,2506,203,8.1,229,0.57,37,2022,50,10150,3.9439,37.73,3.6,openssf_local,0,False,0,0,0,,2026-04-27T21:31:55+01:00,0,A,True,tidelift,False,,2026-04-28T00:15:44+00:00,254,92,7,2026-04-27T13:18:13Z,12.1,10,0,True,2,2024-12-21T10:14:56Z,17,15,0.882,2,-1.3,-1.6,-0.0882,320.0,0.0,0.2,72.4,39.03,55.43,53.9,B,2026-04-27T13:18:13Z
browserify/randombytes,29300004,51,10,8,1945,2,2026-05-17T23:35:36+00:00,132,97,16,16.49,14,0.7,8,2023,28,448,1.7994,23.39,4.4,openssf_local,0,False,0,0,0,,2026-05-18T00:38:03+01:00,0,A,False,,False,,2026-05-17T23:35:56+00:00,102,47,6,2026-04-27T13:02:59Z,11.0,8,,True,1,2024-12-21T10:13:14Z,11,9,0.818,2,-0.4,-0.1,0.1364,16.5,0.0,0.25,8.34,39.03,59.69,26.89,D,2026-04-27T13:02:59Z
browserify/resolve,1915099,734,65,55,4795,1,2026-04-27T23:48:27+00:00,3831,3185,383,12.03,420,1,27,2025,1657,634631,8.3205,57.68,6.3,openssf_local,0,False,29,0,29,passing,2026-04-27T15:06:41+01:00,73,C,True,"github,tidelift",False,,2026-04-28T00:15:44+00:00,793,190,15,2026-04-27T13:18:13Z,14.5,55,10,True,5,2026-04-13T04:29:25Z,63,64,1.016,-1,-4.8,-4.9,-0.0079,69.6545,0.0,-0.0182,34.66,39.03,18.31,29.15,D,2026-04-27T13:18:13Z
browserslist/browserslist,27971466,1562,197,180,6645,1,2026-04-27T23:48:30+00:00,5524,4834,371,7.67,482,0.91,151,2025,16324,6056204,10.8293,67.43,6.4,openssf_local,1,False,6,0,6,,2026-04-27T15:06:17+01:00,18,C,True,"open_collective,tidelift,github",False,,2026-04-28T00:15:45+00:00,13527,763,133,2026-04-27T13:18:13Z,11.0,180,10,True,5,2026-04-14T17:08:03Z,177,165,0.932,12,-7.4,-8.9,-0.0424,30.6889,0.0056,0.0667,15.4,80.8,41.27,37.17,C,2026-04-27T13:18:13Z
browserslist/caniuse-lite,80221890,1751,15,12,3540,2,2026-04-27T23:48:31+00:00,2011,1801,102,5.66,99,0.92,27,2025,278587,28415874,10.9598,67.55,5.2,openssf_local,0,False,0,0,0,,2026-04-27T16:03:39+01:00,17,C,True,"open_collective,tidelift,github",False,,2026-05-17T23:35:54+00:00,611,84,6,2026-04-27T13:18:13Z,8.9,12,10,True,5,2026-04-26T07:11:20Z,55,56,1.018,-1,-3.1,-4.9,-0.1636,167.5833,0.0,-0.0833,58.17,39.03,14.22,31.84,C,2026-04-27T13:18:13Z
browserslist/update-db,505548145,176,14,12,7283,1,2026-04-27T23:48:32+00:00,819,712,64,8.99,60,0.98,16,2025,1716,109824,5.8644,46.44,3.2,openssf_local,0,False,3,3,3,,2026-04-27T16:11:14+01:00,18,C,True,"open_collective,tidelift,github",False,,2026-04-28T00:15:45+00:00,766,210,15,2026-04-27T13:18:13Z,3.5,12,1,True,4,2026-04-21T15:32:34Z,45,39,0.867,6,2.8,2.9,0.0111,68.25,0.0,0.5,33.99,39.03,76.15,46.57,B,2026-04-27T13:18:13Z
burntsushi/aho-corasick,37290678,300,35,31,6520,1,2026-04-27T23:48:35+00:00,22230,12432,1012,8.14,1367,1.58,67,2025,33098,33495176,13.5848,76.15,6.3,openssf_local,0,False,0,0,0,,2026-04-27T21:31:58+01:00,113,D,True,github,False,,2026-04-28T00:15:46+00:00,1233,114,15,2026-04-27T13:18:13Z,10.6,31,3,True,5,2026-04-21T20:54:23Z,48,45,0.938,3,-1.1,-0.8,0.0313,717.0968,0.0,0.0968,83.71,39.03,44.74,52.67,B,2026-04-27T13:18:13Z
burntsushi/jiff,759017108,634,46,46,7946,1,2026-04-27T23:48:36+00:00,123974,68907,4574,6.64,5525,1.41,108,2025,217410,994433340,19.5365,90.14,5.8,openssf_local,0,False,0,0,0,,2026-04-27T21:32:02+01:00,113,D,True,github,False,,2026-04-28T00:15:46+00:00,2691,96,12,2026-04-27T13:18:13Z,1.9,46,10,True,2,2026-04-23T13:00:31Z,199,172,0.864,27,31.4,29.1,-0.0578,2695.087,0.0,0.587,94.79,39.03,79.68,66.55,A,2026-04-27T13:18:13Z
burntsushi/memchr,37290652,269,50,45,4493,1,2026-04-27T23:48:37+00:00,69297,43812,3569,8.15,3412,1.11,158,2025,202605,723097245,18.8528,88.42,6.7,openssf_local,0,False,0,0,0,,2026-04-27T21:32:07+01:00,113,D,True,github,False,,2026-04-28T00:15:47+00:00,1431,140,18,2026-04-27T13:18:14Z,10.6,45,6,True,5,2026-04-21T21:48:13Z,46,37,0.804,9,0.1,-0.7,-0.087,1539.9333,0.0,0.2,91.55,39.03,55.43,58.29,B,2026-04-27T13:18:14Z
burntsushi/quickcheck,17559913,650,93,78,4982,1,2026-04-27T23:48:39+00:00,2855,2397,164,6.84,80,0.53,6,2025,831,136284,6.4753,49.77,5.1,openssf_local,0,False,0,0,0,,2026-04-27T15:05:26+01:00,113,D,False,,False,,2026-04-28T00:15:47+00:00,2749,162,17,2026-04-27T13:18:14Z,11.8,78,10,True,3,2026-04-03T00:52:54Z,35,17,0.486,18,-3.3,-0.3,0.4286,36.6026,0.0,0.2308,18.87,39.03,57.95,34.95,C,2026-04-27T13:18:14Z
burntsushi/same-file,78375612,59,14,13,3901,1,2026-04-27T23:48:41+00:00,950,466,35,7.51,25,0.36,7,2025,30,1050,2.3210,28.56,3,openssf_local,0,False,0,0,0,,2026-04-27T17:04:52+01:00,113,D,True,github,False,,2026-04-28T00:15:48+00:00,120,24,2,2026-04-27T13:18:14Z,9.0,13,0,True,3,2025-10-17T12:41:41Z,10,4,0.4,6,-0.1,0.2,0.15,73.0769,0.0,0.4615,36.79,39.03,73.29,47.21,B,2026-04-27T13:18:14Z
burntsushi/termcolor,141345580,1040,185,164,4834,1,2026-04-27T23:48:44+00:00,2856,1982,194,9.79,186,0.83,36,2024,414,80316,5.9954,47.25,3.3,openssf_local,0,False,0,0,0,,2026-04-27T15:53:07+01:00,113,D,True,github,False,,2026-04-28T00:15:48+00:00,487,55,6,2026-04-27T13:18:14Z,7.5,164,0,True,4,2024-12-31T13:59:34Z,21,20,0.952,1,-2.4,-2.3,0.0238,17.4146,0.0,0.0061,9.01,39.03,36.56,23.43,D,2026-04-27T13:18:14Z
burntsushi/ucd-generate,123997498,176,16,15,6229,1,2026-04-27T23:48:44+00:00,62256,60099,732,1.22,1190,2.8,62,2024,15647,11453604,12.0176,71.22,3.2,openssf_local,0,False,0,0,0,,2026-04-27T17:04:53+01:00,113,D,True,github,False,,2026-04-28T00:15:48+00:00,117,26,6,2026-04-27T13:18:14Z,7.8,15,0,True,4,2024-09-29T12:19:03Z,2,3,1.5,-1,-0.4,-0.3,,4150.4,0.0,-0.0667,96.47,39.03,15.06,38.42,C,2026-04-27T13:18:14Z
burntsushi/walkdir,42685794,192,41,35,4901,1,2026-04-27T23:48:46+00:00,3528,2174,137,6.3,198,1.26,20,2024,247,33839,5.1238,43.46,2.9,openssf_local,0,False,0,0,0,,2026-04-27T17:04:56+01:00,113,D,True,github,False,,2026-04-28T00:15:49+00:00,1497,125,16,2026-04-27T13:18:14Z,10.3,35,0,True,3,2024-12-31T13:29:59Z,37,20,0.541,17,-1.5,-0.9,0.0811,100.8,0.0,0.4857,44.46,39.03,74.52,50.57,B,2026-04-27T13:18:14Z
burntsushi/winapi-util,146040682,35,7,7,6914,1,2026-04-27T23:48:48+00:00,1015,582,56,9.62,26,0.34,3,2025,339,18984,4.4450,40.71,4.3,openssf_local,0,False,0,0,0,,2026-04-27T15:08:29+01:00,113,D,True,github,False,,2026-04-28T00:15:49+00:00,75,20,3,2026-04-27T13:18:14Z,7.4,7,0,True,3,2025-09-07T12:24:36Z,4,4,1.0,0,-0.1,0.2,,145.0,0.0,0.0,54.26,39.03,27.49,38.76,C,2026-04-27T13:18:14Z
businho/pytest-ruff,599731435,44,7,7,6767,1,2026-04-27T23:48:51+00:00,379,281,34,12.10,25,0.83,3,2025,847,28798,4.5216,40.83,3.7,openssf_local,0,False,0,0,0,,2026-05-03T23:21:52+01:00,0,A,False,,False,,2026-04-28T00:15:50+00:00,35,9,1,2026-04-27T18:55:24Z,2.9,7,0,True,3,2025-07-27T09:52:06Z,19,15,0.789,4,1.6,1.1,-0.1316,54.1429,0.0,0.5714,29.28,39.03,79.34,44.92,C,2026-04-27T18:55:24Z
bytecodealliance/rustix,295544240,2207,124,123,7132,1,2026-04-27T23:48:53+00:00,87336,61352,2485,4.05,2691,0.8,171,2025,417068,1036413980,19.0834,88.88,5.1,openssf_local,1,False,0,0,0,,2026-04-27T21:32:21+01:00,0,A,False,,False,,2026-04-28T00:15:50+00:00,1973,260,21,2026-04-27T13:18:14Z,5.3,123,10,True,5,2026-04-18T01:15:17Z,330,260,0.788,70,13.2,10.8,-0.0364,710.0488,0.0081,0.5691,83.48,82.36,79.23,81.67,A,2026-04-27T13:18:14Z
bytecodealliance/wasi-rs,196445196,149,26,25,1761,2,2026-04-27T23:48:55+00:00,41551,36448,1238,3.40,385,0.26,13,2025,154050,190713900,16.0458,83.94,5.9,openssf_local,0,False,1,1,1,,2026-05-03T23:21:59+01:00,0,A,False,,False,,2026-04-28T00:15:50+00:00,351,63,17,2026-04-27T13:18:14Z,6.5,25,10,True,4,2026-04-17T22:18:03Z,22,7,0.318,15,1.1,0.9,-0.0455,1662.04,0.0,0.6,92.67,39.03,80.07,66.16,A,2026-04-27T13:18:14Z
c-ares/c-ares,571708,2954,183,163,1762,2,2026-04-27T23:48:59+00:00,65368,44762,8526,19.05,7366,4.14,100,2025,402811,3434366586,22.0325,94.04,6.3,openssf_local,18,True,0,0,0,passing,2026-04-07T10:48:28+01:00,0,A,False,,False,,2026-04-28T00:15:51+00:00,2132,658,77,2026-04-27T13:18:14Z,15.8,163,10,True,5,2026-04-12T18:24:53Z,262,239,0.912,23,9.7,6.4,-0.063,401.0307,0.1104,0.1411,76.76,96.92,48.99,71.43,A,2026-04-27T13:18:14Z
calvinmetcalf/minimalistic-assert,29144257,3,2,2,5556,1,2026-04-27T23:48:59+00:00,11,9,5,55.56,4,2,2,HEAD,0,0,0.0000,7.28,2.8,openssf_local,0,False,0,0,0,,2026-04-27T16:11:14+01:00,0,A,False,,False,,2026-04-28T00:15:51+00:00,19,4,2,2026-04-27T13:18:14Z,11.0,2,0,True,0,2018-04-11T12:21:09Z,0,0,,0,,,,5.5,0.0,0.0,3.47,39.03,27.49,15.5,D,2026-04-27T13:18:14Z
calvinmetcalf/process-nextick-args,36039131,28,9,7,2615,1,2026-04-27T23:49:01+00:00,81,75,6,8,4,0.36,4,HEAD,0,0,0.0000,7.28,3,openssf_local,0,False,0,0,0,,2026-04-27T17:05:28+01:00,0,A,False,,False,,2026-04-28T00:15:51+00:00,33,16,4,2026-04-27T13:18:14Z,10.6,7,0,True,0,2019-06-19T20:34:13Z,0,0,,0,,,,11.5714,0.0,0.0,6.38,39.03,27.49,18.99,D,2026-04-27T13:18:14Z
caolan/async,698041,1991,273,234,1016,8,2026-04-27T23:49:04+00:00,37684,19660,1751,8.91,2203,0.54,74,2025,6827,11954077,12.4367,72.82,4.4,openssf_local,1,False,1210,1,1210,,2026-04-27T16:06:07+01:00,0,A,False,,False,,2026-04-28T00:15:52+00:00,28173,2381,633,2026-04-27T13:18:14Z,15.6,234,0,True,5,2026-02-01T15:33:10Z,76,69,0.908,7,-3.8,-4.0,-0.0132,161.0427,0.0043,0.0299,57.28,79.56,37.91,55.69,B,2026-04-27T13:18:14Z
certbot/certbot,26516210,11381,549,383,891,4,2026-04-27T23:49:08+00:00,73975,52984,4731,8.93,5040,1.15,40,2025,267923,1267543713,19.9482,90.71,7.7,openssf_local,0,False,97,35,87,,2026-05-03T23:22:09+01:00,0,A,True,custom,False,,2026-04-28T00:15:52+00:00,33013,3495,736,2026-04-27T18:55:24Z,11.1,383,10,True,5,2026-04-24T22:22:13Z,834,1208,1.448,-374,-28.5,-15.0,0.0809,193.1462,0.0,-0.9765,61.31,39.03,0.84,12.62,D,2026-04-27T18:55:24Z
certifi/python-certifi,3060959,338,40,36,732,24,2026-04-27T23:49:07+00:00,180,110,8,7.27,2,0.25,1,2025,266,2128,2.3155,28.44,7.1,openssf_local,3,False,2,2,0,,2026-04-27T14:54:12+01:00,0,A,False,,False,,2026-04-28T00:15:53+00:00,966,288,39,2026-04-27T13:18:14Z,14.0,36,8,True,5,2026-04-22T11:25:26Z,82,91,1.11,-9,-3.2,-4.0,-0.0488,5.0,0.0833,-0.25,2.97,95.35,6.72,12.39,D,2026-04-27T13:18:14Z
chaijs/type-detect,12107007,183,18,17,2675,2,2026-04-27T23:49:08+00:00,1364,925,149,16.11,54,0.29,37,2021,18,2682,2.7827,31.48,3.2,openssf_local,0,False,0,0,0,,2026-04-27T15:53:33+01:00,0,A,False,,False,,2026-04-28T00:15:53+00:00,127,30,11,2026-04-27T13:18:14Z,12.4,17,0,True,1,2024-07-25T10:50:47Z,3,2,0.667,1,-0.4,0.1,,80.2353,0.0,0.0588,39.92,39.03,40.87,39.93,C,2026-04-27T13:18:14Z
chalk/ansi-regex,20451415,64,15,13,4131,1,2026-04-27T23:49:10+00:00,527,441,23,5.22,19,0.63,4,2025,294,6762,3.4089,34.52,4.1,openssf_local,2,False,0,0,0,,2026-04-27T14:53:42+01:00,0,A,False,,False,,2026-04-28T00:15:53+00:00,202,90,14,2026-04-27T13:18:14Z,11.6,13,0,True,3,2026-02-18T13:43:33Z,16,16,1.0,0,-0.4,-0.2,0.0625,40.5385,0.1538,0.0,20.88,97.82,27.49,38.3,C,2026-04-27T13:18:14Z
chalk/ansi-styles,11803168,116,21,19,3850,1,2026-04-27T23:49:11+00:00,484,385,25,6.49,17,0.68,6,2025,1137,28425,4.3244,40.02,4.1,openssf_local,1,False,0,0,0,,2026-04-27T14:54:29+01:00,0,A,False,,False,,2026-04-28T00:15:53+00:00,458,81,10,2026-04-27T13:18:14Z,12.4,19,0,True,4,2026-02-27T04:47:01Z,10,10,1.0,0,-0.3,-0.2,0.05,25.4737,0.0526,0.0,13.38,93.0,27.49,32.46,C,2026-04-27T13:18:14Z
chalk/chalk,11855195,369,67,58,3096,1,2026-04-27T23:49:12+00:00,1265,984,108,10.98,122,1.47,47,2025,4164,449712,7.3747,54.70,4,openssf_local,1,False,0,0,0,,2026-04-27T14:54:07+01:00,0,A,False,,False,,2026-04-28T00:15:54+00:00,23161,959,142,2026-04-27T13:18:14Z,12.4,58,0,True,5,2026-01-27T06:30:36Z,106,111,1.047,-5,-5.8,-7.5,-0.0802,21.8103,0.0172,-0.0862,11.03,85.95,14.05,23.71,D,2026-04-27T13:18:14Z
