repo,value_class,archived,pushed_at,days_since_push,is_eol,eol_method,source,eol_checked_at
jsdom/tr46,A,False,2025-11-21T21:46:33Z,156,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
mcollina/reusify,A,False,2026-02-09T16:12:27Z,76,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
feross/queue-microtask,A,False,2023-11-30T00:54:01Z,879,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
definitelytyped/definitelytyped,A,False,2026-03-11T12:05:35Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/is-unicode-supported,A,False,2024-09-09T06:26:07Z,595,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
facebook/regenerator,A,True,2024-02-29T11:04:34Z,787,True,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/is-docker,A,False,2025-09-15T21:04:10Z,223,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
thlorenz/convert-source-map,A,False,2025-03-27T03:08:35Z,396,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/restore-cursor,A,False,2024-07-26T13:56:44Z,639,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
gkz/type-check,A,False,2023-07-18T21:33:28Z,1013,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jonathanong/ee-first,A,False,2019-04-27T21:54:44Z,2556,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
browserslist/caniuse-lite,A,False,2026-04-14T04:31:55Z,13,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jshttp/http-errors,A,False,2026-03-01T10:33:04Z,57,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
yargs/y18n,A,False,2026-03-31T09:52:08Z,27,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jbgutierrez/path-parse,A,False,2022-03-23T02:59:23Z,1496,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jsdom/whatwg-url,A,False,2026-03-21T10:28:18Z,37,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/is-plain-obj,A,False,2024-05-04T18:51:15Z,722,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
