id,github_repo,packages,pkgs_npm,pkgs_pypi,pkgs_crates,pkgs_cpp,pkgs_total,pr_cum_pct_npm,pr_cum_pct_pypi,pr_cum_pct_crates,pr_cum_pct_cpp,class_npm,class_pypi,class_crates,class_cpp,class_total,is_eol
6184,a1phyr/eazip,eazip (crates),0,0,1,0,1,,,99.9999,,,,D,,D,False
6185,a1phyr/sync_file,sync_file (crates),0,0,1,0,1,,,99.9995,,,,D,,D,False
6186,a8m/pb,pbr (crates),0,0,1,0,1,,,99.869,,,,D,,D,False
6187,aa-turner/roman-numerals,roman-numerals-rs (crates),0,0,1,0,1,,,99.9978,,,,D,,D,False
6188,aackerman/circular-dependency-plugin,circular-dependency-plugin (npm),1,0,0,0,1,98.6584,,,,D,,,,D,False
6189,aaronabramov/k9,k9 (crates),0,0,1,0,1,,,99.8637,,,,D,,D,False
6190,aaronmansfield5/humanisejs,humanisejs (npm),1,0,0,0,1,97.7737,,,,D,,,,D,False
6191,abakay/irx-config,irx-config (crates),0,0,1,0,1,,,99.9996,,,,D,,D,False
6192,abaumhauer/eui48,eui48 (crates),0,0,1,0,1,,,99.7147,,,,D,,D,False
6193,abbr/deasync,deasync (npm),1,0,0,0,1,99.8367,,,,D,,,,D,False
6194,abdolence/gcloud-sdk-rs,gcloud-sdk (crates),0,0,1,0,1,,,99.9325,,,,D,,D,False
6195,abdolence/secret-vault-rs,secret-vault-value (crates),0,0,1,0,1,,,99.9271,,,,D,,D,False
6196,abersheeran/a2wsgi,a2wsgi (pypi),0,1,0,0,1,,98.7556,,,,D,,,D,False
6197,abetlen/llama-cpp-python,llama-cpp-python (pypi),0,1,0,0,1,,99.975,,,,D,,,D,False
6198,abhimanyuhk/aws-psycopg2,aws-psycopg2 (pypi),0,1,0,0,1,,96.8589,,,,D,,,D,False
6199,abhinavk99/jikanpy,jikanpy (pypi),0,1,0,0,1,,99.6555,,,,D,,,D,False
6200,abonander/buf_redux,buf_redux (crates),0,0,1,0,1,,,98.5033,,,,D,,D,False
6201,abonander/mime_guess,mime_guess (crates),0,0,1,0,1,,,91.6358,,,,D,,D,False
6202,abonander/multipart,multipart (crates),0,0,1,0,1,,,98.3789,,,,D,,D,False
6203,abonander/safemem,safemem (crates),0,0,1,0,1,,,97.2499,,,,D,,D,False
6204,aboutcode-org/license-expression,license-expression (pypi),0,1,0,0,1,,97.6348,,,,D,,,D,False
6205,abramenal/cypress-file-upload,cypress-file-upload (npm),1,0,0,0,1,99.5772,,,,D,,,,D,False
6206,absolucy/nanorand-rs,nanorand (crates),0,0,1,0,1,,,96.5193,,,,D,,D,False
6207,absolucy/tracing-oslog,tracing-oslog (crates),0,0,1,0,1,,,99.9736,,,,D,,D,False
6208,acatton/serde-yaml-ng,serde_yaml_ng (crates),0,0,1,0,1,,,99.9628,,,,D,,D,False
6209,acdenissk/uwl,uwl (crates),0,0,1,0,1,,,99.9318,,,,D,,D,False
6210,acdlite/change-emitter,change-emitter (npm),1,0,0,0,1,99.5093,,,,D,,,,D,False
6211,acdlite/recompose,recompose (npm),1,0,0,0,1,99.5375,,,,D,,,,D,False
6212,aceakash/string-similarity,string-similarity (npm),1,0,0,0,1,98.4591,,,,D,,,,D,True
6213,achanda/ipnetwork,ipnetwork (crates),0,0,1,0,1,,,96.1103,,,,D,,D,False
6214,achreto/rust-armv8,armv8 (crates),0,0,1,0,1,,,99.9572,,,,D,,D,False
6215,aclysma/wepoll-ffi,wepoll-ffi (crates),0,0,1,0,1,,,99.2776,,,,D,,D,False
