"package","ecosystem","github_repo","pagerank","value_class","top_eco","top_eco_pkg","top_eco_pct","repo_class","repo_packages","repo_ecosystems","is_eol"
"@babel/plugin-transform-react-jsx-source","npm","babel/babel","0.00008138","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-react-pure-annotations","npm","babel/babel","0.00015117","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-regenerator","npm","babel/babel","0.00024253","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-regexp-modifiers","npm","babel/babel","0.00007848","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-reserved-words","npm","babel/babel","0.00023033","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-runtime","npm","babel/babel","0.00017188","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-shorthand-properties","npm","babel/babel","0.00025002","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-spread","npm","babel/babel","0.00025412","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-sticky-regex","npm","babel/babel","0.00023762","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-template-literals","npm","babel/babel","0.00025149","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-typeof-symbol","npm","babel/babel","0.00023506","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-typescript","npm","babel/babel","0.00019940","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-unicode-escapes","npm","babel/babel","0.00021852","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-unicode-property-regex","npm","babel/babel","0.00015701","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-unicode-regex","npm","babel/babel","0.00023863","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-unicode-sets-regex","npm","babel/babel","0.00015708","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/polyfill","npm","babel/babel","0.00002293","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","True"
"@babel/preset-env","npm","babel/babel","0.00028106","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/preset-flow","npm","babel/babel","0.00006620","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/preset-react","npm","babel/babel","0.00016585","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/preset-typescript","npm","babel/babel","0.00017318","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/register","npm","babel/babel","0.00008032","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/runtime","npm","babel/babel","0.00176938","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/runtime-corejs2","npm","babel/babel","0.00001061","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/runtime-corejs3","npm","babel/babel","0.00016564","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/standalone","npm","babel/babel","0.00000937","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/template","npm","babel/babel","0.00131610","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/traverse","npm","babel/babel","0.00276381","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/types","npm","babel/babel","0.00730461","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-code-frame","npm","babel/babel","0.00007878","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-core","npm","babel/babel","0.00008000","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-generator","npm","babel/babel","0.00003578","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-builder-binary-assignment-operator-visitor","npm","babel/babel","0.00002147","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-call-delegate","npm","babel/babel","0.00002286","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-define-map","npm","babel/babel","0.00002164","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-explode-assignable-expression","npm","babel/babel","0.00002273","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-function-name","npm","babel/babel","0.00004127","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-get-function-arity","npm","babel/babel","0.00003284","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-hoist-variables","npm","babel/babel","0.00003056","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-optimise-call-expression","npm","babel/babel","0.00002589","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-regex","npm","babel/babel","0.00003118","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-remap-async-to-generator","npm","babel/babel","0.00002144","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helper-replace-supers","npm","babel/babel","0.00003014","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-helpers","npm","babel/babel","0.00002801","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-messages","npm","babel/babel","0.00006703","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-check-es2015-constants","npm","babel/babel","0.00002055","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-syntax-async-functions","npm","babel/babel","0.00002186","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-syntax-class-properties","npm","babel/babel","0.00001368","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-syntax-dynamic-import","npm","babel/babel","0.00001091","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-syntax-exponentiation-operator","npm","babel/babel","0.00002147","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-syntax-jsx","npm","babel/babel","0.00006238","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-syntax-object-rest-spread","npm","babel/babel","0.00004518","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-syntax-trailing-function-commas","npm","babel/babel","0.00005378","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-async-to-generator","npm","babel/babel","0.00001697","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-class-properties","npm","babel/babel","0.00001135","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-arrow-functions","npm","babel/babel","0.00002036","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
