repo,repo_id,total_commits,total_contributors,bus_factor,hhi,fetched_at
dtolnay/dissimilar,229514821,143,3,1,9321,2026-04-27T23:51:14+00:00
dtolnay/indoc,54252316,381,8,1,9432,2026-04-27T23:51:16+00:00
dtolnay/itoa,61962375,327,15,1,8479,2026-04-27T23:49:18+00:00
dtolnay/no-panic,143469762,247,3,1,9599,2026-04-27T23:49:22+00:00
dtolnay/paste,155652490,298,9,1,9406,2026-05-03T16:23:43+00:00
dtolnay/proc-macro2,91860126,1284,31,1,7745,2026-04-27T23:49:25+00:00
dtolnay/quote,67273122,742,27,1,8211,2026-04-27T23:49:26+00:00
dtolnay/ref-cast,106295902,280,4,1,9787,2026-04-27T23:49:31+00:00
dtolnay/rustversion,183990447,207,3,1,9808,2026-04-27T23:49:34+00:00
dtolnay/ryu,142720484,402,8,1,9413,2026-04-27T23:49:35+00:00
dtolnay/semver,22432442,709,69,2,2542,2026-04-27T23:49:37+00:00
dtolnay/syn,67305738,5277,109,1,8575,2026-04-27T23:49:41+00:00
dtolnay/target-triple,734167706,43,1,1,10000,2026-04-27T23:49:42+00:00
dtolnay/thiserror,213836768,827,21,1,9289,2026-04-27T23:49:43+00:00
dtolnay/trybuild,184941159,709,26,1,8747,2026-04-27T23:49:45+00:00
dtolnay/unicode-ident,492639579,231,5,1,9406,2026-04-27T23:49:48+00:00
eemeli/yaml,119439276,1617,34,1,9309,2026-04-27T23:49:50+00:00
ehmicky/human-signals,214467546,718,5,1,9532,2026-04-27T23:49:52+00:00
eliben/pycparser,10589864,655,92,1,4219,2026-04-27T23:49:54+00:00
emotion-js/emotion,92570536,1865,329,6,1115,2026-04-27T23:50:00+00:00
encode/httpcore,237210639,567,59,6,1310,2026-04-27T23:50:01+00:00
encode/httpx,179492861,1523,247,2,2297,2026-04-27T23:50:04+00:00
epoberezkin/ajv-keywords,60477053,366,26,1,6414,2026-04-27T23:50:06+00:00
epoberezkin/fast-deep-equal,94483360,123,15,1,4923,2026-04-27T23:50:07+00:00
epoberezkin/fast-json-stable-stringify,108103016,69,11,3,1960,2026-04-27T23:50:10+00:00
epoberezkin/json-schema-traverse,93333933,45,7,1,6084,2026-04-27T23:50:12+00:00
es-shims/array-includes,28753032,234,3,1,9830,2026-04-27T23:50:15+00:00
es-shims/dunder-proto,898274312,10,1,1,10000,2026-04-27T23:50:16+00:00
es-shims/es-object-atoms,773229339,16,1,1,10000,2026-05-17T23:35:34+00:00
es-shims/es-set-tostringtag,580683868,34,1,1,10000,2026-04-27T23:50:20+00:00
es-shims/math-intrinsics,902014040,10,1,1,10000,2026-04-27T23:50:21+00:00
es-shims/object.values,41723335,126,1,1,10000,2026-04-27T23:50:23+00:00
es-shims/regexp.prototype.flags,26932422,170,2,1,9767,2026-04-27T23:50:25+00:00
es-shims/string.prototype.trimend,114682758,73,2,1,8724,2026-04-27T23:50:26+00:00
es-shims/string.prototype.trimstart,114682105,67,2,1,8619,2026-04-27T23:50:29+00:00
eslint-community/eslint-utils,568240379,180,10,2,2218,2026-04-27T23:50:31+00:00
eslint/doctrine,4286644,353,41,2,2400,2026-05-03T16:23:40+00:00
eslint/eslint,11061773,10728,1207,8,707,2026-04-27T23:50:37+00:00
eslint/js,27620277,788,70,5,1513,2026-04-27T23:50:34+00:00
eslint/rewrite,791446923,425,22,5,660,2026-04-27T23:50:39+00:00
estools/escodegen,3611422,576,55,1,4494,2026-04-27T23:50:43+00:00
estools/esquery,11412938,152,23,2,2355,2026-04-27T23:50:45+00:00
estools/esrecurse,27429822,61,10,1,3480,2026-04-27T23:50:47+00:00
estools/estraverse,6145439,177,27,1,3920,2026-04-27T23:50:49+00:00
estools/esutils,14677293,57,6,1,3863,2026-04-27T23:50:51+00:00
ethers-io/ethers.js,63465664,792,1,1,10000,2026-04-27T23:50:53+00:00
evanw/esbuild,61137153,4429,126,1,9135,2026-04-27T23:50:55+00:00
evanw/node-source-map-support,7682781,343,71,2,2103,2026-04-27T23:50:58+00:00
eventualbuddha/lines-and-columns,47284288,48,2,1,9588,2026-04-27T23:50:59+00:00
executablebooks/markdown-it-py,249956697,344,33,1,4567,2026-04-27T23:51:02+00:00
executablebooks/mdurl,387293763,37,4,1,6589,2026-04-27T23:51:04+00:00
exodusoss/bytes,885154008,981,5,1,9676,2026-04-27T23:51:08+00:00
expressjs/body-parser,15669006,786,43,1,6394,2026-04-27T23:51:09+00:00
expressjs/serve-static,17464338,405,22,1,7068,2026-04-27T23:51:13+00:00
facebook/create-react-app,63537249,2819,946,10,704,2026-04-27T23:51:18+00:00
facebook/metro,76504246,5127,476,13,333,2026-04-27T23:51:18+00:00
facebook/prop-types,87597642,171,57,4,1153,2026-05-03T16:23:41+00:00
facebook/react,10270250,21473,1982,9,372,2026-04-27T23:49:23+00:00
facebook/regenerator,13346571,1110,72,1,6349,2026-05-03T16:23:39+00:00
facebook/watchman,6930489,13836,469,315,196,2026-04-27T23:49:25+00:00
facebook/zstd,29759715,11465,414,2,2544,2026-04-27T23:49:28+00:00
facelessuser/soupsieve,160789418,373,15,1,8810,2026-04-27T23:49:27+00:00
fastify/fast-uri,419317518,148,13,2,1715,2026-04-27T23:49:32+00:00
faye/websocket-driver-node,9733816,352,9,1,9223,2026-04-27T23:49:33+00:00
fb55/boolbase,16864585,16,3,1,7734,2026-04-27T23:49:36+00:00
fb55/css-select,3411063,1795,26,22,577,2026-04-27T23:49:38+00:00
fb55/css-what,4460687,1482,25,23,134,2026-04-27T23:49:40+00:00
fb55/domelementtype,6627835,60,7,1,5147,2026-04-27T23:49:41+00:00
fb55/domhandler,5414232,1613,22,18,90,2026-04-27T23:49:44+00:00
fb55/domutils,6627949,1946,22,18,74,2026-04-27T23:49:47+00:00
fb55/entities,3172629,1892,24,20,129,2026-04-27T23:49:48+00:00
fb55/htmlparser2,2279062,2356,68,55,857,2026-04-27T23:49:50+00:00
fb55/nth-check,16864923,1029,7,6,18,2026-04-27T23:49:54+00:00
felixge/node-combined-stream,1787452,88,15,2,2512,2026-04-27T23:49:55+00:00
felixge/node-delayed-stream,1783893,48,5,1,6615,2026-04-27T23:49:58+00:00
feross/buffer,14494363,996,74,1,5288,2026-04-27T23:50:01+00:00
feross/ieee754,15489525,98,5,1,7534,2026-04-27T23:50:02+00:00
feross/is-buffer,25997846,98,8,1,7012,2026-04-27T23:50:05+00:00
feross/queue-microtask,207021895,51,5,1,7824,2026-04-27T23:50:07+00:00
feross/run-parallel,18700638,90,5,1,7528,2026-04-27T23:50:09+00:00
feross/safe-buffer,49538897,85,8,1,7409,2026-04-27T23:50:13+00:00
ffmpeg/ffmpeg,1614410,124114,2617,8,731,2026-04-27T23:50:16+00:00
firebase/firebase-js-sdk,89290483,4556,224,5,719,2026-04-27T23:50:18+00:00
fitzgen/glob-to-regexp,11461122,44,10,1,3910,2026-05-03T16:23:44+00:00
floatdrop/require-from-string,39301848,30,7,1,6456,2026-05-03T16:23:42+00:00
floating-ui/floating-ui,54994103,2422,126,1,4010,2026-04-27T23:50:19+00:00
follow-redirects/follow-redirects,6697086,379,36,1,5225,2026-04-27T23:50:21+00:00
fontconfig/fontconfig,926884194,2995,162,2,1931,2026-04-27T23:50:24+00:00
form-data/form-data,1755793,358,47,2,2524,2026-04-27T23:50:24+00:00
formatjs/formatjs,19117456,6379,358,2,2209,2026-04-27T23:50:30+00:00
freedesktop-unofficial-mirror/cairo,34372735,11213,273,2,1536,2026-04-27T23:50:29+00:00
