repo,repo_id,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile
cosmiconfig/cosmiconfig,45750507,7426,6146,165,2.68,203,0.26,19,2023,9282,1531530,8.8087,59.06
coveragepy/coveragepy,138421996,51465,39244,2940,7.49,4088,1.64,119,2025,109531,322021140,17.4796,86.24
cpburnz/python-pathspec,14648551,15379,10047,718,7.15,872,1.23,94,2025,49133,35277494,13.4020,75.80
crate-py/rpds,608018848,3164,2454,230,9.37,515,1.73,26,2025,5928,1363440,8.9179,59.63
criterion-rs/criterion.rs,1081104682,16708,12717,906,7.12,844,1.29,20,2025,10845,9825570,11.9347,71.10
crossbeam-rs/crossbeam,35566048,44558,29842,3445,11.54,4859,2.6,83,2025,15225,52450125,14.7951,80.96
css-modules/icss-utils,42766912,663,589,25,4.24,15,0.28,6,2021,0,0,0.0000,7.28
cssnano/cssnano,33943153,26873,21635,1157,5.35,1559,1.54,93,2025,56987,65933959,14.5703,80.28
csstools/postcss-plugins,219192307,93022,76635,8097,10.57,19754,3.02,407,2025,280640,2272342080,21.2934,92.32
csstree/csstree,67236461,19432,15350,1711,11.15,2548,1.87,178,2025,26568,45457848,14.3062,79.01
curl/curl,569041,315586,220690,41225,18.68,48730,8.15,610,2025,701074,28901775650,26.9792,98.39
cuviper/autocfg,135481335,1425,889,75,8.44,61,0.73,8,2025,1216,91200,5.8029,46.22
cyan4973/xxhash,19330466,63689,55764,1695,3.04,1375,2.91,92,2025,62296,105591720,15.4834,82.57
daaku/nodejs-makeerror,2097803,248,188,18,9.57,20,0.95,15,2021,0,0,0.0000,7.28
daaku/nodejs-tmpl,2171213,25,23,0,0,0,0,0,2021,4,0,0.0000,7.28
dateutil/dateutil,26876372,18978,14234,1504,10.57,2258,1.56,205,2025,58997,88731488,15.1595,81.88
davidhalter/parso,90668463,16709,12437,1788,14.38,2560,2.78,180,2025,895,1600260,9.6027,62.27
davisjam/safe-regex,90781457,524,368,19,5.16,33,0.89,10,HEAD,0,0,0.0000,7.28
dchest/tweetnacl-js,15649752,23914,23058,601,2.61,975,1.62,23,2025,2,1202,1.3262,20.30
dcodeio/long.js,8678904,3715,2638,200,7.58,243,1.93,45,2025,14308,2861600,9.5712,62.16
debug-js/debug,2871998,1013,648,71,10.96,,,,2021,153,10863,4.0630,38.19
definitelytyped/definitelytyped,6093316,1106290,855347,25352,2.96,17344,0.07,780,2025,12417162,314799891024,31.2423,99.31
defunctzombie/node-process,7580644,385,338,26,7.69,,,,HEAD,0,0,0.0000,7.28
django/asgiref,48501860,4621,3088,222,7.19,261,0.77,22,2025,4194,931068,8.5073,58.37
djc/rustc-version-rs,41272773,880,658,38,5.78,0,0,0,2024,1581,60078,5.0901,43.35
dmitrysoshnikov/regexp-tree,85459304,13601,9706,695,7.16,968,1.05,57,2025,223,154985,6.6808,51.26
doowb/ansi-colors,47135420,1042,896,42,4.69,30,0.65,7,2022,27,1134,2.3639,29.01
douglasdwyer/wasm_sync,668034655,1638,575,68,11.83,65,1.16,20,2024,1644,111792,5.9140,46.67
dougwilson/nodejs-depd,20848667,1966,1415,71,5.02,78,0.3,16,2021,0,0,0.0000,7.28
dtolnay/anyhow,212936374,6234,4175,490,11.74,348,1.25,32,2025,7619,3733310,10.4467,65.71
dtolnay/automod,173074854,231,132,22,16.67,22,2.75,15,2025,149,3278,2.9632,32.34
dtolnay/dissimilar,229514821,1987,1539,230,14.94,274,4.42,66,2025,605,139150,6.5767,50.92
dtolnay/indoc,54252316,1329,871,61,7.00,102,1.29,37,2025,884,53924,5.2821,43.81
dtolnay/itoa,61962375,618,434,39,8.99,19,1.12,8,2025,2270,88530,5.3769,44.38
dtolnay/no-panic,143469762,907,677,54,7.98,76,1.25,13,2025,689,37206,4.9406,42.66
dtolnay/proc-macro2,91860126,7792,6090,671,11.02,428,0.93,44,2025,8264,5545144,11.0755,67.89
dtolnay/quote,67273122,3613,2358,118,5,47,0.32,9,2025,4116,485688,7.5022,55.28
dtolnay/ref-cast,106295902,1153,765,69,9.02,130,3.33,56,2025,853,58857,5.4088,44.61
dtolnay/rustversion,183990447,1474,1127,132,11.71,188,2.58,50,2025,622,82104,5.9351,46.79
dtolnay/ryu,142720484,3997,2960,371,12.53,153,1.49,41,2025,1010,374710,7.7238,56.54
dtolnay/semver,22432442,3125,2160,334,15.46,244,1.74,25,2025,7082,2365388,9.7220,62.73
dtolnay/syn,67305738,68824,58935,6880,11.67,7733,2.03,290,2025,86743,596791840,18.9512,88.53
dtolnay/target-triple,734167706,73,56,2,3.57,1,0.5,1,2025,85,170,0.9230,17.66
