"package","github_repo","repo_url"
"regex-regex","kgryte/regex-regex","https://github.com/kgryte/regex-regex"
"string-ts","gustavoguichard/string-ts","https://github.com/gustavoguichard/string-ts"
"linguist-languages","ikatyang-collab/linguist-languages","https://github.com/ikatyang-collab/linguist-languages"
"netlify-redirect-parser","netlify/build","https://github.com/netlify/build"
"excel4node","advisr-io/excel4node","https://github.com/advisr-io/excel4node"
"db-migrate-base","db-migrate/db-migrate-base","https://github.com/db-migrate/db-migrate-base"
"npm-install-package","yoshuawuyts/npm-install-package","https://github.com/yoshuawuyts/npm-install-package"
"domify","sindresorhus/domify","https://github.com/sindresorhus/domify"
"git-last-commit","seymen/git-last-commit","https://github.com/seymen/git-last-commit"
"prettier-plugin-astro","withastro/prettier-plugin-astro","https://github.com/withastro/prettier-plugin-astro"
"const-max-uint32","const-io/max-uint32","https://github.com/const-io/max-uint32"
