"package","avg_downloads","avg_downloads_share","2021","2022","2023","2024","2025"
"openssl-probe","53736801","0.00128644","12024696","21938940","36548258","63744654","134427461"
"unicode-segmentation","53363587","0.00127750","19111191","26319583","39539324","63535738","118312099"
"bumpalo","53276378","0.00127542","9037187","16759481","33976094","67893453","138715675"
"jobserver","53078881","0.00127069","7558797","19860145","33790140","64040146","140145181"
"sharded-slab","52198317","0.00124961","8062968","18136326","34582994","67701400","132507897"
"phf_shared","51759172","0.00123909","6338699","16833630","32857523","64832963","137933046"
"static_assertions","51291730","0.00122790","12051461","20514559","37591820","66738155","119562656"
"petgraph","50953423","0.00121980","9502950","18804369","30735275","57314169","138410355"
"deranged","50671848","0.00121306","2968","2522","14600581","73589304","165163868"
"openssl-sys","50569979","0.00121063","13595398","23327015","36362229","60888825","118676430"
"stable_deref_trait","50546519","0.00121006","8230824","13443399","20052933","41697868","169307575"
"convert_case","50340441","0.00120513","4811208","14790163","31679594","63744101","136677142"
"winapi","50193245","0.00120161","18261736","24428871","39716620","67016728","101542272"
"siphasher","49512166","0.00118530","6872924","15662949","29548859","60724511","134751587"
"rustls-native-certs","49142926","0.00117646","3201596","9030307","22500872","62721757","148260098"
"fixedbitset","49069100","0.00117469","10012213","19349968","29971864","56080614","129930845"
"wasm-bindgen","49003091","0.00117311","8707230","16217176","32240521","64039977","123810552"
"wasm-bindgen-macro","48927817","0.00117131","8664650","16178567","32203859","63988925","123603088"
"wasm-bindgen-macro-support","48923614","0.00117121","8650747","16162304","32186303","63984747","123633970"
"wasm-bindgen-shared","48837903","0.00116916","8653907","16220822","32197082","63858360","123259348"
"nu-ansi-term","48201263","0.00115392","27925","2607341","30005301","66565785","141799964"
"which","47939491","0.00114765","11806723","23535837","38105744","63906382","102342772"
"sha1","47803947","0.00114441","4903110","14761387","35251344","61967694","122136204"
"vcpkg","47008903","0.00112537","5815985","11359694","27651592","65658691","124558553"
"tokio-stream","46962060","0.00112425","7493465","18358808","34010734","58508027","116439270"
"wasm-bindgen-backend","46936961","0.00112365","8668924","16182244","32213657","64029449","113590534"
"adler","46876790","0.00112221","17539624","30753953","53338885","80477962","52273528"
"zerocopy-derive","46330175","0.00110913","455456","1131825","5071656","59149230","165842708"
"foreign-types","46228311","0.00110669","11448258","20648537","31791038","57055124","110198600"
"foreign-types-shared","46226928","0.00110665","11445221","20639655","31794479","57056213","110199072"
"serde_spanned","46119946","0.00110409","0","0","19676548","58626174","152297009"
"matchers","45985089","0.00110086","7223064","15040167","28457770","58087526","121116920"
"half","45903113","0.00109890","5882029","16254325","25665903","56576856","125136454"
"ident_case","45804636","0.00109654","6834754","15772042","27780487","57928892","120707008"
"phf","45594902","0.00109152","5486355","13757679","28814687","55289513","124626278"
"tower-layer","45556822","0.00109061","4157283","11867115","26262280","56675074","128822362"
"js-sys","45544961","0.00109033","8222518","15510023","30214960","57387622","116389684"
"atty","45276577","0.00108390","23709701","41880870","45528956","49151516","66111842"
"derive_more","44860757","0.00107395","7821630","13441820","22016165","46362266","134661905"
"prost-types","44810671","0.00107275","5581142","14777931","25422274","55663292","122608719"
"prettyplease","44762928","0.00107161","0","4054497","25509714","62922850","131327582"
"instant","44704619","0.00107021","20473637","32728007","40244635","53751788","76325031"
"openssl","44618664","0.00106815","12134481","20796810","32040696","55635667","102485668"
"powerfmt","44605790","0.00106784","0","0","5720183","66596525","150712243"
"proc-macro-error","44495692","0.00106521","14142079","28422930","39848278","56606142","83459032"
"proc-macro-error-attr","44419710","0.00106339","14073346","28380685","39831600","56526113","83286807"
"ordered-float","44388795","0.00106265","6417345","11967278","21945486","58161439","123452427"
"bstr","44356424","0.00106188","11421938","18685528","30979352","56584693","104110609"
"libm","43302190","0.00103664","4485270","9292946","25920240","58015885","118796609"
"bindgen","43094863","0.00103167","5972880","12112684","26627188","52874411","117887156"
"axum","42917500","0.00102743","135348","6237199","21820298","55782203","130612455"
"axum-core","42362945","0.00101415","15318","6015555","21253946","55269192","129260715"
"zstd-safe","42069074","0.00100712","3442289","13560028","26989004","56083133","110270916"
"winapi-x86_64-pc-windows-gnu","41900709","0.00100309","11833545","17868293","31926620","58813091","89062000"
"winapi-i686-pc-windows-gnu","41617234","0.00099630","11707517","17623814","31630493","58487799","88636550"
"zstd","41406492","0.00099125","3413032","13528183","26862772","55284966","107943509"
"allocator-api2","41380791","0.00099064","0","0","11696687","62161393","133045876"
"displaydoc","41236131","0.00098718","487503","2786057","9207740","33301630","160397727"
"phf_generator","41181212","0.00098586","4400857","12620517","26379635","53992955","108512096"
