"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"debian:gir1.2-tracker-2.0","","","","","","",""
"debian:imagemagick-6-common","","","","","","",""
"debian:imagemagick-6.q16","","","","","","",""
"debian:kate5-data","","","","","","",""
"debian:libapt-pkg6.0","","","","","","",""
"debian:libavcodec58","","","","","","",""
"debian:libavcodec59","","","","","","",""
"debian:libavdevice58","","","","","","",""
"debian:libavdevice59","","","","","","",""
"debian:libavfilter7","","","","","","",""
"debian:libavfilter8","","","","","","",""
"debian:libavformat58","","","","","","",""
"debian:libavformat59","","","","","","",""
"debian:libavresample4","","","","","","",""
"debian:libavutil56","","","","","","",""
"debian:libavutil57","","","","","","",""
"debian:libcomerr2","","","","","","",""
"debian:libcroco3","","","","","","",""
"debian:libcurl3","","","","","","",""
"debian:libdc1394-22","","","","","","",""
"debian:libdolphinvcs5","","","","","","",""
"debian:libenchant1c2a","","","","","","",""
"debian:libexiv2-27","","","","","","",""
"debian:libfam0","","","","","","",""
"debian:libflac8","","","","","","",""
"debian:libfluidsynth1","","","","","","",""
"debian:libfreetype6-dev","","","","","","",""
"debian:libgcc1","","","","","","",""
"debian:libgdbm3","","","","","","",""
"debian:libgdk-pixbuf2.0-0","","","","","","",""
"debian:libgimp2.0","","","","","","",""
"debian:libgl1-mesa-glx","","","","","","",""
"debian:libgpgme11-dev","","","","","","",""
"debian:libgs9","","","","","","",""
"debian:libgs9-common","","","","","","",""
"debian:libgsasl7","","","","","","",""
"debian:libidn11","","","","","","",""
"debian:libilmbase-dev","","","","","","",""
"debian:libiptc0","","","","","","",""
"debian:libldap-2.4-2","","","","","","",""
"debian:libldb1","","","","","","",""
"debian:libmagick++-6.q16-8","","","","","","",""
"debian:libmagickcore-6.q16-6","","","","","","",""
"debian:libmagickcore-6.q16-6-extra","","","","","","",""
"debian:libmagickwand-6.q16-6","","","","","","",""
"debian:libmpfr4","","","","","","",""
"debian:libmutter-11-0","","","","","","",""
"debian:libnautilus-extension1a","","","","","","",""
"debian:libncurses5","","","","","","",""
"debian:libncurses5-dev","","","","","","",""
"debian:libncursesw5","","","","","","",""
"debian:libncursesw5-dev","","","","","","",""
"debian:libnetpbm10","","","","","","",""
"debian:libntfs-3g883","","","","","","",""
"debian:libodbc1","","","","","","",""
"debian:libopenexr25","","","","","","",""
"debian:libpcre3","","","","","","",""
"debian:libperl5.32","","","","","","",""
"debian:libperl5.36","","","","","","",""
"debian:libpng12-0","","","","","","",""
"debian:libpolkit-backend-1-0","","","","","","",""
"debian:libpostproc55","","","","","","",""
"debian:libpostproc56","","","","","","",""
"debian:libprocps8","","","","","","",""
"debian:libpython2.7","","","","","","",""
"debian:libpython2.7-minimal","","","","","","",""
"debian:libpython2.7-stdlib","","","","","","",""
"debian:libreadline5","","","","","","",""
"debian:libreadline6","","","","","","",""
"debian:librest-0.7-0","","","","","","",""
"debian:libsensors4","","","","","","",""
"debian:libsepol1","","","","","","",""
"debian:libsmbclient","","","","","","",""
"debian:libsnmp30","","","","","","",""
"debian:libsoup2.4-1","","","","","","",""
"debian:libssl1.0.0","","","","","","",""
"debian:libssl1.1","","","","","","",""
"debian:libswresample3","","","","","","",""
"debian:libswresample4","","","","","","",""
"debian:libswscale5","","","","","","",""
"debian:libswscale6","","","","","","",""
"debian:libtracker-control-2.0-0","","","","","","",""
"debian:libtracker-miner-2.0-0","","","","","","",""
"debian:libtracker-sparql-2.0-0","","","","","","",""
"debian:libtracker-sparql-3.0-0","","","","","","",""
"debian:libx264-160","","","","","","",""
"debian:libxapian22","","","","","","",""
"debian:libxcb-util0","","","","","","",""
"debian:mlocate","","","","","","",""
"debian:ntp","","","","","","",""
"debian:ntpdate","","","","","","",""
"debian:odbcinst1debian2","","","","","","",""
"debian:perl-modules-5.32","","","","","","",""
"debian:perl-modules-5.36","","","","","","",""
"debian:policykit-1-gnome","","","","","","",""
"debian:polkitd-pkla","","","","","","",""
"debian:python","","","","","","",""
"debian:python-crypto","","","","","","",""
"debian:python-dbus","","","","","","",""
"debian:python-lxml","","","","","","",""
"debian:python-minimal","","","","","","",""
"debian:python-openssl","","","","","","",""
"debian:python-talloc","","","","","","",""
"debian:python2.7","","","","","","",""
"debian:python2.7-minimal","","","","","","",""
"debian:x11-apps","","","","","","",""
"debian:x11-utils","","","","","","",""
"debianutils","","https://salsa.debian.org/debian/debianutils.git","","","","",""
"dee","","https://salsa.debian.org/debian/dee.git","","","","","git"
"dhcp","","https://gitlab.isc.org/isc-projects/dhcp.git","","","","",""
"diffutils","https://github.com/0crazy-0/gdiff.git","","","","","https://git.savannah.gnu.org/cgit/diffutils.git",""
"discount","","https://salsa.debian.org/debian/discount.git","","","","","git"
"discover-data","","https://salsa.debian.org/installer-team/discover-data.git","","","","","git"
"discover-unclassified","","","","","","",""
"distro-info-unclassified","","","","","","",""
"djview","","","","","","",""
"djvulibre","","https://salsa.debian.org/debian/djvulibre.git","","","","","git"
"dleyna","","https://gitlab.gnome.org/world/dleyna.git","","","","",""
"dnsmasq","","","","","","https://thekelleys.org.uk/dnsmasq.git",""
"docbook","https://github.com/docbook/docbook.git","","","","","",""
"docbook-xsl","https://github.com/docbook/xslt10-stylesheets.git","","","","","",""
"docker-completion","https://github.com/docker/cli.git","","","","","",""
"docutils","","","","","","",""
"dolphin-fm","","","","","","",""
"dosfstools","https://github.com/dosfstools/dosfstools.git","","","","","",""
"dotconf","https://github.com/williamh/dotconf.git","","","","","",""
"double-conversion","https://github.com/google/double-conversion.git","","","","","",""
"doxygen","","https://salsa.debian.org/debian/doxygen.git","","","","","git"
"dpkg","","https://salsa.debian.org/dpkg-team/dpkg.git","","","","https://git.dpkg.org/",""
"draco-3d-compression","https://github.com/google/draco.git","","","","","",""
"dragon-player","","","","","","",""
"dtc","","","","","","https://git.kernel.org/cgit/utils/dtc/dtc.git",""
"duktape","https://github.com/svaarala/duktape.git","","","","","",""
"dvd+rw-tools","","https://salsa.debian.org/optical-media-team/dvd-rw-tools.git","","","","","git"
"dvdauthor","","https://salsa.debian.org/multimedia-team/dvdauthor.git","","","","","git"
"e2fsprogs","https://github.com/tytso/e2fsprogs.git","","","","","",""
"ebook-tools","","https://salsa.debian.org/pino/ebook-tools.git","","","","","git"
"edencommon","https://github.com/facebookexperimental/edencommon.git","","","","","",""
"editorconfig-core-unclassified","","","","","","",""
"efivar","https://github.com/rhinstaller/efivar.git","","","","","",""
"egl-wayland","https://github.com/nvidia/egl-wayland.git","","","","","",""
"eigen","","https://gitlab.com/libeigen/eigen.git","","","","",""
"elfutils","","","","","","https://sourceware.org/elfutils/",""
"ell","","https://salsa.debian.org/debian/ell.git","","","","","git"
"emacs","","https://salsa.debian.org/rlb/deb-emacs.git","","","","","git"
"enca","","https://salsa.debian.org/debian/enca.git","","","","","git"
"enchant","https://github.com/rrthomas/enchant.git","","","","","",""
"eog","","https://salsa.debian.org/gnome-team/eog.git","","","","","git"
"epsilon-compressor","","","","","","",""
"erlang","https://github.com/erlang/otp.git","","","","","",""
"esnacc","","https://salsa.debian.org/debian/esnacc.git","","","","","git"
"espeak","https://github.com/espeak-ng/espeak-ng.git","","","","","",""
"ethtool","","https://salsa.debian.org/kernel-team/ethtool.git","","","","","git"
"eventviews","","","","","","https://invent.kde.org/pim/eventviews",""
"evince","","https://salsa.debian.org/gnome-team/evince.git","","","","","git"
"evolution","","https://gitlab.gnome.org/gnome/evolution.git","","","","",""
"evolution-data-server","","https://gitlab.gnome.org/gnome/evolution.git","","","","",""
"exempi","","https://salsa.debian.org/debian/exempi.git","","","","","git"
