"package","debian_avg_downloads","debian_share","homebrew_avg_downloads","homebrew_share"
"pcaudiolib","93229","0.0856","0",""
"bsdmainutils","93191","0.0856","0",""
"espeak","93087","0.0855","0",""
"libmysofa","92918","0.0853","0",""
"libnumbertext","92884","0.0853","0",""
"libstaroffice","92234","0.0847","0",""
"zbar","92213","0.0847","17439","0.0087"
"libepubgen","92047","0.0845","0",""
"alsa-plugins","91419","0.0839","0",""
"libzmf","91109","0.0836","0",""
"libqxp","91099","0.0836","0",""
"jemalloc","90595","0.0832","150134","0.0753"
"cairomm","90398","0.0830","0",""
"pangomm","90339","0.0829","0",""
"jq","65417","0.0601","517103","0.2593"
"atkmm","90333","0.0829","0",""
"redland","90075","0.0827","0",""
"zip","90071","0.0827","61097","0.0306"
"dav1d","18213","0.0167","516721","0.2591"
"hdparm","89922","0.0826","0",""
"rasqal","89805","0.0824","0",""
"pocketsphinx","89508","0.0822","0",""
"libdc1394","88950","0.0817","0",""
"debian:imagemagick-6-common","88869","0.0816","0",""
"mjpegtools","88666","0.0814","0",""
"libxklavier","88343","0.0811","0",""
"tcltk","0","","504348","0.2529"
"libwmf","87952","0.0807","0",""
"powermgmt-base","87867","0.0807","0",""
"distro-info-unclassified","87697","0.0805","0",""
"x265","16881","0.0155","495571","0.2485"
"xcb-util","87499","0.0803","6058","0.0030"
"accountsservice","87490","0.0803","0",""
"lerc","86936","0.0798","17873","0.0090"
"libayatana-indicator","85944","0.0789","0",""
"libgtop","85904","0.0789","0",""
"ayatana-ido","85873","0.0788","0",""
"gawk","84634","0.0777","75556","0.0379"
"flac","17414","0.0160","490471","0.2460"
"zenity","84367","0.0775","0",""
"yelp","84315","0.0774","0",""
"debian:libflac8","84051","0.0772","0",""
"nvm","0","","481434","0.2414"
"gnome-online-accounts","84000","0.0771","0",""
"libnma","83939","0.0771","0",""
"debian:libgs9-common","83760","0.0769","0",""
"folly","0","","474026","0.2377"
"libayatana-appindicator","83650","0.0768","0",""
"libinstpatch","82895","0.0761","0",""
"pipewire","82813","0.0760","0",""
"srt","54705","0.0502","464860","0.2331"
"libgdata","82618","0.0758","0",""
"debian:libiptc0","82193","0.0755","0",""
"xterm","82139","0.0754","0",""
"netpbm","76472","0.0702","457559","0.2295"
"cracklib","82104","0.0754","0",""
"libsepol","81951","0.0752","0",""
"debian:libgs9","81930","0.0752","0",""
"libbpf","81645","0.0750","0",""
"fizz","0","","455848","0.2286"
"libltc","81614","0.0749","0",""
"synaptic","81022","0.0744","0",""
"liblouis","80674","0.0741","0",""
"fbthrift","0","","453755","0.2275"
"ibus","80652","0.0740","0",""
"openpgm","80489","0.0739","0",""
"debian:libmagickcore-6.q16-6","80473","0.0739","0",""
"libgxps","80295","0.0737","0",""
"debian:libmagickwand-6.q16-6","80161","0.0736","0",""
"gspell","80084","0.0735","25298","0.0127"
"fb303","0","","452539","0.2269"
"qrencode","80049","0.0735","21154","0.0106"
"openni2","79861","0.0733","0",""
"libpwquality","79860","0.0733","0",""
"abseil-cpp","14320","0.0131","448307","0.2248"
"libcdio-paranoia","79470","0.0730","0",""
"qt","79428","0.0729","324718","0.1628"
"lirc","79245","0.0727","0",""
"wangle","0","","440946","0.2211"
"debian:libprocps8","78874","0.0724","0",""
"debian:perl-modules-5.36","78755","0.0723","0",""
"python:numpy","0","","440092","0.2207"
"debian:libperl5.36","78716","0.0723","0",""
"jxrlib-4creators","78684","0.0722","0",""
"debian:python-minimal","78531","0.0721","0",""
"debian:python","78411","0.0720","0",""
"enchant","78344","0.0719","27758","0.0139"
"perl:glib-object-introspection","78120","0.0717","0",""
"redis","9279","0.0085","430610","0.2159"
"perl:cairo-gobject","78084","0.0717","0",""
"tcl-lang","77576","0.0712","0",""
"qemu","24781","0.0227","428950","0.2151"
"debian:librest-0.7-0","77201","0.0709","0",""
"network-manager-applet","76622","0.0703","0",""
"libcdio","75723","0.0695","0",""
"libmanette","75281","0.0691","0",""
"duktape","74478","0.0684","2971","0.0015"
"xkbset","74271","0.0682","0",""
"libpeas","74042","0.0680","5207","0.0026"
"libvpx","17182","0.0158","418166","0.2097"
"libburn","73702","0.0677","0",""
"libisofs","73463","0.0674","0",""
"evince","73177","0.0672","0",""
"libssh","58995","0.0542","405225","0.2032"
"babl","72562","0.0666","0",""
"gimp","72509","0.0666","0",""
"libmad","72452","0.0665","11598","0.0058"
"sdl12-compat","72353","0.0664","15111","0.0076"
"libdvdread","72197","0.0663","1723","0.0009"
"svt-av1","20428","0.0188","402269","0.2017"
"libimagequant","71649","0.0658","90806","0.0455"
"debian:libmagickcore-6.q16-6-extra","71299","0.0655","0",""
"debian:dnsutils","71271","0.0654","0",""
"rust","0","","402215","0.2017"
"clutter","70540","0.0648","0",""
"libgee","70374","0.0646","0",""
"libical","69974","0.0642","0",""
"neovim","0","","399934","0.2006"
"debian:perl-modules-5.32","69687","0.0640","0",""
"cogl","69649","0.0639","0",""
"debian:libperl5.32","69593","0.0639","0",""
"frei0r","0","","398792","0.2000"
"tk","69434","0.0637","0",""
"debian:libavutil56","69325","0.0636","0",""
"debian:libswresample3","69260","0.0636","0",""
"cocoapods","0","","396699","0.1989"
"libmng","69020","0.0634","89572","0.0449"
"notification-daemon","68799","0.0632","0",""
"clutter-gtk","68703","0.0631","0",""
"libzip","8339","0.0077","388245","0.1947"
"totem-pl-parser","68166","0.0626","0",""
"debian:libexiv2-27","68129","0.0625","0",""
"libgsf","68111","0.0625","25183","0.0126"
"unixodbc","33623","0.0309","385424","0.1933"
"liboauth","68092","0.0625","0",""
"libmms","67980","0.0624","2855","0.0014"
"gnome-disk-utility","67940","0.0624","0",""
"libhandy","67737","0.0622","6897","0.0035"
"debian:libavcodec58","67615","0.0621","0",""
"double-conversion","66755","0.0613","286751","0.1438"
"gsl","66714","0.0612","21253","0.0107"
"exempi","66412","0.0610","0",""
"osinfo-db","66295","0.0609","10134","0.0051"
"debian:libgimp2.0","66143","0.0607","0",""
"socat","65828","0.0604","47484","0.0238"
"debian:imagemagick-6.q16","65493","0.0601","0",""
"libosinfo","65340","0.0600","5769","0.0029"
"usrmerge","65284","0.0599","0",""
"zimg-image-processing","58033","0.0533","364072","0.1826"
"debian:libncurses5","65234","0.0599","0",""
"libyuv","64975","0.0596","0",""
"libgav1","64879","0.0596","0",""
"libraw","14722","0.0135","362567","0.1818"
"libidn","64490","0.0592","293129","0.1470"
"gtksourceview","64403","0.0591","15922","0.0080"
"gjs","64386","0.0591","0",""
"openblas","12639","0.0116","361316","0.1812"
"libsoup","64064","0.0588","74525","0.0374"
"gnome-settings-daemon","63941","0.0587","0",""
"rbenv","0","","359313","0.1802"
"metis","63921","0.0587","30901","0.0155"
"geoclue","63767","0.0585","0",""
"xdg-user-dirs-gtk","63691","0.0585","0",""
"aptitude","63478","0.0583","0",""
"lynx","63152","0.0580","13002","0.0065"
"gnome-terminal","63111","0.0579","0",""
"libxcvt","63070","0.0579","0",""
"whois","62901","0.0577","0",""
"apmod:dnssd","62782","0.0576","0",""
"libmediaart","62773","0.0576","0",""
"x264","56474","0.0518","353427","0.1772"
"file-roller","62629","0.0575","0",""
"gnome-control-center","62535","0.0574","0",""
"md4c","62393","0.0573","80766","0.0405"
"libb2","29584","0.0272","348950","0.1750"
"debian:libavformat58","62380","0.0573","0",""
"wireless-tools","62225","0.0571","0",""
"libiptcdata","62066","0.0570","0",""
"luajit","0","","347785","0.1744"
"gnome-user-share","61916","0.0568","0",""
"libftdi","61650","0.0566","12942","0.0065"
"liblouisutdml","61622","0.0566","0",""
"exim","61569","0.0565","0",""
"ethtool","61417","0.0564","0",""
"debian:libswscale5","61279","0.0563","0",""
"automake","0","","341353","0.1712"
"gssdp","61171","0.0562","0",""
"gupnp","61167","0.0562","0",""
"grilo","61000","0.0560","0",""
"jigit","60991","0.0560","0",""
"libgnomekbd","60799","0.0558","0",""
"totem","60741","0.0558","0",""
"pinentry","0","","334378","0.1677"
"transmission","60588","0.0556","11778","0.0059"
"libcddb","60542","0.0556","0",""
"libphonenumber","60529","0.0556","0",""
"cjson","57800","0.0531","333518","0.1672"
"mutter","60497","0.0555","0",""
"debian:libpostproc55","60251","0.0553","0",""
"yt-dlp","0","","333403","0.1672"
"libcue","59885","0.0550","0",""
"debian:libncursesw5","59885","0.0550","0",""
"brasero","59801","0.0549","0",""
"gnome-session","59752","0.0549","0",""
"nautilus","59519","0.0546","0",""
"grilo-plugins","59513","0.0546","0",""
"debian:libpython2.7","59406","0.0545","0",""
"libgpod","59261","0.0544","0",""
"gnome-autoar","59228","0.0544","0",""
"xnnpack","59152","0.0543","0",""
"shared-mime-info","0","","322284","0.1616"
"vlc","58848","0.0540","0",""
"rpcbind","58826","0.0540","0",""
"tree-steve-baker","41564","0.0382","320156","0.1605"
"debian:libavfilter7","58722","0.0539","0",""
"libjcat","58669","0.0539","0",""
"libsidplay","58578","0.0538","0",""
"flashrom","58153","0.0534","0",""
"debian:libcomerr2","58117","0.0534","0",""
"edencommon","0","","318274","0.1596"
"libofa","57990","0.0532","0",""
"gnome-shell","57907","0.0532","0",""
"gcab","57843","0.0531","0",""
"eog","57472","0.0528","0",""
"nfs-utils","57455","0.0527","0",""
"gdm-gnome-display-manager","57444","0.0527","0",""
"clutter-gst","57379","0.0527","0",""
"shotwell","57342","0.0526","0",""
"tmux","33855","0.0311","313602","0.1573"
"libnatpmp","57334","0.0526","0",""
"gegl","56950","0.0523","0",""
"libdvbpsi","56626","0.0520","0",""
"tinysparql","56571","0.0519","0",""
"smartmontools","56469","0.0518","34039","0.0171"
"cheese","56408","0.0518","0",""
"debian:libgdbm3","55774","0.0512","0",""
"folks","55522","0.0510","0",""
"debian:libswresample4","55507","0.0510","0",""
"xcbeautify","0","","306106","0.1535"
"evolution","55243","0.0507","0",""
"screen","55231","0.0507","13170","0.0066"
"malcontent-parental-controls","55113","0.0506","0",""
"bogofilter","54888","0.0504","0",""
"ytnef","54859","0.0504","0",""
"tree-sitter","0","","301452","0.1512"
"ostree","54661","0.0502","0",""
"gmmlib","54164","0.0497","0",""
"yarn","0","","299921","0.1504"
"sdl-image","54155","0.0497","0",""
"dee","54154","0.0497","0",""
"debian:libntfs-3g883","54006","0.0496","0",""
"swiftlint","0","","297354","0.1491"
"webkitgtk","53986","0.0496","0",""
"gnome-contacts","53831","0.0494","0",""
"tpm2-tss","53802","0.0494","0",""
"utf8proc","3246","0.0030","296469","0.1487"
"libopenmpt-modplug","53722","0.0493","0",""
"rhythmbox","53714","0.0493","0",""
"libdecor-0","53666","0.0493","0",""
"ninja","0","","296268","0.1486"
"gnome-menus","53665","0.0493","0",""
"debian:libavresample4","53474","0.0491","0",""
"debian:libavutil57","53294","0.0489","0",""
"libpthread-stubs","40045","0.0368","295982","0.1484"
"localsearch","53243","0.0489","0",""
"rdma-core","53217","0.0489","0",""
"gsound","52619","0.0483","0",""
"libcbor","19358","0.0178","295006","0.1479"
"libmypaint","52451","0.0482","0",""
"gucharmap","52443","0.0481","0",""
"libntlm","52247","0.0480","0",""
"gom","52146","0.0479","0",""
"hoichess","51930","0.0477","0",""
"debian:libcroco3","51551","0.0473","0",""
"debian:libavcodec59","51458","0.0472","0",""
"libxnvctrl","51452","0.0472","0",""
"pigz","51435","0.0472","10901","0.0055"
"libgnome-games-support","51431","0.0472","0",""
"hitori","51108","0.0469","0",""
"flatpak","50730","0.0466","0",""
"libqrtr-glib","50584","0.0464","0",""
"debian:libswscale6","50402","0.0463","0",""
"qqwing","50368","0.0462","0",""
"fmt","8276","0.0076","290346","0.1456"
"meta-gnome3","50220","0.0461","0",""
"debian:libavformat59","49978","0.0459","0",""
"rpcsvc-proto","49971","0.0459","0",""
"libunibreak","14867","0.0136","288566","0.1447"
"libxmlb","49823","0.0457","10382","0.0052"
"libldac","49620","0.0456","0",""
"gstreamer:editing-services","49519","0.0455","0",""
"fluidsynth","49506","0.0454","26755","0.0134"
"mailx-unclassified","49488","0.0454","0",""
"liblrdf","49305","0.0453","0",""
"debian:libpostproc56","49197","0.0452","0",""
"powertop","49076","0.0451","0",""
"ann","49040","0.0450","0",""
"libfreeaptx","48905","0.0449","0",""
"debian:libavfilter8","48791","0.0448","0",""
"jpeg","0","","272910","0.1369"
