package,is_eol,eol_method,eol_reason,source,eol_checked_at
libburn,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:python-minimal,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
osinfo-db,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
groonga,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:python,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
tk,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libisofs,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
xfconf,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
perl:glib-object-introspection,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
perl:cairo-gobject,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
xerces-c,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libxnvctrl,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
gssdp,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:librest-0.7-0,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
apache-arrow,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
network-manager-applet,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libmanette,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
xcodegen,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
dtc,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
babl,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
docbook-xsl,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
clutter-gtk,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
xfce4-panel,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
lynx,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
gnuplot,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
jigit,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
xkbset,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
gjs,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
lzlib,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
aws-c-io,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
gupnp,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
adwaita-icon-theme,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
kservice,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
evince,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
liburing,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
intel-processor-trace,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
gimp,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
scrcpy,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
aws-sdk-cpp,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libvterm-leonerd,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:libmagickcore-6.q16-6-extra,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
kiconthemes,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:dnsutils,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libimobiledevice-glue,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
tinysparql,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
fluidsynth,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
apmod:dnssd,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
doxygen,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libmms,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:perl-modules-5.32,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
vtk,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:libperl5.32,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libosinfo,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
swig,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:libavutil56,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
kdbusaddons,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libswresample3,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
transmission,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libxcvt,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
notification-daemon,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
exempi,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
kcrash,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libmediaart,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libexiv2-27,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
rhash,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
gnome-disk-utility,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libavcodec58,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
karchive,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
imlib2,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
wireshark,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
gnome-settings-daemon,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
nautilus,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
mpi-defaults,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libgimp2.0,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
webkitgtk,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
ada,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libraqm,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
node:undici,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
aws-c-cal,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
hdrhistogram-c,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
merve,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
nbytes,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libqrtr-glib,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
xdg-user-dirs-gtk,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
knotifications,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
python:pillow,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:imagemagick-6.q16,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
grilo,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
geoclue,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
usrmerge,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libncurses5,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
wimlib,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
kcompletion,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
screen,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
vlc,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
http-parser,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libebml,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libpaper,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
uriparser,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
aptitude,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
gnome-control-center,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
gnome-autoar,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
gnome-terminal,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
whois,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
kitemviews,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
file-roller,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libgeotiff,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:libavformat58,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
