"package","github_repo","git","eco_guess","debian_avg_downloads","homebrew_avg_downloads","downloads_score","pagerank","value_class","repo_id","canonical_url","license"
"cwidget","","https://salsa.debian.org/cwidget-team/cwidget.git","native","28297","0","39332","0.00003639","C","gl/debian-23546","",""
"babeltrace","","https://salsa.debian.org/debian/babeltrace.git","native","30982","0","43064","0.00003638","C","gl/debian-14","",""
"blt","","https://salsa.debian.org/tcltk-team/blt.git","native","33915","0","47141","0.00003598","C","gl/debian-17621","",""
"cdrkit","","https://salsa.debian.org/debian/cdrkit.git","native","33852","0","47054","0.00003591","C","gl/debian-95695","",""
"libclc","llvm/llvm-project","https://github.com/llvm/llvm-project.git","native","0","24439","24439","0.00003575","C","gh/75821432","","apache-2.0 with llvm-exception"
"procmail","buglessrb/procmail","https://github.com/buglessrb/procmail.git","native","33695","0","46836","0.00003575","C","gh/465238531","",""
"systemsettings","","https://invent.kde.org/plasma/systemsettings.git","native","30803","0","42816","0.00003565","C","gl/kde-2285","",""
"cmark","commonmark/cmark","https://github.com/commonmark/cmark.git","native","32359","0","44979","0.00003564","C","gh/29804085","",""
"phonon-vlc","kde/phonon-vlc","https://github.com/kde/phonon-vlc.git","native","33509","0","46577","0.00003555","C","gh/42734333","",""
"gsasl","","https://salsa.debian.org/xmpp-team/gsasl.git","native","31106","0","43237","0.00003551","C","gl/debian-6172","",""
"openfec","roc-streaming/openfec","https://github.com/roc-streaming/openfec.git","native","29837","0","41473","0.00003500","C","gh/93503133","",""
"debian:libodbc1","","","","32865","0","45682","0.00003487","C","","",""
"libconfuse","libconfuse/libconfuse","https://github.com/libconfuse/libconfuse.git","native","10328","13236","27591","0.00003479","C","gh/15790285","",""
"libnet","libnet/libnet","https://github.com/libnet/libnet.git","native","21766","15129","45383","0.00003464","C","gh/132141","","bsd-2-clause"
"aws-checksums","awslabs/aws-checksums","https://github.com/awslabs/aws-checksums.git","native","0","20100","20100","0.00003456","C","gh/93201193","","apache-2.0"
"dvd+rw-tools","","https://salsa.debian.org/optical-media-team/dvd-rw-tools.git","native","32521","0","45204","0.00003450","C","gl/debian-2894","",""
"libvpl","intel/libvpl","https://github.com/intel/libvpl.git","native","21706","0","30171","0.00003412","C","gh/244967696","",""
"tnftp","","https://salsa.debian.org/debian/tnftp.git","native","32118","0","44644","0.00003407","C","gl/debian-47755","",""
"gupnp-dlna","","https://salsa.debian.org/gnome-team/gupnp-dlna.git","native","28791","0","40019","0.00003399","C","gl/debian-5500","",""
"kvazaar","ultravideo/kvazaar","https://github.com/ultravideo/kvazaar.git","native","1548","0","2151","0.00003399","C","gh/16339396","",""
"signond","","https://gitlab.com/accounts-sso/signond.git","native","29510","0","41018","0.00003390","C","gl/222471","",""
"stoken","stoken-dev/stoken","https://github.com/stoken-dev/stoken.git","native","22916","9621","41474","0.00003389","C","gh/6117968","","lgpl-2.1-or-later"
"threadweaver","","https://invent.kde.org/frameworks/threadweaver.git","native","29473","0","40967","0.00003383","C","gl/kde-2456","",""
"debian:libtracker-sparql-2.0-0","","","","31820","0","44229","0.00003376","C","","",""
"opusfile","","https://gitlab.xiph.org/xiph/opusfile.git","native","16339","19410","42121","0.00003370","C","gl/xiph-24","","bsd-3-clause"
