"package","dependency","type"
"libnice","gupnp-igd","declared"
"leptonica","giflib","declared"
"leptonica","glibc","declared"
"leptonica","libjpeg-turbo","declared"
"leptonica","libpng","declared"
"leptonica","libwebp","declared"
"leptonica","openjpeg","declared"
"leptonica","tiff","declared"
"leptonica","zlib","declared"
"zerofree","e2fsprogs","declared"
"zerofree","glibc","declared"
"iftop","glibc","declared"
"iftop","libpcap","declared"
"iftop","ncurses","declared"
"fstrm","glibc","declared"
"fstrm","libevent","declared"
"fastfetch","lua","declared"
"fastfetch","yyjson","declared"
"alsa-plugins","alsa-lib","declared"
"alsa-plugins","ffmpeg","declared"
"alsa-plugins","glibc","declared"
"alsa-plugins","jack-audio-connection-kit","declared"
"alsa-plugins","libsamplerate","declared"
"alsa-plugins","pulseaudio","declared"
"alsa-plugins","speexdsp","declared"
"kholidays","gcc","declared"
"kholidays","glibc","declared"
"kholidays","qt","declared"
"xcb-util-wm","glibc","declared"
"xcb-util-wm","libxcb","declared"
"gsm","glibc","declared"
"libxshmfence","glibc","declared"
"m4","glibc","declared"
"ghostscript","cups","declared"
"ghostscript","debian:libjs-jquery","declared"
"ghostscript","debian:libjs-sphinxdoc","declared"
"ghostscript","debian:sphinx-rtd-theme-common","declared"
"ghostscript","fontconfig","declared"
"ghostscript","fonts:urw-base35","declared"
"ghostscript","freetype","declared"
"ghostscript","glibc","declared"
"ghostscript","ijs","declared"
"ghostscript","jbig2dec","declared"
"ghostscript","lcms","declared"
"ghostscript","leptonica","declared"
"ghostscript","libarchive","declared"
"ghostscript","libidn","declared"
"ghostscript","libjpeg-turbo","declared"
"ghostscript","libpaper","declared"
"ghostscript","libpng","declared"
"ghostscript","libx11","declared"
"ghostscript","libxt","declared"
"ghostscript","openjpeg","declared"
"ghostscript","poppler-data","declared"
"ghostscript","tesseract-ocr","declared"
"ghostscript","tiff","declared"
"ghostscript","zlib","declared"
"kglobalaccel","debian:qt6-base-private-abi","declared"
"kglobalaccel","gcc","declared"
"kglobalaccel","glibc","declared"
"kglobalaccel","kconfig","declared"
"kglobalaccel","kcoreaddons","declared"
"kglobalaccel","kglobalacceld","declared"
"kglobalaccel","kwindowsystem","declared"
"kglobalaccel","qt","declared"
"autoconf","m4","declared"
"parted","dmidecode","declared"
"parted","glibc","declared"
"parted","lvm2","declared"
"parted","ncurses","declared"
"parted","readline","declared"
"parted","util-linux","declared"
"mdadm","debconf","declared"
"mdadm","glibc","declared"
"mdadm","systemd","declared"
"ark","gcc","declared"
"ark","glibc","declared"
"ark","kcolorscheme","declared"
"ark","kcompletion","declared"
"ark","kconfig","declared"
"ark","kconfigwidgets","declared"
"ark","kcoreaddons","declared"
"ark","kcrash","declared"
"ark","kdbusaddons","declared"
"ark","kfilemetadata","declared"
"ark","ki18n","declared"
"ark","kio","declared"
"ark","kjobwidgets","declared"
"ark","kparts","declared"
"ark","kpty","declared"
"ark","kservice","declared"
"ark","kwidgetsaddons","declared"
"ark","kwindowsystem","declared"
"ark","kxmlgui","declared"
"ark","libarchive","declared"
"ark","libzip","declared"
"ark","qt","declared"
"ark","zlib","declared"
"libburn","glibc","declared"
"hitori","cairo-graphics-library","declared"
"hitori","dconf","declared"
"hitori","glib","declared"
"hitori","glibc","declared"
"hitori","gtk","declared"
"hitori","pango","declared"
"libgnome-games-support","glib","declared"
"libgnome-games-support","glibc","declared"
