"project","github_repo","debian_sources","homebrew_formulas","debian_avg_downloads","homebrew_avg_downloads","downloads_score","is_cpp","is_oss_fuzz"
"wayland","","wayland","wayland","139992","16833","211421","True","False"
"libgit2","libgit2/libgit2","libgit2","libgit2|libgit2@1.7|libgit2@1.8","5438","203009","210567","True","True"
"debian:libldap-2.4-2","","libldap-2.4-2","","151473","0","210547","True","False"
"gts-triangulated-surface","","gts","gts","46020","143973","207940","True","False"
"onetbb","uxlfoundation/oneTBB","onetbb","tbb","15996","185349","207583","True","False"
"libexif","libexif/libexif","libexif","libexif","121367","38317","207017","True","True"
"docker-completion","docker/cli","","docker-completion","0","206721","206721","True","False"
"dnsmasq","","dnsmasq","dnsmasq","112099","50801","206618","True","False"
"libslirp","","libslirp","libslirp","37654","153871","206210","True","False"
"debian:libssl1.1","","libssl1.1","","148298","0","206134","True","False"
"pulseaudio","","pulseaudio","pulseaudio","134016","19346","205628","True","False"
"libxkbcommon","xkbcommon/libxkbcommon","libxkbcommon","libxkbcommon","134555","18147","205178","True","False"
"docutils","","","docutils","0","204737","204737","True","False"
"zsh","","zsh","zsh","16762","180487","203786","True","False"
"libunwind","libunwind/libunwind","libunwind","libunwind","132051","18881","202431","True","True"
"openjph","aous72/OpenJPH","","openjph","0","202308","202308","True","True"
"polkit","polkit-org/polkit","policykit-1","","145186","0","201808","True","False"
"libxshmfence","","libxshmfence","","144428","0","200754","True","False"
"libfontenc","","libfontenc","libfontenc","139671","5838","199980","True","False"
"python:dbus-python","","dbus-python","","142986","0","198750","True","False"
"xft","","xft","","142936","0","198681","True","False"
"pcsc-lite","","pcsc-lite","","141750","0","197032","True","False"
"libproxy","libproxy/libproxy","libproxy","libproxy","127947","18715","196561","True","True"
"lapack","","lapack","","140426","0","195192","True","False"
"libshout","","libshout","libshout","117465","31502","194778","True","False"
"debian:libidn11","","libidn11","","139989","0","194584","True","False"
"vulkan-loader","KhronosGroup/Vulkan-Loader","vulkan-loader","vulkan-loader","117647","30404","193933","True","True"
"dconf","","dconf","","139116","0","193371","True","False"
"gawk","","gawk","gawk","84634","75556","193197","True","False"
"libxaw","","libxaw","","138437","0","192427","True","False"
"ijs","","ijs","","137845","0","191604","True","False"
"nftables","","nftables","","137467","0","191079","True","False"
"libsecret","","libsecret","libsecret","120608","23123","190768","True","False"
"libimagequant","ImageOptim/libimagequant","libimagequant","libimagequant","71649","90806","190398","True","False"
"wavpack","","wavpack","wavpack","129112","9771","189236","True","False"
"faad2","knik0/faad2","faad2","faad2","110797","34580","188587","True","True"
"debian:libapt-pkg6.0","","libapt-pkg6.0","","134866","0","187463","True","False"
"libasyncns","","libasyncns","","134152","0","186471","True","False"
"zip","","zip","zip","90071","61097","186295","True","False"
"yajl","lloyd/yajl","yajl","yajl","117782","22420","186136","True","False"
"jack-audio-connection-kit","jackaudio/jack2","jack-audio-connection-kit|jackd2","jack","126499","10155","185988","True","False"
"ccache","ccache/ccache","","ccache","0","185909","185909","True","False"
"libmng","","libmng","libmng","69020","89572","185509","True","False"
"libgudev","","libgudev","","133326","0","185323","True","False"
"colord","","colord","","132668","0","184408","True","False"
"glog","google/glog","","glog","0","184386","184386","True","True"
"liblinear","","liblinear","liblinear","28599","144025","183777","True","False"
"gsm","","libgsm","","131671","0","183022","True","False"
"libxxf86dga","","libxxf86dga","","131425","0","182680","True","False"
"gnu-bc","","bc","","131418","0","182671","True","False"
"debian:x11-utils","","x11-utils","","131056","0","182167","True","False"
"libxss","","libxss","","130917","0","181974","True","False"
"parted","","parted","","130199","0","180976","True","False"
"vte","","vte2.91","vte3","105568","33290","180029","True","False"
"libxkbfile","","libxkbfile","libxkbfile","124590","6219","179399","True","False"
"xapian-core","","xapian-core","","128962","0","179257","True","False"
"libglvnd","","libglvnd","","128923","0","179202","True","False"
"mysql-defaults","","mysql-defaults","","128510","0","178628","True","False"
"game-music-emu","libgme/game-music-emu","game-music-emu","game-music-emu","124181","5862","178473","True","False"
"perl:file-fcntllock","","libfile-fcntllock-perl","","128117","0","178082","True","False"
"libmicrohttpd","","","libmicrohttpd","0","177963","177963","True","False"
"libcaca","","libcaca","","127564","0","177313","True","False"
"graphene","ebassi/graphene","graphene","graphene","98973","39644","177216","True","False"
"musepack","","libmpc","musepack","109731","24244","176770","True","False"
"libutempter","","libutempter","","127085","0","176648","True","False"
"twolame","","twolame","","126599","0","175972","True","False"
"openmpi","","openmpi","open-mpi","9785","162350","175951","True","False"
"libvdpau","","libvdpau","","126526","0","175871","True","False"
"sane-backends","","sane-backends","sane-backends","113178","18368","175685","True","False"
"libva","intel/libva","libva","libva","116444","12230","174087","True","False"
"libdaemon","","libdaemon","","124417","0","172939","True","False"
"pmix","pmix/pmix","pmix","pmix","11823","156405","172838","True","False"
"xmlsec","lsh123/xmlsec","libxmlsec1-nss|libxmlsec1-openssl|xmlsec1","libxmlsec1","96838","38223","172827","True","True"
"mint-swift-package-manager","yonaskolb/Mint","","mint","0","172762","172762","True","False"
"libraw1394","","libraw1394","","124201","0","172639","True","False"
"shine","savonet/shine","shine","","124015","0","172380","True","False"
"dosfstools","dosfstools/dosfstools","dosfstools","","123635","0","171852","True","False"
"libavc1394","","libavc1394","","123478","0","171634","True","False"
"libsigc++","","libsigc++-2.0|libsigc++-3.0","","123259","0","171330","True","False"
"libiec61883","","libiec61883","","123024","0","171003","True","False"
"libaacs","","libaacs","","122893","0","170821","True","False"
"assimp","assimp/assimp","assimp","assimp|assimp@5","2928","166746","170815","True","True"
"glu","","libglu","mesa-glu","113765","12346","170479","True","False"
"speexdsp","","speexdsp","speexdsp","107619","20193","169783","True","False"
"flite","","flite","","121868","0","169396","True","False"
"djvulibre","","djvulibre","","121821","0","169331","True","False"
"libaec","","libaec","libaec","30606","126655","169197","True","False"
"python:virtualenv","","","virtualenv","0","169081","169081","True","False"
"xorg-server","","xorg-server","xorg-server","110987","14615","168886","True","False"
"x11-xserver-utils","","x11-xserver-utils","","121302","0","168609","True","False"
"packagekit","","packagekit","","121167","0","168422","True","False"
"net-tools","","net-tools","","121147","0","168394","True","False"
"chromaprint","","chromaprint","","121115","0","168349","True","False"
"libnice","","libnice","libnice","102137","25706","167676","True","False"
"md4c","mity/md4c","md4c","md4c","62393","80766","167492","True","True"
"gstreamer:base","","gst-plugins-base1.0","","120212","0","167094","True","False"
"cdparanoia","","cdparanoia","","120123","0","166970","True","False"
"libvisual","","libvisual","","119911","0","166676","True","False"
"libbs2b","","libbs2b","","118950","0","165340","True","False"
"libvdpau-va-gl","i-rinat/libvdpau-va-gl","libvdpau-va-gl","","117756","0","163680","True","False"
"libsoup","","libsoup2.4|libsoup3","libsoup","64064","74525","163573","True","False"
"ntfs-3g","tuxera/ntfs-3g","ntfs-3g","","117515","0","163345","True","False"
"aalib","","aalib","","117391","0","163173","True","False"
"openal-soft","kcat/openal-soft","openal-soft","","117067","0","162723","True","False"
"snowballstemmer","","snowball","","117041","0","162686","True","False"
"wpa-supplicant","","wpa","","117033","0","162675","True","False"
"serd","","serd","","116286","0","161637","True","False"
"sord","","sord","","116280","0","161629","True","False"
"lilv","","lilv","","116278","0","161626","True","False"
"sratom","","sratom","","116278","0","161626","True","False"
"libnotify","","libnotify","","115579","0","160654","True","False"
"libevdev","","libevdev","","114790","0","159558","True","False"
"fakeroot","","fakeroot","","114720","0","159460","True","False"
"x11-xkb-utils","","x11-xkb-utils","","114657","0","159373","True","False"
"libatasmart","","libatasmart","","114482","0","159129","True","False"
"libdvdnav","","libdvdnav","libdvdnav","113569","1189","159049","True","False"
"gstreamer:good","","gst-plugins-good1.0","","114161","0","158683","True","False"
"libbdplus","","libbdplus","","114143","0","158658","True","False"
"debian:libsoup2.4-1","","libsoup2.4-1","","113996","0","158454","True","False"
"gsettings-desktop-schemas","","gsettings-desktop-schemas","gsettings-desktop-schemas","0","158379","158379","True","False"
"libwacom","","libwacom","","113724","0","158076","True","False"
"bluez","","bluez","","113668","0","157998","True","False"
"meson","mesonbuild/meson","","meson","0","157988","157988","True","False"
"usb-modeswitch","","usb-modeswitch","","113546","0","157828","True","False"
"libxfont2","","libxfont","libxfont2","109220","5693","157508","True","False"
"udisks","","udisks2","","111793","0","155392","True","False"
"tidy","htacg/tidy-html5","","tidy-html5","0","155182","155182","True","True"
"libinput","","libinput","","111504","0","154990","True","False"
"zvbi","zapping-vbi/zvbi","zvbi","","111274","0","154670","True","False"
"debian:libsmbclient","","libsmbclient","","111237","0","154619","True","False"
"grpc","grpc/grpc","","grpc","0","154288","154288","True","False"
"libgphoto2","gphoto/libgphoto2","libgphoto2","libgphoto2","100386","14679","154215","True","False"
"libgusb","hughsie/libgusb","libgusb","","110744","0","153934","True","False"
"modemmanager","","modemmanager","","110565","0","153685","True","False"
"libcanberra","","libcanberra","","110512","0","153611","True","False"
"hyphen","hunspell/hyphen","hyphen","","110311","0","153332","True","False"
"ppp","","ppp","","110228","0","153216","True","False"
"emacs","","","emacs","0","153100","153100","True","False"
"luv","luvit/luv","","luv","0","153045","153045","True","False"
"libsigsegv","","libsigsegv","libsigsegv","105208","6669","152908","True","False"
"libdca","","libdca","","109850","0","152691","True","False"
"gptfdisk","","gdisk","","109783","0","152598","True","False"
"anacron","","anacron","","109570","0","152302","True","False"
"a52dec","","a52dec","","109519","0","152231","True","False"
"openvino","openvinotoolkit/openvino","","openvino","0","152146","152146","True","False"
"xcb-util-renderutil","","xcb-util-renderutil","xcb-util-renderutil","105308","5458","151836","True","False"
"iw","","iw","","109226","0","151824","True","False"
"gstreamer:libav","","gst-libav1.0","","109191","0","151775","True","False"
"xcb-util-keysyms","","xcb-util-keysyms","xcb-util-keysyms","105286","5337","151684","True","False"
"libmpeg2","","mpeg2dec","","109086","0","151629","True","False"
"xcb-util-image","","xcb-util-image","xcb-util-image","104635","5620","151062","True","False"
"xcb-util-wm","","xcb-util-wm","xcb-util-wm","104362","5789","150852","True","False"
"libmbim","","libmbim","","108481","0","150788","True","False"
"perl:algorithm-diff-xs","","libalgorithm-diff-xs-perl","","108476","0","150781","True","False"
"xdrv:fbdev","","xserver-xorg-video-fbdev","","108320","0","150564","True","False"
"startup-notification","","startup-notification","","108281","0","150510","True","False"
"xdrv:vesa","","xserver-xorg-video-vesa","","107979","0","150090","True","False"
"sbc","","sbc","","107970","0","150078","True","False"
"libmodplug","","libmodplug","","107861","0","149926","True","False"
"libspectre","","libspectre","","107808","0","149853","True","False"
"xdrv:ati","","xserver-xorg-video-ati","","107786","0","149822","True","False"
"libxvmc","","libxvmc","","107634","0","149611","True","False"
"xdrv:wacom","","xf86-input-wacom","","106981","0","148703","True","False"
"alsa-utils","","alsa-utils","","106942","0","148649","True","False"
"texlive","","texlive-bin","texlive","95765","15439","148552","True","False"
"xdrv:vmware","","xserver-xorg-video-vmware","","106843","0","148511","True","False"
"capstone","capstone-engine/capstone","","capstone","0","148490","148490","True","True"
"vo-amrwbenc","","vo-amrwbenc","","106826","0","148488","True","False"
"nas","","nas","","106565","0","148125","True","False"
"upower","","upower","","106429","0","147936","True","False"
"libopenmpt","","libopenmpt","","106230","0","147659","True","False"
"debian:x11-apps","","x11-apps","","106204","0","147623","True","False"
"libqmi","","libqmi","","105926","0","147237","True","False"
"raptor-rdf","","raptor2","","105862","0","147148","True","False"
"mhash","","mhash","","105718","0","146948","True","False"
"gstreamer:bad","","gst-plugins-bad1.0","","105664","0","146872","True","False"
"libexttextcat","","libexttextcat","","105645","0","146846","True","False"
"vo-aacenc","","vo-aacenc","","105631","0","146827","True","False"
"rtkit","heftig/rtkit","rtkit","","105597","0","146779","True","False"
"xdrv:intel","","xserver-xorg-video-intel","","105565","0","146735","True","False"
"networkmanager","","network-manager","","105537","0","146696","True","False"
"video4linux","","v4l-utils","","105406","0","146514","True","False"
"x11-session-utils","","x11-session-utils","","105189","0","146212","True","False"
"debian:python2.7-minimal","","python2.7-minimal","","105106","0","146097","True","False"
"libxres","","libxres","","105077","0","146057","True","False"
"gdal","OSGeo/gdal","gdal","gdal","7047","136224","146019","True","True"
"debian:python2.7","","python2.7","","104938","0","145863","True","False"
"gcr","","gcr|gcr4","","104803","0","145676","True","False"
"cmocka","","","cmocka","0","145621","145621","True","False"
"zbar","mchehab/zbar","zbar","zbar","92213","17439","145615","True","False"
"woff2","google/woff2","woff2","woff2","99629","6911","145395","True","True"
"dbus-glib","","dbus-glib","","104460","0","145199","True","False"
"libteam","","libteam","","104369","0","145072","True","False"
"libndp","","libndp","","104346","0","145040","True","False"
"ocl-icd","OCL-dev/ocl-icd","ocl-icd","","104256","0","144915","True","False"
"usbmuxd","libimobiledevice/usbmuxd","usbmuxd","","104216","0","144860","True","False"
"subversion","","subversion","subversion","22235","113830","144736","True","False"
"libao","","libao","","104010","0","144573","True","False"
"sdl2","","libsdl2","","103367","0","143680","True","False"
"libkate","","libkate","","103108","0","143320","True","False"
"soundtouch","","soundtouch","","103069","0","143265","True","False"
"gflags","gflags/gflags","","gflags","0","142983","142983","True","False"
"msgpack","msgpack/msgpack-c","","msgpack","0","142961","142961","True","True"
"wildmidi","","wildmidi","","102759","0","142835","True","False"
"librevenge","","librevenge","","102723","0","142784","True","False"
"mythes","","mythes","","102304","0","142202","True","False"
"sndio","","sndio","","102183","0","142034","True","False"
"libreoffice","","libreoffice","","102175","0","142023","True","False"
"libdv","","libdv","","102142","0","141977","True","False"
"debian:libgcc1","","libgcc1","","101971","0","141739","True","False"
"pipenv","pypa/pipenv","","pipenv","0","141668","141668","True","False"
"alsa-ucm-conf","","alsa-ucm-conf","","101824","0","141535","True","False"
"alsa-topology-conf","","alsa-topology-conf","","101816","0","141524","True","False"
"erlang","erlang/otp","","erlang|erlang@28","0","141272","141272","True","False"
"gstreamer:ugly","","gst-plugins-ugly1.0","","101614","0","141243","True","False"
"libwpd","","libwpd","","101586","0","141204","True","False"
"libwpg","","libwpg","","101567","0","141178","True","False"
"liblangtag","","liblangtag","","101519","0","141111","True","False"
"libaio","","libaio|libaio1","","101275","0","140772","True","False"
"cups-filters","","cups-filters","","101231","0","140711","True","False"
"libeot","","libeot","","101170","0","140626","True","False"
"libmtp","","libmtp","","101151","0","140599","True","False"
"debian:libpython2.7-minimal","","libpython2.7-minimal","","101125","0","140563","True","False"
"libwnck","","libwnck3","","101117","0","140552","True","False"
"python:pre-commit","","","pre-commit","0","140510","140510","True","False"
"debian:libpython2.7-stdlib","","libpython2.7-stdlib","","101033","0","140435","True","False"
"proj","OSGeo/PROJ","proj","proj","26976","102834","140330","True","True"
"mtdev","","mtdev","","100944","0","140312","True","False"
"fastlane","fastlane/fastlane","","fastlane","0","140104","140104","True","False"
"volume-key","","volume-key","","100651","0","139904","True","False"
"gnome-keyring","","gnome-keyring","","100575","0","139799","True","False"
"speech-dispatcher","","speech-dispatcher","","100476","0","139661","True","False"
"libodfgen","","libodfgen","","100447","0","139621","True","False"
"libvisio","","libvisio","","100341","0","139473","True","False"
"libcdr","","libcdr","","100331","0","139460","True","False"
"libsrtp","cisco/libsrtp","libsrtp2","","100238","0","139330","True","True"
"libieee1284","","libieee1284","","100055","0","139076","True","False"
"socat","","socat","socat","65828","47484","138984","True","False"
"libetonyek","","libetonyek","","99924","0","138894","True","False"
"libabw","","libabw","","99863","0","138809","True","False"
"libe-book","","libe-book","","99850","0","138791","True","False"
"norm","","norm","","99833","0","138767","True","False"
"lerc","Esri/lerc","lerc","liblerc","86936","17873","138714","True","False"
"libmwaw","","libmwaw","","99460","0","138249","True","False"
"spandsp","","spandsp","","99328","0","138065","True","False"
"libsidplay1","","libsidplay","","99069","0","137705","True","False"
"libfreehand","","libfreehand","","98801","0","137333","True","False"
"libmspub","","libmspub","","98799","0","137330","True","False"
"enchant","rrthomas/enchant","enchant-2","enchant","78344","27758","136656","True","False"
"gspell","","gspell","gspell","80084","25298","136614","True","False"
"python:sphinx","","","sphinx-doc","0","136251","136251","True","False"
"gvfs","","gvfs","","97940","0","136136","True","False"
"libwps","","libwps","","97567","0","135618","True","False"
"gexiv2","","gexiv2","","97392","0","135374","True","False"
"sonic-speech-rate-library","waywardgeek/sonic","sonic","","97366","0","135338","True","False"
"python:pycups","OpenPrinting/pycups","python-cups","","97101","0","134970","True","False"
"rabbitmq-c","alanxz/rabbitmq-c","librabbitmq","","97039","0","134884","True","True"
"debian:libgdk-pixbuf2.0-0","","libgdk-pixbuf2.0-0","","96952","0","134763","True","False"
"geoip","","geoip","","96910","0","134704","True","False"
"mc","","mc","midnight-commander","48754","66679","134447","True","False"
"libpagemaker","","libpagemaker","","96516","0","134157","True","False"
"pygments","","","pygments","0","133370","133370","True","False"
"wxwidgets","wxWidgets/wxWidgets","wxwidgets3.2","wxwidgets|wxwidgets@3.2","11402","117507","133355","True","True"
"dotconf","williamh/dotconf","dotconf","","95876","0","133267","True","False"
"plymouth","","plymouth","","95856","0","133239","True","False"
"brltty","","brltty","","95405","0","132612","True","False"
"qrencode","fukuchi/libqrencode","qrencode","qrencode","80049","21154","132422","True","False"
"bison","","bison","bison","19445","104173","131201","True","False"
"libdbusmenu","","libdbusmenu","","93738","0","130295","True","False"
"netcdf","Unidata/netcdf-c","netcdf","netcdf","5842","121654","129774","True","True"
"pcaudiolib","espeak-ng/pcaudiolib","pcaudiolib","","93229","0","129588","True","False"
"bsdmainutils","","bsdmainutils","","93191","0","129535","True","False"
"espeak","espeak-ng/espeak-ng","espeak-ng","","93087","0","129390","True","True"
"opencv","opencv/opencv","opencv","opencv","9292","116403","129318","True","True"
"libmysofa","hoene/libmysofa","libmysofa","","92918","0","129156","True","False"
"libnumbertext","","libnumbertext","","92884","0","129108","True","False"
"libstaroffice","fosnola/libstaroffice","libstaroffice","","92234","0","128205","True","False"
"the-silver-searcher","ggreer/the_silver_searcher","","the_silver_searcher","0","128060","128060","True","False"
"libepubgen","","libepubgen","","92047","0","127945","True","False"
"xcb-util","","xcb-util","xcb-util","87499","6058","127681","True","False"
"alsa-plugins","","alsa-plugins","","91419","0","127072","True","False"
"re2","google/re2","re2","re2","13865","107577","126849","True","True"
"vde","virtualsquare/vde-2","","vde","0","126761","126761","True","False"
"libzmf","","libzmf","","91109","0","126641","True","False"
"libqxp","","libqxp","","91099","0","126627","True","False"
"cairomm","","cairomm|cairomm1.16","","90398","0","125653","True","False"
"pangomm","","pangomm|pangomm2.48","","90339","0","125571","True","False"
"atkmm","","atkmm1.6","","90333","0","125562","True","False"
"redland","","redland","","90075","0","125204","True","False"
"hdparm","","hdparm","","89922","0","124991","True","False"
"rasqal","","rasqal","","89805","0","124828","True","False"
"pocketsphinx","","pocketsphinx|sphinxbase","","89508","0","124416","True","False"
"suitesparse","DrTimothyAldenDavis/SuiteSparse","suitesparse","suite-sparse","14502","104057","124214","True","False"
"libdc1394","","libdc1394","","88950","0","123640","True","False"
"debian:imagemagick-6-common","","imagemagick-6-common","","88869","0","123527","True","False"
"mjpegtools","","mjpegtools","","88666","0","123245","True","False"
"libxklavier","","libxklavier","","88343","0","122796","True","False"
"libwmf","","libwmf","","87952","0","122253","True","False"
"powermgmt-base","","powermgmt-base","","87867","0","122135","True","False"
"distro-info-unclassified","","distro-info","","87697","0","121898","True","False"
"accountsservice","","accountsservice","","87490","0","121611","True","False"
"libgsf","","libgsf","libgsf","68111","25183","119857","True","False"
"pugixml","zeux/pugixml","pugixml","pugixml","18821","93632","119793","True","True"
"metis","","metis","metis","63921","30901","119751","True","False"
"libayatana-indicator","AyatanaIndicators/libayatana-indicator","libayatana-indicator","","85944","0","119462","True","False"
"libgtop","","libgtop2","","85904","0","119406","True","False"
"tfenv","tfutils/tfenv","","tfenv","0","119366","119366","True","False"
"ayatana-ido","AyatanaIndicators/ayatana-ido","ayatana-ido","","85873","0","119363","True","False"
"libtommath","libtom/libtommath","libtommath","libtommath","45859","53827","117571","True","False"
"zenity","","zenity","","84367","0","117270","True","False"
"yelp","","yelp","","84315","0","117197","True","False"
"debian:libflac8","","libflac8","","84051","0","116830","True","False"
"gnome-online-accounts","","gnome-online-accounts","","84000","0","116759","True","False"
"libnma","","libnma","","83939","0","116675","True","False"
"debian:libgs9-common","","libgs9-common","","83760","0","116426","True","False"
"libayatana-appindicator","AyatanaIndicators/libayatana-appindicator","libayatana-appindicator","","83650","0","116273","True","False"
"sdl12-compat","libsdl-org/sdl12-compat","sdl12-compat","sdl12-compat","72353","15111","115681","True","False"
"graphicsmagick","","graphicsmagick","graphicsmagick","15373","93974","115342","True","False"
"libinstpatch","swami/libinstpatch","libinstpatch","","82895","0","115224","True","False"
"pipewire","","pipewire","","82813","0","115110","True","False"
"libgdata","","libgdata","","82618","0","114839","True","False"
"debian:libiptc0","","libiptc0","","82193","0","114248","True","False"
"xterm","","xterm","","82139","0","114173","True","False"
"cracklib","cracklib/cracklib","cracklib2","","82104","0","114124","True","False"
"gsl","","gsl","gsl","66714","21253","113985","True","False"
"libsepol","","libsepol","","81951","0","113911","True","False"
"debian:libgs9","","libgs9","","81930","0","113882","True","False"
"portaudio","","portaudio19","portaudio","36672","62688","113662","True","False"
"libbpf","","libbpf","","81645","0","113486","True","False"
"libltc","x42/libltc","libltc","","81614","0","113443","True","False"
"synaptic","mvo5/synaptic","synaptic","","81022","0","112620","True","False"
"smartmontools","","smartmontools","smartmontools","56469","34039","112530","True","False"
"libmad","","libmad","mad","72452","11598","112306","True","False"
"liblouis","","liblouis","","80674","0","112136","True","False"
"ibus","ibus/ibus","ibus","","80652","0","112106","True","False"
"openpgm","steve-o/openpgm","libpgm","","80489","0","111879","True","False"
"debian:libmagickcore-6.q16-6","","libmagickcore-6.q16-6","","80473","0","111857","True","False"
"libgxps","","libgxps","","80295","0","111610","True","False"
"debian:libmagickwand-6.q16-6","","libmagickwand-6.q16-6","","80161","0","111423","True","False"
"openni2","","openni2","","79861","0","111006","True","False"
"libpwquality","libpwquality/libpwquality","libpwquality","","79860","0","111005","True","False"
"libcdio-paranoia","","libcdio-paranoia","","79470","0","110463","True","False"
"texinfo","","texinfo","texinfo","40953","53303","110227","True","False"
"lirc","","lirc","","79245","0","110150","True","False"
"cfitsio","","cfitsio","cfitsio","17003","86102","109736","True","False"
"debian:libprocps8","","libprocps8","","78874","0","109634","True","False"
"debian:perl-modules-5.36","","perl-modules-5.36","","78755","0","109469","True","False"
"debian:libperl5.36","","libperl5.36","","78716","0","109415","True","False"
"jxrlib","4creators/jxrlib","jxrlib","","78684","0","109370","True","False"
"debian:python-minimal","","python-minimal","","78531","0","109158","True","False"
"debian:python","","python","","78411","0","108991","True","False"
"perl:glib-object-introspection","","libglib-object-introspection-perl","","78120","0","108586","True","False"
"perl:cairo-gobject","","libcairo-gobject-perl","","78084","0","108536","True","False"
"libpeas","","libpeas","libpeas@1","74042","5207","108125","True","False"
"tcl-lang","","tcl8.6","","77576","0","107830","True","False"
"debian:librest-0.7-0","","librest-0.7-0","","77201","0","107309","True","False"
"network-manager-applet","","network-manager-applet","","76622","0","106504","True","False"
"duktape","svaarala/duktape","duktape","duktape","74478","2971","106495","True","False"
"xcodegen","yonaskolb/XcodeGen","","xcodegen","0","105646","105646","True","False"
"gtksourceview","","gtksourceview3|gtksourceview4|gtksourceview5","gtksourceview4","64403","15922","105442","True","False"
"libcdio","","libcdio","","75723","0","105254","True","False"
"libmanette","","libmanette","","75281","0","104640","True","False"
"apache-arrow","","","apache-arrow","0","104424","104424","True","False"
"eigen","","eigen3","eigen","3568","98603","103562","True","False"
"xkbset","","xkbset","","74271","0","103236","True","False"
"libburn","","libburn","","73702","0","102445","True","False"
"osinfo-db","","osinfo-db","osinfo-db","66295","10134","102284","True","False"
"libisofs","","libisofs","","73463","0","102113","True","False"
"libdvdread","","libdvdread","libdvdread","72197","1723","102076","True","False"
"xerces-c","","xerces-c","xerces-c","34086","54586","101965","True","False"
"evince","","evince","","73177","0","101716","True","False"
"libhandy","","libhandy-1","libhandy","67737","6897","101051","True","False"
"babl","","babl","","72562","0","100861","True","False"
"gimp","","gimp","","72509","0","100787","True","False"
"lynx","","lynx","lynx","63152","13002","100783","True","False"
"scrcpy","Genymobile/scrcpy","","scrcpy","0","100474","100474","True","False"
"libvterm-leonerd","","","libvterm","0","99457","99457","True","False"
"python:pycairo","pygobject/pycairo","","py3cairo","0","99421","99421","True","False"
"debian:libmagickcore-6.q16-6-extra","","libmagickcore-6.q16-6-extra","","71299","0","99105","True","False"
"debian:dnsutils","","dnsutils","","71271","0","99066","True","False"
"libftdi","","libftdi1","libftdi","61650","12942","98635","True","False"
"clutter","","clutter-1.0","","70540","0","98050","True","False"
"libgee","","libgee-0.8","","70374","0","97819","True","False"
"doxygen","","","doxygen","0","97634","97634","True","False"
"python:pygobject","","","pygobject3","0","97625","97625","True","False"
"libmms","","libmms","libmms","67980","2855","97347","True","False"
"libical","libical/libical","libical3","","69974","0","97263","True","True"
"debian:perl-modules-5.32","","perl-modules-5.32","","69687","0","96864","True","False"
"cogl","","cogl","","69649","0","96812","True","False"
"debian:libperl5.32","","libperl5.32","","69593","0","96734","True","False"
"libosinfo","","libosinfo","libosinfo","65340","5769","96591","True","False"
"tk","","tk8.6","","69434","0","96513","True","False"
"swig","","","swig","0","96459","96459","True","False"
"debian:libavutil56","","libavutil56","","69325","0","96361","True","False"
"debian:libswresample3","","libswresample3","","69260","0","96271","True","False"
"transmission","transmission/transmission","transmission","transmission-cli","60588","11778","95995","True","False"
"notification-daemon","","notification-daemon","","68799","0","95630","True","False"
"fluidsynth","Fluidsynth/fluidsynth","fluidsynth","fluid-synth","49506","26755","95568","True","False"
"clutter-gtk","","clutter-gtk","","68703","0","95497","True","False"
"jsoncpp","open-source-parsers/jsoncpp","libjsoncpp","jsoncpp","5612","87412","95212","True","True"
"totem-pl-parser","","totem-pl-parser","","68166","0","94750","True","False"
"debian:libexiv2-27","","libexiv2-27","","68129","0","94699","True","False"
"liboauth","","liboauth","","68092","0","94647","True","False"
"gnome-disk-utility","","gnome-disk-utility","","67940","0","94436","True","False"
"aws-sdk-cpp","aws/aws-sdk-cpp","","aws-sdk-cpp","0","94341","94341","True","False"
"gnuplot","","gnuplot","gnuplot","14871","73549","94219","True","False"
"debian:libavcodec58","","libavcodec58","","67615","0","93984","True","False"
"simdjson","simdjson/simdjson","","simdjson","0","93378","93378","True","True"
"unibilium","neovim/unibilium","","unibilium","0","93304","93304","True","False"
"dtc","","device-tree-compiler","dtc","25821","57133","93024","True","False"
"vtk","","vtk9","vtk","1051","91433","92893","True","False"
"hiredis","redis/hiredis","hiredis","hiredis","1729","90297","92700","True","True"
"exempi","","exempi","","66412","0","92312","True","False"
"debian:libgimp2.0","","libgimp2.0","","66143","0","91938","True","False"
"wireshark","","wireshark","wireshark","14990","70267","91103","True","False"
"python:pillow","","","pillow","0","91084","91084","True","False"
"debian:imagemagick-6.q16","","imagemagick-6.q16","","65493","0","91035","True","False"
"usrmerge","","usrmerge","","65284","0","90744","True","False"
"debian:libncurses5","","libncurses5","","65234","0","90675","True","False"
"libyuv","","libyuv","","64975","0","90315","True","False"
"wimlib","","","wimlib","0","90303","90303","True","False"
"libgav1","","libgav1","","64879","0","90181","True","False"
"groonga","groonga/groonga","","groonga","0","90009","90009","True","False"
"screen","","screen","screen","55231","13170","89941","True","False"
"gjs","","gjs","","64386","0","89496","True","False"
"gnome-settings-daemon","","gnome-settings-daemon","","63941","0","88877","True","False"
"geoclue","","geoclue-2.0","","63767","0","88636","True","False"
"xdg-user-dirs-gtk","","xdg-user-dirs-gtk","","63691","0","88530","True","False"
"aptitude","","aptitude","","63478","0","88234","True","False"
"gnome-terminal","","gnome-terminal","","63111","0","87724","True","False"
"libxcvt","","libxcvt","","63070","0","87667","True","False"
"whois","","whois","","62901","0","87432","True","False"
"apmod:dnssd","","mod-dnssd","","62782","0","87266","True","False"
