package,license,fetched_at
debian:libtracker-sparql-2.0-0,,2026-07-21T21:08:15Z
debian:libtracker-sparql-3.0-0,,2026-07-21T21:08:15Z
debian:libx264-160,,2026-07-21T21:08:15Z
debian:libxapian22,,2026-07-21T21:08:15Z
debian:libxcb-util0,,2026-07-21T21:08:15Z
debian:mlocate,,2026-07-21T21:08:15Z
debian:ntp,,2026-07-21T21:08:15Z
debian:ntpdate,,2026-07-21T21:08:15Z
debian:odbcinst1debian2,,2026-07-21T21:08:15Z
debian:perl-modules-5.32,,2026-07-21T21:08:15Z
debian:perl-modules-5.36,,2026-07-21T21:08:15Z
debian:policykit-1-gnome,,2026-07-21T21:08:15Z
debian:polkitd-pkla,,2026-07-21T21:08:15Z
debian:python,,2026-07-21T21:08:15Z
debian:python-crypto,,2026-07-21T21:08:15Z
debian:python-dbus,,2026-07-21T21:08:15Z
debian:python-lxml,,2026-07-21T21:08:15Z
debian:python-minimal,,2026-07-21T21:08:15Z
debian:python-openssl,,2026-07-21T21:08:15Z
debian:python-talloc,,2026-07-21T21:08:15Z
debian:python2.7,,2026-07-21T21:08:15Z
debian:python2.7-minimal,,2026-07-21T21:08:15Z
debian:x11-apps,,2026-07-21T21:08:15Z
debian:x11-utils,,2026-07-21T21:08:15Z
debianutils,,2026-07-21T21:08:15Z
dee,,2026-07-21T21:08:15Z
dhcp,,2026-07-21T21:08:15Z
diffutils,gpl-3.0-or-later,2026-07-21T21:08:15Z
discount,,2026-07-21T21:08:15Z
discover-data,,2026-07-21T21:08:15Z
discover-unclassified,,2026-07-21T21:08:15Z
distro-info-unclassified,,2026-07-21T21:08:15Z
djview,,2026-07-21T21:08:15Z
djvulibre,,2026-07-21T21:08:15Z
dleyna,,2026-07-21T21:08:15Z
dnsmasq,gpl-2.0-only or gpl-3.0-only,2026-07-21T21:08:15Z
docbook,licenseref-homebrew-cannot-represent,2026-07-21T21:08:15Z
docbook-xsl,mit,2026-07-21T21:08:15Z
docker-completion,apache-2.0,2026-07-21T21:08:15Z
docutils,licenseref-homebrew-public-domain and bsd-2-clause and gpl-3.0-or-later and python-2.0,2026-07-21T21:08:15Z
dolphin-fm,,2026-07-21T21:08:15Z
dosfstools,,2026-07-21T21:08:15Z
dotconf,,2026-07-21T21:08:15Z
double-conversion,bsd-3-clause,2026-07-21T21:08:15Z
doxygen,gpl-2.0-only,2026-07-21T21:08:15Z
dpkg,gpl-2.0-or-later,2026-07-21T21:08:15Z
draco-3d-compression,,2026-07-21T21:08:15Z
dragon-player,,2026-07-21T21:08:15Z
dtc,gpl-2.0-or-later or bsd-2-clause,2026-07-21T21:08:15Z
duktape,mit,2026-07-21T21:08:15Z
dvd+rw-tools,,2026-07-21T21:08:15Z
dvdauthor,,2026-07-21T21:08:15Z
e2fsprogs,,2026-07-21T21:08:15Z
ebook-tools,,2026-07-21T21:08:15Z
edencommon,mit,2026-07-21T21:08:15Z
editorconfig-core-unclassified,,2026-07-21T21:08:15Z
efivar,,2026-07-21T21:08:15Z
egl-wayland,,2026-07-21T21:08:15Z
eigen,mpl-2.0 and apache-2.0 and bsd-3-clause and minpack,2026-07-21T21:08:15Z
elfutils,gpl-3.0-or-later and (gpl-2.0-or-later or lgpl-3.0-or-later) and gfdl-1.3-no-invariants-or-later,2026-07-21T21:08:15Z
ell,,2026-07-21T21:08:15Z
emacs,gpl-3.0-or-later,2026-07-21T21:08:15Z
enca,,2026-07-21T21:08:15Z
enchant,lgpl-2.1-or-later,2026-07-21T21:08:15Z
eog,,2026-07-21T21:08:15Z
epsilon-compressor,,2026-07-21T21:08:15Z
erlang,apache-2.0,2026-07-21T21:08:15Z
esnacc,,2026-07-21T21:08:15Z
espeak,,2026-07-21T21:08:15Z
ethtool,,2026-07-21T21:08:15Z
eventviews,,2026-07-21T21:08:15Z
evince,,2026-07-21T21:08:15Z
evolution,,2026-07-21T21:08:15Z
evolution-data-server,,2026-07-21T21:08:15Z
exempi,,2026-07-21T21:08:15Z
exiftool,artistic-1.0-perl or gpl-1.0-or-later,2026-07-21T21:08:15Z
exim,,2026-07-21T21:08:15Z
exiv2,,2026-07-21T21:08:15Z
expat,mit,2026-07-21T21:08:15Z
extra-cmake-modules,,2026-07-21T21:08:15Z
faac,lgpl-2.1-or-later,2026-07-21T21:08:15Z
faad2,gpl-2.0-or-later,2026-07-21T21:08:15Z
fakeroot,,2026-07-21T21:08:15Z
fastfetch,mit,2026-07-21T21:08:15Z
fastlane,mit,2026-07-21T21:08:15Z
fb303,apache-2.0,2026-07-21T21:08:15Z
fbthrift,apache-2.0,2026-07-21T21:08:15Z
fdk-aac,apache-2.0,2026-07-21T21:08:15Z
ffcall,,2026-07-21T21:08:15Z
ffmpeg,gpl-3.0-or-later,2026-07-21T21:08:15Z
ffmpegthumbnailer,,2026-07-21T21:08:15Z
ffms2,,2026-07-21T21:08:15Z
