repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_dependent_count,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
cpburnz/python-pathspec,14648551,,,8997,non-standard,2,,,2026-05-03T17:03:18+00:00
criterion-rs/criterion.rs,1081104682,,,1647,Apache-2.0,26,,,2026-05-03T17:03:19+00:00
crossbeam-rs/crossbeam,35566048,5.5,2026-04-20,69127,Apache-2.0,155,,,2026-05-03T17:03:20+00:00
crypto-browserify/randombytes,29300004,3.5,2026-04-20,172637,MIT,8,,,2026-05-03T17:03:19+00:00
css-modules/icss-utils,42766912,2.1,2026-04-20,55878,non-standard,18,,,2026-05-03T17:03:19+00:00
cssnano/cssnano,33943153,7.2,2026-04-20,299267,MIT,105,,,2026-05-03T17:03:32+00:00
csstools/postcss-plugins,219192307,7,2026-04-20,39568,non-standard,11,,,2026-05-03T17:03:37+00:00
csstree/csstree,67236461,4.6,2026-04-20,14388,MIT,64,,,2026-05-03T17:03:19+00:00
cuviper/autocfg,135481335,3.1,2026-04-20,60146,Apache-2.0,16,,,2026-05-03T17:03:20+00:00
cyan4973/xxhash,19330466,6.8,2026-04-20,,non-standard,31,,,2026-05-03T17:03:21+00:00
daaku/nodejs-makeerror,2097803,1.9,2026-04-20,94764,non-standard,0,,,2026-05-03T17:03:21+00:00
daaku/nodejs-tmpl,2171213,2.2,2026-04-20,95093,non-standard,0,,,2026-05-03T17:03:22+00:00
dateutil/dateutil,26876372,5.5,2026-04-20,147519,non-standard,441,,,2026-05-03T17:03:22+00:00
davepacheco/node-extsprintf,4058064,2.9,2026-04-20,11333,MIT,1,,,2026-05-03T17:03:22+00:00
davidhalter/parso,90668463,5.7,2026-04-20,15896,non-standard,11,,,2026-05-03T17:03:23+00:00
davisjam/safe-regex,90781457,3,2026-04-20,4916,non-standard,11,,,2026-05-03T17:03:23+00:00
dchest/tweetnacl-js,15649752,2.5,2026-04-20,47986,non-standard,6,,,2026-05-03T17:03:31+00:00
dcodeio/long.js,8678904,3.1,2026-04-20,148325,Apache-2.0,1,,,2026-05-03T17:03:23+00:00
dcodeio/protobuf.js,8507859,5.8,2026-04-20,685370,non-standard,392,,,2026-05-03T17:03:35+00:00
debug-js/debug,2871998,2.9,2026-04-20,660364,MIT,86,,,2026-05-03T17:03:32+00:00
definitelytyped/definitelytyped,6093316,6.5,2026-04-20,4317293,non-standard,699,,,2026-05-03T17:04:33+00:00
django/asgiref,48501860,4,2026-04-20,16040,BSD-3-Clause,73,,,2026-05-03T17:03:32+00:00
djc/rustc-version-rs,41272773,,,11413,Apache-2.0,0,,,2026-05-03T17:03:33+00:00
dmitrysoshnikov/regexp-tree,85459304,2.9,2026-04-20,8850,MIT,52,,,2026-05-03T17:03:33+00:00
dominictarr/through,4885140,2.1,2026-04-20,263063,non-standard,14,,,2026-05-03T17:03:33+00:00
doowb/ansi-colors,47135420,2.1,2026-04-20,45528,MIT,19,,,2026-05-03T17:03:34+00:00
douglasdwyer/wasm_sync,668034655,,,11,,0,,,2026-05-03T17:03:34+00:00
dougwilson/nodejs-depd,20848667,2.8,2026-04-20,330310,MIT,15,,,2026-05-03T17:03:34+00:00
dtolnay/anyhow,212936374,5.1,2026-04-20,21952,Apache-2.0,38,,,2026-05-03T17:03:35+00:00
dtolnay/automod,173074854,4,2026-04-20,100,Apache-2.0,7,,,2026-05-03T17:03:35+00:00
dtolnay/dissimilar,229514821,4.9,2026-04-20,568,Apache-2.0,3,,,2026-05-03T17:03:36+00:00
dtolnay/indoc,54252316,4.4,2026-04-20,1114,Apache-2.0,1,,,2026-05-03T17:03:37+00:00
dtolnay/itoa,61962375,5.3,2026-04-20,54980,Apache-2.0,2,,,2026-05-03T17:03:36+00:00
dtolnay/no-panic,143469762,4.3,2026-04-20,59,Apache-2.0,7,,,2026-05-03T17:03:36+00:00
dtolnay/paste,155652490,4,2026-04-20,9127,Apache-2.0,12,,,2026-05-03T17:03:38+00:00
dtolnay/proc-macro2,91860126,5.6,2026-04-20,111489,Apache-2.0,27,,,2026-05-03T17:03:37+00:00
dtolnay/quote,67273122,5.1,2026-04-20,111266,Apache-2.0,9,,,2026-05-03T17:03:37+00:00
dtolnay/ref-cast,106295902,4.3,2026-04-20,2444,Apache-2.0,1,,,2026-05-03T17:03:38+00:00
dtolnay/rustversion,183990447,4.2,2026-04-20,45537,Apache-2.0,4,,,2026-05-03T17:03:38+00:00
dtolnay/ryu,142720484,5.4,2026-04-20,53009,Apache-2.0,3,,,2026-05-03T17:03:39+00:00
dtolnay/semver,22432442,5.2,2026-04-20,13044,Apache-2.0,7,,,2026-05-03T17:03:39+00:00
dtolnay/syn,67305738,5.7,2026-04-20,62456,Apache-2.0,82,,,2026-05-03T17:03:48+00:00
dtolnay/target-triple,734167706,,,0,Apache-2.0,0,,,2026-05-03T17:03:48+00:00
dtolnay/thiserror,213836768,4.6,2026-04-20,20498,Apache-2.0,29,,,2026-05-03T17:03:49+00:00
dtolnay/trybuild,184941159,5.5,2026-04-20,0,Apache-2.0,21,,,2026-05-03T17:03:49+00:00
dtolnay/unicode-ident,492639579,5,2026-04-20,111527,Apache-2.0,3,,,2026-05-03T17:03:49+00:00
eemeli/yaml,119439276,7.2,2026-04-20,71181,non-standard,31,,,2026-05-03T17:03:50+00:00
ehmicky/human-signals,214467546,2.8,2026-04-20,11485,Apache-2.0,0,,,2026-05-03T17:03:50+00:00
eliben/pycparser,10589864,6.1,2026-04-20,83282,non-standard,32,,,2026-05-03T17:03:50+00:00
emotion-js/emotion,92570536,5.6,2026-04-20,766853,MIT,372,,,2026-05-03T17:03:54+00:00
encode/httpcore,237210639,5.4,2026-04-20,78180,BSD-3-Clause,39,,,2026-05-03T17:03:53+00:00
encode/httpx,179492861,5.7,2026-04-20,314,BSD-3-Clause,148,,,2026-05-03T17:03:51+00:00
epoberezkin/ajv-keywords,60477053,3.2,2026-04-20,64637,MIT,47,,,2026-05-03T17:03:51+00:00
epoberezkin/fast-deep-equal,94483360,2.3,2026-04-20,473143,MIT,35,,,2026-05-03T17:03:52+00:00
epoberezkin/fast-json-stable-stringify,108103016,2.2,2026-04-20,351666,non-standard,25,,,2026-05-03T17:03:51+00:00
epoberezkin/json-schema-traverse,93333933,3,2026-04-20,198730,MIT,13,,,2026-05-03T17:03:52+00:00
es-shims/array-includes,28753032,3.8,2026-04-20,96517,MIT,1,,,2026-05-03T17:03:52+00:00
es-shims/dunder-proto,898274312,,,868274,MIT,1,,,2026-05-03T17:03:52+00:00
es-shims/es-set-tostringtag,580683868,3.4,2026-04-20,413445,MIT,1,,,2026-05-03T17:03:53+00:00
es-shims/math-intrinsics,902014040,,,857849,MIT,3,,,2026-05-03T17:03:54+00:00
es-shims/object.values,41723335,3.8,2026-04-20,106500,MIT,1,,,2026-05-03T17:03:54+00:00
es-shims/regexp.prototype.flags,26932422,3.8,2026-04-20,207257,MIT,2,,,2026-05-03T17:03:55+00:00
es-shims/string.prototype.trimend,114682758,3.8,2026-04-20,175870,MIT,2,,,2026-05-03T17:03:55+00:00
es-shims/string.prototype.trimstart,114682105,3.8,2026-04-20,175868,MIT,1,,,2026-05-03T17:03:55+00:00
eslint-community/eslint-utils,568240379,,,72213,MIT,20,,,2026-05-03T17:03:56+00:00
eslint/doctrine,4286644,4.5,2026-04-20,88841,Apache-2.0,0,,,2026-05-03T17:04:03+00:00
eslint/eslint,11061773,6.3,2026-04-20,2678,MIT,109,,,2026-05-03T17:04:04+00:00
eslint/js,27620277,,,17033,non-standard,8,,,2026-05-03T17:04:04+00:00
eslint/rewrite,791446923,,,12650,Apache-2.0,8,,,2026-05-03T17:04:05+00:00
estools/escodegen,3611422,2.6,2026-04-20,94283,non-standard,143,,,2026-05-03T17:04:04+00:00
estools/esquery,11412938,3.6,2026-04-20,105019,non-standard,42,,,2026-05-03T17:04:04+00:00
estools/esrecurse,27429822,2.4,2026-04-20,148452,non-standard,3,,,2026-05-03T17:04:05+00:00
estools/estraverse,6145439,2.8,2026-04-20,195745,non-standard,39,,,2026-05-03T17:04:05+00:00
estools/esutils,14677293,2.3,2026-04-20,296517,non-standard,10,,,2026-05-03T17:04:06+00:00
ethers-io/ethers.js,63465664,4.2,2026-04-20,997366,MIT,639,,,2026-05-03T17:04:08+00:00
evanw/esbuild,61137153,4.2,2026-04-20,50273,MIT,611,,,2026-05-03T17:04:08+00:00
evanw/node-source-map-support,7682781,2.3,2026-04-20,160715,MIT,128,,,2026-05-03T17:04:06+00:00
eventualbuddha/lines-and-columns,47284288,3.1,2026-04-20,2522,MIT,10,,,2026-05-03T17:04:06+00:00
executablebooks/markdown-it-py,249956697,5.1,2026-04-20,74195,MIT,47,,,2026-05-03T17:04:06+00:00
executablebooks/mdurl,387293763,3.4,2026-04-20,75299,non-standard,1,,,2026-05-03T17:04:06+00:00
exodusoss/bytes,885154008,,,3913,MIT,6,,,2026-05-03T17:04:07+00:00
expressjs/body-parser,15669006,7.7,2026-04-20,64855,MIT,52,,,2026-05-03T17:04:07+00:00
expressjs/serve-static,17464338,6.6,2026-04-20,64362,MIT,25,,,2026-05-03T17:04:07+00:00
facebook/create-react-app,63537249,4.8,2026-04-20,379195,MIT,2378,,,2026-05-03T17:04:08+00:00
facebook/metro,76504246,5.8,2026-04-20,23674,MIT,434,,,2026-05-03T17:04:24+00:00
facebook/prop-types,87597642,5.5,2026-04-20,281417,MIT,60,,,2026-05-03T17:04:09+00:00
facebook/react,10270250,6.6,2026-04-20,198363,MIT,1246,in_progress,81,2026-05-03T17:04:22+00:00
facebook/regenerator,13346571,4.1,2026-04-20,14495,MIT,81,,,2026-05-03T17:04:10+00:00
facebook/watchman,6930489,5.4,2026-04-20,189495,MIT,246,,,2026-05-03T17:04:10+00:00
