"package","year","downloads"
"@ampproject/toolbox-script-csp","2022","7611311"
"@ampproject/toolbox-script-csp","2023","0"
"@ampproject/toolbox-script-csp","2024","2228105"
"@ampproject/toolbox-script-csp","2025","2673179"
"@ampproject/toolbox-validator-rules","2021","25136506"
"@ampproject/toolbox-validator-rules","2022","7325928"
"@ampproject/toolbox-validator-rules","2023","3841966"
"@ampproject/toolbox-validator-rules","2024","2083359"
"@ampproject/toolbox-validator-rules","2025","2378167"
"@analytics/cookie-utils","2021","2972834"
"@analytics/cookie-utils","2022","5378930"
"@analytics/cookie-utils","2023","6679726"
"@analytics/cookie-utils","2024","7617628"
"@analytics/cookie-utils","2025","9272321"
"@analytics/core","2021","2296708"
"@analytics/core","2022","4942236"
"@analytics/core","2023","6563923"
"@analytics/core","2024","7698466"
"@analytics/core","2025","9414999"
"@analytics/global-storage-utils","2021","714965"
"@analytics/global-storage-utils","2022","4164640"
"@analytics/global-storage-utils","2023","6158360"
"@analytics/global-storage-utils","2024","7406009"
"@analytics/global-storage-utils","2025","9116824"
"@analytics/localstorage-utils","2021","708044"
"@analytics/localstorage-utils","2022","4134459"
"@analytics/localstorage-utils","2023","6105902"
"@analytics/localstorage-utils","2024","7363784"
"@analytics/localstorage-utils","2025","9050050"
"@analytics/session-storage-utils","2021","2827"
"@analytics/session-storage-utils","2022","2708637"
"@analytics/session-storage-utils","2023","5467333"
"@analytics/session-storage-utils","2024","7059426"
"@analytics/session-storage-utils","2025","8831698"
"@analytics/storage-utils","2021","2987268"
"@analytics/storage-utils","2022","5528499"
"@analytics/storage-utils","2023","7034614"
"@analytics/storage-utils","2024","7993489"
"@analytics/storage-utils","2025","9999559"
"@analytics/type-utils","2021","686697"
"@analytics/type-utils","2022","5269952"
"@analytics/type-utils","2023","7670344"
"@analytics/type-utils","2024","8858114"
"@analytics/type-utils","2025","10954907"
"@angular-devkit/architect","2021","150962706"
"@angular-devkit/architect","2022","180016936"
"@angular-devkit/architect","2023","200118545"
"@angular-devkit/architect","2024","219755740"
"@angular-devkit/architect","2025","277019875"
"@angular-devkit/core","2021","255079469"
"@angular-devkit/core","2022","339499914"
"@angular-devkit/core","2023","419163228"
"@angular-devkit/core","2024","457044289"
"@angular-devkit/core","2025","655239490"
"@angular-devkit/schematics","2021","185570746"
"@angular-devkit/schematics","2022","258680724"
"@angular-devkit/schematics","2023","331347676"
"@angular-devkit/schematics","2024","371822148"
"@angular-devkit/schematics","2025","529933481"
"@angular-eslint/builder","2021","12975456"
"@angular-eslint/builder","2022","32880242"
"@angular-eslint/builder","2023","46195440"
"@angular-eslint/builder","2024","55320490"
"@angular-eslint/builder","2025","78159174"
"@angular-eslint/bundled-angular-compiler","2021","1315196"
"@angular-eslint/bundled-angular-compiler","2022","34301868"
"@angular-eslint/bundled-angular-compiler","2023","62138424"
"@angular-eslint/bundled-angular-compiler","2024","81858183"
"@angular-eslint/bundled-angular-compiler","2025","112837848"
"@angular-eslint/eslint-plugin","2021","20961146"
"@angular-eslint/eslint-plugin","2022","48242995"
"@angular-eslint/eslint-plugin","2023","66613490"
"@angular-eslint/eslint-plugin","2024","82024822"
"@angular-eslint/eslint-plugin","2025","110011556"
"@angular-eslint/eslint-plugin-template","2021","19467553"
"@angular-eslint/eslint-plugin-template","2022","46481033"
"@angular-eslint/eslint-plugin-template","2023","64188834"
"@angular-eslint/eslint-plugin-template","2024","79225818"
"@angular-eslint/eslint-plugin-template","2025","107133378"
"@angular-eslint/schematics","2021","11211884"
"@angular-eslint/schematics","2022","29645462"
"@angular-eslint/schematics","2023","43422888"
"@angular-eslint/schematics","2024","52594447"
"@angular-eslint/schematics","2025","75632005"
"@angular-eslint/template-parser","2021","17251142"
"@angular-eslint/template-parser","2022","43400938"
"@angular-eslint/template-parser","2023","60838488"
"@angular-eslint/template-parser","2024","75050274"
"@angular-eslint/template-parser","2025","101772947"
"@angular-eslint/utils","2021","2395522"
"@angular-eslint/utils","2022","34195985"
"@angular-eslint/utils","2023","61197339"
"@angular-eslint/utils","2024","80064458"
"@angular-eslint/utils","2025","109463948"
"@angular/cdk","2021","65193714"
"@angular/cdk","2022","82159070"
"@angular/cdk","2023","95489706"
"@angular/cdk","2024","108658967"
"@angular/cdk","2025","135600078"
"@angular/compiler","2021","135504696"
"@angular/compiler","2022","153186242"
"@angular/compiler","2023","164157462"
"@angular/compiler","2024","171666741"
"@angular/compiler","2025","201611248"
"@angular/core","2021","134305106"
"@angular/core","2022","154426026"
"@angular/core","2023","165835802"
"@angular/core","2024","175656820"
"@angular/core","2025","205166116"
"@ant-design/colors","2021","36790647"
"@ant-design/colors","2022","49706296"
"@ant-design/colors","2023","66579327"
"@ant-design/colors","2024","86274564"
"@ant-design/colors","2025","123427874"
"@ant-design/css-animation","2021","10729995"
"@ant-design/css-animation","2022","7717300"
"@ant-design/css-animation","2023","6875838"
"@ant-design/css-animation","2024","7845194"
"@ant-design/css-animation","2025","7968543"
"@ant-design/cssinjs","2021","0"
"@ant-design/cssinjs","2022","550420"
"@ant-design/cssinjs","2023","17957184"
"@ant-design/cssinjs","2024","38153620"
"@ant-design/cssinjs","2025","64112268"
"@ant-design/cssinjs-utils","2021","0"
"@ant-design/cssinjs-utils","2022","0"
"@ant-design/cssinjs-utils","2023","0"
"@ant-design/cssinjs-utils","2024","7850575"
"@ant-design/cssinjs-utils","2025","45879815"
"@ant-design/fast-color","2021","0"
"@ant-design/fast-color","2022","0"
"@ant-design/fast-color","2023","0"
"@ant-design/fast-color","2024","7466672"
"@ant-design/fast-color","2025","59128262"
"@ant-design/icons","2021","41740070"
"@ant-design/icons","2022","45690813"
"@ant-design/icons","2023","63845042"
"@ant-design/icons","2024","80013380"
"@ant-design/icons","2025","112252262"
"@ant-design/icons-angular","2021","1900919"
"@ant-design/icons-angular","2022","3106245"
"@ant-design/icons-angular","2023","3052838"
"@ant-design/icons-angular","2024","3613275"
"@ant-design/icons-angular","2025","4309075"
"@ant-design/icons-svg","2021","23141583"
"@ant-design/icons-svg","2022","37334823"
"@ant-design/icons-svg","2023","49522746"
"@ant-design/icons-svg","2024","64050189"
"@ant-design/icons-svg","2025","86192691"
"@ant-design/icons-vue","2021","2025561"
"@ant-design/icons-vue","2022","2869830"
"@ant-design/icons-vue","2023","3372836"
"@ant-design/icons-vue","2024","4696370"
"@ant-design/icons-vue","2025","6141814"
"@ant-design/react-slick","2021","22308777"
"@ant-design/react-slick","2022","34527151"
"@ant-design/react-slick","2023","46656918"
"@ant-design/react-slick","2024","58252577"
"@ant-design/react-slick","2025","82603066"
"@antfu/install-pkg","2021","57577"
"@antfu/install-pkg","2022","1575297"
"@antfu/install-pkg","2023","6570358"
"@antfu/install-pkg","2024","28145260"
"@antfu/install-pkg","2025","118469889"
"@antfu/ni","2021","57780"
"@antfu/ni","2022","363699"
"@antfu/ni","2023","4491663"
"@antfu/ni","2024","16229123"
"@antfu/ni","2025","30862972"
"@antfu/utils","2021","881321"
"@antfu/utils","2022","8791076"
"@antfu/utils","2023","23244877"
"@antfu/utils","2024","58219452"
"@antfu/utils","2025","139883309"
"@anthropic-ai/claude-agent-sdk","2021","0"
"@anthropic-ai/claude-agent-sdk","2022","0"
"@anthropic-ai/claude-agent-sdk","2023","0"
"@anthropic-ai/claude-agent-sdk","2024","0"
"@anthropic-ai/claude-agent-sdk","2025","5516674"
"@anthropic-ai/sdk","2021","0"
"@anthropic-ai/sdk","2022","0"
"@anthropic-ai/sdk","2023","6943541"
"@anthropic-ai/sdk","2024","26200866"
"@anthropic-ai/sdk","2025","94042769"
"@antv/color-util","2021","1794372"
"@antv/color-util","2022","3197570"
"@antv/color-util","2023","4987875"
"@antv/color-util","2024","4461932"
"@antv/color-util","2025","4508904"
"@antv/component","2021","4003379"
"@antv/component","2022","4738569"
"@antv/component","2023","6210851"
"@antv/component","2024","6485924"
"@antv/component","2025","9223130"
"@antv/coord","2021","3364871"
"@antv/coord","2022","4303671"
"@antv/coord","2023","5852847"
"@antv/coord","2024","6090803"
"@antv/coord","2025","8266585"
"@antv/event-emitter","2021","2130947"
"@antv/event-emitter","2022","3878295"
"@antv/event-emitter","2023","6125519"
"@antv/event-emitter","2024","6805321"
"@antv/event-emitter","2025","9781233"
"@antv/expr","2021","0"
"@antv/expr","2022","0"
"@antv/expr","2023","0"
"@antv/expr","2024","0"
"@antv/expr","2025","1801399"
"@antv/g","2021","2458483"
"@antv/g","2022","2086833"
"@antv/g","2023","1525333"
"@antv/g","2024","2366028"
"@antv/g","2025","5065560"
"@antv/g-base","2021","3464123"
"@antv/g-base","2022","5019599"
"@antv/g-base","2023","7399266"
"@antv/g-base","2024","6733225"
"@antv/g-base","2025","7406892"
"@antv/g-canvas","2021","2460532"
"@antv/g-canvas","2022","4107891"
"@antv/g-canvas","2023","6985593"
"@antv/g-canvas","2024","7615004"
"@antv/g-canvas","2025","11125429"
"@antv/g-lite","2021","0"
"@antv/g-lite","2022","11345"
"@antv/g-lite","2023","134048"
"@antv/g-lite","2024","1360903"
"@antv/g-lite","2025","4258892"
"@antv/g-math","2021","2193032"
"@antv/g-math","2022","3851315"
"@antv/g-math","2023","6304763"
"@antv/g-math","2024","7501760"
"@antv/g-math","2025","11598562"
"@antv/g-plugin-dragndrop","2021","0"
"@antv/g-plugin-dragndrop","2022","9619"
"@antv/g-plugin-dragndrop","2023","81343"
"@antv/g-plugin-dragndrop","2024","1144522"
"@antv/g-plugin-dragndrop","2025","3913433"
"@antv/g2","2021","4050404"
"@antv/g2","2022","4925097"
"@antv/g2","2023","7090559"
"@antv/g2","2024","7250426"
"@antv/g2","2025","9568610"
"@antv/g2plot","2021","2029411"
"@antv/g2plot","2022","3172195"
"@antv/g2plot","2023","5593139"
"@antv/g2plot","2024","4631433"
"@antv/g2plot","2025","4578717"
"@antv/matrix-util","2021","4188583"
"@antv/matrix-util","2022","8168974"
"@antv/matrix-util","2023","16033446"
"@antv/matrix-util","2024","16450698"
"@antv/matrix-util","2025","18095217"
"@antv/path-util","2021","2211806"
"@antv/path-util","2022","3870602"
"@antv/path-util","2023","11118125"
"@antv/path-util","2024","13539411"
"@antv/path-util","2025","14313563"
"@antv/scale","2021","4459095"
"@antv/scale","2022","5395362"
"@antv/scale","2023","7156232"
"@antv/scale","2024","7893977"
"@antv/scale","2025","12257518"
"@antv/util","2021","6292549"
"@antv/util","2022","7142076"
"@antv/util","2023","10136520"
"@antv/util","2024","14478789"
"@antv/util","2025","25014715"
"@antv/vendor","2021","0"
"@antv/vendor","2022","0"
"@antv/vendor","2023","0"
"@antv/vendor","2024","0"
"@antv/vendor","2025","2833123"
"@anush008/tokenizers","2021","0"
"@anush008/tokenizers","2022","0"
"@anush008/tokenizers","2023","800"
"@anush008/tokenizers","2024","58100"
