"package","year","downloads"
"android-libext4-utils","2024","734"
"android-libext4-utils","2025","505"
"android-libext4-utils-dev","2021","37"
"android-libext4-utils-dev","2022","17"
"android-libext4-utils-dev","2023","14"
"android-libext4-utils-dev","2024","16"
"android-libext4-utils-dev","2025","11"
"android-libfec","2021","19"
"android-libfec","2022","13"
"android-libfec","2023","12"
"android-libfec","2024","17"
"android-libfec","2025","12"
"android-libfec-dev","2021","11"
"android-libfec-dev","2022","4"
"android-libfec-dev","2023","3"
"android-libfec-dev","2024","7"
"android-libfec-dev","2025","5"
"android-liblog","2021","9130"
"android-liblog","2022","8578"
"android-liblog","2023","8650"
"android-liblog","2024","9512"
"android-liblog","2025","10659"
"android-liblog-dev","2021","87"
"android-liblog-dev","2022","51"
"android-liblog-dev","2023","60"
"android-liblog-dev","2024","46"
"android-liblog-dev","2025","37"
"android-libnativebridge","2021","913"
"android-libnativebridge","2022","669"
"android-libnativebridge","2023","775"
"android-libnativebridge","2024","683"
"android-libnativebridge","2025","666"
"android-libnativehelper","2021","412"
"android-libnativehelper","2022","164"
"android-libnativehelper","2023","121"
"android-libnativehelper","2024","71"
"android-libnativehelper","2025","44"
"android-libnativehelper-dev","2021","32"
"android-libnativehelper-dev","2022","14"
"android-libnativehelper-dev","2023","9"
"android-libnativehelper-dev","2024","14"
"android-libnativehelper-dev","2025","9"
"android-libnativeloader","2021","911"
"android-libnativeloader","2022","668"
"android-libnativeloader","2023","773"
"android-libnativeloader","2024","679"
"android-libnativeloader","2025","663"
"android-libselinux","2021","516"
"android-libselinux","2022","287"
"android-libselinux","2023","229"
"android-libselinux","2024","156"
"android-libselinux","2025","115"
"android-libselinux-dev","2021","28"
"android-libselinux-dev","2022","14"
"android-libselinux-dev","2023","10"
"android-libselinux-dev","2024","15"
"android-libselinux-dev","2025","11"
"android-libsepol","2021","226"
"android-libsepol","2022","144"
"android-libsepol","2023","123"
"android-libsepol","2024","104"
"android-libsepol","2025","81"
"android-libsepol-dev","2021","16"
"android-libsepol-dev","2022","5"
"android-libsepol-dev","2023","3"
"android-libsepol-dev","2024","7"
"android-libsepol-dev","2025","6"
"android-libsparse","2021","4741"
"android-libsparse","2022","4403"
"android-libsparse","2023","4401"
"android-libsparse","2024","4693"
"android-libsparse","2025","5296"
"android-libsparse-dev","2021","27"
"android-libsparse-dev","2022","10"
"android-libsparse-dev","2023","10"
"android-libsparse-dev","2024","10"
"android-libsparse-dev","2025","7"
"android-libunwind","2021","5324"
"android-libunwind","2022","3757"
"android-libunwind","2023","2932"
"android-libunwind","2024","1013"
"android-libunwind","2025","687"
"android-libunwind-dev","2021","34"
"android-libunwind-dev","2022","15"
"android-libunwind-dev","2023","13"
"android-libunwind-dev","2024","14"
"android-libunwind-dev","2025","8"
"android-libutils","2021","3342"
"android-libutils","2022","2341"
"android-libutils","2023","2226"
"android-libutils","2024","1950"
"android-libutils","2025","1982"
"android-libutils-dev","2021","41"
"android-libutils-dev","2022","20"
"android-libutils-dev","2023","24"
"android-libutils-dev","2024","23"
"android-libutils-dev","2025","14"
"android-libziparchive","2021","5310"
"android-libziparchive","2022","4988"
"android-libziparchive","2023","5033"
"android-libziparchive","2024","6140"
"android-libziparchive","2025","8271"
"android-libziparchive-dev","2021","23"
"android-libziparchive-dev","2022","10"
"android-libziparchive-dev","2023","8"
"android-libziparchive-dev","2024","10"
"android-libziparchive-dev","2025","9"
"android-platform-frameworks-native-headers","2021","44"
"android-platform-frameworks-native-headers","2022","28"
"android-platform-frameworks-native-headers","2023","28"
"android-platform-frameworks-native-headers","2024","32"
"android-platform-frameworks-native-headers","2025","20"
"android-platform-libcore-headers","2021","27"
"android-platform-libcore-headers","2022","15"
"android-platform-libcore-headers","2023","11"
"android-platform-libcore-headers","2024","20"
"android-platform-libcore-headers","2025","16"
"android-platform-system-core-headers","2021","67"
"android-platform-system-core-headers","2022","41"
"android-platform-system-core-headers","2023","45"
"android-platform-system-core-headers","2024","47"
"android-platform-system-core-headers","2025","34"
"angband","2021","267"
"angband","2022","256"
"angband","2023","248"
"angband","2024","223"
"angband","2025","260"
"angband-data","2021","269"
"angband-data","2022","257"
"angband-data","2023","253"
"angband-data","2024","232"
"angband-data","2025","277"
"angelscript-dev","2021","1"
"angelscript-dev","2022","3"
"angelscript-dev","2023","6"
"angelscript-dev","2024","7"
"angelscript-dev","2025","12"
"animals","2021","221"
"animals","2022","217"
"animals","2023","198"
"animals","2024","148"
"animals","2025","169"
"anjuta","2021","638"
"anjuta","2022","512"
"anjuta","2023","498"
"anjuta","2024","447"
"anjuta","2025","331"
"anjuta-common","2021","1141"
"anjuta-common","2022","957"
"anjuta-common","2023","912"
