"current","old"
"libmpeg2encpp-2.1-0t64","libmpeg2encpp-2.1-0"
"libmpeg3-2t64","libmpeg3-2"
"libmpg123-0t64","libmpg123-0"
"libmplex2-2.1-0t64","libmplex2-2.1-0"
"libmps-fortran0t64","libmps-fortran0"
"libmps3t64","libmps3"
"libmrss0t64","libmrss0"
"libmrtd0t64","libmrtd0"
"libmsiecf1t64","libmsiecf1"
"libmspack0t64","libmspack0"
"libmstoolkit82t64","libmstoolkit82"
"libmtdev1t64","libmtdev1"
"libmtp9t64","libmtp9"
"libmu-dbm9t64","libmu-dbm9"
"libmuffin0t64","libmuffin0"
"libmulticobex1t64","libmulticobex1"
"libmusic1t64","libmusic1"
"libmygui.ogreplatform0debian1t64","libmygui.ogreplatform0debian1"
"libmygui.opengl3platform0debian1t64","libmygui.opengl3platform0debian1"
"libmygui.openglplatform0debian1t64","libmygui.openglplatform0debian1"
"libmyguiengine3debian1t64","libmyguiengine3debian1"
"libmyproxy6t64","libmyproxy6"
"libmysql++3t64","libmysql++3"
"libnatpmp1t64","libnatpmp1"
"libncap44t64","libncap44"
"libncarg0t64","libncarg0"
"libncbi6t64","libncbi6"
"libncrystal1t64","libncrystal1"
"libndpi4.2t64","libndpi4.2"
"libneon27t64","libneon27"
"libnetpbm11t64","libnetpbm11"
"libnetsnmptrapd40t64","libnetsnmptrapd40"
"libnettle8t64","libnettle8"
"libnexstar0t64","libnexstar0"
"libnextcloudsync0t64","libnextcloudsync0"
"libnglib-6.2t64","libnglib-6.2"
"libnids1.21t64","libnids1.21"
"libniftiio2t64","libniftiio2"
"libnorm1t64","libnorm1"
"libnotmuch5t64","libnotmuch5"
"libnova-0.16-0t64","libnova-0.16-0"
