"package","avg_downloads","2021","2022","2023","2024","2025"
"webpack-sources","1448129958","828629228","1314433480","1564200607","1599093452","1934293027"
"regexp.prototype.flags","1440971355","644161938","1077318699","1469290517","1757424178","2256661446"
"ee-first","1438871120","909151546","1229289449","1432635965","1538450656","2084827988"
"path-scurry","1438264165","0","0","357783964","1252659299","2704349232"
"media-typer","1437977597","880490861","1197151930","1387976450","1474840071","2249428676"
"inquirer","1437918435","1154379535","1307346185","1408350250","1515906707","1803609502"
"vary","1436231031","888184636","1247556982","1446197648","1526511161","2072704729"
"gensync","1436143920","799039797","1126429806","1351413367","1583507608","2320329022"
"cacache","1432005099","1211870381","1426641239","1510218800","1417841179","1593453900"
"terser-webpack-plugin","1430434257","1119422257","1491924129","1562928292","1385471585","1592425025"
"json-stable-stringify-without-jsonify","1428989432","726089602","1048026265","1336688803","1635662323","2398480170"
"is-string","1428120254","815151791","1233515459","1378946018","1552098141","2160889865"
"clone","1426006777","832451051","1172291934","1392503715","1642980265","2089806920"
"es-to-primitive","1423892919","967556533","1218548147","1321342314","1501975319","2110042286"
