"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"object-keys","ljharb/object-keys","1674038631","1135078023","1435094470","1611043253","1794387973","2394589437","True","0.00104717","A"
"define-data-property","ljharb/define-data-property","1467804551","0","0","273939304","1781524608","2347949741","True","0.00103866","A"
"is-arrayish","qix-/node-is-arrayish","2421010862","1523088892","1965146759","2317616662","2622308721","3676893277","True","0.00103802","A"
"form-data","form-data/form-data","3345244273","1911605901","2671753306","3403389351","3787329440","4952143368","True","0.00103601","A"
"pify","sindresorhus/pify","3526061017","2880184529","3300325397","3582334774","3571197989","4296262399","True","0.00102731","A"
"fs-extra","jprichardson/node-fs-extra","4180330641","2364055841","3392995160","4319065420","4912060078","5913476709","True","0.00102716","A"
"minimist","minimistjs/minimist","2824223807","2018914633","2483649583","2815059365","2893588634","3909906824","True","0.00102631","A"
"is-descriptor","inspect-js/is-descriptor","2291878835","1989480780","2517870631","2461831928","2255707832","2234503004","True","0.00102282","A"
"extend-shallow","jonschlinkert/extend-shallow","3325830706","2478288475","3805190482","3809073239","3267761242","3268840094","True","0.00102139","A"
"@babel/generator","babel/babel","2575411352","1570900275","2223044140","2471506171","2760324799","3851281379","True","0.00101627","A"
"which-typed-array","inspect-js/which-typed-array","1186848741","144053959","359866998","1223983673","1788937932","2417401144","True","0.00101428","A"
"pkg-dir","sindresorhus/pkg-dir","2846876227","2290000860","2611881778","2854469850","2997884357","3480144290","True","0.00101357","A"
"@jridgewell/gen-mapping","jridgewell/sourcemaps","2250275658","0","991471453","2246122397","2342021254","3421487531","True","0.00101080","A"
"cross-spawn","moxystudio/node-cross-spawn","3548636608","2520901639","3016891310","3362794282","3682747480","5159848333","True","0.00100711","A"
"onetime","sindresorhus/onetime","2745353456","1542684735","1991505454","2509353517","3252210413","4431013161","True","0.00100454","A"
"@types/yargs-parser","DefinitelyTyped/DefinitelyTyped","1108383085","611233923","886979878","1085359852","1260316486","1698025288","True","0.00100395","A"
"micromatch","micromatch/micromatch","3267364191","2181270719","3089776722","3228705040","3383562300","4453506177","True","0.00100252","A"
"es-abstract","ljharb/es-abstract","1978148326","1706674844","1846567135","1860763170","1967097210","2509639274","True","0.00099689","A"
"is-core-module","inspect-js/is-core-module","2227464871","1013527246","1732754800","2256022710","2586024060","3548995540","True","0.00099118","A"
"is-callable","inspect-js/is-callable","1804951078","1218893563","1531601746","1809412090","1945780461","2519067531","True","0.00098398","A"
"path-scurry","isaacs/path-scurry","1438264165","0","0","357783964","1252659299","2704349232","True","0.00098275","A"
"delayed-stream","felixge/node-delayed-stream","1906181692","1158901870","1467758680","1800654046","2130294372","2973299492","True","0.00097937","A"
"shebang-command","kevva/shebang-command","2978338713","1776356143","2462410799","2933702737","3264218320","4455005567","True","0.00097619","A"
"domhandler","fb55/domhandler","1670065575","964691916","1331982925","1664114689","1917245948","2472292401","True","0.00097330","A"
"ci-info","watson/ci-info","2259760545","1136491175","1880842688","2263656523","2453033355","3564778987","True","0.00096952","A"
"mkdirp","isaacs/node-mkdirp","3618132863","2305456706","3149089625","3675571154","3938168799","5022378033","True","0.00096579","A"
"@jest/schemas","jestjs/jest","1342666214","0","268010009","1153317461","1539172525","2410164863","True","0.00096314","A"
"path-type","sindresorhus/path-type","2738173506","2137328262","2414489242","2659508756","2878337170","3601204103","True","0.00095989","A"
"globals","sindresorhus/globals","3776722458","1958867360","2791365508","3496065777","4326497925","6310815721","True","0.00095481","A"
"source-map-js","7rulnik/source-map-js","1140951973","154826819","696532397","1013320423","1468415884","2371664344","True","0.00095267","A"
"ws","websockets/ws","3615427869","2147213116","3022012832","3560558389","3954354983","5393000029","True","0.00095200","A"
"parse-json","sindresorhus/parse-json","2901433517","2227303741","2567772199","2830592366","2956261166","3925238113","True","0.00094416","A"
"assert-plus","mcavage/node-assert-plus","1099608966","1104622017","1099922873","1087908003","1024938479","1180653461","True","0.00094226","A"
"events","Gozala/events","1650951945","1070187160","1419531784","1623094680","1835078249","2306867852","True","0.00093348","A"
"@babel/helper-create-regexp-features-plugin","babel/babel","1095767033","715055529","970519478","1132146784","1220465192","1440648186","True","0.00093119","A"
"type-detect","chaijs/type-detect","1254779589","661279814","943103322","1211818208","1421280152","2036416451","True","0.00091245","A"
"strip-bom","sindresorhus/strip-bom","2840518038","1714503206","2303941388","2827336252","3144943441","4211865905","True","0.00091006","A"
"escalade","lukeed/escalade","1936239950","836419001","1332943988","1679083556","2323601022","3509152184","True","0.00090619","A"
"@babel/helper-module-imports","babel/babel","1951809583","1150995872","1580209781","1852421215","2167881114","3007539934","True","0.00090467","A"
"eslint-scope","eslint/js","2933967055","1417845969","2230891029","2961319844","3416311119","4643467314","True","0.00090454","A"
"mimic-function","sindresorhus/mimic-function","213213240","0","0","165065","99786635","539688022","True","0.00090408","A"
"make-dir","sindresorhus/make-dir","3165793093","2165420035","2602168045","3035607807","3568494983","4457274599","True","0.00090198","A"
"node-fetch","node-fetch/node-fetch","2348261383","1170904706","1832248478","2373346425","2733113490","3631693816","True","0.00090187","A"
"@typescript-eslint/visitor-keys","typescript-eslint/typescript-eslint","1937916614","613830636","1217160232","1751332153","2483689861","3623570189","True","0.00090150","A"
"jsonfile","jprichardson/node-jsonfile","2623360949","1634805381","2315460939","2697260846","2892793378","3576484202","True","0.00089947","A"
"ignore","kaelzhang/node-ignore","2996359828","1817463090","2517563581","2711923918","3017690382","4917158173","True","0.00089877","A"
"binary-extensions","sindresorhus/binary-extensions","2106222584","1589825478","1905035177","2056120594","2204462755","2775668918","True","0.00089072","A"
