spdx_id,spdx_id_canonical,name,is_osi_approved,is_fsf_libre,is_deprecated,reference,osi_url,fetched_at
rpl-1.1,RPL-1.1,Reciprocal Public License 1.1,True,False,False,https://spdx.org/licenses/RPL-1.1.html,https://opensource.org/license/RPL-1.1,2026-07-06T16:17:40Z
rpl-1.5,RPL-1.5,Reciprocal Public License 1.5,True,False,False,https://spdx.org/licenses/RPL-1.5.html,https://opensource.org/license/RPL-1.5,2026-07-06T16:17:40Z
rpsl-1.0,RPSL-1.0,RealNetworks Public Source License v1.0,True,True,False,https://spdx.org/licenses/RPSL-1.0.html,https://opensource.org/license/RPSL-1.0,2026-07-06T16:17:40Z
rsa-md,RSA-MD,RSA Message-Digest License,False,False,False,https://spdx.org/licenses/RSA-MD.html,,2026-07-06T16:17:40Z
rscpl,RSCPL,Ricoh Source Code Public License,True,False,False,https://spdx.org/licenses/RSCPL.html,https://opensource.org/license/RSCPL,2026-07-06T16:17:40Z
ruby,Ruby,Ruby License,False,True,False,https://spdx.org/licenses/Ruby.html,,2026-07-06T16:17:40Z
ruby-pty,Ruby-pty,Ruby pty extension license,False,False,False,https://spdx.org/licenses/Ruby-pty.html,,2026-07-06T16:17:40Z
sax-pd,SAX-PD,Sax Public Domain Notice,False,False,False,https://spdx.org/licenses/SAX-PD.html,,2026-07-06T16:17:40Z
sax-pd-2.0,SAX-PD-2.0,Sax Public Domain Notice 2.0,False,False,False,https://spdx.org/licenses/SAX-PD-2.0.html,,2026-07-06T16:17:40Z
saxpath,Saxpath,Saxpath License,False,False,False,https://spdx.org/licenses/Saxpath.html,,2026-07-06T16:17:40Z
scea,SCEA,SCEA Shared Source License,False,False,False,https://spdx.org/licenses/SCEA.html,,2026-07-06T16:17:40Z
schemereport,SchemeReport,Scheme Language Report License,False,False,False,https://spdx.org/licenses/SchemeReport.html,,2026-07-06T16:17:40Z
sendmail,Sendmail,Sendmail License,False,False,False,https://spdx.org/licenses/Sendmail.html,,2026-07-06T16:17:40Z
sendmail-8.23,Sendmail-8.23,Sendmail License 8.23,False,False,False,https://spdx.org/licenses/Sendmail-8.23.html,,2026-07-06T16:17:40Z
sendmail-open-source-1.1,Sendmail-Open-Source-1.1,Sendmail Open Source License v1.1,False,False,False,https://spdx.org/licenses/Sendmail-Open-Source-1.1.html,,2026-07-06T16:17:40Z
sgi-b-1.0,SGI-B-1.0,SGI Free Software License B v1.0,False,False,False,https://spdx.org/licenses/SGI-B-1.0.html,,2026-07-06T16:17:40Z
sgi-b-1.1,SGI-B-1.1,SGI Free Software License B v1.1,False,False,False,https://spdx.org/licenses/SGI-B-1.1.html,,2026-07-06T16:17:40Z
sgi-b-2.0,SGI-B-2.0,SGI Free Software License B v2.0,False,True,False,https://spdx.org/licenses/SGI-B-2.0.html,,2026-07-06T16:17:40Z
sgi-opengl,SGI-OpenGL,SGI OpenGL License,False,False,False,https://spdx.org/licenses/SGI-OpenGL.html,,2026-07-06T16:17:40Z
sgmlug-pm,SGMLUG-PM,SGMLUG Parser Materials License,False,False,False,https://spdx.org/licenses/SGMLUG-PM.html,,2026-07-06T16:17:40Z
sgp4,SGP4,SGP4 Permission Notice,False,False,False,https://spdx.org/licenses/SGP4.html,,2026-07-06T16:17:40Z
shl-0.5,SHL-0.5,Solderpad Hardware License v0.5,False,False,False,https://spdx.org/licenses/SHL-0.5.html,,2026-07-06T16:17:40Z
shl-0.51,SHL-0.51,"Solderpad Hardware License, Version 0.51",False,False,False,https://spdx.org/licenses/SHL-0.51.html,,2026-07-06T16:17:40Z
simpl-2.0,SimPL-2.0,Simple Public License 2.0,True,False,False,https://spdx.org/licenses/SimPL-2.0.html,https://opensource.org/license/SiMPL-2.0,2026-07-06T16:17:40Z
sissl,SISSL,Sun Industry Standards Source License v1.1,True,True,False,https://spdx.org/licenses/SISSL.html,https://opensource.org/license/SISSL,2026-07-06T16:17:40Z
sissl-1.2,SISSL-1.2,Sun Industry Standards Source License v1.2,False,False,False,https://spdx.org/licenses/SISSL-1.2.html,,2026-07-06T16:17:40Z
sl,SL,SL License,False,False,False,https://spdx.org/licenses/SL.html,,2026-07-06T16:17:40Z
sleepycat,Sleepycat,Sleepycat License,True,True,False,https://spdx.org/licenses/Sleepycat.html,https://opensource.org/license/Sleepycat,2026-07-06T16:17:40Z
smail-gpl,SMAIL-GPL,SMAIL General Public License,False,False,False,https://spdx.org/licenses/SMAIL-GPL.html,,2026-07-06T16:17:40Z
smlnj,SMLNJ,Standard ML of New Jersey License,False,True,False,https://spdx.org/licenses/SMLNJ.html,,2026-07-06T16:17:40Z
smppl,SMPPL,Secure Messaging Protocol Public License,False,False,False,https://spdx.org/licenses/SMPPL.html,,2026-07-06T16:17:40Z
snia,SNIA,SNIA Public License 1.1,False,False,False,https://spdx.org/licenses/SNIA.html,,2026-07-06T16:17:40Z
snprintf,snprintf,snprintf License,False,False,False,https://spdx.org/licenses/snprintf.html,,2026-07-06T16:17:40Z
sofa,SOFA,SOFA Software License,False,False,False,https://spdx.org/licenses/SOFA.html,,2026-07-06T16:17:40Z
softsurfer,softSurfer,softSurfer License,False,False,False,https://spdx.org/licenses/softSurfer.html,,2026-07-06T16:17:40Z
soundex,Soundex,Soundex License,False,False,False,https://spdx.org/licenses/Soundex.html,,2026-07-06T16:17:40Z
spencer-86,Spencer-86,Spencer License 86,False,False,False,https://spdx.org/licenses/Spencer-86.html,,2026-07-06T16:17:40Z
spencer-94,Spencer-94,Spencer License 94,False,False,False,https://spdx.org/licenses/Spencer-94.html,,2026-07-06T16:17:40Z
spencer-99,Spencer-99,Spencer License 99,False,False,False,https://spdx.org/licenses/Spencer-99.html,,2026-07-06T16:17:40Z
spl-1.0,SPL-1.0,Sun Public License v1.0,True,True,False,https://spdx.org/licenses/SPL-1.0.html,https://opensource.org/license/SPL-1.0,2026-07-06T16:17:40Z
ssh-keyscan,ssh-keyscan,ssh-keyscan License,False,False,False,https://spdx.org/licenses/ssh-keyscan.html,,2026-07-06T16:17:40Z
ssh-openssh,SSH-OpenSSH,SSH OpenSSH license,False,False,False,https://spdx.org/licenses/SSH-OpenSSH.html,,2026-07-06T16:17:40Z
ssh-short,SSH-short,SSH short notice,False,False,False,https://spdx.org/licenses/SSH-short.html,,2026-07-06T16:17:40Z
ssleay-standalone,SSLeay-standalone,SSLeay License - standalone,False,False,False,https://spdx.org/licenses/SSLeay-standalone.html,,2026-07-06T16:17:40Z
sspl-1.0,SSPL-1.0,"Server Side Public License, v 1",False,False,False,https://spdx.org/licenses/SSPL-1.0.html,,2026-07-06T16:17:40Z
standardml-nj,StandardML-NJ,Standard ML of New Jersey License,False,True,True,https://spdx.org/licenses/StandardML-NJ.html,,2026-07-06T16:17:40Z
sugarcrm-1.1.3,SugarCRM-1.1.3,SugarCRM Public License v1.1.3,False,False,False,https://spdx.org/licenses/SugarCRM-1.1.3.html,,2026-07-06T16:17:40Z
sul-1.0,SUL-1.0,Sustainable Use License v1.0,False,False,False,https://spdx.org/licenses/SUL-1.0.html,,2026-07-06T16:17:40Z
sun-ppp,Sun-PPP,Sun PPP License,False,False,False,https://spdx.org/licenses/Sun-PPP.html,,2026-07-06T16:17:40Z
